Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2007-10-26,AMEX (A),1182500,40540710,194100,41917310,0.0,0.0,0.0,0.0,1861,65228,217,67306
2007-10-26,NSX (C),4056827,1826940,11315199,17198966,0.0,0.0,0.0,0.0,21575,3800,46804,72179
2007-10-26,NSX (DC),91665,2000,59117881,59211546,0.0,0.0,0.0,0.0,541,14,152460,153015
2007-10-26,NYSE (DN),137273400,32127600,174359817,343760817,0.0,0.0,0.0,0.0,827329,86178,775712,1689219
2007-10-26,Nasdaq (DQ),657930420,133772081,636283405,1427985906,0.0,0.0,0.0,0.0,820688,68164,589570,1478422
2007-10-26,ADF (D),103638400,21967358,110302500,235908258,0.0,0.0,0.0,0.0,373023,31904,297172,702099
2007-10-26,ISE (I),47735900,4438400,12851700,65026000,0.0,0.0,0.0,0.0,297588,11157,50377,359122
2007-10-26,CHX (M),24805800,4162600,11367233,40335633,0.0,0.0,0.0,0.0,31984,994,14967,47945
2007-10-26,NYSE (N),1399595980,0,0,1399595980,0.0,0.0,0.0,0.0,4491215,0,0,4491215
2007-10-26,NYSE Arca (P),542856000,197789400,416019570,1156664970,0.0,0.0,0.0,0.0,2897253,396703,1549824,4843780
2007-10-26,Nasdaq (Q),682926600,218732948,1213254728,2114914276,0.0,0.0,0.0,0.0,3610207,559719,4229137,8399063
2007-10-26,CBOE (W),2304600,3642000,1016700,6963300,0.0,0.0,0.0,0.0,3584,1521,1296,6401
2007-10-26,PHLX (X),5311700,253300,3061016,8626016,0.0,0.0,0.0,0.0,1114,50,3394,4558
2007-10-29,AMEX (A),1104200,36916339,2300,38022839,0.0,0.0,0.0,0.0,1397,66846,5,68248
2007-10-29,NSX (C),4123349,1732138,14424889,20280376,0.0,0.0,0.0,0.0,22236,3218,65002,90456
2007-10-29,NSX (DC),136710,14200,52365760,52516670,0.0,0.0,0.0,0.0,743,36,142327,143106
2007-10-29,NYSE (DN),125214500,30341500,151543212,307099212,0.0,0.0,0.0,0.0,729431,76302,719373,1525106
2007-10-29,Nasdaq (DQ),638413480,90770226,534211935,1263395641,0.0,0.0,0.0,0.0,878528,68945,608993,1556466
2007-10-29,ADF (D),100786400,22518064,92914400,216218864,0.0,0.0,0.0,0.0,361899,33154,266975,662028
2007-10-29,ISE (I),44367500,3920400,2940500,51228400,0.0,0.0,0.0,0.0,260326,8855,7195,276376
2007-10-29,CHX (M),24074935,2074800,10490316,36640051,0.0,0.0,0.0,0.0,24405,876,13667,38948
2007-10-29,NYSE (N),1216157160,0,0,1216157160,0.0,0.0,0.0,0.0,4028018,0,0,4028018
2007-10-29,NYSE Arca (P),404206900,124049100,300920095,829176095,0.0,0.0,0.0,0.0,2190533,280930,1237802,3709265
2007-10-29,Nasdaq (Q),568907700,173395419,979421260,1721724379,0.0,0.0,0.0,0.0,3049905,459178,3691506,7200589
2007-10-29,CBOE (W),949900,2175100,813100,3938100,0.0,0.0,0.0,0.0,2524,1358,1335,5217
2007-10-29,PHLX (X),3343600,84900,1791549,5220049,0.0,0.0,0.0,0.0,3242,66,5800,9108
2007-10-30,AMEX (A),1771200,35868887,0,37640087,0.0,0.0,0.0,0.0,1924,63368,0,65292
2007-10-30,NSX (C),4310173,3896509,15386106,23592788,0.0,0.0,0.0,0.0,23303,6364,70692,100359
2007-10-30,NSX (DC),165514,8500,59817706,59991720,0.0,0.0,0.0,0.0,572,21,161142,161735
2007-10-30,NYSE (DN),122124000,30623700,157466353,310214053,0.0,0.0,0.0,0.0,717539,77004,758059,1552602
2007-10-30,Nasdaq (DQ),699917700,105290382,551584797,1356792879,0.0,0.0,0.0,0.0,807331,64426,569753,1441510
2007-10-30,ADF (D),94742600,20132802,102472400,217347802,0.0,0.0,0.0,0.0,348299,32055,301843,682197
2007-10-30,ISE (I),43825300,2063600,2264300,48153200,0.0,0.0,0.0,0.0,262494,5226,5992,273712
2007-10-30,CHX (M),23407366,3040200,11030483,37478049,0.0,0.0,0.0,0.0,28325,931,15709,44965
2007-10-30,NYSE (N),1220518750,0,0,1220518750,0.0,0.0,0.0,0.0,4051196,0,0,4051196
2007-10-30,NYSE Arca (P),431136400,139793900,321031356,891961656,0.0,0.0,0.0,0.0,2401637,312015,1326332,4039984
2007-10-30,Nasdaq (Q),589187000,173668378,1024051248,1786906626,0.0,0.0,0.0,0.0,3171179,451824,3767712,7390715
2007-10-30,CBOE (W),1493300,2445400,590200,4528900,0.0,0.0,0.0,0.0,3199,2024,1320,6543
2007-10-30,PHLX (X),4373700,382100,1938726,6694526,0.0,0.0,0.0,0.0,1809,33,4075,5917
2007-10-31,AMEX (A),2621000,49071216,2000,51694216,0.0,0.0,0.0,0.0,2582,74530,1,77113
2007-10-31,NSX (C),4699468,9641213,21637503,35978184,0.0,0.0,0.0,0.0,23494,22318,89603,135415
2007-10-31,NSX (DC),91022,26000,70894716,71011738,0.0,0.0,0.0,0.0,630,45,184309,184984
2007-10-31,NYSE (DN),154310300,50586000,187407148,392303448,0.0,0.0,0.0,0.0,968282,127783,880633,1976698
2007-10-31,Nasdaq (DQ),710417040,140817450,606720869,1457955359,0.0,0.0,0.0,0.0,896161,82897,610160,1589218
2007-10-31,ADF (D),118011700,28150810,117869400,264031910,0.0,0.0,0.0,0.0,429984,43085,364313,837382
2007-10-31,ISE (I),58607600,817400,2151200,61576200,0.0,0.0,0.0,0.0,367863,766,5764,374393
