Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,29.50,29.940001,28.610001,29.620001,5154400,29.620001
2016-11-11,29.18,29.99,27.629999,29.299999,5334500,29.299999
2016-11-10,29.08,29.700001,28.299999,29.10,8184900,29.10
2016-11-09,26.83,29.139999,26.00,28.719999,10661200,28.719999
2016-11-08,24.299999,26.59,24.299999,26.40,6457600,26.40
2016-11-07,25.540001,26.41,24.889999,25.08,8377000,25.08
2016-11-04,23.82,25.50,23.559999,25.200001,6878700,25.200001
2016-11-03,22.959999,24.349001,22.940001,24.15,8084200,24.15
2016-11-02,22.67,23.264999,22.636,22.91,10755300,22.91
2016-11-01,22.10,23.549999,21.780001,23.00,32216900,22.91
2016-10-31,21.290001,22.10,20.809999,21.440001,1937000,21.356105
2016-10-28,22.00,22.00,20.76,21.40,616800,21.31626
2016-10-27,21.00,21.75,20.709999,21.200001,71900,21.117044
2016-10-26,21.00,21.00,20.00,21.00,117500,20.917826
2016-10-25,22.16,22.50,20.639999,21.25,165200,21.166848
2016-10-24,21.00,21.00,20.98,21.00,5900,20.917826
2016-10-21,21.200001,21.200001,20.889999,21.00,11000,20.917826
2016-10-19,22.50,22.50,22.50,22.50,000,22.411956
2016-10-18,22.50,22.50,22.50,22.50,1000,22.411956
