Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,16.040001,17.35,16.040001,16.690001,4742500,16.690001
2016-11-11,15.59,16.360001,15.42,16.280001,4203600,16.280001
2016-11-10,15.43,16.280001,15.43,15.69,5587000,15.69
2016-11-09,14.27,15.15,14.00,15.05,4077900,15.05
2016-11-08,14.73,14.86,14.38,14.62,1748000,14.62
2016-11-07,14.75,14.95,14.72,14.79,1601900,14.79
2016-11-04,14.59,14.84,14.31,14.53,2290900,14.53
2016-11-03,14.65,14.76,14.46,14.49,1406200,14.49
2016-11-02,14.47,14.63,14.22,14.58,2175500,14.58
2016-11-01,14.52,14.82,14.31,14.48,2244800,14.48
2016-10-31,14.86,14.89,14.40,14.61,2539600,14.61
2016-10-28,14.92,15.16,14.71,14.86,2629100,14.86
2016-10-27,15.38,15.40,15.02,15.08,1661000,15.08
2016-10-26,15.21,15.53,15.20,15.40,1484100,15.40
2016-10-25,15.30,15.44,15.17,15.29,1787500,15.29
2016-10-24,15.82,15.91,15.26,15.52,2184700,15.52
2016-10-21,15.53,15.84,15.53,15.75,2357900,15.75
2016-10-20,15.59,15.77,15.46,15.74,1856400,15.74
2016-10-19,15.47,15.48,15.22,15.45,1910300,15.45
2016-10-18,15.70,15.72,15.14,15.39,2532000,15.39
2016-10-17,15.63,16.15,15.50,15.60,3447100,15.60
2016-10-14,15.98,16.09,15.68,15.73,1791300,15.73
2016-10-13,16.00,16.10,15.76,15.94,2182700,15.94
2016-10-12,15.93,16.25,15.85,16.129999,1496800,16.129999
2016-10-11,16.200001,16.280001,15.88,15.95,2233700,15.95
2016-10-10,16.120001,16.49,16.120001,16.190001,2232400,16.190001
2016-10-07,16.200001,16.73,16.110001,16.120001,3688800,16.120001
2016-10-06,16.18,16.24,15.61,15.97,3197200,15.97
2016-10-05,15.93,16.43,15.82,16.280001,2695000,16.280001
2016-10-04,15.76,16.059999,15.67,15.91,2380700,15.91
2016-10-03,15.89,15.94,15.56,15.72,13191500,15.72
2016-09-30,15.68,16.040001,15.60,15.89,2340600,15.89
2016-09-29,15.78,15.92,15.51,15.54,2638100,15.54
2016-09-28,16.059999,16.15,15.72,15.90,3476800,15.90
2016-09-27,16.16,16.34,16.09,16.24,2946500,16.24
2016-09-26,16.65,16.67,16.129999,16.139999,3023400,16.139999
2016-09-23,16.90,17.10,16.65,16.719999,2355800,16.719999
2016-09-22,16.879999,16.91,16.530001,16.84,3218100,16.84
2016-09-21,16.860001,16.959999,16.389999,16.76,3279500,16.76
2016-09-20,17.34,17.459999,16.799999,16.85,2821600,16.85
2016-09-19,17.459999,17.52,17.190001,17.33,2505600,17.33
2016-09-16,17.35,17.620001,17.26,17.42,2259000,17.42
2016-09-15,17.42,17.82,17.309999,17.620001,2108300,17.620001
2016-09-14,17.540001,17.60,17.219999,17.42,3652100,17.42
2016-09-13,17.459999,17.709999,17.25,17.440001,2629600,17.440001
2016-09-12,17.309999,17.73,17.23,17.59,3213200,17.59
2016-09-09,17.200001,17.27,16.879999,17.25,3586800,17.25
2016-09-08,17.360001,17.60,17.18,17.26,3330000,17.26
2016-09-07,17.24,17.40,17.120001,17.280001,3377600,17.280001
2016-09-06,17.02,17.209999,16.75,16.940001,4018100,16.940001
2016-09-02,17.32,17.49,16.950001,17.02,3528300,17.02
2016-09-01,17.66,17.74,17.24,17.32,3675000,17.32
2016-08-31,18.110001,18.299999,17.639999,17.74,7222800,17.74
2016-08-30,19.50,19.51,18.059999,18.290001,23020200,18.090001
2016-08-29,22.620001,23.290001,22.540001,22.950001,5062600,22.699044
2016-08-26,22.719999,23.290001,22.309999,22.620001,2962000,22.372652
2016-08-25,22.26,22.91,22.23,22.629999,1437300,22.382541
2016-08-24,22.40,22.42,21.91,22.299999,2019600,22.05615
2016-08-23,22.360001,22.799999,22.309999,22.719999,1714100,22.471557
2016-08-22,22.49,22.549999,22.059999,22.18,1526400,21.937463
2016-08-19,22.309999,22.82,22.299999,22.549999,1764200,22.303416
2016-08-18,22.16,22.440001,21.950001,22.41,1564300,22.164948
2016-08-17,21.99,22.35,21.74,21.91,1731700,21.670415
2016-08-16,22.40,22.66,22.09,22.10,2012900,21.858338
2016-08-15,22.00,22.549999,21.969999,22.48,1406700,22.234182
2016-08-12,21.469999,21.99,21.280001,21.90,2335100,21.660524
2016-08-11,21.50,21.809999,20.99,21.49,1845800,21.255008
2016-08-10,20.690001,21.030001,20.629999,20.709999,1153500,20.483536
2016-08-09,21.07,21.120001,20.59,20.690001,1812100,20.463756
2016-08-08,21.030001,21.379999,20.889999,21.34,1500400,21.106648
2016-08-05,20.459999,21.40,20.440001,21.219999,1731500,20.98796
2016-08-04,20.15,20.440001,20.15,20.25,951200,20.028567
2016-08-03,19.52,20.17,19.139999,20.110001,1686900,19.890099
2016-08-02,20.65,20.799999,19.790001,19.82,1507600,19.603269
2016-08-01,20.76,20.780001,20.299999,20.709999,1445900,20.483536
2016-07-29,20.450001,20.799999,20.26,20.709999,1358400,20.483536
2016-07-28,20.68,20.68,20.07,20.450001,924300,20.226381
2016-07-27,20.870001,21.120001,20.40,20.690001,2214000,20.463756
2016-07-26,20.33,20.879999,20.26,20.799999,2154200,20.572552
2016-07-25,20.17,20.370001,20.129999,20.23,1702700,20.008786
2016-07-22,20.09,20.200001,19.75,20.120001,1668800,19.89999
2016-07-21,19.91,20.40,19.91,20.27,2087300,20.048349
2016-07-20,19.799999,19.98,19.700001,19.959999,1267800,19.741738
2016-07-19,19.870001,19.889999,19.610001,19.74,1339300,19.524144
2016-07-18,19.27,20.17,19.059999,19.809999,3057600,19.593378
2016-07-15,19.290001,19.51,19.15,19.18,1089500,18.970268
2016-07-14,19.299999,19.459999,19.200001,19.209999,1421100,18.999939
2016-07-13,19.52,19.610001,19.01,19.16,1153300,18.950486
2016-07-12,19.23,19.52,19.200001,19.459999,1640700,19.247205
2016-07-11,19.129999,19.309999,18.93,19.129999,1453800,18.920814
2016-07-08,18.450001,19.15,18.450001,19.09,3252700,18.881252
2016-07-07,18.08,18.389999,18.049999,18.219999,2224800,18.020765
2016-07-06,17.540001,18.18,17.52,18.09,2440100,17.892187
2016-07-05,17.65,17.98,17.360001,17.58,1688200,17.387764
2016-07-01,17.85,18.280001,17.85,18.15,1639500,17.95153
2016-06-30,17.530001,17.950001,17.43,17.809999,2304400,17.615248
2016-06-29,17.15,17.60,16.91,17.48,2184700,17.288857
2016-06-28,17.18,17.40,16.84,16.950001,3022200,16.764653
2016-06-27,17.50,17.66,16.49,16.799999,4671500,16.616292
2016-06-24,18.559999,18.68,17.76,17.77,6070800,17.575686
2016-06-23,19.10,19.440001,19.09,19.33,3327200,19.118627
2016-06-22,19.09,19.290001,18.75,19.00,3336800,18.792236
2016-06-21,19.00,19.209999,18.84,19.01,2898200,18.802127
2016-06-20,19.10,19.32,18.700001,18.84,3161000,18.633986
2016-06-17,18.65,19.299999,18.610001,18.98,4124600,18.772454
2016-06-16,19.200001,19.309999,18.459999,18.65,4598000,18.446063
2016-06-15,18.860001,19.559999,18.85,19.139999,4442800,18.930704
2016-06-14,18.92,19.110001,18.309999,18.620001,3219400,18.416392
2016-06-13,18.51,18.99,18.450001,18.92,4606200,18.713111
2016-06-10,18.34,19.24,18.24,18.75,4878600,18.54497
2016-06-09,18.98,19.02,18.639999,18.639999,2685000,18.436172
2016-06-08,19.26,19.299999,18.91,19.02,2661700,18.812018
2016-06-07,18.92,19.42,18.67,19.190001,3403700,18.980159
2016-06-06,19.469999,19.540001,19.00,19.030001,4216300,18.821909
2016-06-03,19.530001,19.690001,19.40,19.42,3781900,19.207643
2016-06-02,19.469999,19.73,19.33,19.50,4329800,19.286768
2016-06-01,19.690001,19.85,19.41,19.52,3906300,19.30655
2016-05-31,20.190001,20.469999,19.66,19.889999,5773800,19.474691
2016-05-27,20.799999,20.959999,20.120001,20.190001,6396200,19.768428
2016-05-26,22.40,22.940001,20.26,21.15,19976800,20.708382
2016-05-25,24.40,25.299999,24.07,25.08,5394000,24.556322
