Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,110.959999,111.080002,109.419998,110.190002,1909200,110.190002
2016-11-11,112.540001,112.809998,110.32,110.489998,1451500,110.489998
2016-11-10,111.870003,113.620003,111.089996,112.739998,1755500,112.739998
2016-11-09,111.730003,111.980003,109.629997,110.93,1896500,110.93
2016-11-08,111.559998,113.230003,110.849998,112.150002,1267000,112.150002
2016-11-07,109.480003,111.449997,109.330002,111.389999,1592900,111.389999
2016-11-04,108.589996,108.809998,107.730003,107.790001,763200,107.790001
2016-11-03,107.870003,109.360001,107.809998,108.480003,737800,108.480003
2016-11-02,108.760002,109.269997,107.50,107.540001,925400,107.540001
2016-11-01,111.169998,111.190002,108.50,108.809998,844000,108.809998
2016-10-31,111.279999,111.519997,110.160004,110.830002,1027100,110.830002
2016-10-28,109.919998,112.809998,109.599998,111.300003,1454500,111.300003
2016-10-27,108.480003,108.900002,107.739998,108.419998,797500,108.089999
2016-10-26,107.360001,108.690002,107.190002,108.190002,864100,107.860703
2016-10-25,109.720001,109.720001,107.309998,107.790001,1320600,107.461919
2016-10-24,110.209999,110.559998,109.879997,110.029999,563300,109.695099
2016-10-21,109.099998,109.959999,108.629997,109.550003,766700,109.216564
2016-10-20,110.269997,110.870003,109.860001,110.019997,733900,109.685128
2016-10-19,110.949997,110.949997,109.980003,110.699997,690000,110.363058
2016-10-18,111.169998,111.169998,110.449997,110.589996,723400,110.253392
2016-10-17,111.00,111.230003,109.860001,109.970001,927400,109.635284
2016-10-14,110.989998,111.919998,110.690002,110.690002,747700,110.353094
2016-10-13,110.290001,110.709999,109.599998,110.190002,846400,109.854616
2016-10-12,109.949997,111.160004,109.949997,110.699997,770000,110.363058
2016-10-11,111.489998,111.970001,109.559998,109.849998,973100,109.515647
2016-10-10,113.519997,113.75,111.940002,111.970001,958100,111.629197
2016-10-07,113.25,113.699997,112.32,112.50,696300,112.157582
2016-10-06,111.660004,113.610001,111.07,113.18,1034100,112.835513
2016-10-05,111.610001,112.370003,111.309998,111.75,578100,111.409865
2016-10-04,111.919998,112.169998,111.010002,111.379997,563600,111.040989
2016-10-03,111.989998,112.190002,111.360001,112.010002,783000,111.669076
2016-09-30,111.449997,112.910004,111.449997,112.489998,937200,112.147611
2016-09-29,111.980003,112.470001,110.459999,110.919998,596100,110.58239
2016-09-28,112.459999,112.580002,111.139999,112.279999,752800,111.938251
2016-09-27,111.589996,112.949997,111.309998,112.400002,876100,112.057888
2016-09-26,111.910004,112.110001,111.510002,111.620003,732200,111.280264
2016-09-23,112.459999,112.889999,112.150002,112.150002,799800,111.808649
