Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,9.45,9.48,9.24,9.47,515400,9.47
2016-11-11,9.44,9.50,9.26,9.42,1206800,9.42
2016-11-10,9.33,9.38,9.18,9.35,1057200,9.35
2016-11-09,8.70,9.35,8.70,9.34,1197500,9.34
2016-11-08,8.72,8.78,8.52,8.73,290700,8.73
2016-11-07,8.80,8.83,8.71,8.73,237800,8.73
2016-11-04,8.75,8.86,8.72,8.76,331500,8.76
2016-11-03,8.82,8.82,8.72,8.72,216500,8.72
2016-11-02,8.83,8.92,8.71,8.78,202100,8.78
2016-11-01,8.88,8.93,8.74,8.80,380200,8.80
2016-10-31,8.67,9.28,8.51,8.79,787700,8.79
2016-10-28,8.74,8.74,8.59,8.67,324300,8.67
2016-10-27,8.71,8.89,8.69,8.70,183500,8.70
2016-10-26,8.59,8.74,8.50,8.67,247400,8.67
2016-10-25,8.85,8.93,8.49,8.62,480900,8.62
2016-10-24,8.87,8.95,8.84,8.90,286300,8.90
2016-10-21,8.85,9.03,8.75,8.87,766000,8.87
2016-10-20,8.52,8.59,8.43,8.49,385300,8.49
2016-10-19,8.46,8.56,8.36,8.50,605400,8.50
2016-10-18,8.55,8.56,8.44,8.46,351200,8.46
2016-10-17,8.43,8.54,8.34,8.51,258900,8.51
2016-10-14,8.34,8.47,8.28,8.46,272700,8.46
2016-10-13,8.10,8.57,8.04,8.33,819200,8.33
2016-10-12,8.12,8.24,8.02,8.11,144400,8.11
2016-10-11,8.16,8.21,8.09,8.12,176100,8.12
2016-10-10,8.02,8.22,7.99,8.17,166900,8.17
2016-10-07,8.05,8.15,7.99,8.01,124100,8.01
2016-10-06,8.04,8.07,7.96,8.05,173500,8.05
2016-10-05,7.99,8.18,7.95,8.10,261600,8.10
2016-10-04,8.23,8.27,7.88,7.95,358100,7.95
2016-10-03,7.96,8.34,7.96,8.24,451700,8.24
2016-09-30,7.85,7.99,7.83,7.95,367300,7.95
2016-09-29,7.97,8.04,7.81,7.82,318500,7.82
2016-09-28,8.08,8.13,7.95,8.03,384700,8.03
2016-09-27,7.74,8.12,7.74,8.04,423000,8.04
2016-09-26,7.58,7.86,7.56,7.71,669900,7.71
2016-09-23,7.60,7.62,7.54,7.58,291500,7.58
2016-09-22,7.60,7.68,7.56,7.64,433300,7.64
2016-09-21,7.92,8.09,7.51,7.56,721600,7.56
2016-09-20,8.00,8.07,7.90,7.91,1057900,7.91
2016-09-19,8.00,8.02,7.94,7.98,511800,7.98
2016-09-16,8.11,8.11,7.90,7.95,1205200,7.95
2016-09-15,7.90,8.14,7.90,8.08,606700,8.08
2016-09-14,8.13,8.17,7.88,7.90,1095700,7.90
2016-09-13,8.39,8.40,8.10,8.12,1371800,8.12
2016-09-12,7.98,8.40,7.98,8.39,994800,8.39
2016-09-09,8.10,8.45,8.10,8.35,749800,8.35
2016-09-08,8.58,8.66,8.11,8.25,1246900,8.25
2016-09-07,8.89,8.93,8.57,8.61,1437500,8.61
2016-09-06,8.88,8.96,8.87,8.89,268800,8.89
2016-09-02,8.88,8.91,8.86,8.90,147500,8.90
2016-09-01,8.87,8.95,8.86,8.89,420700,8.89
2016-08-31,8.89,8.90,8.85,8.87,624900,8.87
2016-08-30,8.86,8.90,8.84,8.88,310700,8.88
2016-08-29,8.84,8.90,8.82,8.86,299900,8.86
2016-08-26,8.86,8.88,8.81,8.83,462300,8.83
2016-08-25,8.90,8.92,8.85,8.87,437200,8.87
2016-08-24,8.91,8.92,8.84,8.90,289700,8.90
2016-08-23,8.91,8.95,8.90,8.90,281300,8.90
2016-08-22,8.93,8.98,8.88,8.89,160900,8.89
2016-08-19,8.93,8.96,8.89,8.93,424400,8.93
2016-08-18,8.97,8.97,8.90,8.95,508900,8.95
2016-08-17,8.98,9.01,8.90,8.90,738400,8.90
2016-08-16,9.02,9.03,8.96,8.99,398000,8.99
2016-08-15,9.02,9.05,8.99,9.03,208300,9.03
2016-08-12,9.02,9.04,8.98,9.04,162500,9.04
2016-08-11,8.97,9.04,8.97,9.03,454700,9.03
2016-08-10,8.98,9.04,8.92,8.96,429000,8.96
2016-08-09,8.98,9.01,8.93,8.96,243900,8.96
2016-08-08,8.91,8.99,8.91,8.98,248500,8.98
2016-08-05,8.95,9.01,8.93,8.95,296500,8.95
2016-08-04,8.96,8.97,8.92,8.94,288900,8.94
2016-08-03,8.93,9.00,8.92,8.95,531200,8.95
2016-08-02,8.97,9.01,8.92,8.93,379200,8.93
