Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,17.25,18.00,17.08,17.77,3259200,17.77
2016-11-11,16.780001,17.09,16.02,16.99,3100000,16.99
2016-11-10,16.25,17.17,16.25,16.66,5407600,16.66
2016-11-09,15.16,16.129999,15.04,15.84,4413100,15.84
2016-11-08,14.23,14.87,14.11,14.62,1394600,14.62
2016-11-07,14.55,14.62,14.14,14.36,1646000,14.36
2016-11-04,13.31,14.34,13.29,14.15,2305700,14.15
2016-11-03,13.27,13.56,13.16,13.40,2060600,13.40
2016-11-02,13.22,13.55,13.15,13.16,1441100,13.16
2016-11-01,13.77,13.86,13.15,13.37,2384300,13.37
2016-10-31,13.64,13.87,13.42,13.64,1826100,13.64
2016-10-28,13.37,14.00,13.35,13.61,2036500,13.61
2016-10-27,14.27,14.27,13.43,13.47,3543100,13.47
2016-10-26,15.01,15.01,13.89,14.27,5790300,14.27
2016-10-25,16.77,17.299999,14.90,15.12,8849700,15.12
2016-10-24,18.049999,18.549999,17.719999,17.799999,2203700,17.799999
2016-10-21,17.540001,17.83,17.209999,17.77,1388800,17.77
2016-10-20,17.530001,18.08,17.07,17.790001,1966800,17.790001
2016-10-19,17.00,17.790001,16.90,17.74,1506100,17.74
2016-10-18,17.25,17.370001,16.67,16.92,703600,16.92
2016-10-17,16.51,16.950001,16.50,16.790001,1015300,16.790001
2016-10-14,16.889999,17.09,16.43,16.440001,931900,16.440001
2016-10-13,16.719999,16.74,16.139999,16.65,2022700,16.65
2016-10-12,17.110001,17.469999,17.059999,17.17,1178700,17.17
2016-10-11,17.67,17.67,17.01,17.17,2345300,17.17
2016-10-10,17.870001,18.26,17.780001,17.83,1595400,17.83
2016-10-07,18.32,18.42,17.290001,17.610001,2215100,17.610001
2016-10-06,17.799999,18.209999,17.709999,18.15,1032300,18.15
2016-10-05,17.43,18.120001,17.290001,17.889999,1657000,17.889999
2016-10-04,17.74,17.76,17.190001,17.200001,1849400,17.200001
2016-10-03,18.280001,18.35,17.549999,17.77,1871000,17.77
2016-09-30,18.110001,18.209999,17.700001,18.07,1776000,18.07
2016-09-29,18.030001,18.24,17.690001,17.84,1877100,17.84
2016-09-28,17.50,18.07,17.49,18.07,2396900,18.07
2016-09-27,17.18,17.440001,16.85,17.379999,1977900,17.379999
2016-09-26,17.43,17.65,17.25,17.48,2911100,17.48
2016-09-23,17.549999,17.93,17.48,17.549999,1540600,17.549999
2016-09-22,17.75,18.07,17.65,17.67,2534300,17.67
2016-09-21,16.75,17.459999,16.75,17.43,2918500,17.43
2016-09-20,16.49,16.74,16.129999,16.60,2830900,16.60
2016-09-19,16.00,16.639999,16.00,16.32,2521500,16.32
2016-09-16,15.78,15.89,15.62,15.77,2548400,15.77
2016-09-15,15.93,16.129999,15.74,15.94,2263000,15.94
2016-09-14,15.70,16.139999,15.49,15.93,2871500,15.93
2016-09-13,16.23,16.23,15.31,15.66,4579700,15.66
2016-09-12,15.85,16.84,15.70,16.700001,3638300,16.700001
2016-09-09,17.68,17.709999,16.16,16.16,4880200,16.16
2016-09-08,18.01,18.09,17.690001,17.950001,2377600,17.950001
2016-09-07,17.950001,18.07,17.74,18.00,2460500,18.00
2016-09-06,17.139999,18.059999,17.09,18.040001,3069600,18.040001
2016-09-02,17.17,17.42,16.790001,17.040001,2287600,17.040001
2016-09-01,17.10,17.139999,16.610001,16.90,2972400,16.90
2016-08-31,17.32,17.57,16.959999,17.059999,2915400,17.059999
2016-08-30,18.299999,18.469999,17.52,17.60,2672200,17.60
2016-08-29,17.110001,18.540001,16.92,18.50,4246700,18.50
2016-08-26,17.00,17.27,16.549999,16.65,2438700,16.65
2016-08-25,16.540001,17.120001,16.540001,16.809999,2925300,16.809999
2016-08-24,17.51,17.57,16.57,16.59,2257900,16.59
2016-08-23,17.799999,18.02,17.639999,17.66,1546000,17.66
2016-08-22,17.10,17.629999,17.07,17.60,1440800,17.60
2016-08-19,17.58,17.59,17.16,17.360001,1276500,17.360001
2016-08-18,17.950001,17.969999,17.610001,17.83,1420200,17.83
2016-08-17,17.540001,17.959999,17.27,17.77,1585400,17.77
2016-08-16,18.030001,18.049999,17.59,17.690001,1416600,17.690001
2016-08-15,17.299999,18.07,17.25,17.99,2649500,17.91
2016-08-12,17.51,17.65,17.01,17.129999,1739600,17.053823
2016-08-11,16.99,17.67,16.82,17.58,2443900,17.501823
2016-08-10,17.200001,17.459999,16.83,17.00,1725500,16.924402
2016-08-09,17.15,17.309999,16.98,17.059999,2051600,16.984135
2016-08-08,17.41,17.610001,17.219999,17.24,1291200,17.163335
2016-08-05,17.34,17.68,17.17,17.25,2001100,17.173291
2016-08-04,17.66,17.66,16.99,17.26,1238000,17.183246
2016-08-03,16.959999,17.92,16.540001,17.67,4366800,17.591423
2016-08-02,17.40,17.610001,16.83,17.030001,1389800,16.95427
2016-08-01,17.74,17.790001,17.280001,17.440001,1490900,17.362446
2016-07-29,17.870001,18.07,17.530001,17.809999,1925300,17.7308
2016-07-28,18.09,18.32,17.629999,17.90,3619100,17.8204
2016-07-27,18.290001,18.67,17.719999,17.959999,7211900,17.880132
2016-07-26,15.59,18.139999,14.85,17.98,6297900,17.900044
2016-07-25,15.01,15.37,14.95,15.13,2141800,15.062718
2016-07-22,14.90,15.15,14.69,15.12,1753100,15.052762
2016-07-21,14.96,15.45,14.78,14.98,2004200,14.913385
2016-07-20,14.32,14.94,14.11,14.76,2274300,14.694364
2016-07-19,14.93,15.02,14.36,14.55,2110400,14.485297
2016-07-18,15.44,15.51,14.95,15.10,2628500,15.032852
2016-07-15,15.30,15.65,15.10,15.63,4135600,15.560495
2016-07-14,15.01,15.57,15.01,15.38,3285800,15.311606
2016-07-13,15.20,15.25,14.47,15.01,2990300,14.943252
2016-07-12,14.85,15.36,14.37,15.05,5665100,14.983074
2016-07-11,13.90,14.58,13.88,14.47,3158100,14.405653
2016-07-08,13.37,13.91,13.26,13.66,3086800,13.599255
2016-07-07,12.76,13.47,12.74,13.10,2531800,13.041746
2016-07-06,12.43,12.80,12.27,12.71,2448800,12.65348
2016-07-05,13.37,13.44,12.47,12.69,1906200,12.633568
2016-07-01,12.73,13.57,12.71,13.48,3165600,13.420055
2016-06-30,12.31,12.77,12.10,12.75,2501700,12.693302
2016-06-29,12.29,12.36,11.93,12.08,1982100,12.026281
2016-06-28,11.83,12.08,11.55,11.95,2864700,11.896859
2016-06-27,12.25,12.30,11.33,11.56,3692100,11.508594
2016-06-24,13.28,13.56,12.25,12.43,13268000,12.374725
2016-06-23,13.80,14.24,13.55,14.21,2348400,14.146809
2016-06-22,13.73,14.02,13.28,13.37,2313000,13.310545
2016-06-21,13.91,13.93,13.31,13.58,2045300,13.519611
2016-06-20,13.81,14.15,13.76,13.94,1986200,13.878009
2016-06-17,13.55,13.99,13.47,13.57,4024800,13.509655
2016-06-16,13.24,13.44,12.77,13.43,2066200,13.370278
2016-06-15,13.25,13.66,13.14,13.37,2037400,13.310545
2016-06-14,13.12,13.52,12.80,13.08,2342300,13.021834
2016-06-13,13.45,13.77,13.27,13.29,2130600,13.2309
2016-06-10,13.40,13.73,13.13,13.44,3324800,13.380233
2016-06-09,13.79,13.85,13.31,13.67,2738900,13.609211
2016-06-08,13.94,14.17,13.85,14.07,4384600,14.007431
2016-06-07,13.44,13.88,13.35,13.60,2287200,13.539522
2016-06-06,13.13,13.66,13.13,13.59,2773300,13.529566
2016-06-03,12.76,13.12,12.60,13.05,2856100,12.991968
2016-06-02,12.05,12.57,12.01,12.56,1892800,12.504147
2016-06-01,12.18,12.36,11.78,12.19,2640800,12.135792
2016-05-31,12.26,12.64,12.23,12.38,3138500,12.324947
2016-05-27,12.15,12.33,12.00,12.22,2497100,12.165659
2016-05-26,12.28,12.39,12.03,12.15,4211300,12.095969
2016-05-25,11.70,12.07,11.70,11.98,4073100,11.926725
2016-05-24,11.70,11.89,11.53,11.62,3912800,11.488682
2016-05-23,11.52,11.80,11.41,11.76,6309700,11.627101
2016-05-20,11.40,11.44,11.06,11.23,4188800,11.10309
2016-05-19,11.35,11.48,10.93,11.25,10723300,11.122864
2016-05-18,12.45,13.06,11.50,11.56,17637400,11.429361
2016-05-17,14.39,14.58,13.85,14.17,1744800,14.009865
2016-05-16,14.58,15.01,14.13,14.17,2638800,14.009865
2016-05-13,14.20,14.73,14.05,14.16,1351100,13.999978
2016-05-12,14.79,14.95,14.15,14.32,1921000,14.15817
2016-05-11,14.90,15.03,14.50,14.65,1747900,14.48444
2016-05-10,14.35,14.85,14.18,14.85,1583700,14.682181
2016-05-09,15.08,15.08,13.95,14.15,2193400,13.990091
2016-05-06,15.04,15.89,14.82,15.56,1404600,15.384157
2016-05-05,15.76,15.88,14.98,15.10,1710900,14.929356
2016-05-04,15.18,15.86,14.95,15.44,2165900,15.265512
2016-05-03,16.08,16.08,15.19,15.48,2389800,15.30506
2016-05-02,16.299999,16.559999,15.85,16.41,2384600,16.224551
2016-04-29,16.709999,17.129999,16.129999,16.34,2040300,16.155342
2016-04-28,16.65,17.190001,16.32,16.459999,2678500,16.273985
2016-04-27,16.65,17.10,16.299999,16.65,2768100,16.461838
2016-04-26,15.83,16.82,14.80,16.75,5229400,16.560709
2016-04-25,17.41,17.559999,16.43,16.74,2129500,16.550821
2016-04-22,17.469999,18.030001,17.35,17.610001,1607600,17.41099
2016-04-21,17.780001,17.99,17.309999,17.50,2164500,17.302233
2016-04-20,17.709999,17.92,17.360001,17.690001,1759500,17.490086
2016-04-19,17.299999,18.02,17.219999,17.65,2031000,17.450537
2016-04-18,16.60,17.200001,16.15,16.879999,1826100,16.689239
2016-04-15,16.610001,17.07,16.51,16.889999,1630600,16.699126
2016-04-14,16.620001,16.969999,16.26,16.85,1970800,16.659579
2016-04-13,15.91,16.76,15.73,16.530001,2323400,16.343195
2016-04-12,15.40,15.72,14.87,15.46,2232200,15.285287
2016-04-11,15.41,15.71,15.34,15.47,1421700,15.295174
2016-04-08,14.84,15.33,14.75,15.12,2240700,14.949129
2016-04-07,14.59,14.85,14.25,14.39,1754400,14.227379
2016-04-06,14.67,15.04,14.26,14.72,2792500,14.55365
2016-04-05,14.64,15.17,14.44,14.78,2580900,14.612971
2016-04-04,15.54,15.88,15.07,15.19,2550800,15.018338
2016-04-01,16.15,16.41,15.69,16.379999,1462700,16.194889
2016-03-31,16.85,17.00,16.059999,16.299999,1784700,16.115793
2016-03-30,16.42,17.040001,16.209999,16.799999,1773300,16.610143
2016-03-29,15.72,16.190001,15.02,16.190001,2061700,16.007038
2016-03-28,16.26,16.43,15.63,16.200001,1129300,16.016925
2016-03-24,15.56,16.200001,15.36,16.200001,1500300,16.016925
2016-03-23,17.26,17.32,15.67,15.84,2591200,15.660993
2016-03-22,17.280001,17.629999,17.110001,17.57,1652500,17.371441
2016-03-21,17.18,17.60,16.969999,17.540001,1649900,17.341782
2016-03-18,17.68,18.379999,16.99,17.25,4462900,17.055058
2016-03-17,16.49,17.860001,15.77,17.389999,3893000,17.193475
2016-03-16,15.44,16.32,14.94,16.309999,2353100,16.12568
2016-03-15,15.20,15.78,14.77,15.44,1742000,15.265512
2016-03-14,15.80,16.50,15.05,15.77,2797900,15.591784
2016-03-11,16.469999,16.75,16.02,16.07,2343500,15.888393
2016-03-10,15.89,16.41,15.34,16.309999,2560400,16.12568
2016-03-09,16.450001,16.74,15.44,15.84,2122900,15.660993
2016-03-08,16.48,16.76,15.91,16.40,3096800,16.135568
2016-03-07,15.88,16.879999,15.50,16.879999,3139700,16.607828
2016-03-04,15.51,16.389999,15.03,15.58,3518200,15.32879
2016-03-03,15.27,15.49,14.80,15.29,3953200,15.043466
2016-03-02,13.79,15.36,13.69,15.35,3816000,15.102499
2016-03-01,13.66,13.87,13.38,13.69,2739200,13.469264
2016-02-29,12.57,13.59,12.53,13.41,3308600,13.193778
2016-02-26,11.98,12.60,11.95,12.32,2181100,12.121353
2016-02-25,11.81,12.11,11.41,11.78,2164700,11.59006
2016-02-24,11.65,11.90,10.81,11.81,2403500,11.619577
2016-02-23,12.26,12.45,11.76,11.94,1953000,11.74748
