Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,70.800003,72.68,70.629997,72.419998,8026400,72.419998
2016-11-11,69.970001,70.589996,69.650002,70.50,4642300,70.50
2016-11-10,69.239998,70.400002,69.050003,70.110001,9418700,70.110001
2016-11-09,67.160004,69.00,67.059998,68.739998,9191700,68.739998
2016-11-08,66.790001,67.260002,66.309998,67.07,3947700,67.07
2016-11-07,66.849998,67.330002,66.650002,67.00,4012100,67.00
2016-11-04,65.50,66.080002,65.029999,65.510002,3429900,65.510002
2016-11-03,65.529999,65.760002,65.040001,65.330002,3796500,65.330002
2016-11-02,65.760002,66.029999,65.139999,65.449997,3659000,65.449997
2016-11-01,66.769997,66.809998,65.730003,66.25,3761600,66.25
2016-10-31,66.809998,66.830002,66.309998,66.419998,3233400,66.419998
2016-10-28,67.150002,67.220001,66.300003,66.449997,4994500,66.449997
2016-10-27,67.00,67.220001,66.43,66.93,4751300,66.93
2016-10-26,66.50,67.07,66.139999,66.800003,3621800,66.800003
2016-10-25,66.93,67.379997,66.610001,66.739998,3882300,66.739998
2016-10-24,67.690002,67.93,67.07,67.089996,5174000,67.089996
2016-10-21,66.449997,67.589996,66.400002,67.360001,8561200,67.360001
2016-10-20,65.339996,67.779999,64.75,66.779999,25870700,66.779999
2016-10-19,60.419998,61.68,60.27,61.25,7888500,61.25
2016-10-18,60.52,60.57,59.880001,60.080002,3416600,60.080002
2016-10-17,60.27,60.419998,59.779999,59.900002,3903900,59.900002
2016-10-14,61.009998,61.200001,60.099998,60.150002,4963800,60.150002
2016-10-13,60.23,60.560001,59.50,60.41,4220500,60.41
2016-10-12,60.82,61.049999,60.580002,60.689999,3293800,60.689999
2016-10-11,61.529999,61.700001,60.549999,60.860001,3926500,60.860001
2016-10-10,62.150002,62.490002,61.869999,61.900002,2522900,61.900002
2016-10-07,62.110001,62.27,61.48,61.759998,4217400,61.759998
2016-10-06,63.560001,63.68,61.759998,61.939999,7975900,61.939999
2016-10-05,63.77,64.529999,63.689999,64.360001,3345000,64.360001
2016-10-04,63.84,64.379997,63.709999,63.91,3709400,63.590001
2016-10-03,63.830002,64.050003,63.540001,63.810001,2770000,63.490503
2016-09-30,63.779999,64.370003,63.630001,64.040001,4307000,63.719351
2016-09-29,64.209999,64.809998,62.959999,63.369999,4132500,63.052704
2016-09-28,64.269997,64.50,63.73,64.220001,3580100,63.89845
2016-09-27,63.93,64.419998,63.580002,64.279999,3916300,63.958147
2016-09-26,63.439999,64.129997,62.849998,63.419998,6946600,63.102452
2016-09-23,64.510002,64.830002,63.790001,63.849998,5083900,63.5303
2016-09-22,64.349998,65.080002,64.330002,64.629997,3213700,64.306393
2016-09-21,63.990002,64.50,63.720001,64.279999,3849300,63.958147
2016-09-20,64.519997,64.639999,63.700001,63.720001,2927600,63.400953
2016-09-19,63.959999,64.580002,63.669998,64.059998,3388600,63.739247
2016-09-16,63.369999,63.950001,63.16,63.66,10475800,63.341252
2016-09-15,63.400002,64.169998,63.259998,63.830002,4634300,63.510403
2016-09-14,64.360001,64.360001,63.34,63.48,5403300,63.162153
2016-09-13,65.220001,65.32,64.040001,64.360001,5620300,64.037748
2016-09-12,64.720001,66.089996,64.139999,65.900002,4923200,65.570038
2016-09-09,65.739998,66.019997,65.120003,65.120003,5144900,64.793945
2016-09-08,66.150002,66.709999,66.050003,66.239998,4078900,65.908332
2016-09-07,65.489998,66.199997,65.309998,66.190002,3200700,65.858587
2016-09-06,65.160004,65.769997,65.050003,65.760002,3956400,65.43074
2016-09-02,65.059998,65.669998,64.860001,65.190002,3131700,64.863594
2016-09-01,65.550003,65.639999,64.419998,64.860001,3657700,64.535245
2016-08-31,65.470001,65.720001,64.860001,65.580002,4783600,65.251641
2016-08-30,65.769997,65.970001,65.099998,65.449997,3775800,65.122287
2016-08-29,65.00,65.769997,64.800003,65.519997,4173800,65.191936
2016-08-26,65.269997,65.489998,64.519997,64.790001,3623600,64.465596
