Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,38.560001,40.279999,38.560001,39.939999,9172900,39.939999
2016-11-11,38.689999,39.07,37.650002,38.360001,14521700,38.360001
2016-11-10,39.16,40.07,39.150002,39.98,6318000,39.98
2016-11-09,37.389999,38.700001,37.099998,38.509998,6451200,38.509998
2016-11-08,37.869999,38.439999,37.869999,37.990002,6102400,37.990002
2016-11-07,38.709999,39.18,38.700001,39.07,3406600,39.07
2016-11-04,38.209999,38.84,37.84,38.189999,2862400,38.189999
2016-11-03,38.349998,38.75,37.970001,38.110001,5647500,38.110001
2016-11-02,38.34,38.869999,38.16,38.389999,3406400,38.389999
2016-11-01,38.93,39.09,38.360001,38.669998,2919900,38.669998
2016-10-31,38.779999,39.209999,38.669998,38.91,2903400,38.91
2016-10-28,38.439999,39.299999,38.439999,38.779999,3985200,38.779999
2016-10-27,39.400002,39.41,38.360001,38.48,3697600,38.48
2016-10-26,39.040001,39.50,38.799999,39.290001,2526300,39.290001
2016-10-25,39.34,39.50,38.759998,39.259998,3581900,39.259998
2016-10-24,39.66,39.779999,39.200001,39.459999,2491800,39.459999
2016-10-21,39.290001,39.630001,39.18,39.459999,2241500,39.459999
2016-10-20,39.459999,39.889999,39.400002,39.48,3167200,39.48
2016-10-19,39.619999,39.650002,39.00,39.549999,3616200,39.549999
2016-10-18,39.77,39.939999,39.349998,39.419998,3410400,39.419998
2016-10-17,39.16,40.099998,38.720001,39.470001,5257400,39.470001
2016-10-14,39.82,40.209999,39.290001,39.310001,4653100,39.310001
2016-10-13,39.450001,39.98,38.759998,39.830002,6619900,39.830002
2016-10-12,38.84,39.98,38.639999,39.77,6872500,39.77
2016-10-11,38.799999,39.029999,38.299999,38.330002,3879100,38.330002
2016-10-10,39.18,39.59,38.700001,38.91,3556300,38.91
2016-10-07,38.43,39.25,38.200001,38.900002,6886300,38.900002
2016-10-06,37.73,38.279999,37.619999,38.18,3664500,38.18
2016-10-05,38.119999,38.380001,37.889999,37.889999,3638000,37.889999
2016-10-04,38.18,38.720001,37.889999,37.98,2855000,37.98
2016-10-03,38.150002,38.549999,37.869999,38.18,3608500,38.18
2016-09-30,37.66,38.439999,37.509998,38.18,4877900,38.18
2016-09-29,37.720001,38.07,37.380001,37.41,3202200,37.41
2016-09-28,38.25,38.25,37.450001,37.68,4270600,37.68
2016-09-27,37.650002,38.32,37.599998,38.25,3482900,38.25
2016-09-26,37.84,37.98,37.450001,37.509998,4475700,37.509998
2016-09-23,38.32,38.77,37.880001,37.990002,3930200,37.990002
2016-09-22,38.459999,38.869999,38.349998,38.470001,3784500,38.470001
2016-09-21,38.09,38.279999,37.73,38.27,2954700,38.27
2016-09-20,38.209999,38.380001,37.77,37.82,3642400,37.82
2016-09-19,38.099998,38.450001,38.029999,38.139999,5646600,38.139999
2016-09-16,37.66,38.080002,37.470001,38.00,5390000,38.00
2016-09-15,37.48,37.959999,37.220001,37.68,4548700,37.68
2016-09-14,37.50,38.040001,37.220001,37.66,5912900,37.66
2016-09-13,37.200001,38.02,37.110001,37.470001,6179700,37.470001
2016-09-12,36.639999,37.459999,36.509998,37.290001,5764000,37.290001
2016-09-09,37.27,37.73,36.869999,36.869999,5065900,36.869999
2016-09-08,38.439999,38.50,37.810001,37.919998,6200300,37.639999
2016-09-07,38.310001,38.639999,38.169998,38.59,5915200,38.305054
2016-09-06,38.650002,38.810001,38.049999,38.240002,4069300,37.95764
2016-09-02,38.540001,39.259998,38.310001,38.75,3621500,38.463872
2016-09-01,38.560001,38.779999,37.970001,38.540001,5317400,38.255424
2016-08-31,38.93,39.060001,38.23,38.48,6064200,38.195865
2016-08-30,39.02,39.310001,38.900002,38.900002,3772900,38.612766
2016-08-29,39.459999,39.509998,38.869999,39.02,5674600,38.731879
2016-08-26,39.720001,39.779999,39.240002,39.48,5539000,39.188481
2016-08-25,38.990002,39.59,38.669998,39.509998,7799600,39.218259
2016-08-24,39.200001,40.580002,38.970001,39.50,20954200,39.208334
2016-08-23,38.360001,39.360001,37.66,39.23,40482300,38.940327
2016-08-22,32.630001,33.599998,32.48,32.799999,11426900,32.557806
2016-08-19,32.84,32.860001,32.200001,32.59,7096400,32.349357
2016-08-18,33.50,33.59,32.950001,33.200001,5328600,32.954854
2016-08-17,33.470001,33.68,32.799999,33.299999,6475300,33.054114
2016-08-16,34.50,34.580002,34.259998,34.310001,2948200,34.056658
2016-08-15,34.220001,34.970001,34.099998,34.509998,4798200,34.255178
2016-08-12,34.470001,35.459999,34.259998,34.869999,6463000,34.612521
2016-08-11,34.200001,34.779999,34.09,34.619999,4739800,34.364367
2016-08-10,33.75,34.040001,33.59,33.73,3293900,33.480939
2016-08-09,34.119999,34.290001,33.529999,33.560001,3996600,33.312196
2016-08-08,34.349998,34.59,34.110001,34.139999,3387600,33.887912
2016-08-05,33.66,34.259998,33.610001,34.25,4218300,33.9971
2016-08-04,33.400002,33.860001,33.189999,33.450001,2722100,33.203008
2016-08-03,32.650002,33.470001,32.02,33.41,4113500,33.163302
2016-08-02,33.50,33.50,32.549999,32.860001,4718800,32.617364
2016-08-01,33.41,33.599998,33.080002,33.470001,3653300,33.222861
2016-07-29,33.240002,33.630001,33.029999,33.599998,3931300,33.351898
2016-07-28,33.07,33.400002,32.619999,33.279999,4539700,33.034261
2016-07-27,32.84,33.32,32.689999,33.139999,4917600,32.895296
2016-07-26,32.50,33.27,32.50,33.189999,4998300,32.944926
2016-07-25,32.139999,32.509998,31.969999,32.470001,3277400,32.230245
2016-07-22,32.150002,32.470001,31.91,32.139999,3515000,31.902679
2016-07-21,31.84,32.630001,31.709999,32.279999,4654200,32.041645
2016-07-20,31.809999,31.969999,31.700001,31.790001,2580500,31.555265
2016-07-19,31.959999,32.029999,31.57,31.690001,2901100,31.456003
2016-07-18,31.51,32.150002,31.49,31.98,3220600,31.743861
2016-07-15,31.82,31.82,31.01,31.379999,4086200,31.148291
2016-07-14,31.67,31.93,31.49,31.76,4721300,31.525486
2016-07-13,31.540001,31.77,30.940001,31.40,5332200,31.168144
2016-07-12,31.52,32.00,31.49,31.530001,3937200,31.297185
2016-07-11,30.969999,31.530001,30.969999,31.25,2787300,31.019252
2016-07-08,30.969999,31.209999,30.700001,30.950001,3696500,30.721468
2016-07-07,30.51,30.790001,30.42,30.60,3290300,30.374052
2016-07-06,30.139999,30.639999,29.790001,30.629999,4961300,30.403829
2016-07-05,31.23,31.459999,30.15,30.360001,4923700,30.135824
2016-07-01,30.66,31.639999,30.66,31.360001,4114900,31.12844
2016-06-30,30.49,30.809999,30.17,30.60,3588700,30.374052
2016-06-29,30.51,30.74,30.200001,30.50,4960900,30.27479
2016-06-28,29.629999,30.27,29.51,30.02,3910300,29.798334
2016-06-27,29.959999,30.10,29.049999,29.370001,3964200,29.153134
2016-06-24,29.65,30.35,29.50,30.15,4192800,29.927374
2016-06-23,30.360001,30.889999,30.26,30.43,3339500,30.205307
2016-06-22,30.07,30.23,29.91,30.049999,3588000,29.828112
2016-06-21,30.459999,30.59,30.01,30.059999,4067200,29.838038
2016-06-20,30.639999,30.950001,30.35,30.379999,4227100,30.155675
2016-06-17,29.67,30.950001,29.540001,30.299999,7643100,30.076266
2016-06-16,29.18,29.84,28.940001,29.67,6010400,29.450918
2016-06-15,28.799999,29.85,28.76,29.34,7017800,29.123355
2016-06-14,29.290001,29.639999,28.799999,29.17,6143200,28.95461
2016-06-13,29.40,29.75,29.24,29.34,5908000,29.123355
2016-06-10,29.620001,29.66,28.879999,29.440001,6608200,29.222617
2016-06-09,31.33,31.35,30.040001,30.10,6128700,29.599811
2016-06-08,31.780001,31.799999,31.360001,31.42,3349000,30.897875
2016-06-07,31.450001,31.790001,31.200001,31.59,4843100,31.06505
2016-06-06,32.00,32.049999,30.76,31.33,8113100,30.809371
2016-06-03,32.360001,32.48,31.790001,32.349998,2876800,31.812419
2016-06-02,32.150002,32.68,32.049999,32.459999,3802100,31.920592
2016-06-01,32.169998,32.50,32.02,32.220001,3721900,31.684582
2016-05-31,32.23,32.360001,31.969999,32.169998,5005000,31.63541
2016-05-27,31.93,32.310001,31.879999,32.029999,4508400,31.497737
2016-05-26,32.349998,32.599998,31.790001,31.950001,6112700,31.419069
2016-05-25,30.299999,32.25,30.26,32.07,13456300,31.537073
2016-05-24,31.27,31.74,30.049999,30.549999,30027700,30.042332
2016-05-23,32.560001,33.220001,32.360001,33.00,9777500,32.451619
2016-05-20,31.50,32.41,31.50,32.34,4733800,31.802587
2016-05-19,30.799999,31.559999,30.77,31.530001,4937200,31.006048
2016-05-18,30.889999,31.25,30.35,30.75,7425200,30.239009
2016-05-17,31.74,32.66,31.610001,31.889999,4496500,31.360064
2016-05-16,30.93,31.99,30.92,31.719999,3891900,31.192889
2016-05-13,30.84,31.73,30.74,30.950001,4517300,30.435686
2016-05-12,31.690001,31.719999,30.85,31.25,4088400,30.7307
2016-05-11,32.689999,32.689999,31.450001,31.530001,4009000,31.006048
2016-05-10,32.709999,33.060001,32.240002,32.970001,3571100,32.422119
2016-05-09,32.02,32.740002,31.92,32.66,3305900,32.117269
2016-05-06,31.83,32.25,31.469999,31.98,2720400,31.448569
2016-05-05,31.34,31.700001,30.969999,31.610001,3478900,31.084718
2016-05-04,31.59,31.799999,31.190001,31.50,2980600,30.976546
2016-05-03,32.07,32.07,31.299999,31.74,3453300,31.212557
2016-05-02,32.290001,32.490002,31.60,32.27,3120500,31.733751
2016-04-29,32.59,32.709999,31.870001,32.080002,2898300,31.546909
2016-04-28,33.189999,33.43,32.57,32.650002,2501800,32.107437
2016-04-27,32.32,33.66,32.200001,33.48,4881800,32.923642
2016-04-26,32.560001,33.200001,32.529999,33.150002,2034500,32.599128
2016-04-25,32.98,33.060001,32.369999,32.470001,3209200,31.930428
2016-04-22,32.869999,33.380001,32.849998,33.220001,2052900,32.667965
2016-04-21,33.09,33.470001,32.84,32.860001,2898200,32.313946
2016-04-20,32.959999,33.369999,32.799999,33.119999,3474300,32.569624
2016-04-19,32.75,33.130001,32.669998,32.900002,2664200,32.353283
2016-04-18,32.279999,32.869999,32.279999,32.779999,2514200,32.235274
2016-04-15,32.349998,32.73,32.240002,32.400002,3869300,31.861591
2016-04-14,32.23,32.490002,31.93,32.330002,3501500,31.792755
2016-04-13,30.959999,32.200001,30.959999,32.16,5148800,31.625578
2016-04-12,30.620001,30.83,29.809999,30.82,4837400,30.307845
2016-04-11,30.10,30.84,30.10,30.540001,3557400,30.0325
2016-04-08,30.309999,30.540001,30.049999,30.110001,2811800,29.609645
2016-04-07,31.07,31.23,30.09,30.219999,4005800,29.717816
2016-04-06,31.15,31.23,30.879999,31.15,3437000,30.632362
2016-04-05,31.799999,31.91,31.200001,31.219999,3120700,30.701198
2016-04-04,32.150002,32.560001,31.889999,31.90,3586800,31.369898
2016-04-01,32.169998,32.380001,31.60,32.119999,4084300,31.586242
2016-03-31,31.93,32.98,31.92,32.439999,6364900,31.900924
2016-03-30,31.65,32.029999,31.40,31.57,3084800,31.045382
2016-03-29,31.719999,31.76,31.18,31.700001,4114500,31.173223
2016-03-28,31.290001,31.709999,31.24,31.379999,2851500,30.858539
2016-03-24,31.440001,31.66,31.01,31.290001,3007300,30.770036
2016-03-23,32.00,32.00,31.389999,31.42,2549800,30.897875
2016-03-22,32.25,32.299999,31.51,31.780001,3846500,31.251893
2016-03-21,32.360001,32.580002,32.049999,32.209999,3344300,31.674746
2016-03-18,32.349998,32.560001,32.16,32.52,7616700,31.979596
2016-03-17,31.860001,32.57,31.60,32.240002,7592500,31.70425
2016-03-16,31.780001,32.169998,31.629999,32.040001,5585000,31.507573
2016-03-15,32.560001,32.669998,31.700001,31.790001,7213300,31.261728
2016-03-14,33.830002,34.029999,33.360001,33.450001,6037600,32.176273
2016-03-11,34.580002,34.599998,33.82,34.119999,4985600,32.820759
2016-03-10,34.349998,34.450001,33.75,34.360001,4645600,33.051622
2016-03-09,34.34,34.439999,33.84,34.139999,3654400,32.839998
2016-03-08,34.529999,34.950001,33.75,34.040001,4936500,32.743807
2016-03-07,33.389999,34.599998,33.25,34.349998,3888400,33.042
2016-03-04,33.360001,33.970001,33.18,33.57,4125600,32.291703
2016-03-03,33.27,33.560001,32.709999,33.52,4396300,32.243608
2016-03-02,33.060001,33.240002,32.439999,33.099998,4226300,31.839599
2016-03-01,32.75,33.07,32.34,33.040001,4975500,31.781886
2016-02-29,32.50,32.830002,32.07,32.389999,4335000,31.156635
2016-02-26,32.119999,32.66,31.379999,32.450001,6971300,31.214352
2016-02-25,32.200001,32.459999,30.48,32.240002,10234800,31.012349
2016-02-24,30.27,31.59,29.389999,31.469999,8066900,30.271667
2016-02-23,30.969999,31.450001,30.67,30.92,5160500,29.742611
2016-02-22,30.040001,31.200001,30.040001,30.73,5461200,29.559846
2016-02-19,29.799999,30.27,29.35,29.950001,8596900,28.809548
2016-02-18,29.690001,30.91,29.58,30.75,6295300,29.579085
2016-02-17,29.799999,30.33,29.690001,30.049999,5140800,28.905739
2016-02-16,28.34,29.58,28.02,29.50,6455500,28.376683
2016-02-12,26.40,28.190001,26.10,28.120001,6537500,27.049232
2016-02-11,26.969999,27.40,26.719999,26.93,6681600,25.904545
2016-02-10,27.940001,28.200001,27.200001,27.299999,6427600,26.260455
2016-02-09,28.48,28.83,27.51,27.92,5332100,26.856847
2016-02-08,27.98,28.83,27.950001,28.620001,6393400,27.530193
2016-02-05,28.280001,28.66,27.77,28.200001,4411400,27.126186
2016-02-04,27.82,28.530001,27.50,28.360001,4899500,27.280093
2016-02-03,28.290001,28.450001,27.51,28.33,3926200,27.251235
2016-02-02,28.43,28.639999,27.92,28.309999,4024300,27.231996
2016-02-01,27.84,28.700001,27.66,28.57,4632600,27.482096
2016-01-29,27.200001,28.139999,27.17,27.93,5835100,26.866466
2016-01-28,27.34,27.559999,26.90,26.969999,5499800,25.943021
2016-01-27,27.959999,28.43,27.200001,27.27,5797500,26.231598
2016-01-26,27.139999,28.129999,27.02,28.040001,4160500,26.972278
2016-01-25,27.200001,27.43,26.92,27.07,5654300,26.039213
2016-01-22,27.68,28.00,27.07,27.27,4389200,26.231598
2016-01-21,26.610001,27.690001,26.459999,27.280001,6318800,26.241218
2016-01-20,25.700001,26.90,25.42,26.530001,7797100,25.519777
2016-01-19,27.049999,27.10,25.40,25.870001,10110500,24.884909
2016-01-15,25.35,27.360001,25.309999,27.110001,14996800,26.077691
2016-01-14,27.08,27.24,25.610001,26.43,20096900,25.423584
2016-01-13,30.15,30.32,29.09,29.26,6172500,28.145822
2016-01-12,29.610001,30.33,29.389999,30.129999,4754900,28.982693
2016-01-11,29.08,29.59,28.969999,29.43,5847700,28.309349
2016-01-08,29.74,29.780001,28.639999,28.950001,7062700,27.847627
2016-01-07,29.559999,30.67,29.379999,30.23,5962200,29.078885
2016-01-06,30.530001,30.73,29.74,29.950001,8342600,28.809548
2016-01-05,30.719999,31.200001,30.49,31.15,4731200,29.963853
2016-01-04,29.84,31.08,29.76,30.65,6343700,29.482892
2015-12-31,30.43,30.74,30.25,30.450001,2867600,29.290509
2015-12-30,30.82,31.129999,30.440001,30.459999,2162900,29.300127
2015-12-29,30.75,31.049999,30.59,30.75,2154400,29.579085
2015-12-28,30.52,30.709999,30.23,30.530001,2025000,29.367463
2015-12-24,30.530001,30.85,30.459999,30.50,1751200,29.338604
2015-12-23,30.27,30.870001,30.00,30.60,4454400,29.434797
2015-12-22,29.360001,30.43,29.299999,30.16,4545000,29.011551
2015-12-21,29.09,29.450001,28.879999,29.15,3343000,28.04001
2015-12-18,29.67,29.67,28.90,29.040001,8632400,27.9342
2015-12-17,30.67,30.780001,29.780001,29.799999,4969600,28.665259
2015-12-16,30.110001,30.790001,30.040001,30.700001,4302200,29.530989
2015-12-15,30.110001,30.42,29.799999,30.040001,4007000,28.896121
2015-12-14,29.98,30.440001,29.540001,29.90,3982600,28.761451
2015-12-11,29.98,30.299999,29.700001,29.790001,4482800,28.655641
2015-12-10,30.559999,30.85,30.23,30.32,3617400,29.165458
2015-12-09,30.58,31.459999,30.290001,30.52,4258300,29.357843
2015-12-08,30.48,31.360001,30.35,30.860001,3446600,29.684897
2015-12-07,31.00,31.15,30.360001,30.91,4475900,29.51175
2015-12-04,31.469999,31.51,30.889999,31.02,6543000,29.616774
2015-12-03,30.90,31.49,30.190001,31.299999,9806800,29.884107
2015-12-02,31.450001,31.629999,30.719999,30.90,4114600,29.502202
2015-12-01,31.83,31.889999,30.940001,31.370001,5506900,29.950942
2015-11-30,31.73,32.32,31.50,31.780001,5997100,30.342395
2015-11-27,32.09,32.16,31.450001,31.48,2834300,30.055965
2015-11-25,31.530001,32.220001,31.440001,31.950001,5396300,30.504705
2015-11-24,30.27,31.82,30.10,31.530001,6757300,30.103704
2015-11-23,30.459999,30.90,30.35,30.780001,5657200,29.387631
2015-11-20,31.059999,31.10,29.799999,30.51,9011500,29.129845
2015-11-19,29.209999,31.33,28.65,30.67,21695400,29.282607
2015-11-18,30.91,31.74,30.82,31.33,9614800,29.912751
2015-11-17,31.440001,31.450001,30.309999,30.709999,8426900,29.320796
2015-11-16,31.00,32.029999,30.83,31.629999,10742000,30.199179
2015-11-13,33.169998,33.75,31.540001,32.040001,11791300,30.590634
2015-11-12,34.25,34.529999,33.779999,33.990002,5624700,32.452424
2015-11-11,34.68,34.779999,34.209999,34.349998,5831800,32.796136
2015-11-10,35.25,35.549999,34.34,34.66,4301100,33.092114
2015-11-09,35.34,35.599998,35.009998,35.360001,4365200,33.76045
2015-11-06,34.880001,35.68,34.84,35.41,3209000,33.808187
2015-11-05,34.630001,35.040001,34.200001,35.02,3183300,33.43583
2015-11-04,35.599998,35.66,34.41,34.48,4800300,32.920256
2015-11-03,35.43,36.509998,35.360001,35.740002,3943600,34.123261
2015-11-02,35.139999,35.540001,34.919998,35.43,2299000,33.827283
2015-10-30,34.599998,35.200001,34.299999,35.029999,4199900,33.445376
2015-10-29,34.939999,35.09,34.27,34.459999,2851000,32.901161
2015-10-28,34.619999,34.93,34.349998,34.709999,3403500,33.139852
2015-10-27,34.75,34.950001,34.07,34.509998,2689600,32.948898
2015-10-26,35.18,35.360001,34.700001,34.75,3315700,33.178043
2015-10-23,35.529999,35.779999,35.09,35.200001,3807300,33.607688
2015-10-22,34.950001,35.450001,34.810001,35.16,2676000,33.569496
2015-10-21,35.470001,35.560001,34.759998,34.84,2054300,33.263972
2015-10-20,35.040001,35.549999,35.029999,35.310001,2426700,33.712712
2015-10-19,34.68,35.169998,34.599998,35.07,2629600,33.483567
2015-10-16,35.509998,35.540001,34.490002,34.700001,5262000,33.130306
2015-10-15,34.830002,35.490002,34.75,35.48,3432500,33.87502
2015-10-14,36.799999,37.00,34.740002,34.830002,6409900,33.254426
2015-10-13,37.009998,37.389999,36.939999,37.040001,2934400,35.364453
2015-10-12,37.009998,37.490002,36.889999,37.16,1888600,35.479024
2015-10-09,37.099998,37.16,36.619999,36.950001,2890500,35.278524
2015-10-08,37.209999,37.400002,36.599998,37.25,2520000,35.564953
2015-10-07,37.50,37.599998,37.099998,37.290001,3300800,35.603144
2015-10-06,37.720001,37.939999,36.990002,37.32,3404700,35.631786
2015-10-05,37.970001,38.119999,37.220001,37.68,4609300,35.975501
2015-10-02,36.689999,37.779999,36.540001,37.779999,2430700,36.070976
2015-10-01,37.25,37.279999,36.580002,37.16,3612400,35.479024
2015-09-30,36.450001,37.23,36.380001,37.119999,6084700,35.440832
2015-09-29,35.470001,36.07,35.32,35.970001,3986100,34.342856
2015-09-28,36.52,36.98,35.41,35.52,3292100,33.913212
2015-09-25,36.720001,37.099998,36.330002,36.529999,4980400,34.877522
2015-09-24,36.66,36.779999,36.32,36.610001,3657800,34.953904
2015-09-23,37.130001,37.189999,36.66,36.849998,2166600,35.183046
2015-09-22,37.25,37.389999,36.529999,36.970001,4064700,35.29762
2015-09-21,37.77,38.060001,37.310001,37.560001,4539300,35.860931
2015-09-18,37.880001,38.02,37.470001,37.529999,6652800,35.832285
2015-09-17,38.959999,39.099998,38.110001,38.23,3568700,36.500621
2015-09-16,38.50,39.00,38.220001,38.959999,3243100,37.197598
2015-09-15,38.389999,38.919998,38.310001,38.470001,5327500,36.729766
2015-09-14,38.049999,38.810001,37.990002,38.48,6146900,36.739312
2015-09-11,37.07,38.18,37.009998,38.009998,6799100,36.290572
2015-09-10,37.119999,37.709999,36.900002,37.32,4951600,35.412191
2015-09-09,37.990002,38.32,37.369999,37.52,6295500,35.601967
2015-09-08,37.220001,37.75,37.07,37.700001,5388100,35.772766
2015-09-04,36.349998,36.889999,36.25,36.619999,3870900,34.747974
2015-09-03,36.48,37.18,36.400002,36.720001,4598900,34.842864
2015-09-02,36.029999,36.43,35.630001,36.43,5380900,34.567688
2015-09-01,35.939999,36.41,35.189999,35.439999,5512200,33.628296
2015-08-31,35.939999,36.939999,35.830002,36.740002,7271500,34.861842
2015-08-28,35.709999,36.279999,35.669998,35.970001,4669800,34.131205
2015-08-27,35.759998,36.549999,35.049999,35.799999,9544600,33.969893
2015-08-26,33.93,35.279999,33.25,35.25,11551600,33.44801
2015-08-25,33.68,34.450001,32.919998,32.950001,21260800,31.265587
2015-08-24,28.799999,29.440001,28.32,29.27,8601900,27.77371
2015-08-21,30.959999,30.98,29.889999,30.18,7049300,28.63719
2015-08-20,31.700001,32.049999,31.41,31.43,4228600,29.82329
2015-08-19,32.27,32.43,31.799999,32.23,2691600,30.582393
2015-08-18,32.400002,32.759998,32.27,32.419998,2510700,30.762679
2015-08-17,32.52,32.779999,32.040001,32.380001,4700400,30.724726
2015-08-14,31.860001,32.73,31.75,32.639999,3846600,30.971433
2015-08-13,31.690001,32.00,31.50,31.709999,2196300,30.088975
2015-08-12,31.25,31.76,30.77,31.709999,2570900,30.088975
2015-08-11,31.049999,31.51,31.040001,31.48,2743100,29.870733
2015-08-10,31.049999,31.309999,30.889999,31.290001,3070000,29.690447
2015-08-07,31.219999,31.26,30.49,30.76,3400900,29.18754
2015-08-06,31.65,31.790001,31.00,31.110001,4445900,29.519649
2015-08-05,32.02,32.400002,31.98,32.00,2738500,30.364151
2015-08-04,31.950001,32.23,31.719999,31.959999,2820100,30.326195
2015-08-03,32.209999,32.369999,31.799999,31.969999,2852200,30.335684
2015-07-31,32.259998,32.450001,32.110001,32.290001,3505400,30.639327
2015-07-30,32.130001,32.310001,31.940001,32.119999,3124300,30.478016
2015-07-29,32.150002,32.290001,32.009998,32.119999,4180600,30.478016
2015-07-28,32.099998,32.299999,31.68,32.130001,3192900,30.487506
2015-07-27,32.099998,32.360001,31.92,32.060001,3092500,30.421085
2015-07-24,32.950001,33.02,32.389999,32.459999,2711300,30.800635
2015-07-23,33.02,33.209999,32.709999,32.860001,2797500,31.180188
2015-07-22,32.580002,33.040001,32.580002,33.040001,2892100,31.350987
2015-07-21,32.77,32.84,32.380001,32.73,4038300,31.056833
2015-07-20,32.639999,33.049999,32.330002,32.869999,5849200,31.189675
2015-07-17,33.57,33.650002,32.470001,32.880001,10217200,31.199166
2015-07-16,34.509998,35.34,34.349998,34.900002,3993800,33.115904
2015-07-15,34.48,34.509998,34.200001,34.419998,2482900,32.660438
2015-07-14,34.25,34.630001,34.110001,34.580002,3246100,32.812262
2015-07-13,34.32,34.419998,34.060001,34.360001,2800500,32.603508
2015-07-10,34.02,34.110001,33.869999,33.93,3801200,32.195489
2015-07-09,33.830002,34.00,33.52,33.669998,3100400,31.948778
2015-07-08,33.540001,33.740002,33.259998,33.52,2712900,31.806449
2015-07-07,33.490002,33.990002,32.990002,33.799999,4145400,32.072134
2015-07-06,32.970001,33.599998,32.91,33.330002,2177100,31.626163
