Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,213.559998,213.559998,203.630005,203.770004,858100,203.770004
2016-11-11,220.350006,220.860001,212.559998,213.240005,648600,213.240005
2016-11-10,222.169998,222.270004,217.970001,220.339996,550600,220.339996
2016-11-09,224.919998,224.919998,215.630005,218.949997,674400,218.949997
2016-11-08,220.460007,224.649994,218.839996,224.149994,439300,224.149994
2016-11-07,220.110001,221.619995,218.809998,220.619995,315000,220.619995
2016-11-04,217.979996,219.899994,217.059998,217.690002,405100,217.690002
2016-11-03,216.229996,219.529999,214.399994,217.130005,479400,217.130005
2016-11-02,215.100006,216.990005,214.479996,215.380005,651500,215.380005
2016-11-01,216.809998,217.229996,213.740005,214.740005,434800,214.740005
2016-10-31,214.949997,216.990005,213.00,216.679993,519700,216.679993
2016-10-28,210.259995,217.440002,209.460007,214.710007,658500,214.710007
2016-10-27,215.25,216.059998,210.009995,210.259995,729600,210.259995
2016-10-26,219.070007,220.309998,213.880005,214.949997,772400,214.949997
2016-10-25,219.380005,220.059998,214.889999,214.940002,572100,214.940002
2016-10-24,220.380005,221.100006,218.50,218.919998,404000,218.919998
2016-10-21,218.649994,219.589996,216.600006,219.380005,371200,219.380005
2016-10-20,220.389999,221.589996,219.669998,220.190002,251900,220.190002
2016-10-19,223.339996,223.539993,219.600006,220.470001,392300,220.210006
2016-10-18,220.529999,224.899994,220.529999,223.419998,369000,223.156524
2016-10-17,219.919998,219.919998,218.550003,219.039993,323900,218.781684
2016-10-14,219.410004,220.910004,219.00,219.800003,450800,219.540798
2016-10-13,217.089996,219.729996,215.880005,218.660004,580900,218.402143
2016-10-12,218.00,219.309998,217.279999,217.820007,536100,217.563137
2016-10-11,227.399994,227.399994,217.380005,217.759995,847000,217.503195
2016-10-10,223.630005,227.970001,223.00,227.449997,515300,227.18177
2016-10-07,222.869995,223.25,221.119995,222.970001,534500,222.707058
2016-10-06,221.089996,222.630005,219.580002,222.25,390100,221.987905
2016-10-05,221.75,222.149994,220.539993,221.360001,461600,221.098956
2016-10-04,223.429993,224.320007,220.009995,221.580002,460100,221.318697
2016-10-03,222.800003,224.029999,221.949997,223.770004,368700,223.506117
2016-09-30,224.589996,225.039993,221.949997,224.279999,610500,224.01551
2016-09-29,226.690002,227.259995,222.869995,223.740005,682800,223.476154
2016-09-28,228.559998,228.860001,226.320007,227.300003,459600,227.031953
2016-09-27,228.669998,229.009995,227.220001,228.589996,368100,228.320425
2016-09-26,228.779999,228.779999,227.009995,227.889999,463600,227.621254
2016-09-23,230.240005,230.990005,228.820007,229.910004,504100,229.638876
