Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,46.98,47.869999,46.959999,47.529999,9755600,47.529999
2016-11-11,46.040001,46.790001,45.919998,46.73,6423400,46.73
2016-11-10,45.990002,47.610001,45.57,46.209999,15596900,46.209999
2016-11-09,43.970001,45.75,43.950001,45.540001,13218100,45.540001
2016-11-08,43.880001,44.25,43.709999,43.880001,6064900,43.880001
2016-11-07,43.709999,44.040001,43.650002,44.029999,7234300,44.029999
2016-11-04,43.040001,43.27,42.759998,42.990002,6554000,42.990002
2016-11-03,43.169998,43.41,42.919998,43.040001,4872900,43.040001
2016-11-02,43.16,43.25,42.73,42.869999,5350800,42.869999
2016-11-01,43.450001,43.599998,42.93,43.400002,4664800,43.400002
2016-10-31,43.509998,43.799999,43.259998,43.27,5475000,43.27
2016-10-28,43.529999,43.779999,43.169998,43.50,5588000,43.50
2016-10-27,43.73,43.880001,43.299999,43.700001,8129200,43.510002
2016-10-26,43.16,43.73,43.130001,43.610001,6747500,43.420393
2016-10-25,43.279999,43.50,43.169998,43.400002,7746000,43.211307
2016-10-24,43.43,43.59,43.119999,43.41,9148100,43.221262
2016-10-21,42.02,43.16,41.93,43.049999,12004300,42.862826
2016-10-20,41.560001,42.34,41.48,42.25,14251100,42.066305
2016-10-19,40.330002,40.48,39.93,40.43,4790000,40.254219
2016-10-18,39.779999,40.099998,39.610001,40.029999,4206100,39.855956
2016-10-17,39.57,39.650002,39.189999,39.299999,3419200,39.129131
2016-10-14,39.57,39.82,39.369999,39.470001,4718800,39.298394
2016-10-13,39.740002,39.740002,38.68,39.09,5866300,38.920045
2016-10-12,40.040001,40.34,39.77,40.119999,4022200,39.945565
2016-10-11,40.599998,40.650002,39.779999,39.950001,4092900,39.776306
2016-10-10,40.889999,40.950001,40.630001,40.68,2933700,40.503132
2016-10-07,40.799999,40.970001,40.349998,40.57,4048400,40.393609
2016-10-06,40.900002,40.939999,40.459999,40.73,4367400,40.552914
2016-10-05,40.50,40.900002,40.380001,40.830002,5721900,40.652481
2016-10-04,39.830002,40.400002,39.630001,40.200001,6533300,40.025219
2016-10-03,39.779999,39.900002,39.52,39.689999,3666500,39.517434
2016-09-30,39.48,40.080002,39.299999,39.880001,8674700,39.706611
2016-09-29,39.50,39.900002,38.779999,39.060001,12859900,38.890176
2016-09-28,39.57,39.650002,39.310001,39.50,8115900,39.328262
2016-09-27,39.450001,39.639999,39.099998,39.50,8474000,39.328262
2016-09-26,39.830002,39.959999,39.43,39.549999,4418000,39.378044
2016-09-23,40.189999,40.549999,40.009998,40.200001,5712300,40.025219
2016-09-22,40.869999,40.900002,40.240002,40.349998,4540700,40.174565
2016-09-21,40.419998,40.66,40.169998,40.52,4393000,40.343828
2016-09-20,40.459999,40.779999,40.130001,40.18,5032100,40.005306
2016-09-19,40.25,40.630001,39.950001,40.09,5218400,39.915697
2016-09-16,40.490002,40.560001,40.00,40.060001,6281600,39.885828
2016-09-15,40.50,41.009998,40.43,40.849998,4478000,40.672391
2016-09-14,40.650002,40.91,40.43,40.540001,4259900,40.363741
2016-09-13,40.900002,41.150002,40.459999,40.740002,5339600,40.562872
2016-09-12,40.689999,41.59,40.509998,41.459999,5022100,41.279739
2016-09-09,41.34,41.740002,40.93,40.93,5830600,40.752045
2016-09-08,41.32,41.75,41.259998,41.439999,4161800,41.259826
2016-09-07,41.290001,41.57,41.150002,41.290001,4372400,41.11048
2016-09-06,41.560001,41.759998,41.18,41.48,4117400,41.299653
2016-09-02,41.580002,41.759998,41.290001,41.650002,2493200,41.468916
2016-09-01,41.799999,42.02,41.09,41.470001,3357100,41.289698
2016-08-31,41.779999,41.990002,41.200001,41.669998,4433600,41.488825
2016-08-30,41.150002,41.720001,41.150002,41.709999,3259800,41.528652
2016-08-29,40.919998,41.41,40.84,41.259998,3178700,41.080608
2016-08-26,40.66,41.00,40.529999,40.849998,4970200,40.672391
2016-08-25,40.220001,40.529999,40.200001,40.529999,3026200,40.353782
2016-08-24,40.349998,40.450001,40.16,40.290001,2616500,40.114828
2016-08-23,40.400002,40.52,40.240002,40.25,2133700,40.075001
2016-08-22,40.16,40.330002,39.970001,40.18,2214200,40.005306
2016-08-19,40.060001,40.349998,39.869999,40.25,3117000,40.075001
2016-08-18,40.060001,40.380001,39.98,40.240002,2800900,40.065046
2016-08-17,40.029999,40.279999,39.990002,40.209999,3936900,40.035174
2016-08-16,39.889999,40.32,39.880001,39.990002,3634400,39.816133
2016-08-15,39.98,40.27,39.889999,40.16,2239600,39.985392
2016-08-12,39.580002,39.75,39.419998,39.73,3054300,39.557261
2016-08-11,39.869999,40.200001,39.740002,40.040001,2609600,39.865915
2016-08-10,40.290001,40.369999,39.799999,39.84,2696000,39.666784
2016-08-09,40.57,40.700001,40.27,40.279999,2966600,40.104869
2016-08-08,40.50,40.84,40.470001,40.59,3028100,40.413523
2016-08-05,39.540001,40.529999,39.419998,40.50,5482500,40.323914
2016-08-04,39.139999,39.279999,38.830002,38.939999,5517100,38.770695
2016-08-03,38.869999,39.369999,38.790001,39.220001,3759400,39.04948
2016-08-02,39.209999,39.240002,38.529999,38.799999,4321800,38.631305
2016-08-01,39.549999,39.709999,39.110001,39.200001,3742300,39.029567
2016-07-29,39.470001,39.759998,39.349998,39.400002,4375300,39.228698
2016-07-28,39.790001,39.950001,39.560001,39.830002,4144800,39.467655
2016-07-27,39.59,40.290001,39.470001,39.93,7067700,39.566744
2016-07-26,39.18,39.68,39.099998,39.599998,6350900,39.239744
2016-07-25,39.209999,39.439999,38.869999,39.049999,4447500,38.694748
2016-07-22,38.639999,39.25,38.619999,39.189999,4919700,38.833474
2016-07-21,39.450001,39.799999,38.57,38.599998,8301500,38.248841
2016-07-20,40.00,40.029999,39.52,40.009998,4815400,39.646014
2016-07-19,39.720001,39.779999,39.50,39.709999,2963300,39.348744
2016-07-18,39.860001,40.02,39.669998,39.93,3433700,39.566744
2016-07-15,40.09,40.09,39.48,39.790001,3946200,39.428018
2016-07-14,40.669998,40.669998,39.59,39.689999,3865700,39.328925
2016-07-13,39.310001,39.630001,39.029999,39.41,4342900,39.051474
2016-07-12,39.049999,39.459999,39.029999,39.369999,5769200,39.011837
2016-07-11,38.82,39.110001,38.529999,38.59,3930000,38.238934
2016-07-08,38.110001,38.540001,38.110001,38.490002,4742800,38.139845
