Date,Open,High,Low,Close,Volume,Adj Close
2016-11-15,14850.00,15600.00,14700.00,14700.00,7000,14700.00
2016-11-14,15800.00,15800.00,15600.00,15700.00,1800,15700.00
2016-11-11,14800.00,15800.00,14800.00,15700.00,53800,15700.00
2016-11-10,14400.00,14800.00,13500.00,14800.00,11800,14800.00
2016-11-09,14300.00,14300.00,14300.00,14300.00,000,14300.00
2016-11-08,14500.00,14500.00,13900.00,14300.00,1400,14300.00
2016-11-07,14500.00,14500.00,13400.00,14400.00,2300,14400.00
2016-11-04,14500.00,14500.00,13950.00,13950.00,3200,13950.00
2016-11-03,14200.00,14500.00,13900.00,14500.00,13800,14500.00
2016-11-02,14200.00,14200.00,14200.00,14200.00,200,14200.00
2016-11-01,14000.00,14200.00,14000.00,14200.00,2600,14200.00
2016-10-31,14500.00,14600.00,14000.00,14300.00,21400,14300.00
2016-10-28,14600.00,14800.00,14200.00,14800.00,10400,14800.00
2016-10-27,14300.00,14500.00,14200.00,14200.00,6800,14200.00
2016-10-26,14500.00,14500.00,14500.00,14500.00,000,14500.00
2016-10-25,14500.00,14500.00,14500.00,14500.00,1400,14500.00
2016-10-24,14600.00,14800.00,14500.00,14500.00,1300,14500.00
2016-10-21,14600.00,15000.00,14500.00,14800.00,4200,14800.00
2016-10-20,15000.00,15000.00,14550.00,15000.00,4000,15000.00
2016-10-19,14500.00,14600.00,14500.00,14600.00,8000,14600.00
2016-10-18,14500.00,15000.00,14500.00,14600.00,3400,14600.00
2016-10-17,15000.00,15000.00,14500.00,15000.00,1400,15000.00
2016-10-14,14400.00,15000.00,14400.00,15000.00,000,15000.00
2016-10-13,15100.00,15100.00,14750.00,14750.00,2700,14750.00
2016-10-12,14700.00,15200.00,14600.00,15200.00,15100,15200.00
2016-10-11,15300.00,15300.00,14700.00,14700.00,7600,14700.00
2016-10-10,15200.00,15200.00,14200.00,15000.00,10200,15000.00
2016-10-07,15200.00,15200.00,14500.00,15000.00,10700,15000.00
2016-10-06,15400.00,16000.00,14500.00,14600.00,28100,14600.00
2016-10-05,16300.00,16300.00,15200.00,15200.00,43800,15200.00
2016-10-04,16800.00,16800.00,15700.00,16300.00,26300,16300.00
2016-10-03,16200.00,16800.00,16000.00,16800.00,85600,16800.00
2016-09-30,15300.00,15800.00,15200.00,15800.00,37200,15800.00
2016-09-29,14800.00,15300.00,14800.00,15200.00,10900,15200.00
2016-09-28,14800.00,14950.00,14600.00,14950.00,7400,14950.00
2016-09-27,15000.00,15000.00,14600.00,14600.00,12900,14600.00
2016-09-26,14500.00,15000.00,14400.00,15000.00,6900,15000.00
2016-09-23,14600.00,15000.00,14600.00,15000.00,5000,15000.00
2016-09-22,14600.00,15200.00,14400.00,15100.00,32100,15100.00
2016-09-21,14400.00,14400.00,14050.00,14300.00,12200,14300.00
2016-09-20,14300.00,14350.00,14000.00,14300.00,26700,14300.00
2016-09-19,14000.00,14300.00,13500.00,14300.00,8300,14300.00
