Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,0.03,0.03,0.03,0.03,000,0.03
2016-11-11,0.03,0.03,0.03,0.03,000,0.03
2016-11-10,0.03,0.03,0.03,0.03,000,0.03
2016-11-09,0.025,0.03,0.025,0.03,86200,0.03
2016-11-08,0.02,0.02,0.02,0.02,115400,0.02
2016-11-07,0.025,0.025,0.025,0.025,000,0.025
2016-11-04,0.025,0.025,0.025,0.025,000,0.025
2016-11-03,0.025,0.025,0.025,0.025,5000,0.025
2016-11-02,0.025,0.025,0.025,0.025,000,0.025
2016-11-01,0.02,0.025,0.02,0.025,12900,0.025
2016-10-31,0.02,0.02,0.02,0.02,1900,0.02
2016-10-28,0.02,0.02,0.02,0.02,8300,0.02
2016-10-27,0.025,0.025,0.025,0.025,62000,0.025
2016-10-26,0.03,0.03,0.03,0.03,000,0.03
2016-10-25,0.03,0.03,0.03,0.03,15700,0.03
2016-10-24,0.02,0.02,0.02,0.02,4600,0.02
2016-10-21,0.02,0.02,0.02,0.02,000,0.02
2016-10-20,0.02,0.02,0.02,0.02,000,0.02
2016-10-19,0.02,0.02,0.02,0.02,1100,0.02
2016-10-18,0.02,0.02,0.02,0.02,1500,0.02
2016-10-17,0.02,0.02,0.02,0.02,95000,0.02
2016-10-14,0.025,0.025,0.025,0.025,000,0.025
2016-10-13,0.02,0.025,0.02,0.025,87000,0.025
2016-10-12,0.02,0.02,0.02,0.02,29400,0.02
2016-10-11,0.02,0.02,0.02,0.02,000,0.02
2016-10-10,0.02,0.02,0.02,0.02,000,0.02
2016-10-07,0.02,0.02,0.02,0.02,100200,0.02
2016-10-06,0.03,0.03,0.03,0.03,000,0.03
2016-10-05,0.03,0.03,0.03,0.03,000,0.03
2016-10-04,0.03,0.03,0.03,0.03,19000,0.03
2016-10-03,0.025,0.025,0.025,0.025,000,0.025
2016-09-30,0.025,0.025,0.025,0.025,2300,0.025
2016-09-29,0.025,0.03,0.025,0.03,13200,0.03
2016-09-28,0.025,0.025,0.025,0.025,234400,0.025
2016-09-27,0.025,0.025,0.025,0.025,38200,0.025
2016-09-26,0.025,0.025,0.025,0.025,5500,0.025
2016-09-23,0.03,0.03,0.03,0.03,6000,0.03
2016-09-22,0.03,0.03,0.03,0.03,8800,0.03
2016-09-21,0.04,0.04,0.03,0.03,42100,0.03
2016-09-20,0.045,0.045,0.045,0.045,10000,0.045
2016-09-19,0.045,0.045,0.045,0.045,9000,0.045
2016-09-16,0.055,0.055,0.05,0.05,31000,0.05
2016-09-15,0.055,0.055,0.055,0.055,20000,0.055
2016-09-14,0.035,0.05,0.035,0.05,39000,0.05
2016-09-13,0.035,0.035,0.035,0.035,24000,0.035
2016-09-12,0.03,0.03,0.03,0.03,11000,0.03
2016-09-09,0.025,0.025,0.025,0.025,000,0.025
2016-09-08,0.025,0.025,0.025,0.025,000,0.025
2016-09-07,0.025,0.025,0.025,0.025,000,0.025
2016-09-06,0.025,0.025,0.025,0.025,000,0.025
2016-09-05,0.025,0.025,0.025,0.025,000,0.025
2016-09-02,0.025,0.025,0.025,0.025,000,0.025
2016-09-01,0.025,0.025,0.025,0.025,000,0.025
2016-08-31,0.025,0.025,0.025,0.025,000,0.025
2016-08-30,0.025,0.025,0.025,0.025,284000,0.025
2016-08-29,0.025,0.025,0.02,0.02,11000,0.02
2016-08-26,0.02,0.02,0.02,0.02,10000,0.02
2016-08-25,0.025,0.025,0.025,0.025,000,0.025
2016-08-24,0.025,0.025,0.025,0.025,000,0.025
2016-08-23,0.025,0.025,0.025,0.025,1000,0.025
2016-08-22,0.03,0.03,0.03,0.03,1000,0.03
2016-08-19,0.03,0.03,0.03,0.03,7000,0.03
2016-08-18,0.03,0.03,0.03,0.03,000,0.03
2016-08-17,0.03,0.03,0.03,0.03,000,0.03
2016-08-16,0.03,0.03,0.03,0.03,000,0.03
2016-08-15,0.03,0.03,0.03,0.03,000,0.03
2016-08-12,0.03,0.03,0.03,0.03,9000,0.03
2016-08-11,0.03,0.03,0.03,0.03,3000,0.03
2016-08-10,0.035,0.035,0.035,0.035,5000,0.035
2016-08-09,0.025,0.025,0.025,0.025,000,0.025
2016-08-08,0.025,0.025,0.025,0.025,320000,0.025
2016-08-05,0.03,0.03,0.03,0.03,15000,0.03
2016-08-04,0.025,0.025,0.02,0.02,34000,0.02
2016-08-03,0.025,0.025,0.025,0.025,95000,0.025
2016-08-02,0.04,0.06,0.04,0.06,69000,0.06
2016-08-01,0.035,0.035,0.035,0.035,000,0.035
2016-07-29,0.035,0.035,0.035,0.035,15000,0.035
2016-07-28,0.03,0.035,0.03,0.035,247000,0.035
2016-07-27,0.02,0.02,0.02,0.02,8000,0.02
2016-07-26,0.02,0.02,0.02,0.02,148000,0.02
2016-07-25,0.02,0.02,0.02,0.02,000,0.02
2016-07-22,0.02,0.02,0.02,0.02,000,0.02
2016-07-21,0.02,0.02,0.02,0.02,000,0.02
2016-07-20,0.02,0.02,0.02,0.02,17000,0.02
2016-07-19,0.025,0.025,0.02,0.02,10000,0.02
2016-07-18,0.02,0.025,0.02,0.025,9000,0.025
2016-07-15,0.02,0.02,0.02,0.02,000,0.02
2016-07-14,0.02,0.02,0.02,0.02,000,0.02
2016-07-13,0.02,0.02,0.02,0.02,44000,0.02
2016-07-12,0.03,0.03,0.03,0.03,40000,0.03
2016-07-11,0.02,0.02,0.02,0.02,104000,0.02
2016-07-08,0.03,0.03,0.03,0.03,000,0.03
2016-07-07,0.03,0.03,0.03,0.03,20000,0.03
2016-07-06,0.03,0.03,0.03,0.03,20000,0.03
2016-07-05,0.025,0.03,0.025,0.03,26000,0.03
2016-07-04,0.03,0.03,0.03,0.03,000,0.03
2016-07-01,0.03,0.03,0.03,0.03,000,0.03
2016-06-30,0.03,0.03,0.03,0.03,10000,0.03
2016-06-29,0.03,0.03,0.03,0.03,000,0.03
2016-06-28,0.03,0.03,0.03,0.03,20000,0.03
2016-06-27,0.04,0.04,0.04,0.04,24000,0.04
2016-06-24,0.025,0.025,0.025,0.025,000,0.025
2016-06-23,0.025,0.025,0.025,0.025,000,0.025
2016-06-22,0.025,0.025,0.025,0.025,1000,0.025
2016-06-21,0.025,0.025,0.025,0.025,2000,0.025
2016-06-20,0.025,0.025,0.025,0.025,000,0.025
2016-06-17,0.025,0.025,0.025,0.025,000,0.025
2016-06-16,0.025,0.025,0.025,0.025,25000,0.025
2016-06-15,0.025,0.03,0.025,0.03,80000,0.03
2016-06-14,0.03,0.03,0.03,0.03,000,0.03
2016-06-13,0.03,0.03,0.03,0.03,000,0.03
2016-06-10,0.03,0.03,0.03,0.03,54000,0.03
2016-06-09,0.035,0.035,0.035,0.035,000,0.035
2016-06-08,0.035,0.035,0.035,0.035,1000,0.035
2016-06-07,0.035,0.035,0.035,0.035,000,0.035
2016-06-06,0.035,0.035,0.035,0.035,000,0.035
2016-06-03,0.035,0.035,0.035,0.035,000,0.035
2016-06-02,0.035,0.035,0.035,0.035,000,0.035
2016-06-01,0.035,0.035,0.035,0.035,4000,0.035
2016-05-31,0.035,0.035,0.035,0.035,6000,0.035
2016-05-30,0.04,0.04,0.04,0.04,000,0.04
2016-05-27,0.04,0.04,0.04,0.04,000,0.04
2016-05-26,0.04,0.04,0.04,0.04,000,0.04
2016-05-25,0.04,0.04,0.04,0.04,000,0.04
2016-05-24,0.045,0.045,0.045,0.04,12000,0.04
2016-05-23,0.035,0.035,0.035,0.035,000,0.035
2016-05-20,0.035,0.035,0.035,0.035,000,0.035
2016-05-19,0.035,0.035,0.035,0.035,23000,0.035
2016-05-18,0.045,0.045,0.045,0.045,000,0.045
2016-05-17,0.045,0.045,0.045,0.045,2000,0.045
2016-05-16,0.045,0.045,0.045,0.045,000,0.045
2016-05-13,0.03,0.045,0.03,0.045,11000,0.045
2016-05-12,0.035,0.035,0.035,0.035,000,0.035
2016-05-11,0.035,0.035,0.035,0.035,000,0.035
2016-05-10,0.035,0.035,0.035,0.035,000,0.035
2016-05-09,0.035,0.035,0.035,0.035,10000,0.035
2016-05-06,0.03,0.05,0.03,0.05,472000,0.05
2016-05-05,0.025,0.025,0.025,0.025,3000,0.025
2016-05-04,0.045,0.045,0.02,0.02,62000,0.02
2016-05-03,0.05,0.05,0.04,0.04,9000,0.04
2016-05-02,0.03,0.05,0.03,0.04,267000,0.04
2016-04-29,0.03,0.03,0.03,0.03,4000,0.03
2016-04-28,0.025,0.025,0.02,0.02,28000,0.02
2016-04-27,0.015,0.015,0.015,0.015,20000,0.015
2016-04-26,0.01,0.01,0.01,0.01,000,0.01
2016-04-25,0.01,0.01,0.01,0.01,000,0.01
2016-04-22,0.01,0.01,0.01,0.01,000,0.01
2016-04-21,0.01,0.01,0.01,0.01,000,0.01
2016-04-20,0.02,0.02,0.01,0.01,28000,0.01
2016-04-19,0.01,0.01,0.01,0.01,000,0.01
2016-04-18,0.01,0.01,0.01,0.01,000,0.01
2016-04-15,0.01,0.01,0.01,0.01,000,0.01
2016-04-14,0.02,0.02,0.01,0.01,15000,0.01
2016-04-13,0.01,0.01,0.01,0.01,2000,0.01
2016-04-12,0.01,0.01,0.01,0.01,5000,0.01
2016-04-11,0.01,0.01,0.01,0.01,000,0.01
2016-04-08,0.01,0.01,0.01,0.01,9000,0.01
2016-04-07,0.01,0.01,0.01,0.01,000,0.01
2016-04-06,0.01,0.01,0.01,0.01,3000,0.01
2016-04-05,0.01,0.01,0.01,0.01,2000,0.01
2016-04-04,0.01,0.01,0.01,0.01,000,0.01
2016-04-01,0.01,0.01,0.01,0.01,000,0.01
2016-03-31,0.01,0.01,0.01,0.01,000,0.01
2016-03-30,0.01,0.01,0.01,0.01,000,0.01
2016-03-29,0.01,0.01,0.01,0.01,000,0.01
2016-03-28,0.01,0.01,0.01,0.01,000,0.01
2016-03-25,0.01,0.01,0.01,0.01,000,0.01
2016-03-24,0.01,0.01,0.01,0.01,2000,0.01
2016-03-23,0.01,0.01,0.01,0.01,000,0.01
2016-03-22,0.01,0.01,0.01,0.01,6000,0.01
2016-03-21,0.01,0.01,0.01,0.01,2000,0.01
2016-03-18,0.02,0.02,0.02,0.02,30000,0.02
2016-03-17,0.02,0.025,0.02,0.025,10000,0.025
2016-03-16,0.02,0.02,0.02,0.02,000,0.02
2016-03-15,0.02,0.02,0.02,0.02,000,0.02
2016-03-14,0.02,0.02,0.02,0.02,000,0.02
2016-03-11,0.02,0.02,0.02,0.02,000,0.02
2016-03-10,0.02,0.02,0.02,0.02,000,0.02
2016-03-09,0.02,0.02,0.02,0.02,1000,0.02
2016-03-08,0.02,0.02,0.02,0.02,9000,0.02
2016-03-07,0.01,0.01,0.01,0.01,3000,0.01
2016-03-04,0.02,0.02,0.02,0.02,2000,0.02
2016-03-03,0.01,0.01,0.01,0.01,000,0.01
2016-03-02,0.01,0.01,0.01,0.01,2000,0.01
2016-03-01,0.01,0.01,0.01,0.01,2000,0.01
2016-02-29,0.01,0.01,0.01,0.01,000,0.01
2016-02-26,0.01,0.01,0.01,0.01,000,0.01
2016-02-25,0.01,0.01,0.01,0.01,000,0.01
2016-02-24,0.01,0.01,0.01,0.01,000,0.01
2016-02-23,0.01,0.01,0.01,0.01,000,0.01
2016-02-22,0.01,0.01,0.01,0.01,000,0.01
2016-02-19,0.01,0.01,0.01,0.01,000,0.01
2016-02-18,0.01,0.01,0.01,0.01,000,0.01
