Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,48.77,49.82,48.52,48.68,6104400,48.68
2016-11-11,49.459999,49.700001,48.080002,48.470001,6162900,48.470001
2016-11-10,51.279999,51.529999,49.290001,49.459999,7553600,49.459999
2016-11-09,50.220001,51.130001,49.560001,50.799999,9157800,50.799999
2016-11-08,52.810001,52.860001,52.18,52.650002,2743400,52.650002
2016-11-07,52.200001,52.779999,50.720001,52.650002,5186500,52.650002
2016-11-04,52.419998,53.119999,52.00,52.32,3462800,52.32
2016-11-03,54.259998,54.259998,52.790001,52.810001,3879400,52.810001
2016-11-02,53.490002,54.490002,52.779999,53.150002,12294200,53.150002
2016-11-01,58.52,58.630001,56.91,57.34,4866800,57.34
2016-10-31,58.509998,58.799999,58.119999,58.580002,2687200,58.580002
2016-10-28,57.68,58.59,57.310001,58.400002,1746400,58.400002
2016-10-27,58.380001,58.50,57.57,57.759998,1487400,57.759998
2016-10-26,58.77,58.77,57.939999,58.240002,1547100,58.240002
2016-10-25,59.330002,59.630001,58.77,58.900002,1996000,58.900002
2016-10-24,58.740002,59.740002,58.50,59.330002,2506500,59.330002
2016-10-21,60.68,60.869999,58.41,58.459999,3173500,58.459999
2016-10-20,60.73,61.209999,60.490002,61.00,1100700,61.00
2016-10-19,60.169998,61.150002,60.16,60.669998,629200,60.669998
2016-10-18,61.41,61.75,61.139999,61.150002,850200,61.150002
2016-10-17,60.93,61.040001,60.57,60.830002,1542600,60.830002
2016-10-14,61.50,61.82,60.759998,60.950001,1176600,60.950001
2016-10-13,60.599998,61.389999,60.220001,61.259998,1882700,61.259998
2016-10-12,60.869999,61.459999,60.75,61.02,1501300,61.02
2016-10-11,62.529999,62.529999,60.259998,60.73,1559500,60.73
2016-10-10,61.48,61.91,61.419998,61.790001,1070100,61.790001
2016-10-07,61.169998,61.23,60.57,61.130001,1127600,61.130001
2016-10-06,60.889999,61.419998,60.669998,60.860001,959100,60.860001
2016-10-05,61.009998,61.560001,61.009998,61.25,1483900,61.25
2016-10-04,61.419998,61.759998,60.77,60.919998,1105700,60.919998
2016-10-03,61.619999,61.720001,60.779999,61.419998,1386000,61.419998
2016-09-30,61.869999,62.060001,61.189999,61.75,2521400,61.75
2016-09-29,62.43,62.43,61.43,61.529999,895700,61.529999
2016-09-28,62.310001,62.529999,61.860001,62.450001,1080500,62.450001
2016-09-27,61.93,62.41,61.84,62.150002,1190300,62.150002
2016-09-26,62.389999,62.50,61.740002,61.939999,1381500,61.939999
2016-09-23,62.650002,63.18,62.580002,62.75,1741100,62.75
2016-09-22,62.810001,63.080002,62.580002,62.98,1327600,62.98
2016-09-21,62.099998,62.48,61.700001,62.369999,1309200,62.369999
2016-09-20,61.689999,62.380001,61.549999,62.110001,1771200,62.110001
2016-09-19,62.290001,62.52,61.43,61.48,1357200,61.48
2016-09-16,62.799999,62.82,61.82,62.02,3747000,62.02
2016-09-15,62.16,63.130001,62.009998,62.77,1728200,62.77
2016-09-14,61.790001,62.369999,61.490002,62.189999,1888200,62.189999
2016-09-13,62.400002,62.549999,61.27,61.939999,1825900,61.939999
2016-09-12,62.099998,62.93,61.619999,62.810001,1772300,62.810001
2016-09-09,63.66,63.970001,62.139999,62.220001,4061600,62.220001
2016-09-08,64.309998,64.690002,63.700001,64.139999,1981900,64.139999
2016-09-07,64.949997,65.279999,64.739998,65.00,689800,65.00
2016-09-06,64.730003,64.989998,64.389999,64.959999,851200,64.959999
2016-09-02,65.269997,65.32,64.440002,64.769997,1001600,64.769997
2016-09-01,64.75,65.139999,64.050003,65.010002,1360100,65.010002
2016-08-31,64.739998,64.919998,63.009998,64.540001,1173300,64.540001
2016-08-30,64.970001,65.169998,64.470001,64.75,1311700,64.75
2016-08-29,64.43,65.239998,64.029999,65.00,1512700,65.00
2016-08-26,64.330002,64.889999,64.110001,64.639999,1276000,64.639999
2016-08-25,64.410004,64.860001,63.77,64.470001,1366700,64.470001
2016-08-24,64.190002,64.970001,64.129997,64.50,1589400,64.50
2016-08-23,65.029999,65.709999,64.559998,64.599998,1177400,64.599998
2016-08-22,64.639999,65.080002,64.199997,64.620003,1788400,64.620003
2016-08-19,65.150002,65.160004,64.440002,64.709999,2094700,64.709999
2016-08-18,65.349998,65.50,64.910004,65.150002,1909200,65.150002
2016-08-17,66.239998,66.25,64.919998,65.360001,2470600,65.360001
2016-08-16,66.580002,66.68,65.690002,65.980003,1489400,65.980003
2016-08-15,66.459999,66.790001,66.080002,66.610001,2515200,66.610001
2016-08-12,66.720001,66.980003,66.18,66.449997,2080400,66.449997
2016-08-11,66.629997,67.260002,66.50,67.059998,1409300,67.059998
2016-08-10,67.190002,67.349998,66.360001,66.940002,1274300,66.940002
2016-08-09,67.389999,67.50,66.870003,66.910004,1674800,66.910004
2016-08-08,66.849998,67.480003,66.529999,67.330002,1883900,67.330002
2016-08-05,66.300003,67.440002,65.720001,66.870003,2353900,66.870003
2016-08-04,65.970001,67.029999,65.919998,66.300003,2503400,66.300003
2016-08-03,63.689999,66.739998,62.650002,66.300003,7635900,66.300003
2016-08-02,62.060001,62.470001,61.369999,61.950001,3354300,61.950001
2016-08-01,62.330002,62.709999,62.00,62.220001,1847300,62.220001
2016-07-29,62.310001,62.709999,62.02,62.389999,1849700,62.389999
2016-07-28,62.009998,62.610001,61.939999,62.240002,1414700,62.240002
2016-07-27,62.139999,62.279999,61.459999,61.950001,1356100,61.950001
2016-07-26,62.110001,62.380001,61.779999,62.25,883100,62.25
2016-07-25,61.790001,62.099998,61.419998,62.07,1173100,62.07
2016-07-22,62.130001,62.16,61.25,61.950001,1463700,61.950001
2016-07-21,61.75,62.34,61.68,61.990002,1565100,61.990002
2016-07-20,61.029999,62.279999,60.849998,62.040001,1762500,62.040001
2016-07-19,60.549999,61.099998,60.50,60.630001,1326400,60.630001
2016-07-18,60.48,60.93,60.400002,60.889999,1045100,60.889999
2016-07-15,61.029999,61.25,60.529999,60.580002,1617300,60.580002
2016-07-14,60.860001,60.959999,60.080002,60.799999,1574300,60.799999
2016-07-13,61.150002,61.200001,60.23,60.360001,2283100,60.360001
2016-07-12,60.07,61.259998,60.02,60.740002,2206900,60.740002
2016-07-11,60.59,61.529999,60.080002,60.099998,1697700,60.099998
2016-07-08,59.990002,60.790001,59.540001,60.619999,2362800,60.619999
2016-07-07,58.73,59.73,58.040001,59.610001,3551600,59.610001
2016-07-06,58.110001,58.889999,57.59,58.790001,1862500,58.790001
2016-07-05,58.25,58.52,57.830002,58.259998,2206100,58.259998
2016-07-01,58.48,59.139999,58.259998,58.91,1823100,58.91
2016-06-30,57.669998,58.740002,57.369999,58.599998,3063100,58.599998
2016-06-29,55.299999,57.720001,55.209999,57.48,2746700,57.48
2016-06-28,54.040001,55.200001,53.790001,55.080002,1444800,55.080002
2016-06-27,54.720001,54.799999,53.330002,53.709999,1705000,53.709999
2016-06-24,54.75,55.990002,54.349998,55.130001,3054200,55.130001
2016-06-23,56.279999,57.32,56.049999,56.889999,3153100,56.889999
2016-06-22,54.720001,55.549999,54.52,55.279999,2421200,55.279999
2016-06-21,54.00,54.970001,53.799999,54.810001,2766300,54.810001
2016-06-20,54.27,54.709999,53.709999,53.75,1915400,53.75
2016-06-17,54.400002,54.419998,53.580002,53.849998,2488200,53.849998
2016-06-16,54.279999,54.41,53.380001,54.360001,2230900,54.360001
2016-06-15,55.740002,55.849998,54.419998,54.509998,1900200,54.509998
2016-06-14,55.619999,55.939999,55.34,55.50,2831300,55.50
2016-06-13,55.720001,56.41,55.48,55.720001,1255600,55.720001
