Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,27.83,28.299999,27.42,28.200001,5716000,28.200001
2016-11-11,27.10,28.00,26.91,27.780001,7297400,27.780001
2016-11-10,26.530001,28.23,26.530001,27.129999,9181500,27.129999
2016-11-09,24.049999,26.719999,23.73,26.48,10914600,26.18
2016-11-08,23.200001,24.49,23.040001,24.34,8295300,24.064245
2016-11-07,23.51,23.66,23.120001,23.290001,5833500,23.026142
2016-11-04,22.65,23.42,22.58,23.110001,7892000,22.848181
2016-11-03,23.57,23.57,22.18,22.60,19321100,22.343958
2016-11-02,24.790001,25.110001,24.559999,24.700001,5569300,24.420167
2016-11-01,24.15,25.01,23.92,24.889999,7449100,24.608013
2016-10-31,24.459999,24.799999,23.940001,24.01,3501100,23.737984
2016-10-28,24.620001,24.93,24.09,24.52,4721800,24.242206
2016-10-27,25.870001,25.950001,24.459999,24.530001,4568300,24.252093
2016-10-26,25.450001,26.00,25.24,25.549999,4572000,25.260536
2016-10-25,25.389999,25.799999,25.200001,25.540001,4860100,25.250651
2016-10-24,25.92,25.940001,25.00,25.35,4582100,25.062803
2016-10-21,25.030001,26.209999,24.77,25.92,8578300,25.626345
2016-10-20,23.799999,25.360001,23.530001,24.98,8322600,24.696994
2016-10-19,23.370001,24.41,23.27,24.15,6426100,23.876397
2016-10-18,22.860001,23.629999,22.73,23.459999,5603400,23.194214
2016-10-17,22.27,22.790001,22.23,22.60,5070700,22.343958
2016-10-14,23.25,23.559999,22.219999,22.280001,4740900,22.027584
2016-10-13,22.610001,23.17,22.00,23.040001,6075200,22.778974
2016-10-12,23.48,23.57,22.559999,22.92,4706800,22.660333
2016-10-11,23.75,23.83,23.25,23.459999,4050600,23.194214
2016-10-10,24.16,24.35,23.799999,23.860001,3346600,23.589684
2016-10-07,24.67,24.77,23.940001,23.950001,3901500,23.678664
2016-10-06,24.77,25.110001,24.01,24.66,4226500,24.380619
2016-10-05,24.57,25.15,24.209999,24.860001,4704200,24.578354
2016-10-04,24.280001,24.709999,24.15,24.40,3865700,24.123565
2016-10-03,24.27,24.389999,23.83,24.209999,4257700,23.935717
2016-09-30,24.299999,24.73,23.950001,24.35,4186300,24.074132
2016-09-29,23.91,24.68,23.719999,24.200001,4468900,23.925832
2016-09-28,23.049999,24.030001,23.030001,23.950001,5773800,23.678664
2016-09-27,22.440001,22.92,22.200001,22.889999,5472400,22.630672
2016-09-26,22.540001,22.91,22.26,22.639999,4950600,22.383504
2016-09-23,23.129999,23.32,22.290001,22.629999,6960800,22.373617
2016-09-22,23.17,23.709999,23.129999,23.23,4750500,22.96682
2016-09-21,23.620001,23.85,22.879999,23.030001,8173500,22.769087
2016-09-20,23.85,23.85,23.139999,23.299999,5300100,23.036027
2016-09-19,24.16,24.290001,23.65,23.68,3471200,23.411723
2016-09-16,23.74,24.200001,23.719999,24.02,3944100,23.747871
2016-09-15,23.940001,24.40,23.57,24.09,5359100,23.817077
2016-09-14,24.07,24.15,23.35,24.030001,6467400,23.757758
2016-09-13,25.00,25.00,23.66,24.01,6289300,23.737984
2016-09-12,24.92,25.66,24.700001,25.51,4649100,25.22099
2016-09-09,25.719999,25.93,25.00,25.00,4990700,24.716768
2016-09-08,25.40,26.469999,25.389999,25.959999,5459500,25.665891
2016-09-07,25.73,26.129999,25.280001,25.530001,3876500,25.240764
2016-09-06,25.959999,26.16,25.51,25.65,3120100,25.359403
2016-09-02,25.83,26.16,25.469999,25.940001,3713600,25.646119
2016-09-01,26.110001,26.18,25.469999,25.60,4141100,25.30997
2016-08-31,25.969999,26.75,25.68,26.00,8891500,25.705438
2016-08-30,24.98,26.73,24.879999,26.17,13912700,25.873512
2016-08-29,24.450001,25.110001,24.35,24.98,4905700,24.696994
2016-08-26,24.559999,24.799999,23.879999,23.98,5168800,23.708323
