Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,5.52,5.60,5.28,5.47,50779400,5.47
2016-11-11,5.62,5.69,5.35,5.43,46861000,5.43
2016-11-10,5.99,6.09,5.68,5.70,75503800,5.70
2016-11-09,5.27,5.82,5.26,5.77,55100500,5.77
2016-11-08,5.29,5.46,5.22,5.31,39195600,5.31
2016-11-07,5.45,5.55,5.38,5.45,42701100,5.45
2016-11-04,5.26,5.50,5.25,5.29,46717900,5.29
2016-11-03,5.75,5.80,5.33,5.40,60750300,5.40
2016-11-02,5.18,5.43,5.14,5.31,57596300,5.31
2016-11-01,5.53,5.64,5.18,5.36,49784300,5.36
2016-10-31,5.74,5.80,5.49,5.51,41118200,5.51
2016-10-28,6.03,6.06,5.76,5.79,44587700,5.79
2016-10-27,5.96,6.19,5.93,6.08,45439400,6.08
2016-10-26,5.88,6.19,5.71,6.00,67359100,6.00
2016-10-25,6.38,6.50,6.10,6.11,68273300,6.11
2016-10-24,6.65,6.72,6.29,6.36,60169000,6.36
2016-10-21,6.96,7.11,6.59,6.68,88101800,6.68
2016-10-20,6.55,6.95,6.36,6.91,107054000,6.91
2016-10-19,6.63,6.85,6.60,6.72,65746700,6.72
2016-10-18,6.51,6.60,6.32,6.52,38423000,6.52
2016-10-17,6.54,6.68,6.28,6.35,37285600,6.35
2016-10-14,6.45,6.70,6.45,6.56,49857800,6.56
2016-10-13,6.20,6.55,6.04,6.43,49014300,6.43
2016-10-12,6.25,6.30,6.10,6.29,23018100,6.29
2016-10-11,6.38,6.46,6.11,6.28,41996200,6.28
2016-10-10,6.45,6.62,6.41,6.44,28227100,6.44
2016-10-07,6.68,6.73,6.34,6.35,42945700,6.35
2016-10-06,6.91,6.97,6.60,6.65,43953900,6.65
2016-10-05,6.45,6.90,6.45,6.80,59531000,6.80
2016-10-04,6.46,6.55,6.36,6.37,35208200,6.37
2016-10-03,6.34,6.45,6.18,6.40,31537500,6.40
2016-09-30,6.13,6.30,6.03,6.27,72778400,6.27
2016-09-29,6.41,6.53,6.06,6.12,133902300,6.12
2016-09-28,6.29,6.80,6.21,6.75,56762600,6.75
2016-09-27,6.50,6.51,5.97,6.23,83665800,6.23
2016-09-26,6.71,6.84,6.56,6.62,25744200,6.62
2016-09-23,6.78,6.94,6.50,6.63,30559900,6.63
2016-09-22,6.90,6.99,6.75,6.87,37605700,6.87
2016-09-21,6.74,6.82,6.60,6.74,40894300,6.74
2016-09-20,6.79,6.96,6.51,6.56,68417400,6.56
2016-09-19,7.41,7.47,6.81,6.81,115971600,6.81
2016-09-16,7.09,7.37,7.06,7.35,46617700,7.35
2016-09-15,7.20,7.38,7.10,7.25,39470100,7.25
2016-09-14,7.35,7.41,7.01,7.17,45542600,7.17
2016-09-13,7.76,7.78,7.16,7.38,70479200,7.38
2016-09-12,7.73,8.15,7.53,8.05,66278300,8.05
2016-09-09,7.65,7.80,7.43,7.62,57567700,7.62
2016-09-08,6.93,7.81,6.87,7.74,112945400,7.74
2016-09-07,6.94,6.95,6.76,6.81,28037500,6.81
2016-09-06,6.70,6.90,6.66,6.80,36792200,6.80
2016-09-02,6.31,6.70,6.30,6.60,45992400,6.60
2016-09-01,6.23,6.35,6.15,6.25,28084800,6.25
2016-08-31,6.44,6.51,6.18,6.35,34652300,6.35
2016-08-30,6.51,6.65,6.40,6.51,28894800,6.51
2016-08-29,6.36,6.49,6.25,6.44,22176400,6.44
2016-08-26,6.37,6.54,6.35,6.40,34761700,6.40
2016-08-25,6.25,6.44,6.20,6.33,32318000,6.33
2016-08-24,6.56,6.60,6.24,6.26,44841400,6.26
