Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,22.540001,23.110001,22.32,22.959999,5033100,22.959999
2016-11-11,23.10,23.299999,22.77,22.92,3435800,22.662001
2016-11-10,23.120001,23.23,22.42,23.120001,5916900,22.85975
2016-11-09,22.950001,23.469999,22.91,23.209999,6024300,22.948735
2016-11-08,23.41,23.860001,23.40,23.700001,3399000,23.433221
2016-11-07,23.299999,23.66,22.90,23.620001,4580800,23.354122
2016-11-04,23.01,23.59,22.85,22.93,5814100,22.671888
2016-11-03,22.049999,22.58,22.02,22.540001,3823700,22.286279
2016-11-02,22.450001,22.450001,21.91,22.110001,3376200,21.861119
2016-11-01,22.83,22.91,22.469999,22.50,4955000,22.246728
2016-10-31,22.610001,23.120001,22.60,22.799999,4297800,22.543351
2016-10-28,22.58,22.75,22.42,22.530001,2193300,22.276391
2016-10-27,22.59,22.60,22.18,22.57,3836000,22.31594
2016-10-26,22.610001,22.690001,22.35,22.66,2204400,22.404927
2016-10-25,22.48,22.790001,22.35,22.67,1784400,22.414815
2016-10-24,22.82,22.82,22.43,22.549999,1819700,22.296165
2016-10-21,22.530001,22.77,22.440001,22.719999,2541300,22.464251
2016-10-20,22.610001,22.790001,22.540001,22.66,2790600,22.404927
2016-10-19,22.549999,22.690001,22.379999,22.629999,2463500,22.375264
2016-10-18,22.559999,22.60,22.26,22.51,1384900,22.256616
2016-10-17,22.41,22.540001,22.35,22.43,1642000,22.177517
2016-10-14,22.32,22.530001,22.24,22.370001,2499200,22.118193
2016-10-13,22.059999,22.52,22.00,22.34,2896000,22.08853
2016-10-12,21.889999,22.129999,21.879999,22.08,2449200,21.831456
2016-10-11,22.10,22.110001,21.83,21.84,2752200,21.594158
2016-10-10,21.90,22.299999,21.90,22.18,2946200,21.930331
2016-10-07,22.440001,22.629999,21.889999,21.90,5147400,21.653482
2016-10-06,22.23,22.49,22.10,22.299999,3201500,22.048979
2016-10-05,22.43,22.59,22.280001,22.35,3477300,22.098417
2016-10-04,22.889999,22.93,22.190001,22.360001,2772200,22.108305
2016-10-03,23.18,23.18,22.66,22.90,2697100,22.642225
2016-09-30,23.66,23.77,23.129999,23.23,5115800,22.968511
2016-09-29,24.02,24.120001,23.49,23.58,3571300,23.314571
2016-09-28,23.950001,24.139999,23.780001,24.120001,3150200,23.848494
2016-09-27,24.32,24.43,23.870001,23.879999,3285000,23.611194
2016-09-26,24.219999,24.370001,24.129999,24.26,1913200,23.986917
2016-09-23,24.059999,24.23,24.01,24.190001,3008600,23.917705
2016-09-22,24.200001,24.389999,24.040001,24.110001,3959700,23.838606
2016-09-21,23.50,24.08,23.450001,24.02,3073500,23.749619
2016-09-20,23.450001,23.58,23.41,23.469999,2934700,23.205809
2016-09-19,23.139999,23.32,23.049999,23.299999,2063100,23.037722
2016-09-16,22.629999,23.10,22.51,23.049999,5743400,22.790537
2016-09-15,22.43,22.709999,22.379999,22.65,2497000,22.39504
2016-09-14,22.51,22.68,22.27,22.43,2932000,22.177517
2016-09-13,22.860001,22.870001,22.32,22.440001,3604300,22.187404
2016-09-12,22.51,23.02,22.379999,22.950001,4185100,22.691664
2016-09-09,23.360001,23.40,22.610001,22.610001,5075000,22.355491
2016-09-08,23.25,23.66,23.219999,23.639999,3992500,23.373895
2016-09-07,22.780001,23.360001,22.700001,23.290001,5334100,23.027837
2016-09-06,22.780001,22.959999,22.68,22.799999,5097300,22.543351
2016-09-02,22.459999,22.809999,22.42,22.629999,3180800,22.375264
