Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,88.800003,89.43,88.220001,88.709999,2398800,88.709999
2016-11-11,85.230003,88.68,85.110001,88.540001,2205200,88.540001
2016-11-10,84.910004,85.660004,83.93,85.43,2001600,85.43
2016-11-09,82.059998,85.449997,82.059998,84.410004,1515500,84.410004
2016-11-08,82.75,83.360001,82.220001,83.050003,1175600,82.720005
2016-11-07,83.410004,83.519997,82.230003,82.75,1356800,82.421194
2016-11-04,82.239998,83.50,81.970001,82.160004,1335300,81.833542
2016-11-03,82.099998,82.540001,81.110001,82.080002,1989600,81.753858
2016-11-02,82.599998,83.150002,81.610001,81.650002,1065300,81.325567
2016-11-01,84.620003,84.849998,82.389999,82.489998,2304600,82.162225
2016-10-31,83.459999,84.589996,82.760002,84.32,2069600,83.984956
2016-10-28,82.220001,83.800003,82.129997,83.449997,1857500,83.11841
2016-10-27,82.059998,82.760002,81.400002,82.150002,1667700,81.82358
2016-10-26,80.129997,81.970001,80.099998,81.400002,3097400,81.07656
2016-10-25,79.339996,80.43,79.209999,80.00,3571200,79.682121
2016-10-24,81.940002,82.099998,78.540001,79.209999,9646000,78.895259
2016-10-21,82.559998,84.769997,82.559998,84.459999,590100,84.124399
2016-10-20,83.849998,84.089996,83.160004,83.629997,697400,83.297695
2016-10-19,84.059998,84.529999,83.919998,83.959999,408300,83.626385
2016-10-18,83.919998,84.239998,83.459999,84.099998,491800,83.765828
2016-10-17,83.290001,83.690002,83.050003,83.18,561600,82.849486
2016-10-14,83.300003,83.720001,83.209999,83.470001,475100,83.138335
2016-10-13,82.519997,83.00,81.870003,82.790001,493400,82.461036
2016-10-12,82.860001,83.599998,82.580002,83.040001,908600,82.710043
2016-10-11,83.379997,83.790001,82.43,82.690002,459500,82.361435
2016-10-10,83.139999,84.040001,83.139999,83.730003,982700,83.397304
2016-10-07,82.889999,82.93,81.07,82.730003,1916200,82.401277
2016-10-06,83.309998,84.279999,82.459999,84.18,566200,83.845512
2016-10-05,83.720001,83.980003,83.110001,83.639999,617500,83.307657
2016-10-04,83.849998,84.25,83.459999,83.739998,552100,83.407258
2016-10-03,83.839996,84.129997,83.389999,83.769997,367700,83.437138
2016-09-30,84.540001,84.720001,84.089996,84.339996,590500,84.004873
2016-09-29,85.059998,85.339996,83.900002,84.230003,459700,83.895317
2016-09-28,85.459999,85.809998,84.540001,85.400002,847900,85.060666
2016-09-27,84.889999,85.449997,84.419998,85.209999,494700,84.871419
2016-09-26,84.690002,85.25,84.099998,84.809998,657700,84.473006
2016-09-23,84.470001,85.019997,84.18,84.800003,748300,84.463052
2016-09-22,83.860001,85.209999,83.849998,85.019997,822400,84.682171
2016-09-21,82.089996,83.510002,82.040001,83.470001,569600,83.138335
2016-09-20,82.110001,82.160004,81.57,82.010002,608500,81.684137
2016-09-19,81.139999,81.830002,80.919998,81.610001,501300,81.285725
2016-09-16,82.080002,82.120003,80.980003,81.040001,768500,80.71799
2016-09-15,81.739998,82.529999,81.18,82.330002,714400,82.002865
2016-09-14,81.809998,82.239998,81.279999,81.650002,572000,81.325567
2016-09-13,82.040001,82.410004,81.769997,82.00,504800,81.674174
2016-09-12,81.190002,82.860001,81.169998,82.589996,736100,82.261826
2016-09-09,83.190002,83.330002,81.349998,81.349998,669300,81.026756
2016-09-08,84.029999,84.330002,83.82,83.849998,399100,83.516822
2016-09-07,84.519997,84.589996,84.07,84.300003,738600,83.965038
2016-09-06,85.010002,85.349998,84.459999,84.800003,552200,84.463052
2016-09-02,84.529999,85.599998,84.529999,85.07,754000,84.731975
2016-09-01,83.730003,84.150002,82.989998,84.129997,402600,83.795708
2016-08-31,84.00,84.160004,83.169998,83.690002,359400,83.357462
2016-08-30,84.809998,84.949997,84.059998,84.169998,386700,83.83555
2016-08-29,84.410004,84.910004,84.349998,84.660004,650000,84.323608
2016-08-26,83.620003,85.07,83.620003,84.50,1055400,84.164241
2016-08-25,84.620003,84.620003,84.199997,84.43,707100,84.094519
2016-08-24,84.690002,85.150002,84.510002,84.800003,521600,84.463052
2016-08-23,85.309998,85.459999,84.599998,84.690002,345700,84.353488
2016-08-22,84.989998,85.260002,84.779999,85.129997,285400,84.791735
2016-08-19,84.690002,85.169998,84.519997,85.089996,336000,84.751893
2016-08-18,84.489998,84.989998,84.489998,84.980003,377900,84.642337
2016-08-17,84.599998,84.720001,84.209999,84.480003,586000,84.144323
2016-08-16,84.629997,84.779999,84.309998,84.480003,524600,84.144323
2016-08-15,84.519997,85.080002,84.440002,84.970001,412700,84.632374
2016-08-12,84.480003,84.669998,84.089996,84.480003,758200,84.144323
2016-08-11,84.220001,84.669998,84.010002,84.529999,510200,84.19412
