Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,61.060001,61.330002,59.959999,60.529999,2004400,60.529999
2016-11-11,59.00,61.040001,58.799999,60.919998,1866300,60.919998
2016-11-10,58.98,59.619999,58.32,59.00,1987000,59.00
2016-11-09,56.939999,58.75,56.27,58.59,1859000,58.59
2016-11-08,57.41,58.299999,57.34,57.66,1701900,57.66
2016-11-07,56.41,58.009998,56.099998,57.580002,3152800,57.580002
2016-11-04,52.279999,56.919998,51.68,55.66,4236700,55.66
2016-11-03,53.57,54.099998,53.27,53.48,2066200,53.48
2016-11-02,53.32,53.669998,52.599998,53.25,1842200,53.25
2016-11-01,54.599998,54.68,52.93,53.27,1823100,53.27
2016-10-31,54.91,55.25,54.32,54.450001,1309500,54.450001
2016-10-28,54.50,55.16,54.50,54.860001,1673600,54.860001
2016-10-27,55.400002,55.639999,54.09,54.48,2528800,54.48
2016-10-26,55.639999,56.07,55.049999,55.400002,1650400,55.400002
2016-10-25,56.25,56.259998,55.23,55.84,1934400,55.84
2016-10-24,56.939999,56.939999,55.549999,56.209999,1585000,56.209999
2016-10-21,55.080002,55.650002,54.610001,55.490002,1649600,55.490002
2016-10-20,55.549999,55.98,55.220001,55.459999,2721500,55.459999
2016-10-19,54.82,55.810001,54.599998,55.560001,2133500,55.560001
2016-10-18,54.43,54.880001,53.779999,54.700001,1754500,54.700001
2016-10-17,54.200001,54.549999,53.59,53.849998,1648400,53.849998
2016-10-14,53.330002,54.560001,52.990002,54.189999,2608300,54.189999
2016-10-13,51.790001,53.279999,51.220001,52.939999,2265100,52.939999
2016-10-12,50.619999,51.689999,50.41,51.48,1500300,51.48
2016-10-11,51.150002,51.439999,50.48,50.50,1240000,50.50
2016-10-10,50.98,51.630001,50.98,51.080002,821000,51.080002
2016-10-07,51.529999,51.689999,50.68,50.84,2195000,50.84
2016-10-06,51.470001,51.860001,51.27,51.73,1681100,51.73
2016-10-05,51.75,52.110001,51.59,51.630001,763000,51.630001
2016-10-04,51.830002,52.169998,51.049999,51.450001,1219900,51.450001
2016-10-03,51.93,52.380001,51.68,51.869999,1486100,51.869999
2016-09-30,52.200001,52.950001,52.040001,52.209999,1888300,52.209999
2016-09-29,52.939999,53.459999,51.900002,52.25,1131200,52.25
2016-09-28,51.990002,52.990002,51.630001,52.900002,1526800,52.900002
2016-09-27,51.540001,52.130001,51.200001,52.099998,1057300,52.099998
2016-09-26,51.080002,51.700001,50.43,51.560001,2479400,51.560001
2016-09-23,51.400002,51.900002,51.209999,51.57,1472200,51.57
2016-09-22,51.639999,52.040001,51.490002,51.869999,1393700,51.869999
2016-09-21,50.139999,51.400002,49.799999,51.360001,2135100,51.360001
2016-09-20,50.360001,50.50,49.279999,49.310001,1283400,49.310001
2016-09-19,49.119999,50.889999,49.119999,49.790001,2698700,49.790001
2016-09-16,48.32,48.959999,47.459999,48.889999,2700000,48.889999
2016-09-15,46.400002,49.00,46.27,48.459999,2635700,48.459999
2016-09-14,45.759998,46.32,45.619999,46.299999,1407900,46.299999
2016-09-13,46.84,46.880001,45.549999,45.830002,1327700,45.830002
2016-09-12,46.200001,47.330002,46.200001,47.189999,2339100,47.189999
2016-09-09,46.759998,46.860001,46.23,46.419998,1453400,46.419998
2016-09-08,47.630001,47.68,46.970001,47.099998,1383000,47.099998
2016-09-07,47.950001,48.060001,47.720001,47.740002,1594500,47.740002
2016-09-06,49.400002,49.400002,47.939999,48.00,1110400,48.00
2016-09-02,47.990002,49.279999,47.959999,49.080002,1765800,49.080002
2016-09-01,47.09,48.369999,46.869999,47.630001,2020100,47.630001
2016-08-31,46.630001,47.099998,46.169998,47.040001,1174100,47.040001
2016-08-30,46.73,46.810001,46.330002,46.799999,936200,46.799999
2016-08-29,45.919998,46.970001,45.919998,46.610001,838500,46.610001
2016-08-26,47.080002,47.130001,46.060001,46.110001,720200,45.970001
2016-08-25,46.669998,47.119999,46.380001,46.959999,916000,46.817419
2016-08-24,47.34,47.349998,46.459999,46.799999,1497600,46.657905
2016-08-23,47.07,47.43,46.869999,47.349998,1568300,47.206234
2016-08-22,45.93,46.779999,45.830002,46.779999,1291000,46.637965
2016-08-19,45.669998,46.080002,45.650002,46.040001,1597900,45.900214
2016-08-18,45.740002,46.099998,45.369999,45.759998,2591700,45.621062
2016-08-17,46.610001,46.630001,45.549999,45.740002,1129500,45.601126
2016-08-16,47.099998,47.299999,46.490002,46.77,1961300,46.627997
2016-08-15,46.68,47.450001,46.68,47.349998,1511400,47.206234
2016-08-12,46.779999,47.220001,46.57,46.689999,1739900,46.548238
2016-08-11,46.889999,47.240002,46.549999,47.029999,1119200,46.887206
2016-08-10,47.630001,47.700001,46.25,46.84,1798900,46.697784
2016-08-09,48.00,49.200001,47.240002,47.759998,3560000,47.614989
2016-08-08,48.470001,48.470001,47.700001,48.02,1271600,47.874202
2016-08-05,48.00,48.77,47.639999,48.52,773500,48.372684
2016-08-04,47.57,48.00,47.560001,47.990002,817600,47.844294
2016-08-03,47.560001,48.119999,47.299999,47.639999,1064000,47.495355
2016-08-02,47.869999,47.880001,47.310001,47.59,1098800,47.445507
2016-08-01,47.84,48.27,47.529999,47.84,702400,47.694748
2016-07-29,47.73,48.279999,47.209999,47.830002,1692800,47.68478
2016-07-28,47.990002,48.139999,47.689999,47.700001,733300,47.555174
2016-07-27,48.450001,48.450001,47.82,48.049999,689200,47.90411
2016-07-26,48.00,48.259998,47.77,48.119999,850700,47.973897
2016-07-25,47.990002,48.00,47.759998,47.959999,644900,47.814383
2016-07-22,47.700001,48.080002,47.369999,47.959999,804800,47.814383
2016-07-21,48.380001,48.619999,47.610001,47.759998,1533100,47.614989
2016-07-20,48.549999,48.849998,48.099998,48.549999,1394200,48.402592
2016-07-19,48.639999,48.77,47.790001,48.220001,1989600,48.073596
2016-07-18,48.540001,48.880001,48.540001,48.630001,575500,48.482351
2016-07-15,48.82,49.18,48.389999,48.610001,1198700,48.462411
2016-07-14,49.150002,49.330002,48.509998,48.98,1283300,48.831286
2016-07-13,49.400002,49.610001,48.68,48.689999,1395000,48.542166
2016-07-12,50.009998,50.18,49.099998,49.169998,1584200,49.020708
2016-07-11,49.709999,49.950001,49.450001,49.619999,1089500,49.469343
2016-07-08,49.34,50.00,49.029999,49.540001,870200,49.389588
2016-07-07,49.189999,49.360001,48.580002,48.799999,1437300,48.651833
2016-07-06,48.580002,49.130001,48.25,48.990002,1821600,48.841258
2016-07-05,49.099998,49.419998,48.59,48.919998,1072500,48.771467
2016-07-01,49.580002,49.720001,49.189999,49.43,1077400,49.279921
2016-06-30,48.560001,49.650002,48.560001,49.650002,2044500,49.499254
2016-06-29,48.18,48.73,47.900002,48.529999,2499000,48.382652
2016-06-28,47.380001,47.720001,47.169998,47.59,1722700,47.445507
2016-06-27,48.650002,48.759998,46.860001,46.869999,3007100,46.727692
