Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,34.720001,35.119999,34.549999,34.779999,11101100,34.779999
2016-11-11,34.209999,34.610001,34.060001,34.580002,12392800,34.580002
2016-11-10,34.060001,34.75,33.939999,34.529999,15571800,34.529999
2016-11-09,32.400002,34.279999,32.389999,33.880001,23733800,33.880001
2016-11-08,32.060001,32.139999,31.629999,32.07,10585300,32.07
2016-11-07,31.299999,32.07,31.299999,32.049999,10621700,32.049999
2016-11-04,30.940001,31.379999,30.92,30.92,9336900,30.92
2016-11-03,30.860001,31.209999,30.639999,31.129999,12008100,31.129999
2016-11-02,30.530001,30.889999,30.43,30.74,10859400,30.74
2016-11-01,30.639999,30.76,30.15,30.41,6559900,30.41
2016-10-31,30.459999,30.860001,30.379999,30.51,5869600,30.51
2016-10-28,30.219999,30.68,30.01,30.280001,6987300,30.280001
2016-10-27,30.40,30.459999,30.219999,30.309999,5938600,30.309999
2016-10-26,30.790001,30.83,30.34,30.379999,8839800,30.379999
2016-10-25,30.32,31.02,30.16,30.85,8970300,30.85
2016-10-24,30.559999,30.700001,30.379999,30.41,8805300,30.41
2016-10-21,30.120001,30.389999,30.040001,30.290001,7414400,30.290001
2016-10-20,30.83,30.940001,30.219999,30.34,13692100,30.34
2016-10-19,30.51,31.290001,30.51,31.07,6244600,31.07
2016-10-18,31.35,31.450001,30.950001,31.02,6884500,31.02
2016-10-17,31.030001,31.200001,30.82,31.01,6586900,31.01
2016-10-14,31.450001,31.73,31.01,31.030001,9926000,31.030001
2016-10-13,30.629999,31.280001,30.26,31.15,15005800,31.15
2016-10-12,30.43,30.440001,30.110001,30.209999,12394200,30.209999
2016-10-11,30.809999,30.82,30.309999,30.469999,9900600,30.469999
2016-10-10,31.10,31.309999,30.77,30.83,9235900,30.83
2016-10-07,30.969999,31.15,30.82,31.049999,10591600,31.049999
2016-10-06,30.780001,31.16,30.60,31.059999,13302800,31.059999
2016-10-05,30.360001,30.77,30.24,30.709999,5291700,30.709999
2016-10-04,30.48,30.66,30.15,30.17,5863100,30.17
2016-10-03,30.33,30.50,30.23,30.43,4285600,30.43
2016-09-30,30.16,30.60,30.01,30.50,7140900,30.50
2016-09-29,30.059999,30.23,29.790001,29.99,7146800,29.99
2016-09-28,29.76,30.049999,29.60,30.01,4422400,30.01
2016-09-27,29.76,29.90,29.59,29.620001,5256600,29.620001
2016-09-26,29.43,29.93,29.389999,29.709999,6884000,29.709999
2016-09-23,29.379999,29.709999,29.32,29.639999,4995700,29.639999
2016-09-22,29.950001,30.110001,29.559999,29.57,5364100,29.57
2016-09-21,29.24,29.76,29.209999,29.709999,6671200,29.709999
2016-09-20,29.50,29.530001,29.09,29.10,5871100,29.10
2016-09-19,29.459999,29.59,29.200001,29.27,4565000,29.27
2016-09-16,29.129999,29.41,28.870001,29.33,11223800,29.33
