Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,24.43,24.459999,24.02,24.309999,12273500,24.309999
2016-11-11,23.83,23.99,23.58,23.799999,9552600,23.799999
2016-11-10,24.610001,24.639999,23.809999,23.809999,15049700,23.809999
2016-11-09,23.90,24.42,23.76,24.290001,10375300,24.290001
2016-11-08,23.690001,24.370001,23.620001,24.16,15353400,24.16
2016-11-07,23.360001,23.450001,23.030001,23.32,21786900,23.32
2016-11-04,23.290001,23.559999,22.92,23.049999,21633400,23.049999
2016-11-03,23.90,24.200001,22.860001,23.00,30038500,23.00
2016-11-02,25.00,25.08,24.17,24.18,21126800,24.18
2016-11-01,26.50,26.50,24.879999,24.969999,36114900,24.969999
2016-10-31,30.389999,30.389999,26.450001,26.58,71943600,26.58
2016-10-28,30.209999,31.00,29.809999,30.389999,15383000,30.389999
2016-10-27,28.309999,33.450001,27.82,31.00,36625600,31.00
2016-10-26,28.42,28.42,28.059999,28.25,3289300,28.25
2016-10-25,28.32,28.59,28.280001,28.450001,3390400,28.450001
2016-10-24,28.280001,28.68,28.17,28.32,3193700,28.32
2016-10-21,27.85,28.33,27.83,28.209999,4790600,28.209999
2016-10-20,28.139999,28.18,27.77,27.969999,4336600,27.969999
2016-10-19,27.99,28.309999,27.889999,28.18,3274300,28.18
2016-10-18,27.49,27.99,27.450001,27.90,3770400,27.90
2016-10-17,27.32,27.610001,27.200001,27.370001,3118100,27.370001
2016-10-14,27.49,27.639999,27.309999,27.34,2003300,27.34
2016-10-13,27.43,27.620001,27.09,27.389999,2750600,27.389999
2016-10-12,27.65,27.790001,27.51,27.57,2580400,27.57
2016-10-11,27.889999,28.10,27.559999,27.639999,5412900,27.639999
2016-10-10,27.879999,28.139999,27.700001,27.84,3118200,27.84
2016-10-07,27.110001,29.08,27.01,27.76,13519700,27.76
2016-10-06,27.00,27.030001,26.67,26.969999,3531300,26.969999
2016-10-05,27.129999,27.27,26.84,27.030001,4826400,27.030001
2016-10-04,27.52,27.549999,26.90,27.08,4342400,27.08
2016-10-03,27.440001,27.559999,27.33,27.52,3048400,27.52
2016-09-30,27.690001,27.809999,27.42,27.43,3363400,27.43
2016-09-29,27.49,27.74,27.290001,27.52,2611000,27.52
2016-09-28,27.35,27.57,27.129999,27.549999,2598200,27.549999
2016-09-27,27.33,27.51,27.10,27.35,2844900,27.35
2016-09-26,27.389999,27.49,27.219999,27.309999,2357700,27.309999
2016-09-23,27.459999,27.620001,27.32,27.42,3853900,27.42
2016-09-22,27.08,27.719999,26.950001,27.610001,5095000,27.610001
2016-09-21,26.84,27.200001,26.65,26.92,4296800,26.92
2016-09-20,27.25,27.280001,26.719999,26.75,3345400,26.75
2016-09-19,26.98,27.25,26.809999,27.040001,4457000,27.040001
2016-09-16,26.959999,27.00,26.51,26.889999,7114400,26.889999
2016-09-15,27.389999,27.59,26.940001,26.98,7595200,26.98
2016-09-14,27.48,27.68,27.32,27.43,2958100,27.43
2016-09-13,27.799999,27.84,27.18,27.440001,4497100,27.440001
2016-09-12,27.629999,28.110001,27.42,28.040001,4772000,28.040001
2016-09-09,28.35,28.940001,27.860001,27.860001,7008400,27.860001
2016-09-08,28.40,28.43,28.23,28.35,3404200,28.35
2016-09-07,28.17,28.42,28.08,28.40,3210800,28.40
2016-09-06,27.959999,28.27,27.92,28.17,2992300,28.17
2016-09-02,27.92,28.10,27.77,27.940001,3048200,27.940001
2016-09-01,27.879999,27.959999,27.540001,27.74,4470200,27.74
2016-08-31,28.049999,28.190001,27.719999,27.799999,4472600,27.799999
2016-08-30,28.75,28.85,28.459999,28.57,4945000,28.03
2016-08-29,28.889999,29.00,28.639999,28.75,4011300,28.206598
2016-08-26,29.24,29.48,28.58,28.76,4247600,28.216409
2016-08-25,29.129999,29.42,29.049999,29.15,3530200,28.599037
2016-08-24,29.17,29.23,28.93,29.049999,3230300,28.500927
2016-08-23,29.139999,29.32,29.02,29.10,2737600,28.549983
2016-08-22,28.860001,29.200001,28.68,28.93,4620100,28.383196
2016-08-19,29.040001,29.07,28.690001,28.84,4681400,28.294897
2016-08-18,29.32,29.360001,28.93,29.129999,4395200,28.579415
2016-08-17,29.469999,29.50,28.85,29.25,3932800,28.697148
2016-08-16,30.02,30.059999,29.40,29.42,3181100,28.863935
2016-08-15,30.030001,30.15,29.90,30.02,2279500,29.452595
2016-08-12,30.379999,30.52,29.889999,29.959999,3197900,29.393727
2016-08-11,30.43,30.559999,30.23,30.42,3928300,29.845034
2016-08-10,30.15,30.370001,30.08,30.34,4076000,29.766546
2016-08-09,30.34,30.360001,30.059999,30.15,2885000,29.580137
2016-08-08,30.01,30.35,30.01,30.280001,3636700,29.70768
2016-08-05,30.25,30.290001,29.809999,29.879999,4790400,29.315239
2016-08-04,29.700001,30.57,29.15,30.25,8008600,29.678247
2016-08-03,30.559999,30.620001,30.25,30.51,6568500,29.933333
2016-08-02,31.02,31.08,30.370001,30.59,6678600,30.011821
2016-08-01,31.43,31.440001,30.84,31.02,8014700,30.433694
2016-07-29,30.76,31.50,30.75,31.440001,6218500,30.845755
2016-07-28,30.59,30.969999,30.50,30.83,3467800,30.247284
2016-07-27,30.85,30.85,30.280001,30.709999,5193500,30.129552
2016-07-26,30.84,31.07,30.57,30.629999,2496000,30.051064
2016-07-25,30.85,30.98,30.73,30.879999,3124300,30.296338
2016-07-22,30.75,31.040001,30.620001,30.90,2286700,30.315961
2016-07-21,30.50,30.76,30.469999,30.639999,3569700,30.060875
2016-07-20,30.60,30.60,30.219999,30.549999,4001500,29.972576
2016-07-19,30.809999,30.82,30.33,30.49,4718200,29.91371
2016-07-18,30.620001,31.00,30.209999,30.92,4912900,30.335583
2016-07-15,31.530001,31.559999,31.17,31.32,4568400,30.728023
2016-07-14,31.040001,31.33,31.01,31.299999,4369000,30.7084
2016-07-13,30.67,31.08,30.49,30.879999,3948700,30.296338
2016-07-12,30.58,31.00,30.469999,30.74,5578500,30.158985
2016-07-11,30.16,30.51,30.15,30.33,4845500,29.756735
2016-07-08,29.60,30.23,29.469999,30.219999,5100800,29.648813
2016-07-07,29.530001,29.75,29.190001,29.379999,3568800,28.82469
2016-07-06,28.91,29.51,28.639999,29.50,4360000,28.942423
2016-07-05,29.360001,29.389999,28.790001,28.93,3620600,28.383196
2016-07-01,29.00,29.40,28.84,29.370001,4016700,28.81488
2016-06-30,28.48,29.030001,28.280001,29.01,5490100,28.461684
2016-06-29,28.15,28.459999,27.92,28.450001,7539700,27.912269
2016-06-28,27.15,27.91,27.08,27.84,4788000,27.313798
2016-06-27,27.76,27.82,26.57,26.82,7794100,26.313077
2016-06-24,27.959999,28.23,27.73,27.93,7198700,27.402097
2016-06-23,28.27,28.74,28.17,28.52,3478100,27.980946
2016-06-22,27.99,28.280001,27.90,27.92,4703300,27.392286
2016-06-21,27.639999,28.200001,27.559999,28.08,4730400,27.549262
2016-06-20,27.690001,27.93,27.559999,27.57,4314400,27.048901
2016-06-17,27.10,27.48,27.08,27.459999,10587100,26.94098
2016-06-16,27.07,27.379999,26.959999,27.24,7071200,26.725138
2016-06-15,26.77,27.98,26.76,27.23,9091700,26.715327
2016-06-14,26.90,26.969999,26.559999,26.68,5626800,26.175723
2016-06-13,26.68,27.18,26.68,26.889999,5675000,26.381753
2016-06-10,26.889999,27.09,26.60,26.959999,5564300,26.45043
2016-06-09,27.040001,27.129999,26.780001,27.00,3235600,26.489675
2016-06-08,27.40,27.450001,27.02,27.040001,4554700,26.52892
2016-06-07,27.07,27.440001,27.059999,27.290001,5174500,26.774194
2016-06-06,27.34,27.57,27.139999,27.15,4337200,26.636839
2016-06-03,27.049999,27.469999,27.040001,27.35,4516900,26.83306
2016-06-02,26.85,27.15,26.68,27.120001,3686000,26.607408
2016-06-01,27.049999,27.26,26.85,26.90,4001700,26.391565
2016-05-31,26.940001,27.219999,26.870001,27.120001,6054700,26.607408
2016-05-27,26.65,26.92,26.65,26.809999,3173100,26.303266
2016-05-26,26.639999,26.790001,26.35,26.629999,3891800,26.126667
2016-05-25,27.299999,27.58,27.10,27.18,3996000,26.13648
2016-05-24,27.16,27.25,26.959999,27.200001,4142400,26.155712
2016-05-23,27.00,27.09,26.90,26.91,3988300,25.876845
2016-05-20,27.129999,27.209999,26.84,27.059999,4545400,26.021086
2016-05-19,26.879999,27.110001,26.65,26.92,6537000,25.886462
