Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,9.69,9.69,9.40,9.40,355500,9.40
2016-11-11,9.72,9.84,9.66,9.66,96900,9.66
2016-11-10,10.10,10.14,9.80,9.88,1193800,9.88
2016-11-09,9.90,10.05,9.81,9.90,77100,9.90
2016-11-08,9.95,10.00,9.86,9.90,360500,9.90
2016-11-07,10.00,10.00,9.90,9.95,118300,9.95
2016-11-04,10.00,10.00,9.89,10.00,87400,10.00
2016-11-03,10.05,10.08,9.92,10.02,104600,10.02
2016-11-02,10.00,10.04,9.94,9.94,96500,9.94
2016-11-01,9.94,10.15,9.94,9.97,623300,9.97
2016-10-31,9.99,10.10,9.88,9.90,330200,9.90
2016-10-28,10.03,10.03,9.80,9.95,518200,9.95
2016-10-27,10.00,10.00,9.80,10.00,1193200,10.00
2016-10-26,10.05,10.13,9.99,10.00,1127300,10.00
2016-10-25,10.08,10.16,9.96,10.08,223700,10.08
2016-10-24,10.20,10.20,10.05,10.08,687300,10.08
2016-10-21,9.91,10.18,9.90,10.17,5931300,10.17
2016-10-20,9.90,9.99,9.82,9.91,323700,9.91
2016-10-19,10.00,10.00,9.90,9.94,2344100,9.94
2016-10-18,10.00,10.00,9.92,9.96,822900,9.96
2016-10-17,9.99,10.15,9.97,10.00,2098900,10.00
2016-10-14,9.80,10.00,9.79,9.92,3962900,9.92
2016-10-13,9.73,9.80,9.70,9.79,539100,9.79
2016-10-12,9.66,9.76,9.66,9.68,409200,9.68
2016-10-11,9.70,9.80,9.65,9.70,1236200,9.70
2016-10-10,9.90,9.90,9.65,9.66,348400,9.66
2016-10-07,9.95,9.95,9.65,9.72,493800,9.72
2016-10-06,9.85,9.99,9.77,9.90,649100,9.90
2016-10-05,9.70,9.81,9.60,9.75,309700,9.75
2016-10-04,9.80,9.88,9.60,9.75,837400,9.75
2016-10-03,9.98,9.98,9.75,9.86,2047700,9.86
2016-09-30,9.85,9.86,9.79,9.85,2190200,9.85
2016-09-29,9.88,10.10,9.53,9.80,3973900,9.80
2016-09-28,9.88,9.89,9.01,9.64,1396400,9.64
2016-09-27,9.35,9.54,9.34,9.44,216800,9.298
2016-09-26,9.35,9.35,9.27,9.35,134800,9.20935
2016-09-23,9.30,9.35,9.25,9.35,61600,9.20935
2016-09-22,9.25,9.30,9.25,9.30,99500,9.16011
2016-09-21,9.30,9.35,9.30,9.33,399300,9.18965
2016-09-20,9.25,9.40,9.25,9.35,91300,9.20935
2016-09-19,9.21,9.40,9.21,9.38,69800,9.2389
2016-09-16,9.30,9.40,9.25,9.39,1436500,9.24875
2016-09-15,9.40,9.40,9.20,9.40,90500,9.2586
2016-09-14,9.29,9.35,9.12,9.35,338800,9.20935
2016-09-13,9.26,9.30,9.20,9.20,183000,9.06161
2016-09-12,9.35,9.38,9.26,9.34,29100,9.1995
2016-09-09,9.37,9.42,9.35,9.35,100100,9.20935
2016-09-08,9.41,9.41,9.35,9.37,498400,9.22905
2016-09-07,9.42,9.45,9.40,9.40,513700,9.2586
2016-09-06,9.50,9.50,9.40,9.40,189300,9.2586
2016-09-05,9.53,9.54,9.45,9.46,335300,9.3177
2016-09-02,9.64,9.64,9.40,9.53,712800,9.38665
2016-09-01,9.90,9.90,9.51,9.64,367500,9.49499
