Date,Open,High,Low,Close,Volume,Adj Close
2013-10-29,13.84,13.87,13.83,13.86,65719900,13.86
2013-10-28,13.84,13.85,13.82,13.83,130524200,13.83
2013-10-25,13.85,13.85,13.84,13.84,10252800,13.84
2013-10-24,13.84,13.85,13.84,13.85,9101300,13.85
2013-10-23,13.845,13.85,13.84,13.84,6635800,13.84
2013-10-22,13.85,13.85,13.84,13.845,6651600,13.845
2013-10-21,13.84,13.86,13.84,13.85,4865700,13.85
2013-10-18,13.85,13.90,13.83,13.83,10856500,13.83
2013-10-17,13.84,13.85,13.84,13.85,3412900,13.85
2013-10-16,13.84,13.85,13.84,13.849,5819800,13.849
2013-10-15,13.84,13.85,13.83,13.83,6983100,13.83
2013-10-14,13.84,13.85,13.84,13.845,4832800,13.845
2013-10-11,13.83,13.85,13.83,13.845,6676400,13.845
2013-10-10,13.835,13.84,13.83,13.835,7839800,13.835
2013-10-09,13.84,13.84,13.83,13.83,10967500,13.83
2013-10-08,13.84,13.85,13.83,13.83,15024700,13.83
2013-10-07,13.84,13.845,13.83,13.84,12557800,13.84
2013-10-04,13.84,13.84,13.83,13.84,9116600,13.84
2013-10-03,13.83,13.85,13.83,13.83,12388500,13.83
2013-10-02,13.835,13.84,13.83,13.83,6573900,13.83
2013-10-01,13.82,13.84,13.81,13.84,29168800,13.84
2013-09-30,13.78,13.78,13.75,13.751,16216500,13.751
2013-09-27,13.79,13.80,13.77,13.78,15827500,13.78
2013-09-26,13.86,13.87,13.8486,13.86,16460300,13.78
2013-09-25,13.87,13.88,13.86,13.86,11829700,13.78
2013-09-24,13.87,13.88,13.87,13.875,10570200,13.79491
2013-09-23,13.87,13.88,13.87,13.875,5585100,13.79491
2013-09-20,13.88,13.90,13.86,13.88,15348500,13.79988
2013-09-19,13.86,13.87,13.86,13.865,6201200,13.78497
2013-09-18,13.86,13.87,13.85,13.865,10748300,13.78497
2013-09-17,13.86,13.87,13.85,13.85,15104800,13.77006
2013-09-16,13.85,13.86,13.85,13.85,16196700,13.77006
2013-09-13,13.85,13.86,13.84,13.85,10376000,13.77006
2013-09-12,13.84,13.875,13.83,13.85,88647200,13.77006
2013-09-11,13.85,13.87,13.80,13.85,19669000,13.77006
2013-09-10,13.85,13.86,13.84,13.85,21983600,13.77006
2013-09-09,13.82,13.86,13.82,13.84,19175500,13.76012
2013-09-06,13.83,13.84,13.81,13.84,9003100,13.76012
2013-09-05,13.81,13.84,13.80,13.825,10285500,13.7452
2013-09-04,13.77,13.82,13.76,13.81,14718300,13.73029
2013-09-03,13.78,13.80,13.76,13.77,10382700,13.69052
2013-09-02,13.77,13.77,13.77,13.77,000,13.69052
2013-08-30,13.75,13.79,13.75,13.77,6182200,13.69052
2013-08-29,13.80,13.80,13.75,13.75,31770700,13.67064
2013-08-28,13.78,13.80,13.78,13.78,24137200,13.70046
2013-08-27,13.79,13.81,13.77,13.775,15716500,13.69549
2013-08-26,13.80,13.82,13.79,13.80,5690100,13.72035
2013-08-23,13.78,13.815,13.78,13.81,7421600,13.73029
2013-08-22,13.78,13.80,13.78,13.795,4456900,13.71538
2013-08-21,13.77,13.80,13.77,13.79,5308200,13.7104
2013-08-20,13.78,13.80,13.76,13.76,10171500,13.68058
2013-08-19,13.80,13.83,13.775,13.79,13416800,13.7104
2013-08-16,13.69,13.85,13.69,13.82,29134000,13.74023
2013-08-15,13.73,13.73,13.52,13.705,13850100,13.62589
2013-08-14,13.725,13.74,13.71,13.72,8288100,13.64081
2013-08-13,13.73,13.75,13.71,13.72,7857000,13.64081
2013-08-12,13.73,13.75,13.71,13.73,8076800,13.65075
2013-08-09,13.72,13.75,13.71,13.74,14067900,13.66069
2013-08-08,13.73,13.75,13.709,13.75,13251700,13.67064
2013-08-07,13.70,13.7398,13.69,13.71,15213500,13.63087
2013-08-06,13.66,13.74,13.66,13.73,23459000,13.65075
2013-08-05,13.66,13.68,13.65,13.68,12138700,13.60104
2013-08-02,13.61,13.68,13.545,13.68,108752300,13.60104
2013-08-01,12.85,13.04,12.74,12.955,40696400,12.88022
2013-07-31,12.65,12.98,12.28,12.66,60233000,12.58693
2013-07-30,12.89,12.92,12.82,12.86,10912700,12.78577
2013-07-29,12.90,12.95,12.71,12.87,21072600,12.79571
2013-07-26,12.95,12.97,12.90,12.94,11368300,12.86531
2013-07-25,12.84,12.99,12.84,12.98,15421300,12.90508
2013-07-24,12.85,13.25,12.66,12.915,94670600,12.84045
2013-07-23,13.04,13.05,12.85,12.88,21617100,12.80566
2013-07-22,13.00,13.12,12.95,13.02,36477300,12.94485
2013-07-19,13.16,13.17,12.985,13.14,34726500,13.06416
2013-07-18,13.11,13.22,13.07,13.12,42568100,13.04427
2013-07-17,12.80,12.99,12.75,12.88,51979900,12.80566
2013-07-16,13.18,13.19,12.92,13.02,62402600,12.94485
2013-07-15,13.29,13.30,13.14,13.146,18365900,13.07012
2013-07-12,13.38,13.39,13.28,13.32,20150300,13.24312
2013-07-11,13.36,13.46,13.34,13.345,24035700,13.26797
2013-07-10,13.36,13.40,13.33,13.33,31077000,13.25306
2013-07-09,13.42,13.48,13.355,13.36,26879600,13.28289
2013-07-08,13.36,13.44,13.28,13.435,50012300,13.35745
2013-07-05,13.25,13.25,12.70,13.03,53010100,12.95479
2013-07-04,13.31,13.31,13.31,13.31,000,13.23318
2013-07-03,13.31,13.37,13.29,13.31,27333900,13.23318
2013-07-02,13.32,13.39,13.31,13.38,21958300,13.30277
2013-07-01,13.37,13.39,13.30,13.31,19972100,13.23318
2013-06-28,13.33,13.40,13.32,13.325,16860600,13.24809
2013-06-27,13.38,13.44,13.34,13.34,8502800,13.263
2013-06-26,13.42,13.48,13.38,13.46,11711600,13.30277
2013-06-25,13.39,13.45,13.36,13.43,10213000,13.27312
2013-06-24,13.35,13.37,13.28,13.34,10615100,13.18417
2013-06-21,13.38,13.38,13.32,13.35,22960400,13.19406
2013-06-20,13.38,13.401,13.33,13.365,17175000,13.20888
2013-06-19,13.47,13.48,13.40,13.41,13706400,13.25335
2013-06-18,13.41,13.74,13.40,13.48,98986100,13.32254
2013-06-17,13.39,13.43,13.39,13.41,8444200,13.25335
2013-06-14,13.42,13.50,13.38,13.39,11630900,13.23359
2013-06-13,13.37,13.58,13.36,13.45,8737100,13.29289
2013-06-12,13.39,13.41,13.36,13.37,13689500,13.21382
2013-06-11,13.39,13.43,13.36,13.37,7789800,13.21382
2013-06-10,13.46,13.48,13.40,13.42,7518700,13.26324
2013-06-07,13.50,13.53,13.455,13.49,11453300,13.33242
