Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,18.73,18.879999,18.559999,18.83,1423500,18.83
2016-11-11,18.84,18.969999,18.530001,18.709999,2018400,18.709999
2016-11-10,19.780001,19.82,18.83,18.85,2480300,18.85
2016-11-09,19.17,19.790001,19.07,19.780001,2285000,19.780001
2016-11-08,18.940001,19.67,18.940001,19.51,2177800,19.51
2016-11-07,19.040001,19.049999,18.610001,18.879999,3215400,18.879999
2016-11-04,18.379999,18.75,18.309999,18.459999,3142600,18.459999
2016-11-03,18.459999,18.49,18.299999,18.40,2028400,18.40
2016-11-02,18.34,18.52,18.190001,18.43,2437300,18.43
2016-11-01,18.219999,18.459999,18.09,18.27,2441800,18.27
2016-10-31,18.49,18.49,17.809999,18.26,4517500,18.26
2016-10-28,16.700001,18.91,16.610001,18.49,12695700,18.49
2016-10-27,16.82,16.82,16.52,16.700001,1094400,16.700001
2016-10-26,16.809999,16.93,16.700001,16.809999,1230200,16.809999
2016-10-25,16.74,16.85,16.629999,16.83,1301000,16.83
2016-10-24,16.790001,16.84,16.620001,16.73,932900,16.73
2016-10-21,16.530001,16.639999,16.370001,16.610001,1391400,16.610001
2016-10-20,16.719999,16.719999,16.450001,16.58,1432700,16.58
2016-10-19,16.75,16.799999,16.58,16.73,1586800,16.73
2016-10-18,16.58,16.77,16.52,16.73,941000,16.73
2016-10-17,16.360001,16.559999,16.34,16.51,748000,16.51
2016-10-14,16.41,16.469999,16.25,16.33,1219300,16.33
2016-10-13,16.34,16.40,16.27,16.309999,925400,16.309999
2016-10-12,16.23,16.43,16.200001,16.389999,882900,16.389999
2016-10-11,16.40,16.40,16.15,16.209999,928800,16.209999
2016-10-10,16.23,16.50,16.200001,16.389999,762800,16.389999
2016-10-07,16.51,16.52,16.10,16.23,1946900,16.23
2016-10-06,16.360001,16.59,16.280001,16.51,1074800,16.51
2016-10-05,16.219999,16.450001,16.209999,16.34,1349400,16.34
2016-10-04,16.23,16.43,16.200001,16.209999,959100,16.209999
2016-10-03,16.40,16.40,16.15,16.209999,1636100,16.209999
2016-09-30,16.42,16.57,16.35,16.40,1673200,16.40
2016-09-29,16.370001,16.540001,16.370001,16.389999,931100,16.389999
2016-09-28,16.379999,16.469999,16.299999,16.370001,1355100,16.370001
2016-09-27,16.610001,16.620001,16.35,16.389999,1529900,16.389999
2016-09-26,16.469999,16.700001,16.42,16.530001,1697200,16.530001
2016-09-23,16.469999,16.540001,16.290001,16.50,1362300,16.50
2016-09-22,16.309999,16.639999,16.24,16.610001,1736500,16.610001
2016-09-21,16.00,16.24,15.93,16.190001,1303500,16.190001
2016-09-20,16.219999,16.27,16.01,16.030001,1273600,16.030001
2016-09-19,16.27,16.42,16.16,16.18,1784300,16.18
2016-09-16,16.51,16.530001,16.23,16.280001,2198800,16.280001
2016-09-15,15.96,16.639999,15.90,16.559999,3379500,16.559999
2016-09-14,16.030001,16.08,15.69,15.97,2257200,15.97
2016-09-13,16.00,16.120001,15.89,15.95,1681600,15.95
2016-09-12,15.89,16.139999,15.78,16.07,2238300,16.07
2016-09-09,16.33,16.33,15.81,15.88,3612200,15.88
2016-09-08,16.719999,16.75,16.43,16.450001,2890700,16.450001
2016-09-07,17.219999,17.25,16.73,16.790001,2500500,16.790001
2016-09-06,17.290001,17.32,17.129999,17.27,1861500,17.27
2016-09-02,17.02,17.33,17.01,17.25,1344000,17.25
2016-09-01,17.120001,17.200001,16.950001,17.049999,1576500,17.049999
2016-08-31,17.09,17.25,17.030001,17.209999,1656100,17.209999
2016-08-30,16.889999,17.10,16.809999,17.10,1498000,17.10
2016-08-29,16.67,16.940001,16.66,16.83,1138500,16.83
2016-08-26,16.870001,16.879999,16.549999,16.709999,2389600,16.709999
2016-08-25,16.99,17.030001,16.799999,16.82,3128900,16.82
2016-08-24,17.309999,17.309999,16.92,17.01,2201200,17.01
2016-08-23,16.93,17.32,16.85,17.299999,2466200,17.299999
2016-08-22,16.780001,16.959999,16.709999,16.93,1259400,16.93
2016-08-19,16.93,16.959999,16.700001,16.790001,1529900,16.790001
2016-08-18,17.030001,17.139999,16.889999,16.91,1477700,16.91
2016-08-17,17.110001,17.200001,16.91,17.07,2374800,16.98
2016-08-16,17.209999,17.389999,17.09,17.110001,2226800,17.01979
2016-08-15,17.48,17.639999,17.27,17.32,1872700,17.228682
2016-08-12,17.549999,17.82,17.450001,17.469999,2501500,17.377891
2016-08-11,17.620001,17.75,17.42,17.530001,2821000,17.437576
2016-08-10,18.120001,18.120001,17.549999,17.559999,2438800,17.467416
2016-08-09,18.01,18.41,17.629999,18.110001,2862500,18.014518
2016-08-08,18.139999,18.379999,17.190001,18.16,5456800,18.064253
2016-08-05,18.42,19.049999,18.40,18.82,2640600,18.720773
2016-08-04,18.559999,18.700001,18.25,18.389999,1294000,18.29304
2016-08-03,18.559999,18.68,18.41,18.50,1558100,18.402461
2016-08-02,18.889999,18.90,18.370001,18.59,1512200,18.491986
2016-08-01,18.43,18.889999,18.379999,18.889999,1490800,18.790404
2016-07-29,18.059999,18.540001,18.059999,18.459999,1674100,18.362671
2016-07-28,17.959999,18.18,17.870001,18.10,715500,18.00457
2016-07-27,18.120001,18.200001,17.84,17.959999,1072300,17.865307
2016-07-26,18.57,18.639999,18.07,18.09,989900,17.994623
2016-07-25,18.50,18.969999,18.43,18.559999,1236000,18.462144
2016-07-22,18.290001,18.629999,18.25,18.549999,922700,18.452196
2016-07-21,18.08,18.360001,18.049999,18.27,1259200,18.173674
2016-07-20,18.370001,18.450001,18.02,18.129999,1744700,18.034411
2016-07-19,18.52,18.58,18.290001,18.41,1028600,18.312935
2016-07-18,18.629999,18.68,18.370001,18.49,939200,18.392513
2016-07-15,18.629999,18.73,18.50,18.59,821900,18.491986
2016-07-14,18.959999,19.030001,18.559999,18.58,1224400,18.482039
2016-07-13,18.860001,19.049999,18.790001,18.950001,947800,18.850089
2016-07-12,18.860001,19.049999,18.690001,18.870001,1104400,18.770511
2016-07-11,19.639999,19.67,18.77,18.860001,1597500,18.760563
2016-07-08,18.940001,19.32,18.65,19.200001,2289800,19.098771
2016-07-07,19.049999,19.34,18.91,18.940001,1835700,18.840141
2016-07-06,18.34,18.92,18.27,18.790001,2503500,18.690933
2016-07-05,18.07,18.299999,17.84,18.27,1443500,18.173674
2016-07-01,18.120001,18.309999,17.969999,18.110001,1611200,18.014518
2016-06-30,17.52,18.35,17.25,18.09,3140100,17.994623
2016-06-29,17.43,17.59,17.26,17.51,1414600,17.417681
2016-06-28,17.25,17.52,17.15,17.290001,1612800,17.198841
2016-06-27,17.42,17.530001,17.190001,17.25,2943300,17.159051
2016-06-24,16.84,17.559999,16.84,17.450001,1842600,17.357998
2016-06-23,17.59,17.73,17.389999,17.58,1360400,17.487311
2016-06-22,17.91,17.959999,17.370001,17.469999,1541800,17.377891
2016-06-21,17.790001,17.92,17.620001,17.879999,1067300,17.785729
2016-06-20,17.719999,18.00,17.68,17.74,1376000,17.646468
2016-06-17,17.57,17.67,17.25,17.58,1793300,17.487311
2016-06-16,17.440001,17.68,17.43,17.65,1634400,17.556942
2016-06-15,17.440001,17.540001,17.26,17.440001,2129300,17.34805
