Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,27.50,27.98,27.309999,27.969999,5742600,27.969999
2016-11-11,27.450001,28.00,27.280001,27.33,7924000,27.33
2016-11-10,27.620001,28.139999,27.190001,27.52,13933200,27.52
2016-11-09,27.18,27.82,26.690001,27.540001,9234500,27.540001
2016-11-08,27.799999,28.219999,27.18,27.77,12849600,27.77
2016-11-07,29.280001,29.440001,29.00,29.370001,5300700,29.370001
2016-11-04,28.32,29.360001,28.200001,28.75,6098300,28.75
2016-11-03,28.709999,28.790001,28.27,28.290001,3992800,28.290001
2016-11-02,28.65,28.85,28.32,28.610001,2741500,28.610001
2016-11-01,28.83,29.059999,28.389999,28.66,2565300,28.66
2016-10-31,28.73,29.02,28.67,28.83,2708700,28.83
2016-10-28,28.110001,28.870001,28.08,28.639999,3198800,28.639999
2016-10-27,28.67,28.76,27.780001,28.059999,5864400,28.059999
2016-10-26,28.719999,28.860001,28.459999,28.58,4861200,28.58
2016-10-25,29.10,29.10,28.60,28.809999,3804600,28.809999
2016-10-24,29.280001,29.50,29.219999,29.290001,3031400,29.290001
2016-10-21,29.120001,29.280001,28.99,29.08,4166400,29.08
2016-10-20,29.52,29.540001,29.01,29.370001,5191000,29.370001
2016-10-19,29.530001,29.77,29.18,29.73,4265200,29.73
2016-10-18,29.10,29.540001,28.889999,29.40,3438500,29.40
2016-10-17,28.92,29.23,28.68,28.799999,4226900,28.799999
2016-10-14,29.02,29.299999,28.77,28.879999,4698000,28.879999
2016-10-13,29.190001,29.200001,28.709999,28.879999,4278700,28.879999
2016-10-12,29.299999,29.620001,29.16,29.469999,2869000,29.469999
2016-10-11,29.57,29.65,29.049999,29.200001,2624400,29.200001
2016-10-10,29.950001,30.110001,29.549999,29.620001,3651200,29.620001
2016-10-07,30.33,30.620001,29.530001,29.60,3508400,29.60
2016-10-06,29.91,30.389999,29.76,30.280001,2286600,30.280001
2016-10-05,30.08,30.370001,30.02,30.08,2729600,30.08
2016-10-04,30.110001,30.48,29.790001,29.90,3894400,29.90
2016-10-03,30.059999,30.17,29.85,30.08,2215800,30.08
2016-09-30,30.33,30.41,29.98,30.200001,4380100,30.200001
2016-09-29,30.370001,30.629999,30.059999,30.139999,4657600,30.139999
2016-09-28,30.049999,30.360001,29.959999,30.32,2505800,30.32
2016-09-27,29.889999,30.26,29.76,30.02,3389200,30.02
2016-09-26,30.059999,30.25,29.719999,29.92,6189400,29.92
2016-09-23,30.50,30.75,30.18,30.18,3160900,30.18
2016-09-22,30.549999,30.870001,30.450001,30.610001,3348700,30.610001
2016-09-21,29.98,30.299999,29.639999,30.26,4603300,30.26
2016-09-20,30.629999,30.629999,29.84,29.940001,4736500,29.940001
2016-09-19,30.18,30.90,30.18,30.459999,3385500,30.459999
2016-09-16,30.219999,30.41,29.879999,29.969999,5200100,29.969999
2016-09-15,30.110001,30.57,29.950001,30.469999,4008100,30.469999
