Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,50.610001,50.93,50.099998,50.470001,153000,50.470001
2016-11-11,50.152,50.939999,50.152,50.939999,2700,50.939999
2016-11-10,51.50,51.50,50.290001,50.50,263600,50.50
2016-11-09,52.00,52.00,51.25,51.25,55700,51.25
2016-11-08,52.240002,52.50,52.240002,52.50,195000,52.50
2016-11-07,52.34,52.349998,51.445,52.23,2900,52.23
2016-11-04,51.009998,52.50,51.009998,52.50,7500,52.50
2016-11-03,51.43,51.435001,51.00,51.00,65100,51.00
2016-11-02,51.900002,51.900002,50.110001,51.381001,38400,51.381001
2016-11-01,52.98,52.98,51.790001,51.900002,67400,51.900002
2016-10-31,51.900002,53.25,51.900002,53.25,269400,53.25
2016-10-28,51.691002,51.700001,51.691002,51.700001,500,51.700001
2016-10-27,51.50,51.50,51.50,51.50,52600,51.50
2016-10-26,51.900002,52.00,51.50,51.900002,122800,51.900002
2016-10-25,51.279999,52.00,51.279999,51.720001,84400,51.720001
2016-10-24,51.389999,51.400002,51.360001,51.369999,142500,51.369999
2016-10-21,51.27,51.27,50.349998,51.00,124200,51.00
