Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,18.17,18.879999,18.07,18.209999,4053200,18.209999
2016-11-11,17.33,18.02,17.33,17.959999,3530900,17.959999
2016-11-10,16.99,17.67,16.969999,17.450001,4021200,17.450001
2016-11-09,16.02,16.77,15.78,16.700001,5266300,16.700001
2016-11-08,15.49,15.62,15.30,15.48,1901500,15.48
2016-11-07,15.48,15.59,15.36,15.57,1270200,15.57
2016-11-04,15.04,15.26,14.92,15.11,1520500,15.11
2016-11-03,15.14,15.20,15.03,15.07,1387900,15.07
2016-11-02,15.32,15.36,15.01,15.06,1970500,15.06
2016-11-01,15.50,15.57,15.23,15.43,1521400,15.43
2016-10-31,15.43,15.49,15.31,15.41,1730200,15.41
2016-10-28,15.39,15.49,15.25,15.36,2477900,15.36
2016-10-27,15.45,15.50,15.30,15.34,1901400,15.34
2016-10-26,15.22,15.41,15.21,15.30,2091500,15.30
2016-10-25,15.25,15.32,15.20,15.29,2010100,15.29
2016-10-24,15.43,15.46,15.23,15.25,1854600,15.25
2016-10-21,15.14,15.30,15.09,15.22,2024900,15.22
2016-10-20,15.10,15.39,15.09,15.26,2449300,15.26
2016-10-19,14.78,15.18,14.78,15.15,2171700,15.15
2016-10-18,14.91,14.91,14.60,14.73,2407100,14.73
2016-10-17,14.82,14.92,14.67,14.71,2637700,14.71
2016-10-14,15.15,15.25,14.61,14.81,4880400,14.81
2016-10-13,15.32,15.34,14.98,15.06,3176000,15.06
2016-10-12,15.61,15.66,15.46,15.48,1571400,15.48
2016-10-11,15.71,15.80,15.51,15.58,2201200,15.58
2016-10-10,15.75,15.83,15.68,15.72,1587000,15.72
2016-10-07,15.59,15.68,15.46,15.63,1812000,15.63
2016-10-06,15.69,15.78,15.54,15.64,2651100,15.64
2016-10-05,15.41,15.73,15.38,15.70,3299000,15.70
2016-10-04,15.23,15.43,15.20,15.31,1965900,15.31
2016-10-03,15.07,15.25,15.02,15.14,1679000,15.14
2016-09-30,15.05,15.29,14.97,15.23,1704900,15.23
2016-09-29,15.13,15.24,14.85,14.93,1747500,14.93
2016-09-28,15.04,15.17,14.90,15.17,1494300,15.17
2016-09-27,14.79,14.95,14.75,14.95,2135800,14.95
2016-09-26,14.99,15.14,14.85,14.86,1774400,14.86
2016-09-23,15.22,15.39,15.21,15.24,1276600,15.24
2016-09-22,15.16,15.32,15.16,15.30,1520700,15.30
