Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,28.50,28.83,28.40,28.82,1809100,28.82
2016-11-11,28.280001,28.450001,27.82,28.17,1277400,28.17
2016-11-10,26.99,28.41,26.99,28.35,2624900,28.35
2016-11-09,24.870001,26.75,24.73,26.59,1812800,26.59
2016-11-08,25.32,25.32,24.879999,24.90,1664700,24.90
2016-11-07,25.57,25.639999,25.049999,25.290001,2173200,25.290001
2016-11-04,24.91,25.219999,24.52,24.950001,1597600,24.950001
2016-11-03,26.16,26.32,25.93,26.00,1729500,24.75
2016-11-02,26.15,26.26,25.83,25.959999,2205800,24.711922
2016-11-01,27.129999,27.129999,26.02,26.219999,2314200,24.959422
2016-10-31,26.879999,27.10,26.48,27.00,1967200,25.701923
2016-10-28,26.700001,27.370001,26.370001,26.84,2570900,25.549615
2016-10-27,26.75,26.75,26.129999,26.18,1338500,24.921346
2016-10-26,26.76,26.780001,26.35,26.549999,1653500,25.273557
2016-10-25,27.360001,27.48,26.93,26.93,1116600,25.635289
2016-10-24,27.889999,27.889999,27.440001,27.559999,642500,26.234999
2016-10-21,27.559999,27.709999,27.42,27.440001,642700,26.12077
2016-10-20,27.709999,28.040001,27.59,27.83,860400,26.492019
2016-10-19,27.99,27.99,27.719999,27.76,395900,26.425385
2016-10-18,27.84,27.940001,27.559999,27.780001,1165600,26.444424
2016-10-17,27.549999,27.73,27.389999,27.49,566600,26.168365
2016-10-14,27.99,28.09,27.60,27.620001,600100,26.292116
2016-10-13,27.780001,27.940001,27.360001,27.76,825700,26.425385
2016-10-12,27.99,28.33,27.91,28.120001,804400,26.768078
2016-10-11,28.389999,28.450001,27.92,27.98,1004400,26.634807
2016-10-10,28.540001,28.780001,28.459999,28.52,880500,27.148846
2016-10-07,28.82,29.190001,27.959999,28.309999,1663700,26.948942
2016-10-06,29.219999,29.58,28.92,29.49,1029300,28.072211
2016-10-05,29.09,29.50,28.860001,29.209999,3003200,27.805672
2016-10-04,29.389999,29.58,28.690001,28.90,2064700,27.510576
2016-10-03,29.559999,29.959999,29.26,29.299999,1163900,27.891345
2016-09-30,29.610001,29.879999,29.43,29.629999,959600,28.20548
2016-09-29,29.77,29.93,29.17,29.27,711800,27.862789
