Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,99.28,94.32,94.32,94.32,99900,94.32
2016-11-11,98.85,104.50,98.85,104.50,119300,104.50
2016-11-10,108.04,108.04,104.05,104.05,113900,104.05
2016-11-09,113.72,113.72,113.72,113.72,56600,113.72
2016-11-08,113.72,113.72,113.72,113.72,108700,113.72
2016-11-07,119.70,119.70,119.70,119.70,17600,119.70
2016-11-04,119.70,119.70,119.70,119.70,46300,119.70
2016-11-03,126.00,129.80,119.70,119.70,78400,119.70
2016-11-02,120.00,120.00,120.00,120.00,97200,120.00
2016-11-01,120.00,120.00,120.00,120.00,37500,120.00
2016-10-31,125.80,120.00,119.87,120.00,131400,120.00
2016-10-28,120.04,120.04,120.02,120.02,106100,120.02
2016-10-27,123.47,118.00,117.33,117.45,163000,117.45
2016-10-26,129.99001,123.50,123.50,123.50,121800,123.50
2016-10-25,127.30,127.30,127.30,127.30,31800,127.30
2016-10-24,127.30,127.30,127.30,127.30,38400,127.30
2016-10-21,124.50,127.30,127.30,127.30,80900,127.30
2016-10-20,127.30,127.30,127.30,127.30,123900,127.30
2016-10-19,131.05,127.30,127.30,127.30,239100,127.30
2016-10-18,137.87,137.87,137.87,137.87,222100,137.87
2016-10-17,137.87,137.87,137.87,137.87,148300,137.87
2016-10-14,151.95,151.95,144.36,145.12,307000,145.12
2016-10-13,159.99001,152.00,152.00,152.00,143200,152.00
2016-10-12,158.99001,159.69,159.69,159.69,96200,159.69
2016-10-11,167.00,159.69,159.69,159.69,26500,159.69
2016-10-10,159.69,159.69,159.69,159.69,82100,159.69
2016-10-07,159.89999,159.89999,159.89999,159.89999,76600,159.89999
2016-10-06,159.89999,159.89999,159.89999,159.89999,70200,159.89999
2016-10-05,158.50,158.50,158.50,158.50,153500,158.50
2016-10-04,165.89999,165.89999,165.89999,165.89999,141300,165.89999
2016-10-03,165.89999,165.89999,165.89999,165.89999,000,165.89999
2016-09-30,165.97,165.97,165.89999,165.89999,138400,165.89999
2016-09-29,161.99001,161.99001,161.99001,161.99001,74000,161.99001
2016-09-28,160.00,160.00,160.00,160.00,120100,160.00
2016-09-27,160.00,160.14999,160.00,160.14999,80700,160.14999
2016-09-26,161.00,161.00,161.00,161.00,89000,161.00
2016-09-23,163.11,163.11,163.11,163.11,49500,163.11
2016-09-22,163.11,163.11,163.11,163.11,101800,163.11
2016-09-21,155.35001,155.35001,155.35001,155.35001,44000,155.35001
2016-09-20,155.35001,155.35001,155.35001,155.35001,53200,155.35001
2016-09-19,160.00999,160.00999,155.35001,155.35001,109200,155.35001
2016-09-16,162.35001,162.35001,161.00,161.00999,212800,161.00999
2016-09-15,165.00,165.00,165.00,165.00,55900,165.00
2016-09-14,160.02,165.06,165.06,165.06,27200,165.06
2016-09-13,165.06,165.06,165.06,165.06,000,165.06
2016-09-12,165.06,165.06,165.06,165.06,000,165.06
2016-09-09,165.06,165.06,165.06,165.06,41800,165.06
2016-09-08,165.06,165.06,165.06,165.06,24100,165.06
2016-09-07,165.06,165.06,165.06,165.06,60100,165.06
2016-09-06,168.98,172.00,172.00,172.00,102800,172.00
2016-09-05,177.00,177.00,177.00,177.00,8000,177.00
2016-09-02,175.50,177.00,175.50,177.00,121200,177.00
2016-09-01,177.00,177.00,177.00,177.00,211600,177.00
2016-08-31,173.00,175.00,173.00,175.00,372500,175.00
2016-08-30,175.00,175.00,175.00,175.00,134100,175.00
2016-08-29,177.00,177.00,177.00,177.00,29500,177.00
2016-08-26,177.00,177.00,177.00,177.00,73000,177.00
2016-08-25,183.00,177.00,177.00,177.00,53700,177.00
2016-08-24,178.60001,178.60001,178.60001,178.60001,121100,178.60001
2016-08-23,162.00,170.10001,169.00,170.10001,326200,170.10001
2016-08-22,160.17999,162.50,160.17999,162.00,112300,162.00
2016-08-19,160.00,162.00,160.00,160.10001,97300,160.10001
2016-08-18,161.30,161.30,161.30,161.30,133800,161.30
2016-08-17,161.30,161.30,161.30,161.30,33200,161.30
2016-08-16,161.30,161.30,161.30,161.30,21200,161.30
2016-08-15,165.02,165.39999,161.30,161.30,211900,161.30
2016-08-12,169.56,169.56,169.56,169.56,56500,169.56
2016-08-11,164.00,169.56,169.56,169.56,100100,169.56
