Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,9.48,9.79,9.38,9.71,2310400,9.71
2016-11-11,9.02,9.445,8.97,9.38,1653300,9.38
2016-11-10,8.76,9.03,8.69,8.94,1627900,8.94
2016-11-09,8.01,8.75,7.97,8.63,1807600,8.63
2016-11-08,8.25,8.48,8.20,8.23,2171800,8.23
2016-11-07,8.10,8.35,8.01,8.32,3393700,8.32
2016-11-04,7.42,8.08,7.42,7.88,3105700,7.88
2016-11-03,7.51,7.70,7.30,7.47,2355800,7.47
2016-11-02,7.55,7.805,7.55,7.55,2086700,7.55
2016-11-01,8.10,8.19,7.54,7.59,2304300,7.59
2016-10-31,7.88,7.98,7.74,7.77,1840900,7.77
2016-10-28,8.11,8.37,7.782,7.85,3180000,7.85
2016-10-27,9.85,9.90,8.08,8.21,4985600,8.21
2016-10-26,9.97,10.01,9.85,9.90,837200,9.90
2016-10-25,10.41,10.49,9.988,10.00,924900,10.00
2016-10-24,10.47,10.63,10.43,10.50,639900,10.50
2016-10-21,10.21,10.46,10.16,10.43,1195500,10.43
2016-10-20,10.63,10.665,10.27,10.36,1015100,10.36
2016-10-19,10.71,10.83,10.59,10.75,709100,10.75
2016-10-18,10.80,10.80,10.64,10.64,421200,10.64
2016-10-17,10.72,10.81,10.68,10.71,738000,10.71
2016-10-14,10.86,10.88,10.62,10.78,1054900,10.78
2016-10-13,11.00,11.045,10.82,10.83,826500,10.83
2016-10-12,11.16,11.23,11.03,11.06,678400,11.06
2016-10-11,11.43,11.48,11.05,11.14,1238800,11.14
2016-10-10,11.50,11.64,11.45,11.50,552400,11.50
2016-10-07,11.89,11.91,11.59,11.61,581700,11.61
2016-10-06,11.88,11.92,11.64,11.84,476200,11.84
2016-10-05,11.84,11.96,11.81,11.87,542600,11.87
2016-10-04,11.76,12.39,11.71,11.84,1344100,11.84
2016-10-03,11.66,11.86,11.58,11.79,612900,11.79
2016-09-30,11.72,11.72,11.49,11.64,782000,11.64
2016-09-29,11.88,11.95,11.588,11.60,493700,11.60
2016-09-28,11.71,11.90,11.68,11.88,697300,11.88
2016-09-27,11.60,11.75,11.58,11.71,647200,11.71
2016-09-26,11.62,11.645,11.55,11.60,644700,11.60
2016-09-23,11.57,11.76,11.41,11.75,804600,11.75
2016-09-22,11.30,11.615,11.30,11.55,825400,11.55
