Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,30.74,30.85,30.49,30.51,37141700,30.51
2016-11-11,30.49,30.77,30.370001,30.709999,41490400,30.709999
2016-11-10,29.85,30.84,29.83,30.41,81321100,30.41
2016-11-09,29.32,29.809999,29.07,29.629999,53804500,29.629999
2016-11-08,29.370001,29.620001,29.290001,29.42,35374900,29.42
2016-11-07,28.85,29.33,28.83,29.309999,41254200,29.309999
2016-11-04,28.219999,28.809999,28.219999,28.440001,35864900,28.440001
2016-11-03,28.60,28.60,28.190001,28.280001,23000700,28.280001
2016-11-02,28.860001,28.860001,28.40,28.49,30873300,28.49
2016-11-01,29.00,29.200001,28.709999,28.879999,32010800,28.879999
2016-10-31,29.48,29.65,29.09,29.10,43563700,29.10
2016-10-28,28.879999,29.59,28.870001,29.219999,67870800,29.219999
2016-10-27,28.889999,28.959999,28.610001,28.629999,25432900,28.629999
2016-10-26,28.59,29.07,28.549999,28.870001,24357200,28.870001
2016-10-25,28.940001,29.01,28.620001,28.65,26480700,28.65
2016-10-24,29.00,29.209999,28.90,28.92,31139700,28.92
2016-10-21,28.440001,29.00,28.33,28.98,64153200,28.98
2016-10-20,29.10,29.200001,28.959999,29.07,28433300,29.07
2016-10-19,29.059999,29.219999,29.030001,29.059999,29188000,29.059999
2016-10-18,29.030001,29.08,28.90,28.98,27562400,28.98
2016-10-17,28.90,28.99,28.700001,28.85,39732600,28.85
2016-10-14,28.959999,29.030001,28.82,28.889999,28181400,28.889999
2016-10-13,28.780001,28.90,28.66,28.77,28392600,28.77
2016-10-12,28.92,29.02,28.809999,28.90,22754700,28.90
2016-10-11,28.75,29.030001,28.690001,28.92,30942200,28.92
2016-10-10,29.00,29.309999,28.809999,28.860001,33981900,28.860001
2016-10-07,29.059999,29.209999,28.92,29.08,37840100,29.08
2016-10-06,29.40,29.50,29.139999,29.27,28087900,29.27
2016-10-05,29.52,29.700001,29.40,29.50,24936900,29.50
2016-10-04,29.709999,29.75,29.450001,29.50,31127700,29.50
2016-10-03,29.459999,29.700001,29.40,29.639999,19794100,29.639999
2016-09-30,29.60,29.85,29.58,29.620001,36120000,29.620001
