Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,60.93,61.470001,60.66,61.200001,3452200,61.200001
2016-11-11,61.09,61.650002,60.549999,61.040001,3328300,61.040001
2016-11-10,62.419998,62.509998,60.810001,61.07,6338200,61.07
2016-11-09,62.419998,62.950001,61.169998,62.740002,4878200,62.740002
2016-11-08,61.860001,63.93,61.84,63.709999,4596800,63.709999
2016-11-07,61.029999,61.939999,60.91,61.830002,3146400,61.830002
2016-11-04,61.049999,61.209999,60.650002,60.650002,2559600,60.650002
2016-11-03,61.360001,61.669998,61.049999,61.119999,2317100,61.119999
2016-11-02,61.619999,61.91,61.360001,61.380001,2889600,61.380001
2016-11-01,62.16,62.189999,61.389999,61.630001,3449700,61.630001
2016-10-31,61.700001,62.02,61.50,61.98,2745300,61.98
2016-10-28,60.84,61.849998,60.790001,61.66,2750100,61.66
2016-10-27,61.009998,61.220001,60.630001,60.720001,2277500,60.720001
2016-10-26,61.200001,61.32,60.77,60.84,1852600,60.84
2016-10-25,60.970001,61.139999,60.849998,61.099998,2012000,61.099998
2016-10-24,60.990002,61.240002,60.580002,60.889999,3040500,60.889999
2016-10-21,60.790001,60.919998,60.439999,60.709999,3710000,60.709999
2016-10-20,61.560001,61.560001,60.939999,61.00,4403100,61.00
2016-10-19,61.950001,61.950001,61.34,61.57,4423300,61.57
2016-10-18,62.240002,62.25,61.73,61.91,5041300,61.91
2016-10-17,62.48,62.48,61.709999,61.77,3404100,61.77
2016-10-14,62.419998,62.48,61.73,61.779999,3337200,61.779999
2016-10-13,61.759998,62.259998,61.68,62.220001,2683200,62.220001
2016-10-12,62.169998,62.310001,61.889999,62.130001,2832500,62.130001
2016-10-11,62.279999,62.380001,61.709999,61.950001,3007500,61.950001
2016-10-10,62.450001,62.77,62.169998,62.439999,2847000,62.439999
2016-10-07,62.400002,62.59,61.639999,62.130001,2759300,62.130001
2016-10-06,62.16,62.650002,62.02,62.419998,3091400,62.419998
2016-10-05,62.610001,62.880001,62.029999,62.360001,5118100,62.360001
2016-10-04,63.860001,63.919998,62.889999,63.049999,3618000,62.569999
2016-10-03,63.759998,64.019997,63.380001,63.880001,2758800,63.393682
2016-09-30,63.919998,64.18,63.689999,63.880001,3328400,63.393682
2016-09-29,64.050003,64.389999,63.650002,63.66,3006600,63.175356
2016-09-28,64.150002,64.190002,63.759998,64.080002,2474900,63.592161
2016-09-27,64.059998,64.080002,63.560001,63.919998,2693100,63.433375
2016-09-26,64.449997,64.480003,63.799999,63.900002,3176500,63.413531
2016-09-23,64.889999,65.239998,64.650002,64.650002,3252600,64.157821
2016-09-22,65.260002,65.57,64.790001,65.059998,4140200,64.564696
2016-09-21,64.059998,65.370003,63.150002,65.260002,5468900,64.763178
