Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,22.440001,23.290001,22.40,22.99,2075400,22.99
2016-11-11,21.809999,22.370001,21.50,22.32,2195800,22.32
2016-11-10,21.76,22.52,21.709999,21.870001,2523800,21.870001
2016-11-09,20.59,21.610001,20.50,21.530001,1740500,21.530001
2016-11-08,21.139999,21.25,20.860001,20.91,1884000,20.91
2016-11-07,21.00,21.530001,20.75,21.24,2881800,21.24
2016-11-04,20.790001,21.219999,20.610001,20.73,3072000,20.73
2016-11-03,20.77,20.92,20.52,20.83,5557300,20.83
2016-11-02,20.59,21.540001,20.10,20.93,13653300,20.93
2016-11-01,24.01,24.01,23.32,23.559999,2499200,23.559999
2016-10-31,23.950001,24.18,23.76,24.049999,2151200,24.049999
2016-10-28,23.99,24.219999,23.690001,23.90,1871100,23.90
2016-10-27,24.84,24.91,23.889999,23.99,2703400,23.99
2016-10-26,24.73,25.190001,24.35,24.77,3323900,24.77
2016-10-25,25.02,25.15,24.65,24.75,1909900,24.75
2016-10-24,25.370001,25.370001,24.85,25.139999,1873500,25.139999
2016-10-21,25.09,25.09,24.719999,25.01,1753200,25.01
2016-10-20,24.950001,25.200001,24.91,25.110001,2265400,25.110001
2016-10-19,24.879999,25.01,24.450001,25.00,2332400,25.00
2016-10-18,24.969999,25.110001,24.780001,24.82,2069400,24.82
2016-10-17,25.32,25.57,24.65,24.700001,5481500,24.700001
2016-10-14,25.58,25.690001,25.110001,25.379999,3136100,25.379999
2016-10-13,26.00,26.139999,25.35,25.469999,2680300,25.469999
2016-10-12,26.139999,26.459999,26.00,26.120001,2446800,26.120001
2016-10-11,26.82,26.860001,26.01,26.049999,2142200,26.049999
2016-10-10,26.84,27.139999,26.65,26.83,1599600,26.83
2016-10-07,26.799999,26.93,26.469999,26.68,2145400,26.68
2016-10-06,27.08,27.10,26.299999,26.68,3747500,26.68
2016-10-05,27.27,27.48,26.950001,27.200001,1941100,27.200001
2016-10-04,27.780001,27.84,27.030001,27.129999,2345700,27.129999
2016-10-03,27.59,27.860001,27.450001,27.780001,1625400,27.780001
2016-09-30,27.379999,27.700001,27.25,27.59,1788800,27.59
2016-09-29,27.50,27.66,27.129999,27.139999,1758100,27.139999
2016-09-28,27.450001,27.860001,27.200001,27.49,1166400,27.49
2016-09-27,27.65,27.76,27.27,27.43,1443000,27.43
2016-09-26,28.110001,28.200001,27.639999,27.639999,1074900,27.639999
2016-09-23,28.24,28.58,28.190001,28.190001,1370200,28.190001
2016-09-22,28.290001,28.450001,27.889999,28.27,1790300,28.27
2016-09-21,27.790001,28.16,27.709999,28.129999,1663700,28.129999
2016-09-20,28.08,28.18,27.629999,27.719999,1865100,27.719999
2016-09-19,27.389999,28.18,27.389999,27.90,3349800,27.90
2016-09-16,27.209999,27.26,26.90,27.09,1922000,27.09
2016-09-15,26.879999,27.27,26.690001,27.25,2210500,27.25
2016-09-14,27.629999,27.629999,26.940001,27.030001,1854300,27.030001
2016-09-13,26.950001,27.389999,26.809999,26.99,2825400,26.99
2016-09-12,27.379999,27.379999,26.85,27.040001,3607000,27.040001
2016-09-09,27.940001,28.030001,27.17,27.18,2485400,27.18
2016-09-08,27.969999,28.110001,27.75,27.780001,1728800,27.780001
2016-09-07,28.030001,28.23,27.889999,28.129999,1516100,28.129999
2016-09-06,28.379999,28.67,28.25,28.370001,1944100,28.00
2016-09-02,28.209999,28.48,28.040001,28.389999,1690100,28.019738
2016-09-01,28.469999,28.58,27.969999,28.030001,2094800,27.664434
2016-08-31,28.48,28.950001,28.309999,28.389999,2828000,28.019738
2016-08-30,28.889999,28.959999,28.27,28.49,2859100,28.118434
2016-08-29,28.75,28.969999,28.34,28.969999,4405600,28.592173
2016-08-26,30.219999,30.51,28.690001,28.74,14493400,28.365173
2016-08-25,31.67,32.25,31.280001,32.16,6167300,31.74057
2016-08-24,32.130001,32.41,31.620001,31.709999,2715400,31.296438
2016-08-23,32.029999,32.669998,31.83,32.09,2840300,31.671483
2016-08-22,32.00,32.099998,31.26,31.459999,1671900,31.049699
2016-08-19,31.059999,31.92,30.889999,31.719999,2164800,31.306308
2016-08-18,30.93,31.190001,30.57,31.17,1580100,30.763482
2016-08-17,30.870001,30.940001,30.50,30.82,1762400,30.418046
2016-08-16,31.66,31.950001,31.16,31.17,1586900,30.763482
2016-08-15,31.309999,32.080002,31.309999,31.73,1430100,31.316178
2016-08-12,31.00,31.73,30.82,31.35,2146000,30.941135
2016-08-11,30.530001,31.17,30.43,31.110001,2477800,30.704265
2016-08-10,29.60,30.23,29.60,30.15,1750300,29.756784
2016-08-09,29.76,30.219999,29.50,29.629999,2247600,29.243566
2016-08-08,30.139999,30.389999,29.639999,29.790001,2044100,29.401481
2016-08-05,29.889999,30.59,29.809999,30.040001,2612300,29.64822
2016-08-04,29.540001,30.00,29.43,29.66,1206600,29.273175
2016-08-03,29.040001,29.83,28.57,29.639999,2360100,29.253435
2016-08-02,30.559999,30.620001,29.219999,29.24,3420700,28.858652
2016-08-01,30.969999,30.99,30.18,30.35,2887600,29.954176
2016-07-29,31.25,31.25,30.559999,30.950001,1597300,30.546352
2016-07-28,31.200001,31.33,30.790001,31.17,1421900,30.763482
2016-07-27,31.42,31.58,31.10,31.32,2183200,30.911525
2016-07-26,30.82,31.299999,30.440001,31.25,2521100,30.842438
2016-07-25,30.52,30.959999,30.049999,30.879999,2252200,30.477263
2016-07-22,31.00,31.190001,30.65,30.809999,2590400,30.408176
2016-07-21,31.15,31.85,30.950001,31.01,4365100,30.605569
2016-07-20,30.110001,31.32,30.040001,31.120001,3771100,30.714135
2016-07-19,30.870001,31.299999,30.01,30.190001,4359200,29.796263
2016-07-18,28.00,30.40,27.870001,30.190001,7792200,29.796263
2016-07-15,28.799999,28.799999,27.98,27.99,2468500,27.624955
2016-07-14,28.950001,29.10,28.459999,28.620001,1997100,28.24674
2016-07-13,28.84,29.200001,28.68,28.85,2952800,28.473739
2016-07-12,28.719999,28.969999,28.50,28.74,3023300,28.365173
2016-07-11,28.110001,28.790001,28.049999,28.450001,3566700,28.078957
2016-07-08,26.67,27.389999,26.66,27.370001,2104100,27.013042
2016-07-07,26.52,27.030001,26.190001,26.33,2270700,25.986605
2016-07-06,26.23,26.48,25.73,26.469999,2490300,26.124778
2016-07-05,27.030001,27.059999,25.959999,26.299999,2141100,25.956995
2016-07-01,26.879999,27.379999,26.73,27.059999,2632600,26.707084
2016-06-30,26.51,26.690001,26.02,26.58,1859200,26.233344
2016-06-29,26.469999,26.969999,26.370001,26.41,2485300,26.065561
2016-06-28,25.83,26.18,25.620001,26.049999,2880800,25.710256
2016-06-27,25.309999,25.969999,25.18,25.50,3060700,25.16743
2016-06-24,25.280001,25.73,25.26,25.34,1843000,25.009517
2016-06-23,26.43,26.549999,26.17,26.33,1518500,25.986605
2016-06-22,25.959999,26.280001,25.809999,26.00,1786700,25.660909
2016-06-21,26.370001,26.450001,25.709999,25.84,1569600,25.502996
2016-06-20,26.450001,26.82,26.35,26.40,2280600,26.055692
2016-06-17,25.98,26.60,25.780001,26.15,2594800,25.808952
2016-06-16,26.059999,26.18,25.73,25.93,2230800,25.591822
2016-06-15,25.700001,26.42,25.610001,26.129999,3626600,25.789212
2016-06-14,25.969999,26.040001,25.35,25.73,3149000,25.39443
2016-06-13,26.450001,26.67,26.02,26.030001,2331700,25.690518
2016-06-10,26.950001,26.950001,26.16,26.530001,4522100,26.183997
2016-06-09,28.07,28.27,27.15,27.27,3397000,26.914346
2016-06-08,28.469999,28.620001,28.18,28.23,1920400,27.861825
2016-06-07,28.49,28.790001,28.40,28.459999,1821000,28.088825
2016-06-06,28.27,28.60,28.040001,28.469999,1955200,28.098694
2016-06-03,28.959999,29.049999,28.309999,28.629999,2209700,27.891434
2016-06-02,28.98,29.32,28.75,28.889999,1968100,28.144727
2016-06-01,29.02,29.200001,28.450001,28.950001,3722300,28.203181
2016-05-31,28.889999,29.35,28.629999,29.10,9935800,28.349311
2016-05-27,28.040001,28.93,27.65,28.799999,7559600,28.057049
2016-05-26,29.99,30.42,29.889999,29.98,3425500,29.206609
2016-05-25,28.77,29.84,28.67,29.73,4611800,28.963058
2016-05-24,28.389999,28.959999,28.15,28.700001,3522600,27.95963
2016-05-23,28.610001,28.870001,28.309999,28.469999,2005700,27.735562
2016-05-20,28.68,28.74,28.200001,28.48,2329300,27.745304
2016-05-19,28.040001,28.58,27.52,28.549999,3142500,27.813498
2016-05-18,28.33,28.370001,27.780001,28.030001,3887200,27.306914
2016-05-17,29.09,29.40,28.41,28.459999,3047300,27.72582
2016-05-16,28.76,29.120001,28.559999,29.02,3026100,28.271375
2016-05-13,29.10,29.32,28.41,28.73,2963600,27.988855
2016-05-12,29.299999,29.389999,28.85,29.10,2149700,28.349311
2016-05-11,30.15,30.15,28.92,29.200001,2999300,28.446732
2016-05-10,30.26,30.66,30.01,30.52,1318700,29.732679
2016-05-09,30.10,30.49,30.040001,30.190001,1884600,29.411192
2016-05-06,30.209999,30.23,29.370001,30.09,1955700,29.313772
2016-05-05,30.690001,30.76,29.969999,30.110001,2147700,29.333256
2016-05-04,31.200001,31.34,30.33,30.74,2842200,29.947003
2016-05-03,32.209999,32.369999,31.299999,31.299999,2640200,30.492557
2016-05-02,32.810001,32.860001,31.950001,32.360001,2647500,31.525213
2016-04-29,32.900002,33.02,32.369999,32.799999,2118400,31.953861
2016-04-28,33.169998,33.32,32.779999,32.900002,2144800,32.051284
2016-04-27,33.200001,33.720001,33.099998,33.380001,2835800,32.518901
2016-04-26,32.75,33.34,32.599998,33.32,1990300,32.460447
2016-04-25,32.68,33.00,32.43,32.799999,2062800,31.953861
2016-04-22,32.27,32.900002,32.189999,32.799999,22220500,31.953861
2016-04-21,32.889999,33.09,32.209999,32.310001,2581400,31.476504
2016-04-20,32.490002,33.290001,32.330002,32.889999,2754000,32.04154
2016-04-19,32.34,32.549999,32.119999,32.450001,1662700,31.612892
2016-04-18,31.860001,32.389999,31.629999,32.209999,1782200,31.379081
2016-04-15,31.75,32.139999,31.51,31.790001,2585500,30.969918
2016-04-14,31.360001,31.73,30.610001,31.65,2564900,30.833528
2016-04-13,30.25,31.60,30.190001,31.469999,2172900,30.658171
2016-04-12,30.00,30.469999,29.709999,30.09,1960100,29.313772
2016-04-11,29.74,30.620001,29.719999,29.879999,2045300,29.109188
2016-04-08,29.27,29.870001,29.120001,29.49,2122600,28.729249
2016-04-07,30.110001,30.209999,29.00,29.120001,3673900,28.368795
2016-04-06,30.25,31.10,29.790001,30.09,2301500,29.313772
2016-04-05,30.799999,31.08,30.219999,30.290001,1751000,29.508613
2016-04-04,31.389999,31.42,30.709999,30.93,1491800,30.132102
2016-04-01,31.73,31.76,30.709999,31.34,2135100,30.531526
2016-03-31,31.870001,32.43,31.67,31.73,2094000,30.911464
2016-03-30,31.57,31.969999,31.00,31.76,2522100,30.940691
2016-03-29,30.18,31.93,30.00,31.51,3802500,30.69714
2016-03-28,28.950001,30.950001,28.40,30.09,8247200,29.313772
2016-03-24,30.34,30.50,29.610001,30.27,4488100,29.489129
2016-03-23,30.18,30.809999,30.049999,30.370001,1969200,29.586549
2016-03-22,30.75,30.790001,30.01,30.18,2175000,29.40145
2016-03-21,30.92,31.66,30.049999,30.85,3358700,30.054166
2016-03-18,31.58,32.290001,30.790001,30.83,5542700,30.034682
2016-03-17,32.18,32.220001,31.01,31.360001,3050200,30.55101
2016-03-16,31.15,32.009998,30.82,31.91,1562400,31.086821
2016-03-15,31.51,31.73,29.969999,30.780001,2027900,29.985972
2016-03-14,30.76,32.029999,30.719999,31.66,1730400,30.84327
2016-03-11,30.540001,31.09,30.440001,30.75,1619300,29.956746
2016-03-10,31.33,31.33,29.940001,30.440001,2049300,29.654743
2016-03-09,30.379999,31.57,30.16,31.290001,2594500,30.482816
2016-03-08,30.889999,30.99,29.809999,30.120001,2328500,29.342998
2016-03-07,31.030001,31.700001,30.379999,30.74,2830300,29.947003
2016-03-04,32.27,32.560001,31.190001,31.23,2530400,30.424363
2016-03-03,31.360001,32.950001,31.280001,32.709999,3549000,31.505726
2016-03-02,30.879999,31.68,29.16,31.290001,4113100,30.138008
2016-03-01,31.049999,31.24,30.49,30.940001,2130100,29.800893
2016-02-29,30.440001,31.09,30.02,30.82,2350400,29.68531
2016-02-26,30.110001,30.610001,29.93,30.540001,1693900,29.41562
2016-02-25,29.60,30.059999,29.309999,29.959999,1528900,28.856972
2016-02-24,29.42,29.90,28.26,29.889999,1604200,28.78955
2016-02-23,29.60,29.860001,28.98,29.440001,1264900,28.356118
2016-02-22,28.530001,29.629999,28.43,29.209999,1680600,28.134585
2016-02-19,29.219999,29.219999,27.780001,28.190001,2132500,27.152139
2016-02-18,28.799999,29.799999,28.67,29.24,2762000,28.163481
2016-02-17,28.219999,29.00,27.959999,28.74,1672400,27.681889
2016-02-16,27.33,28.049999,26.889999,28.00,1436000,26.969134
2016-02-12,26.77,27.379999,26.299999,26.98,2581800,25.986686
2016-02-11,26.450001,26.950001,26.139999,26.67,1479700,25.6881
2016-02-10,27.200001,27.290001,26.620001,26.65,1370100,25.668836
2016-02-09,27.65,27.879999,26.709999,27.120001,3286800,26.121533
