Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,29.33,30.50,29.280001,30.10,7200500,30.10
2016-11-11,28.35,29.139999,28.18,29.07,5940900,29.07
2016-11-10,27.73,29.129999,27.73,28.58,8631400,28.58
2016-11-09,26.110001,27.50,25.969999,27.41,6148900,27.41
2016-11-08,27.280001,27.58,26.15,26.48,7194400,26.48
2016-11-07,26.190001,27.01,26.190001,26.969999,6762800,26.969999
2016-11-04,25.77,26.24,25.690001,25.76,4757100,25.76
2016-11-03,26.299999,26.52,25.48,25.629999,7479700,25.629999
2016-11-02,26.639999,27.09,26.60,26.91,4301300,26.91
2016-11-01,27.059999,27.610001,26.65,26.84,6182300,26.84
2016-10-31,27.27,27.610001,27.23,27.59,5955000,27.59
2016-10-28,26.58,27.34,26.58,27.18,4329800,27.18
2016-10-27,27.10,27.190001,26.52,26.620001,3035900,26.620001
2016-10-26,26.43,27.34,26.43,27.00,4986300,27.00
2016-10-25,26.129999,26.610001,25.92,26.610001,2758600,26.610001
2016-10-24,26.48,26.82,26.32,26.549999,2539800,26.549999
2016-10-21,26.209999,26.43,26.059999,26.41,2263100,26.41
2016-10-20,26.440001,26.690001,26.360001,26.48,2160900,26.48
2016-10-19,25.99,26.559999,25.790001,26.51,4311800,26.51
2016-10-18,26.370001,26.370001,25.74,25.91,5766000,25.91
2016-10-17,26.40,26.639999,26.10,26.16,3698500,26.16
2016-10-14,26.540001,26.77,26.35,26.450001,2760600,26.450001
2016-10-13,26.68,26.690001,26.190001,26.540001,3409300,26.540001
2016-10-12,26.559999,26.940001,26.34,26.85,4852100,26.85
2016-10-11,26.34,26.77,26.26,26.559999,4477300,26.559999
2016-10-10,26.40,26.870001,26.299999,26.42,8621200,26.42
2016-10-07,24.26,26.67,24.25,26.25,31862200,26.25
2016-10-06,22.42,22.889999,22.16,22.780001,7696200,22.780001
2016-10-05,21.82,22.620001,21.82,22.530001,5621400,22.530001
2016-10-04,21.84,21.98,21.67,21.780001,3369600,21.780001
2016-10-03,21.889999,22.049999,21.57,21.82,5379800,21.82
2016-09-30,21.870001,22.360001,21.780001,22.24,4257900,22.01
2016-09-29,22.08,22.219999,21.700001,21.700001,3643600,21.475586
2016-09-28,22.33,22.389999,21.85,22.059999,4041200,21.831861
2016-09-27,22.309999,22.440001,22.01,22.290001,4746600,22.059484
2016-09-26,22.559999,22.59,22.190001,22.23,3820300,22.000103
2016-09-23,22.549999,22.950001,22.549999,22.620001,3662800,22.386071
2016-09-22,22.610001,22.74,22.280001,22.58,5437900,22.346484
2016-09-21,22.67,22.74,22.18,22.48,7539800,22.247518
2016-09-20,22.950001,23.040001,22.49,22.59,7090400,22.356381
2016-09-19,23.469999,23.639999,23.18,23.18,2967500,22.94028
2016-09-16,23.459999,23.67,23.26,23.370001,5056200,23.128315
2016-09-15,22.950001,23.59,22.809999,23.57,4398200,23.326246
2016-09-14,23.09,23.32,22.950001,23.049999,4121100,22.811623
2016-09-13,23.60,23.799999,23.049999,23.049999,6557500,22.811623
2016-09-12,23.23,23.950001,23.10,23.84,4914500,23.593454
2016-09-09,23.60,23.639999,23.32,23.35,4212400,23.108522
2016-09-08,23.639999,23.90,23.60,23.719999,4244100,23.474694
2016-09-07,23.24,23.91,23.24,23.790001,6435100,23.543972
2016-09-06,23.959999,23.959999,23.34,23.43,7730900,23.187694
2016-09-02,24.00,24.35,23.60,23.92,7254900,23.672627
2016-09-01,25.00,25.02,24.35,24.549999,7000500,24.29611
2016-08-31,25.40,25.440001,24.639999,24.870001,7374500,24.612803
2016-08-30,26.48,26.48,25.299999,25.34,6841500,25.077941
2016-08-29,26.43,26.65,26.299999,26.48,3684100,26.206151
2016-08-26,26.50,26.780001,26.290001,26.48,3427300,26.206151
2016-08-25,26.629999,26.719999,26.23,26.389999,5549200,26.117082
2016-08-24,26.85,27.030001,26.610001,26.629999,4492000,26.3546
2016-08-23,27.00,27.190001,26.809999,26.99,4902200,26.710877
2016-08-22,26.799999,27.190001,26.629999,26.860001,7512700,26.582222
2016-08-19,25.90,26.940001,25.700001,26.889999,17698300,26.611911
2016-08-18,25.65,26.00,25.309999,25.879999,9550700,25.612356
2016-08-17,24.90,25.51,24.889999,25.459999,5137900,25.196699
