Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,0.14,0.14,0.14,0.14,000,0.14
2016-11-11,0.14,0.14,0.14,0.14,2500,0.14
2016-11-10,0.12,0.14,0.12,0.14,17500,0.14
2016-11-09,0.12,0.14,0.12,0.14,5800,0.14
2016-11-08,0.14,0.14,0.14,0.14,000,0.14
2016-11-07,0.115,0.14,0.115,0.14,16600,0.14
2016-11-04,0.11,0.135,0.11,0.135,31100,0.135
2016-11-03,0.115,0.115,0.10,0.10,125000,0.10
2016-11-02,0.13,0.13,0.13,0.13,20000,0.13
2016-11-01,0.11,0.11,0.11,0.11,10500,0.11
2016-10-31,0.105,0.105,0.105,0.105,66700,0.105
2016-10-28,0.115,0.115,0.11,0.11,124100,0.11
2016-10-27,0.115,0.115,0.115,0.115,000,0.115
2016-10-26,0.115,0.115,0.115,0.115,000,0.115
2016-10-25,0.11,0.115,0.105,0.115,69500,0.115
2016-10-24,0.115,0.12,0.10,0.115,221900,0.115
2016-10-21,0.115,0.115,0.115,0.115,10000,0.115
2016-10-20,0.12,0.12,0.115,0.115,25500,0.115
2016-10-19,0.12,0.12,0.12,0.12,3500,0.12
2016-10-18,0.115,0.13,0.11,0.13,32500,0.13
2016-10-17,0.115,0.115,0.115,0.115,000,0.115
2016-10-14,0.115,0.115,0.115,0.115,10000,0.115
2016-10-13,0.115,0.125,0.115,0.125,34500,0.125
2016-10-12,0.13,0.13,0.115,0.115,143800,0.115
2016-10-11,0.14,0.14,0.14,0.14,1000,0.14
2016-10-10,0.15,0.15,0.15,0.15,000,0.15
2016-10-07,0.13,0.15,0.13,0.15,145500,0.15
2016-10-06,0.15,0.15,0.15,0.15,000,0.15
2016-10-05,0.12,0.15,0.11,0.15,346600,0.15
2016-10-04,0.13,0.13,0.12,0.12,77400,0.12
2016-10-03,0.145,0.15,0.135,0.145,274200,0.145
2016-09-30,0.135,0.15,0.135,0.15,179500,0.15
2016-09-29,0.14,0.15,0.14,0.15,3500,0.15
2016-09-28,0.15,0.15,0.15,0.15,126000,0.15
2016-09-27,0.145,0.15,0.135,0.15,149500,0.15
2016-09-26,0.14,0.15,0.14,0.15,48900,0.15
2016-09-23,0.13,0.14,0.125,0.14,86700,0.14
2016-09-22,0.12,0.13,0.12,0.13,49000,0.13
2016-09-21,0.12,0.12,0.12,0.12,20000,0.12
2016-09-20,0.12,0.12,0.12,0.12,30500,0.12
2016-09-19,0.12,0.12,0.12,0.12,10000,0.12
2016-09-16,0.125,0.125,0.12,0.12,52500,0.12
2016-09-15,0.125,0.125,0.125,0.125,206500,0.125
2016-09-14,0.13,0.13,0.125,0.125,398500,0.125
2016-09-13,0.135,0.14,0.13,0.135,60400,0.135
2016-09-12,0.125,0.13,0.12,0.13,243500,0.13
2016-09-09,0.105,0.125,0.105,0.125,380700,0.125
2016-09-08,0.10,0.10,0.10,0.10,000,0.10
2016-09-07,0.10,0.10,0.10,0.10,105200,0.10
2016-09-06,0.10,0.11,0.10,0.10,70000,0.10
2016-09-05,0.10,0.10,0.10,0.10,000,0.10
2016-09-02,0.10,0.10,0.10,0.10,000,0.10
2016-09-01,0.09,0.10,0.09,0.10,51000,0.10
2016-08-31,0.09,0.09,0.09,0.09,500,0.09
2016-08-30,0.09,0.10,0.09,0.10,17000,0.10
2016-08-29,0.10,0.10,0.10,0.10,000,0.10
2016-08-26,0.10,0.10,0.10,0.10,000,0.10
2016-08-25,0.10,0.10,0.10,0.10,000,0.10
2016-08-24,0.09,0.10,0.09,0.10,76000,0.10
2016-08-23,0.09,0.10,0.09,0.10,23000,0.10
2016-08-22,0.10,0.10,0.10,0.10,1000,0.10
2016-08-19,0.09,0.10,0.09,0.10,276000,0.10
2016-08-18,0.09,0.09,0.09,0.09,1000,0.09
2016-08-17,0.09,0.095,0.08,0.09,124500,0.09
2016-08-16,0.08,0.09,0.08,0.09,17000,0.09
2016-08-15,0.09,0.09,0.09,0.09,21000,0.09
2016-08-12,0.07,0.09,0.07,0.09,117100,0.09
2016-08-11,0.075,0.075,0.075,0.075,15600,0.075
2016-08-10,0.08,0.08,0.08,0.08,000,0.08
2016-08-09,0.065,0.08,0.065,0.08,74000,0.08
2016-08-08,0.075,0.08,0.075,0.08,59100,0.08
2016-08-05,0.07,0.075,0.07,0.07,88500,0.07
2016-08-04,0.06,0.075,0.06,0.065,55000,0.065
2016-08-03,0.07,0.07,0.07,0.07,000,0.07
2016-08-02,0.065,0.07,0.065,0.07,100000,0.07
2016-08-01,0.065,0.065,0.065,0.065,000,0.065
2016-07-29,0.06,0.065,0.06,0.065,96500,0.065
2016-07-28,0.06,0.06,0.06,0.06,200000,0.06
2016-07-27,0.06,0.06,0.06,0.06,27000,0.06
2016-07-26,0.055,0.06,0.055,0.06,51000,0.06
2016-07-25,0.065,0.065,0.06,0.06,39500,0.06
2016-07-22,0.06,0.06,0.06,0.06,52000,0.06
2016-07-21,0.055,0.065,0.055,0.065,15000,0.065
2016-07-20,0.055,0.06,0.055,0.06,133000,0.06
2016-07-19,0.055,0.055,0.055,0.055,11000,0.055
2016-07-18,0.06,0.06,0.06,0.06,5000,0.06
2016-07-15,0.06,0.06,0.06,0.06,000,0.06
2016-07-14,0.06,0.06,0.06,0.06,28000,0.06
2016-07-13,0.05,0.06,0.05,0.06,268900,0.06
2016-07-12,0.055,0.055,0.05,0.05,38000,0.05
2016-07-11,0.06,0.06,0.06,0.06,000,0.06
2016-07-08,0.06,0.06,0.06,0.06,000,0.06
2016-07-07,0.055,0.06,0.055,0.06,21000,0.06
2016-07-06,0.055,0.055,0.055,0.055,000,0.055
2016-07-05,0.055,0.06,0.055,0.055,141000,0.055
2016-07-04,0.06,0.06,0.05,0.05,161000,0.05
2016-07-01,0.06,0.06,0.06,0.06,000,0.06
2016-06-30,0.06,0.06,0.06,0.06,277000,0.06
2016-06-29,0.055,0.055,0.055,0.055,98000,0.055
2016-06-28,0.055,0.055,0.055,0.055,000,0.055
2016-06-27,0.06,0.06,0.055,0.055,101000,0.055
2016-06-24,0.065,0.065,0.055,0.065,140100,0.065
2016-06-23,0.06,0.065,0.06,0.065,150000,0.065
2016-06-22,0.06,0.065,0.06,0.065,70000,0.065
2016-06-21,0.055,0.065,0.05,0.06,325000,0.06
2016-06-20,0.06,0.06,0.06,0.06,25000,0.06
2016-06-17,0.055,0.06,0.055,0.06,300200,0.06
2016-06-16,0.055,0.055,0.055,0.055,000,0.055
2016-06-15,0.055,0.055,0.055,0.055,000,0.055
2016-06-14,0.055,0.055,0.055,0.055,36400,0.055
2016-06-13,0.05,0.05,0.05,0.05,32000,0.05
2016-06-10,0.05,0.05,0.05,0.05,10000,0.05
2016-06-09,0.05,0.05,0.05,0.05,26000,0.05
2016-06-08,0.05,0.055,0.05,0.055,29000,0.055
2016-06-07,0.055,0.055,0.05,0.05,170000,0.05
2016-06-06,0.05,0.055,0.05,0.055,26000,0.055
2016-06-03,0.045,0.06,0.045,0.05,271000,0.05
2016-06-02,0.05,0.05,0.05,0.05,206500,0.05
2016-06-01,0.05,0.05,0.05,0.05,192000,0.05
2016-05-31,0.055,0.055,0.05,0.055,185000,0.055
2016-05-30,0.05,0.05,0.05,0.05,45000,0.05
2016-05-27,0.05,0.055,0.05,0.05,180700,0.05
2016-05-26,0.045,0.05,0.04,0.05,390000,0.05
2016-05-25,0.05,0.05,0.05,0.05,50000,0.05
2016-05-24,0.05,0.05,0.05,0.05,000,0.05
2016-05-23,0.05,0.05,0.05,0.05,000,0.05
2016-05-20,0.045,0.05,0.045,0.05,25600,0.05
2016-05-19,0.045,0.045,0.045,0.045,7500,0.045
2016-05-18,0.04,0.04,0.04,0.04,000,0.04
2016-05-17,0.04,0.04,0.04,0.04,000,0.04
2016-05-16,0.04,0.04,0.04,0.04,000,0.04
2016-05-13,0.04,0.04,0.04,0.04,167000,0.04
2016-05-12,0.035,0.04,0.035,0.04,115700,0.04
2016-05-11,0.035,0.035,0.035,0.035,109000,0.035
2016-05-10,0.035,0.035,0.035,0.035,000,0.035
2016-05-09,0.035,0.035,0.035,0.035,000,0.035
2016-05-06,0.035,0.035,0.035,0.035,000,0.035
2016-05-05,0.035,0.035,0.035,0.035,000,0.035
2016-05-04,0.03,0.035,0.03,0.035,100000,0.035
2016-05-03,0.035,0.035,0.035,0.035,000,0.035
2016-05-02,0.035,0.035,0.035,0.035,000,0.035
2016-04-29,0.035,0.035,0.03,0.035,45000,0.035
2016-04-28,0.03,0.03,0.03,0.03,4000,0.03
