Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,11.90,11.97,10.75,11.02,5800,11.02
2016-11-11,12.13,12.47,12.06,12.06,3900,12.06
2016-11-10,11.87,11.90,11.85,11.90,4300,11.90
2016-11-09,11.92,12.16,11.74,12.16,2300,12.16
2016-11-08,12.39,12.40,12.16,12.16,700,12.16
2016-11-07,12.17,12.25,12.06,12.06,8000,12.06
2016-11-04,12.13,12.34,12.00,12.09,21400,12.09
2016-11-03,12.37,12.37,12.06,12.06,2900,12.06
2016-11-02,12.50,12.75,12.36,12.36,2100,12.36
2016-11-01,12.59,12.70,12.52,12.60,3500,12.60
2016-10-31,12.64,12.76,12.44,12.65,1800,12.65
2016-10-28,12.70,12.97,12.63,12.63,2800,12.63
2016-10-27,12.81,12.98,12.58,12.84,5600,12.84
2016-10-26,12.90,12.95,12.84,12.95,4800,12.95
2016-10-25,13.03,13.05,12.61,12.82,13800,12.82
2016-10-24,13.05,13.23,13.03,13.05,3700,13.05
2016-10-21,13.16,13.25,13.14,13.24,800,13.24
2016-10-20,13.03,13.21,13.03,13.10,8300,13.10
2016-10-19,13.01,13.09,13.01,13.03,1800,13.03
2016-10-18,13.01,13.10,13.01,13.10,2200,13.10
2016-10-17,13.00,13.23,13.00,13.00,2600,13.00
2016-10-14,13.02,13.02,13.02,13.02,300,13.02
2016-10-13,13.00,13.25,13.00,13.25,4200,13.25
2016-10-12,12.99,13.19,12.99,13.19,400,13.19
2016-10-11,13.21,13.39,12.90,13.13,12500,13.13
2016-10-10,13.30,13.30,13.30,13.30,000,13.30
2016-10-07,13.00,13.30,13.00,13.30,2000,13.30
2016-10-06,13.00,13.25,13.00,13.25,5900,13.25
2016-10-05,12.99,13.10,12.99,13.10,3400,13.10
2016-10-04,12.94,13.10,12.94,13.10,4400,13.10
2016-10-03,13.10,13.10,13.10,13.10,100,13.10
2016-09-30,12.90,13.00,12.90,13.00,1400,13.00
2016-09-29,13.00,13.07,12.98,12.98,600,12.98
2016-09-28,12.71,13.10,12.71,13.00,6700,13.00
2016-09-27,13.00,13.10,12.98,13.10,7000,13.10
2016-09-26,13.01,13.10,12.77,12.77,1400,12.77
2016-09-23,13.01,13.01,12.91,13.01,3400,13.01
2016-09-22,12.81,13.00,12.81,13.00,1300,13.00
2016-09-21,12.54,13.07,12.54,13.05,5500,13.05
2016-09-20,12.99,13.03,12.99,13.00,1400,13.00
2016-09-19,12.82,13.05,12.80,13.00,3600,13.00
2016-09-16,13.00,13.05,13.00,13.05,400,13.05
2016-09-15,12.92,13.05,12.90,12.90,26500,12.90
2016-09-14,13.04,13.12,13.00,13.00,18600,13.00
2016-09-13,13.00,13.05,12.95,13.05,2100,13.05
2016-09-12,13.17,13.17,13.17,13.17,100,13.17
2016-09-09,13.05,13.19,12.80,12.80,20600,12.80
2016-09-08,13.09,13.19,13.02,13.08,4400,13.08
2016-09-07,12.98,13.15,12.77,13.14,11000,13.14
2016-09-06,12.96,13.01,12.95,13.00,16700,13.00
2016-09-05,13.20,13.20,13.20,13.20,000,13.20
2016-09-02,13.10,13.20,13.06,13.20,5000,13.20
2016-09-01,13.10,13.20,12.92,13.20,9700,13.20
2016-08-31,13.20,13.42,13.05,13.15,5300,13.15
2016-08-30,13.30,13.50,13.20,13.20,3800,13.20
2016-08-29,13.40,13.53,13.15,13.30,10000,13.30
2016-08-26,13.42,13.49,13.42,13.49,2000,13.49
2016-08-25,13.39,13.42,13.39,13.42,800,13.42
2016-08-24,13.26,13.39,13.19,13.39,700,13.39
2016-08-23,13.13,13.44,13.13,13.44,2200,13.44
2016-08-22,13.33,13.50,13.31,13.31,2000,13.31
2016-08-19,13.48,13.48,13.48,13.48,100,13.48
2016-08-18,13.45,13.63,13.24,13.35,3200,13.35
2016-08-17,13.30,13.66,13.22,13.34,3100,13.34
2016-08-16,13.16,13.73,13.10,13.39,1900,13.39
2016-08-15,13.64,13.71,13.22,13.22,4000,13.22
2016-08-12,13.21,13.40,13.20,13.20,4800,13.20
2016-08-11,13.25,13.40,13.25,13.40,900,13.40
2016-08-10,13.20,13.20,13.20,13.20,3000,13.20
2016-08-09,13.20,13.25,13.20,13.25,2600,13.25
2016-08-08,13.20,13.23,13.20,13.23,7900,13.23
2016-08-05,13.05,13.23,12.93,13.23,1100,13.23
2016-08-04,13.20,13.25,12.97,13.10,5100,13.10
2016-08-03,13.30,13.54,13.23,13.25,1600,13.25
2016-08-02,13.40,13.40,13.24,13.32,1800,13.32
2016-08-01,13.44,13.44,13.44,13.44,000,13.44
2016-07-29,13.44,13.44,13.44,13.44,000,13.44
2016-07-28,13.56,13.56,13.25,13.44,1700,13.44
2016-07-27,13.75,13.75,13.75,13.75,000,13.75
2016-07-26,13.75,13.75,13.75,13.75,400,13.75
2016-07-25,13.76,13.77,13.55,13.70,1200,13.70
2016-07-22,13.56,13.75,13.56,13.75,4600,13.75
2016-07-21,13.51,13.76,13.51,13.65,7700,13.65
2016-07-20,13.85,13.95,13.64,13.65,4300,13.65
2016-07-19,13.89,14.00,13.76,13.76,6200,13.76
2016-07-18,13.91,14.00,13.91,13.95,3100,13.95
2016-07-15,13.85,13.98,13.56,13.98,1200,13.98
2016-07-14,13.34,13.77,13.34,13.77,6100,13.77
2016-07-13,13.38,14.00,13.38,14.00,1800,14.00
2016-07-12,13.36,13.93,13.36,13.93,2000,13.93
2016-07-11,13.44,13.79,13.44,13.79,1200,13.79
2016-07-08,13.45,13.99,13.45,13.79,7200,13.79
2016-07-07,13.46,13.46,13.31,13.35,700,13.35
2016-07-06,13.24,13.24,13.24,13.24,200,13.24
2016-07-05,13.21,13.21,13.09,13.18,2200,13.18
2016-07-04,13.12,13.27,13.12,13.27,4500,13.27
2016-07-01,13.00,13.00,13.00,13.00,000,13.00
2016-06-30,12.99,13.00,12.99,13.00,700,13.00
2016-06-29,13.13,13.13,13.13,13.13,000,13.13
2016-06-28,13.14,13.14,12.84,13.13,13100,13.13
2016-06-27,12.96,13.11,12.90,13.00,1900,13.00
2016-06-24,12.85,13.23,12.85,13.23,200,13.23
2016-06-23,12.92,13.19,12.73,12.95,3200,12.95
2016-06-22,13.09,13.09,12.45,12.90,7900,12.90
2016-06-21,13.60,13.60,12.83,13.19,9000,13.19
2016-06-20,13.85,13.85,13.27,13.67,2600,13.67
2016-06-17,13.78,13.89,13.16,13.88,2600,13.88
2016-06-16,14.00,14.00,13.72,13.80,1400,13.80
2016-06-15,14.11,14.11,13.82,13.98,1400,13.98
2016-06-14,14.55,14.55,14.40,14.43,8100,14.43
2016-06-13,14.30,14.47,14.30,14.47,12500,14.47
2016-06-10,14.50,14.50,14.46,14.50,600,14.50
2016-06-09,14.64,14.69,14.50,14.54,4000,14.54
2016-06-08,14.53,14.61,14.53,14.61,4600,14.61
2016-06-07,14.50,14.53,14.43,14.50,6300,14.50
2016-06-06,14.45,14.55,14.40,14.50,6700,14.50
2016-06-03,14.46,14.64,14.44,14.45,12600,14.45
2016-06-02,13.80,15.14,13.80,14.70,22100,14.70
2016-06-01,13.55,13.83,13.55,13.82,3100,13.82
2016-05-31,13.66,13.90,13.65,13.70,4500,13.70
2016-05-30,13.80,13.80,13.60,13.60,3500,13.60
2016-05-27,13.90,13.98,13.77,13.90,1800,13.90
2016-05-26,13.66,13.95,13.66,13.95,7000,13.95
2016-05-25,13.60,13.71,13.59,13.65,5100,13.65
2016-05-24,13.02,13.60,13.00,13.60,12400,13.60
2016-05-23,13.02,13.02,13.02,13.02,000,13.02
2016-05-20,12.94,13.02,12.80,13.02,2700,13.02
2016-05-19,12.65,13.00,12.53,12.94,2000,12.94
2016-05-18,12.55,12.55,12.55,12.55,000,12.55
2016-05-17,12.55,12.55,12.55,12.55,000,12.55
2016-05-16,12.55,12.55,12.55,12.55,100,12.55
2016-05-13,11.55,12.14,11.55,12.14,1000,12.14
2016-05-12,11.49,11.50,11.49,11.50,300,11.50
2016-05-11,10.00,10.00,10.00,10.00,000,10.00
2016-05-10,10.00,10.00,10.00,10.00,000,10.00
2016-05-09,10.00,10.00,10.00,10.00,000,10.00
2016-05-06,10.00,10.00,10.00,10.00,000,10.00
2016-05-05,10.00,10.00,10.00,10.00,000,10.00
2016-05-04,10.00,10.00,10.00,10.00,000,10.00
2016-05-03,10.00,10.00,10.00,10.00,000,10.00
2016-05-02,10.00,10.00,10.00,10.00,000,10.00
2016-04-29,10.00,10.00,10.00,10.00,000,10.00
2016-04-28,10.00,10.00,10.00,10.00,000,10.00
2016-04-27,10.00,10.00,10.00,10.00,000,10.00
2016-04-26,10.00,10.00,10.00,10.00,000,10.00
2016-04-25,10.00,10.00,10.00,10.00,000,10.00
2016-04-22,10.00,10.00,10.00,10.00,000,10.00
2016-04-21,10.00,10.00,10.00,10.00,000,10.00
2016-04-20,10.00,10.00,10.00,10.00,000,10.00
2016-04-19,10.00,10.00,10.00,10.00,000,10.00
2016-04-18,10.00,10.00,10.00,10.00,000,10.00
2016-04-15,10.00,10.00,10.00,10.00,000,10.00
2016-04-14,10.00,10.00,10.00,10.00,000,10.00
2016-04-13,10.00,10.00,10.00,10.00,000,10.00
2016-04-12,10.00,10.00,10.00,10.00,000,10.00
2016-04-11,10.00,10.00,10.00,10.00,000,10.00
2016-04-08,10.00,10.00,10.00,10.00,000,10.00
2016-04-07,10.00,10.00,10.00,10.00,000,10.00
2016-04-06,10.00,10.00,10.00,10.00,000,10.00
2016-04-05,10.00,10.00,10.00,10.00,000,10.00
2016-04-04,10.00,10.00,10.00,10.00,000,10.00
2016-04-01,10.00,10.00,10.00,10.00,000,10.00
2016-03-31,10.00,10.00,10.00,10.00,000,10.00
2016-03-30,10.00,10.00,10.00,10.00,300,10.00
2016-03-29,10.13,10.13,10.13,10.13,000,10.13
2016-03-28,10.13,10.13,10.13,10.13,000,10.13
2016-03-25,10.13,10.13,10.13,10.13,000,10.13
2016-03-24,10.13,10.13,10.13,10.13,000,10.13
2016-03-23,10.13,10.13,10.13,10.13,000,10.13
2016-03-22,10.13,10.13,10.13,10.13,000,10.13
2016-03-21,10.13,10.13,10.13,10.13,000,10.13
2016-03-18,10.13,10.13,10.13,10.13,000,10.13
2016-03-17,10.13,10.13,10.13,10.13,000,10.13
2016-03-16,10.13,10.13,10.13,10.13,000,10.13
2016-03-15,10.13,10.13,10.13,10.13,000,10.13
2016-03-14,10.13,10.13,10.13,10.13,000,10.13
2016-03-11,10.13,10.13,10.13,10.13,000,10.13
2016-03-10,10.13,10.13,10.13,10.13,000,10.13
2016-03-09,10.13,10.13,10.13,10.13,000,10.13
2016-03-08,10.13,10.13,10.13,10.13,000,10.13
2016-03-07,10.13,10.13,10.13,10.13,000,10.13
2016-03-04,10.13,10.13,10.13,10.13,000,10.13
2016-03-03,10.13,10.13,10.13,10.13,000,10.13
2016-03-02,10.13,10.13,10.13,10.13,300,10.13
2016-03-01,9.99,9.99,9.99,9.99,000,9.99
2016-02-29,9.99,9.99,9.99,9.99,000,9.99
2016-02-26,9.99,9.99,9.99,9.99,000,9.99
2016-02-25,9.99,9.99,9.99,9.99,000,9.99
2016-02-24,9.99,9.99,9.99,9.99,000,9.99
2016-02-23,9.99,9.99,9.99,9.99,000,9.99
2016-02-22,9.99,9.99,9.99,9.99,000,9.99
2016-02-19,9.99,9.99,9.99,9.99,1200,9.99
2016-02-18,11.24,11.24,11.24,11.24,000,11.24
2016-02-17,11.24,11.24,11.24,11.24,000,11.24
2016-02-16,11.24,11.24,11.24,11.24,000,11.24
2016-02-15,11.24,11.24,11.24,11.24,000,11.24
2016-02-12,11.24,11.24,11.24,11.24,000,11.24
2016-02-11,11.24,11.24,11.24,11.24,000,11.24
2016-02-10,11.24,11.24,11.24,11.24,000,11.24
2016-02-09,11.24,11.24,11.24,11.24,000,11.24
2016-02-08,11.24,11.24,11.24,11.24,000,11.24
2016-02-05,11.24,11.24,11.24,11.24,000,11.24
2016-02-04,11.24,11.24,11.24,11.24,000,11.24
2016-02-03,11.24,11.24,11.24,11.24,000,11.24
2016-02-02,11.24,11.24,11.24,11.24,000,11.24
