Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,16.540001,17.41,16.43,17.379999,20220900,17.379999
2016-11-11,16.030001,16.57,15.99,16.48,12202600,16.48
2016-11-10,16.16,16.40,16.00,16.07,14245000,16.07
2016-11-09,15.65,16.25,15.29,16.110001,15903300,16.110001
2016-11-08,15.63,16.030001,15.38,15.97,14167000,15.97
2016-11-07,15.37,15.72,15.34,15.71,8362500,15.71
2016-11-04,14.82,15.22,14.69,15.16,13421900,15.16
2016-11-03,15.14,15.15,14.80,14.83,8514400,14.83
2016-11-02,15.37,15.53,15.01,15.24,14294500,15.24
2016-11-01,15.46,15.62,15.19,15.26,13426500,15.26
2016-10-31,15.09,15.53,14.99,15.48,13642300,15.48
2016-10-28,14.96,15.06,14.83,15.00,10328700,15.00
2016-10-27,15.03,15.06,14.78,14.89,8050100,14.89
2016-10-26,15.34,15.34,14.97,15.01,11100100,15.01
2016-10-25,15.50,15.61,15.37,15.40,6269100,15.40
2016-10-24,15.54,15.83,15.52,15.54,8688700,15.54
2016-10-21,15.38,15.51,15.10,15.47,7731900,15.47
2016-10-20,15.73,15.78,15.21,15.51,15933400,15.51
2016-10-19,15.76,15.86,15.69,15.72,5695400,15.72
2016-10-18,15.59,15.78,15.55,15.70,6088900,15.70
2016-10-17,15.45,15.62,15.43,15.49,4645400,15.49
2016-10-14,15.60,15.69,15.44,15.44,5967700,15.44
2016-10-13,15.43,15.57,15.31,15.51,5522500,15.51
2016-10-12,15.50,15.59,15.41,15.53,4158200,15.53
2016-10-11,15.63,15.65,15.27,15.45,9246500,15.45
2016-10-10,15.53,15.77,15.51,15.69,8451300,15.69
2016-10-07,15.55,15.83,15.37,15.49,7481300,15.49
2016-10-06,15.35,15.64,15.24,15.55,8382000,15.55
2016-10-05,15.51,15.66,15.28,15.41,10709000,15.41
2016-10-04,15.57,15.71,15.37,15.44,11722600,15.44
2016-10-03,15.50,15.66,15.39,15.58,7380900,15.58
2016-09-30,15.78,15.87,15.55,15.57,13911500,15.57
2016-09-29,15.56,15.89,15.43,15.65,11941500,15.65
2016-09-28,15.54,15.74,15.46,15.60,10152500,15.60
2016-09-27,15.99,16.00,15.72,15.74,8724900,15.54
2016-09-26,16.200001,16.25,16.01,16.01,8064400,15.80657
2016-09-23,16.280001,16.40,16.190001,16.25,7430300,16.04352
2016-09-22,16.15,16.40,16.030001,16.309999,8204500,16.102757
2016-09-21,16.059999,16.129999,15.70,15.98,15728000,15.77695
2016-09-20,16.16,16.16,16.00,16.030001,7068700,15.826316
2016-09-19,16.049999,16.200001,15.88,16.02,8139600,15.816443
