Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,29.00,29.65,28.90,29.379999,1263900,29.379999
2016-11-11,27.700001,29.110001,27.549999,28.98,1804800,28.98
2016-11-10,29.00,29.07,27.809999,27.809999,2104400,27.809999
2016-11-09,28.68,29.00,28.219999,28.870001,925100,28.870001
2016-11-08,28.42,29.040001,28.219999,29.00,1457100,29.00
2016-11-07,28.049999,28.60,28.030001,28.48,1253600,28.48
2016-11-04,27.450001,27.969999,27.25,27.690001,1846300,27.690001
2016-11-03,28.00,28.370001,27.51,27.549999,1385500,27.549999
2016-11-02,28.15,28.41,27.959999,28.10,1627500,28.10
2016-11-01,28.66,28.969999,27.959999,28.25,1837800,28.25
2016-10-31,28.719999,28.969999,28.620001,28.719999,1382700,28.719999
2016-10-28,28.18,28.629999,28.00,28.59,1401200,28.59
2016-10-27,28.35,28.41,27.93,28.219999,790900,28.219999
2016-10-26,28.49,28.57,28.25,28.360001,1168900,28.360001
2016-10-25,28.389999,28.74,28.370001,28.709999,1759400,28.709999
2016-10-24,28.51,28.799999,28.24,28.450001,1721600,28.450001
2016-10-21,28.32,28.610001,27.709999,28.43,2159600,28.43
2016-10-20,27.66,28.450001,27.52,28.379999,2399400,28.379999
2016-10-19,26.860001,27.75,26.809999,27.73,1257800,27.73
2016-10-18,27.23,27.440001,26.77,26.82,1516400,26.82
2016-10-17,26.610001,27.200001,26.50,27.139999,1937300,27.139999
2016-10-14,26.24,26.75,26.219999,26.690001,1400700,26.690001
2016-10-13,26.299999,26.34,25.799999,26.16,985200,26.16
2016-10-12,25.92,26.49,25.860001,26.469999,1279300,26.469999
2016-10-11,25.879999,26.059999,25.75,26.00,1697800,26.00
2016-10-10,26.299999,26.459999,25.889999,25.889999,1156700,25.889999
2016-10-07,25.58,26.35,25.530001,26.290001,2142700,26.290001
2016-10-06,25.049999,25.65,25.02,25.559999,1783000,25.559999
2016-10-05,24.969999,25.469999,24.879999,25.15,1839300,25.15
2016-10-04,24.92,25.01,24.540001,24.98,1940900,24.98
2016-10-03,24.42,24.719999,24.24,24.66,1064700,24.66
2016-09-30,24.809999,24.82,24.190001,24.379999,1561700,24.379999
2016-09-29,24.74,24.950001,24.49,24.83,1207100,24.83
2016-09-28,24.84,24.84,24.23,24.780001,881500,24.780001
2016-09-27,24.58,24.77,24.290001,24.719999,776600,24.719999
2016-09-26,24.620001,24.700001,24.469999,24.59,711400,24.59
2016-09-23,24.52,24.889999,24.35,24.75,748400,24.75
2016-09-22,24.360001,24.68,24.00,24.639999,1370800,24.639999
2016-09-21,24.10,24.299999,23.950001,24.209999,1148400,24.209999
2016-09-20,24.059999,24.40,23.860001,24.15,1632700,24.15
2016-09-19,24.48,24.74,24.08,24.09,1089700,24.09
2016-09-16,24.00,24.40,23.809999,24.389999,1479100,24.389999
2016-09-15,23.549999,23.809999,23.33,23.799999,986900,23.799999
2016-09-14,23.200001,23.66,23.120001,23.52,1005200,23.52
2016-09-13,23.59,23.610001,23.120001,23.23,1149200,23.23
2016-09-12,22.93,23.83,22.50,23.73,1623900,23.73
2016-09-09,23.559999,23.60,22.889999,23.059999,1698100,23.059999
2016-09-08,24.200001,24.219999,23.549999,23.76,1497700,23.76
2016-09-07,23.57,24.219999,23.48,24.200001,2706700,24.200001
2016-09-06,23.50,23.709999,23.389999,23.65,703300,23.65
2016-09-02,23.120001,23.60,23.01,23.50,1155700,23.50
2016-09-01,22.959999,23.120001,22.790001,23.10,1406600,23.10
2016-08-31,22.57,22.940001,22.50,22.83,2455000,22.83
2016-08-30,22.92,22.92,22.559999,22.59,777800,22.59
2016-08-29,22.83,23.01,22.719999,22.92,893000,22.92
2016-08-26,22.83,23.02,22.58,22.76,825800,22.76
2016-08-25,22.860001,22.92,22.58,22.82,896400,22.82
2016-08-24,22.940001,23.059999,22.74,22.950001,1468500,22.950001
2016-08-23,23.01,23.18,22.889999,23.00,914600,23.00
2016-08-22,22.950001,22.98,22.690001,22.940001,579500,22.940001
2016-08-19,22.74,23.030001,22.52,23.02,812800,23.02
2016-08-18,22.40,22.780001,22.280001,22.74,1019400,22.74
2016-08-17,22.65,22.65,22.24,22.50,812400,22.50
2016-08-16,22.809999,22.860001,22.440001,22.67,1450900,22.67
2016-08-15,22.18,22.83,22.18,22.82,1292100,22.82
2016-08-12,22.049999,22.290001,22.01,22.200001,915700,22.200001
2016-08-11,21.99,22.120001,21.889999,22.10,1573100,22.10
2016-08-10,21.67,21.92,20.780001,21.879999,1068700,21.879999
2016-08-09,21.40,21.74,21.33,21.719999,690900,21.719999
2016-08-08,21.469999,21.639999,21.26,21.48,788000,21.48
2016-08-05,21.59,21.77,21.52,21.58,1127800,21.379999
2016-08-04,21.42,21.67,21.299999,21.57,1006800,21.370092
2016-08-03,21.049999,21.65,20.90,21.40,1830400,21.201667
2016-08-02,21.07,21.209999,20.91,21.15,1900500,20.953984
2016-08-01,20.90,21.290001,20.68,21.110001,1590900,20.914356
2016-07-29,20.50,20.93,20.35,20.90,1512200,20.706301
2016-07-28,20.17,20.879999,19.85,20.52,2250800,20.329824
2016-07-27,21.139999,21.18,20.860001,20.950001,1266400,20.755839
2016-07-26,20.93,21.110001,20.690001,21.110001,1615300,20.914356
2016-07-25,20.50,21.08,20.459999,20.99,2301500,20.795467
2016-07-22,20.40,20.68,20.23,20.59,947500,20.399175
2016-07-21,20.24,20.41,20.10,20.41,1022100,20.220843
2016-07-20,20.00,20.26,19.870001,20.24,1592000,20.052418
2016-07-19,19.50,19.99,19.33,19.98,1033200,19.794828
2016-07-18,19.309999,19.639999,19.25,19.620001,950900,19.438165
2016-07-15,19.450001,19.48,19.209999,19.25,825700,19.071594
2016-07-14,19.440001,19.50,19.200001,19.48,601100,19.299462
2016-07-13,19.379999,19.48,19.18,19.370001,697400,19.190482
2016-07-12,19.219999,19.49,19.139999,19.35,1004600,19.170667
2016-07-11,18.73,19.17,18.690001,19.120001,707300,18.942799
2016-07-08,18.370001,18.700001,18.290001,18.629999,513100,18.457339
2016-07-07,18.25,18.40,18.09,18.26,525400,18.090769
2016-07-06,18.02,18.32,17.940001,18.219999,465000,18.051139
2016-07-05,18.99,19.040001,17.83,18.190001,1174800,18.021418
2016-07-01,18.73,19.17,18.719999,18.91,438400,18.734744
2016-06-30,18.27,18.790001,18.18,18.74,1039300,18.56632
2016-06-29,18.200001,18.530001,18.18,18.200001,819600,18.031326
2016-06-28,18.43,18.57,17.860001,18.00,1091000,17.833178
2016-06-27,18.59,18.59,18.129999,18.25,898500,18.080861
2016-06-24,18.66,19.290001,18.459999,18.889999,3984500,18.714929
2016-06-23,19.66,19.83,19.360001,19.48,574900,19.299462
2016-06-22,19.74,19.74,19.32,19.389999,1246100,19.210295
2016-06-21,19.219999,19.700001,19.200001,19.639999,975800,19.457978
2016-06-20,19.27,19.440001,19.10,19.139999,619500,18.962612
2016-06-17,18.67,19.129999,18.67,18.99,917700,18.814003
2016-06-16,18.870001,18.91,18.610001,18.74,613300,18.56632
2016-06-15,18.709999,19.120001,18.66,19.030001,719600,18.853633
2016-06-14,18.98,18.98,18.299999,18.74,865300,18.56632
2016-06-13,19.200001,19.200001,18.639999,18.99,894400,18.814003
2016-06-10,19.17,19.389999,19.030001,19.23,877200,19.051778
2016-06-09,19.50,19.549999,19.129999,19.440001,765300,19.259833
2016-06-08,19.709999,19.91,19.450001,19.50,1483300,19.319277
2016-06-07,19.200001,19.709999,19.10,19.58,1535000,19.398535
2016-06-06,19.200001,19.43,19.02,19.34,949100,18.962614
2016-06-03,19.01,19.32,18.85,19.25,588500,18.87437
2016-06-02,19.030001,19.24,18.889999,19.059999,761900,18.688077
2016-06-01,18.809999,19.18,18.700001,19.059999,1539500,18.688077
2016-05-31,18.82,19.00,18.639999,18.959999,2546100,18.590028
2016-05-27,18.51,18.690001,18.33,18.52,1119600,18.158615
2016-05-26,17.84,18.50,17.629999,18.459999,1073900,18.099785
2016-05-25,17.35,17.83,17.35,17.790001,553700,17.44286
2016-05-24,17.18,17.34,17.02,17.309999,702400,16.972225
2016-05-23,17.07,17.17,16.870001,17.10,292400,16.766324
2016-05-20,17.24,17.450001,17.01,17.059999,459700,16.727103
2016-05-19,17.120001,17.299999,16.65,17.17,647600,16.834958
2016-05-18,17.07,17.59,16.969999,17.25,363600,16.913396
2016-05-17,17.00,17.469999,16.90,17.10,453600,16.766324
2016-05-16,16.93,17.219999,16.85,17.030001,324800,16.69769
2016-05-13,16.92,17.129999,16.870001,16.93,167500,16.599641
2016-05-12,17.059999,17.110001,16.860001,17.00,244000,16.668275
2016-05-11,17.42,17.42,16.950001,17.01,351800,16.67808
2016-05-10,17.18,17.459999,17.08,17.389999,276000,17.050664
2016-05-09,17.370001,17.51,16.940001,17.17,458600,16.834958
2016-05-06,17.24,17.540001,17.219999,17.42,509900,17.080079
2016-05-05,17.59,17.73,17.26,17.379999,618300,17.040859
2016-05-04,17.18,17.700001,17.139999,17.57,671900,17.227152
2016-05-03,17.370001,17.459999,17.040001,17.25,660000,16.913396
2016-05-02,17.440001,17.639999,17.309999,17.469999,461800,17.129103
2016-04-29,17.469999,17.639999,17.33,17.34,975400,17.00164
2016-04-28,17.75,18.02,17.48,17.540001,394800,17.197739
2016-04-27,18.02,18.18,17.799999,17.91,604300,17.560518
2016-04-26,18.040001,18.200001,17.879999,18.15,390000,17.795834
2016-04-25,17.969999,18.209999,17.870001,18.120001,517200,17.766421
2016-04-22,17.799999,18.040001,17.73,17.940001,642800,17.589933
2016-04-21,17.82,17.940001,17.610001,17.84,608700,17.491884
2016-04-20,17.940001,18.09,17.85,17.940001,460300,17.589933
2016-04-19,17.700001,18.059999,17.379999,17.959999,1335300,17.609541
2016-04-18,17.82,17.82,17.50,17.620001,595100,17.276177
2016-04-15,17.90,18.18,17.799999,17.870001,425800,17.521299
2016-04-14,18.26,18.299999,17.870001,17.889999,426300,17.540907
2016-04-13,17.84,18.299999,17.76,18.280001,714600,17.923298
2016-04-12,17.540001,17.92,17.41,17.790001,475600,17.44286
2016-04-11,17.809999,17.93,17.440001,17.469999,657400,17.129103
2016-04-08,17.57,17.969999,17.549999,17.690001,697800,17.344811
2016-04-07,17.66,17.719999,17.110001,17.49,869400,17.148713
2016-04-06,17.65,17.85,17.389999,17.67,543000,17.325201
2016-04-05,17.83,17.860001,17.42,17.65,724200,17.305591
2016-04-04,18.43,18.43,17.74,17.870001,1071900,17.521299
2016-04-01,18.040001,18.639999,17.92,18.49,760300,18.1292
2016-03-31,17.799999,18.370001,17.799999,18.25,724400,17.893883
2016-03-30,17.84,18.00,17.33,17.90,891800,17.550712
2016-03-29,17.74,17.799999,16.98,17.639999,772300,17.295786
