Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,111.50,112.059998,109.919998,110.010002,1822200,110.010002
2016-11-11,109.00,111.519997,108.699997,111.379997,2334500,111.379997
2016-11-10,109.599998,110.580002,107.190002,109.230003,1515600,109.230003
2016-11-09,104.269997,109.57,103.220001,109.360001,2198500,109.360001
2016-11-08,107.949997,108.93,107.360001,108.349998,882400,108.349998
2016-11-07,106.599998,107.989998,106.370003,107.900002,1156300,107.900002
2016-11-04,104.610001,106.349998,104.559998,105.279999,1033600,105.279999
2016-11-03,108.400002,108.400002,105.480003,105.599998,1110300,105.599998
2016-11-02,107.410004,107.639999,106.029999,106.199997,1204400,106.199997
2016-11-01,109.029999,109.190002,106.629997,107.389999,1048100,107.389999
2016-10-31,108.720001,109.150002,108.279999,108.739998,1348400,108.739998
2016-10-28,107.50,108.660004,107.349998,108.169998,1157800,108.169998
2016-10-27,108.370003,108.50,107.220001,107.309998,1244900,107.309998
2016-10-26,108.199997,108.519997,107.669998,107.82,980800,107.82
2016-10-25,109.639999,109.809998,108.089996,108.32,1202900,108.32
2016-10-24,109.220001,109.989998,108.800003,109.629997,974500,109.629997
2016-10-21,107.709999,108.889999,107.080002,108.449997,3144100,108.449997
2016-10-20,108.00,108.32,107.309998,107.900002,856400,107.900002
2016-10-19,107.82,108.57,107.150002,108.190002,1234600,108.190002
2016-10-18,107.970001,108.800003,107.080002,107.150002,897300,107.150002
2016-10-17,106.949997,107.550003,106.629997,106.879997,740900,106.879997
2016-10-14,107.559998,108.169998,106.940002,106.989998,1100200,106.989998
2016-10-13,106.800003,107.300003,106.510002,106.800003,1376100,106.800003
2016-10-12,106.959999,108.019997,106.410004,107.529999,1628700,107.529999
2016-10-11,108.080002,108.220001,106.540001,106.989998,1831600,106.989998
2016-10-10,108.480003,108.839996,108.120003,108.150002,860500,108.150002
2016-10-07,109.00,109.00,106.93,107.449997,1524200,107.449997
2016-10-06,108.389999,108.949997,107.949997,108.839996,1251300,108.839996
2016-10-05,109.739998,109.769997,108.519997,108.610001,1025900,108.610001
2016-10-04,109.449997,109.919998,108.879997,109.370003,519700,109.03
2016-10-03,109.830002,110.120003,108.900002,109.160004,818200,108.820654
2016-09-30,109.529999,110.330002,109.209999,110.010002,1681400,109.66801
2016-09-29,109.779999,110.440002,108.93,109.309998,892700,108.970181
2016-09-28,110.029999,110.309998,109.389999,110.18,1128900,109.837479
2016-09-27,108.900002,110.43,108.580002,110.110001,1024600,109.767697
2016-09-26,109.190002,109.489998,108.580002,108.980003,1238400,108.641213
2016-09-23,110.169998,110.529999,109.260002,109.900002,1263400,109.558351
2016-09-22,111.139999,111.489998,110.589996,110.760002,1255100,110.415678
2016-09-21,109.519997,111.00,108.900002,110.779999,1352900,110.435613
2016-09-20,109.75,109.849998,108.68,108.970001,1087800,108.631242
2016-09-19,109.419998,109.970001,108.949997,108.980003,1245000,108.641213
2016-09-16,109.419998,109.480003,108.160004,109.00,3314100,108.661147
2016-09-15,108.139999,109.970001,107.639999,109.760002,1535100,109.418787
2016-09-14,106.970001,108.190002,106.720001,108.110001,1960700,107.773915
2016-09-13,107.080002,108.220001,106.339996,106.699997,2110300,106.368294
2016-09-12,108.919998,109.919998,108.330002,109.540001,1462100,109.19947
2016-09-09,109.919998,110.459999,109.239998,109.25,1705800,108.91037
2016-09-08,111.440002,111.980003,110.830002,110.959999,1204200,110.615053
2016-09-07,111.440002,111.970001,110.919998,111.970001,1525900,111.621916
2016-09-06,111.889999,112.059998,110.400002,111.370003,2091000,111.023782
2016-09-02,112.910004,113.110001,111.440002,112.07,987600,111.721603
2016-09-01,111.279999,112.349998,110.849998,112.339996,1339900,111.990761
2016-08-31,111.110001,111.559998,110.639999,111.449997,1413600,111.103528
2016-08-30,110.709999,111.160004,110.110001,111.150002,1503400,110.804465
2016-08-29,110.410004,111.139999,110.410004,110.760002,1301900,110.415678
2016-08-26,109.779999,111.040001,109.669998,110.32,1056500,109.977044
2016-08-25,109.949997,110.860001,109.57,110.00,1553900,109.658039
2016-08-24,108.379997,110.330002,108.00,109.849998,4420600,109.508503
2016-08-23,113.25,114.00,112.50,113.839996,1546300,113.486097
2016-08-22,112.739998,113.400002,112.32,112.540001,785200,112.190143
2016-08-19,112.589996,113.190002,112.160004,112.800003,924500,112.449337
2016-08-18,112.519997,113.160004,111.989998,112.540001,934300,112.190143
2016-08-17,112.790001,113.00,112.010002,112.739998,1148400,112.389519
2016-08-16,113.029999,113.029999,112.410004,112.470001,1040300,112.120361
2016-08-15,112.529999,114.059998,111.889999,113.32,1206000,112.967717
2016-08-12,112.57,112.919998,111.849998,112.089996,854900,111.741538
2016-08-11,112.910004,113.57,112.489998,113.150002,843000,112.798248
2016-08-10,112.129997,113.019997,112.089996,112.860001,1284000,112.509148
2016-08-09,112.040001,112.760002,111.82,112.129997,1081600,111.781414
2016-08-08,111.82,112.440002,111.489998,112.019997,1426200,111.671756
2016-08-05,110.050003,111.910004,110.050003,111.489998,900600,111.143404
2016-08-04,110.169998,110.620003,109.709999,109.900002,756400,109.558351
2016-08-03,108.889999,109.860001,108.849998,109.830002,1279800,109.488569
2016-08-02,110.519997,110.620003,108.699997,109.220001,1816800,108.880465
2016-08-01,111.419998,111.769997,110.00,110.760002,3405600,110.415678
2016-07-29,112.220001,112.220001,110.389999,110.989998,3062500,110.644959
2016-07-28,112.650002,113.00,111.419998,112.040001,2383700,111.691698
2016-07-27,113.589996,113.589996,112.010002,112.540001,1731100,112.190143
2016-07-26,114.129997,114.620003,113.199997,113.620003,782200,113.266788
2016-07-25,113.970001,114.040001,113.459999,113.949997,566500,113.595756
2016-07-22,113.589996,114.339996,112.989998,114.059998,717600,113.705415
2016-07-21,114.480003,114.489998,112.709999,113.190002,961400,112.838124
2016-07-20,112.779999,115.290001,112.720001,114.790001,1555100,114.433149
2016-07-19,115.07,115.489998,114.559998,114.779999,865600,114.423178
2016-07-18,114.889999,115.75,114.550003,115.25,737400,114.891718
2016-07-15,116.580002,116.580002,114.459999,114.980003,2158400,114.62256
2016-07-14,116.519997,116.870003,115.639999,116.389999,881500,116.028173
2016-07-13,116.959999,116.970001,115.910004,115.919998,967100,115.559633
2016-07-12,116.449997,116.720001,115.50,116.339996,1199200,115.978326
2016-07-11,116.050003,116.400002,115.349998,115.629997,1535900,115.270534
2016-07-08,115.00,116.029999,113.980003,115.480003,1507500,115.121006
2016-07-07,113.190002,114.260002,112.870003,114.25,1074400,113.595759
2016-07-06,112.040001,113.330002,111.870003,113.279999,1328500,112.631313
2016-07-05,111.510002,113.019997,111.239998,112.739998,1578200,112.094404
2016-07-01,111.730003,112.480003,111.349998,111.910004,1017500,111.269163
2016-06-30,109.370003,111.790001,109.099998,111.610001,2191500,110.970877
2016-06-29,106.610001,109.370003,106.610001,109.290001,1645800,108.664163
2016-06-28,105.199997,106.059998,104.730003,105.989998,1643600,105.383057
2016-06-27,104.239998,104.82,103.029999,104.18,1769400,103.583424
2016-06-24,103.860001,106.480003,103.599998,105.330002,5050300,104.72684
2016-06-23,108.029999,108.949997,107.120003,108.949997,1418500,108.326106
2016-06-22,107.760002,107.889999,106.379997,106.449997,1453600,105.840422
2016-06-21,107.629997,108.239998,107.110001,107.900002,1817600,107.282123
2016-06-20,106.330002,107.739998,106.050003,107.349998,1397100,106.73527
2016-06-17,106.279999,106.440002,104.720001,105.360001,1689300,104.756667
2016-06-16,105.839996,106.709999,105.239998,106.489998,863200,105.880194
2016-06-15,106.790001,106.889999,106.129997,106.279999,1197900,105.671397
2016-06-14,105.300003,106.459999,104.790001,106.220001,874300,105.611743
2016-06-13,105.589996,106.970001,105.589996,105.660004,1342800,105.054953
2016-06-10,105.849998,107.160004,105.769997,106.440002,1397800,105.830485
2016-06-09,107.080002,107.580002,106.699997,107.519997,1490600,106.904294
2016-06-08,108.690002,108.849998,107.32,107.43,1436700,106.814813
2016-06-07,108.300003,108.949997,108.239998,108.449997,1282500,107.828969
2016-06-06,107.360001,108.389999,107.080002,108.129997,1548900,107.510802
2016-06-03,107.610001,107.769997,106.720001,107.449997,1732600,106.834696
2016-06-02,106.93,108.25,106.50,108.120003,1137600,107.500865
2016-06-01,105.849998,107.459999,105.629997,107.199997,1304200,106.586127
2016-05-31,108.00,108.68,105.910004,106.660004,2598600,106.049226
2016-05-27,107.290001,107.93,106.839996,107.889999,1386300,107.272178
2016-05-26,105.00,107.739998,104.879997,106.830002,2659000,106.218251
2016-05-25,103.029999,105.949997,101.809998,105.019997,4732600,104.41861
2016-05-24,105.139999,107.459999,105.089996,107.309998,2834900,106.695498
2016-05-23,103.639999,105.040001,103.550003,104.620003,2066300,104.020907
2016-05-20,101.889999,103.580002,101.589996,103.029999,1169900,102.440008
2016-05-19,101.769997,102.470001,100.720001,101.419998,834400,100.839227
2016-05-18,102.220001,103.110001,101.809998,102.699997,1043100,102.111896
2016-05-17,103.519997,103.620003,101.879997,102.150002,912300,101.56505
2016-05-16,102.25,104.540001,102.089996,103.730003,1046700,103.136004
2016-05-13,102.120003,103.169998,102.00,102.029999,781900,101.445734
2016-05-12,102.410004,103.059998,101.209999,102.209999,713300,101.624704
2016-05-11,102.790001,103.519997,102.230003,102.32,617300,101.734075
2016-05-10,102.199997,102.849998,101.440002,102.800003,731900,102.211329
2016-05-09,101.360001,102.419998,101.18,101.669998,714800,101.087795
