Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,20.50,20.790001,20.379999,20.450001,1346100,20.450001
2016-11-03,20.75,20.76,20.450001,20.52,2168700,20.52
2016-11-02,21.07,21.190001,20.690001,20.719999,1328900,20.719999
2016-11-01,21.450001,21.540001,20.879999,21.049999,2018500,21.049999
2016-10-31,21.43,21.540001,21.25,21.34,1953700,21.34
2016-10-28,21.540001,21.959999,21.42,21.42,1611800,21.42
2016-10-27,21.75,21.84,21.389999,21.530001,1559200,21.530001
2016-10-26,21.52,22.040001,21.49,21.68,2787200,21.68
2016-10-25,21.799999,21.85,21.530001,21.780001,1057900,21.780001
2016-10-24,21.92,22.07,21.77,21.85,1361000,21.85
2016-10-21,21.60,21.809999,21.370001,21.68,1014800,21.68
2016-10-20,21.85,21.969999,21.51,21.73,1501300,21.73
2016-10-19,21.639999,22.040001,21.639999,21.93,2131800,21.93
2016-10-18,21.51,21.76,21.42,21.75,1869300,21.75
2016-10-17,21.209999,21.52,21.110001,21.35,1346700,21.35
2016-10-14,21.43,21.549999,21.24,21.26,1495400,21.26
2016-10-13,21.26,21.370001,20.879999,21.309999,1493000,21.309999
2016-10-12,21.66,21.719999,21.48,21.48,1175000,21.48
2016-10-11,21.84,21.889999,21.43,21.60,1669800,21.60
2016-10-10,21.780001,22.209999,21.780001,21.84,1181700,21.84
2016-10-07,21.98,22.110001,21.68,21.780001,1168300,21.780001
2016-10-06,21.959999,22.110001,21.74,22.02,1833200,22.02
2016-10-05,21.90,22.200001,21.809999,21.92,2006400,21.92
2016-10-04,21.76,22.08,21.68,21.74,2760200,21.74
2016-10-03,21.719999,22.02,21.379999,21.610001,4006900,21.610001
2016-09-30,21.90,21.969999,21.67,21.82,2155000,21.82
2016-09-29,22.00,22.120001,21.60,21.75,2824100,21.75
2016-09-28,22.24,22.469999,21.99,22.00,3146200,22.00
2016-09-27,21.780001,22.030001,21.68,21.92,2670700,21.92
2016-09-26,21.780001,21.950001,21.66,21.780001,2810400,21.780001
2016-09-23,22.16,22.49,21.879999,21.889999,3723000,21.889999
2016-09-22,22.08,22.790001,21.84,22.40,8102500,22.40
2016-09-21,23.60,23.85,23.43,23.73,4173200,23.73
2016-09-20,23.809999,23.809999,23.16,23.16,2447300,23.16
2016-09-19,22.73,23.42,22.620001,23.139999,3705700,23.139999
2016-09-16,22.379999,22.58,22.09,22.48,2771000,22.48
2016-09-15,21.49,22.459999,21.440001,22.43,3865100,22.43
2016-09-14,20.84,21.43,20.73,21.43,2091200,21.43
2016-09-13,20.82,21.07,20.629999,20.77,1358200,20.77
2016-09-12,20.51,21.040001,20.49,20.93,1263000,20.93
2016-09-09,21.41,21.440001,20.629999,20.690001,1503200,20.690001
2016-09-08,21.690001,21.709999,21.549999,21.58,1048000,21.58
2016-09-07,21.58,21.790001,21.530001,21.780001,1259200,21.780001
2016-09-06,21.440001,21.57,21.33,21.57,1359400,21.57
2016-09-02,21.370001,21.530001,21.25,21.42,974100,21.42
2016-09-01,21.190001,21.35,20.91,21.290001,1265700,21.290001
2016-08-31,21.110001,21.23,20.860001,21.190001,1741600,21.190001
2016-08-30,21.18,21.25,20.99,21.18,1285600,21.18
2016-08-29,21.049999,21.23,21.00,21.16,940200,21.16
2016-08-26,21.07,21.139999,20.92,21.08,1145600,21.08
2016-08-25,20.90,21.129999,20.83,21.08,1332100,21.08
2016-08-24,21.00,21.09,20.90,20.93,1263100,20.93
2016-08-23,21.00,21.120001,20.99,21.040001,1168200,21.040001
2016-08-22,20.969999,20.99,20.690001,20.93,1173300,20.93
2016-08-19,20.940001,21.10,20.870001,21.08,955600,21.08
