Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,44.259998,44.380001,43.27,44.07,6305400,44.07
2016-11-11,45.029999,45.27,43.93,44.16,6601900,44.16
2016-11-10,44.110001,45.310001,44.110001,45.25,9671000,45.25
2016-11-09,43.700001,44.380001,42.889999,43.84,10047900,43.84
2016-11-08,43.00,44.380001,42.330002,43.939999,12196100,43.939999
2016-11-07,41.599998,42.029999,41.27,41.57,7389800,41.57
2016-11-04,40.970001,41.18,40.650002,40.880001,5362500,40.880001
2016-11-03,41.490002,41.639999,40.619999,40.810001,4515100,40.810001
2016-11-02,41.240002,41.490002,41.080002,41.349998,7198600,41.349998
2016-11-01,40.810001,41.580002,40.810001,41.259998,8530700,41.259998
2016-10-31,39.290001,40.650002,39.16,40.32,16630600,40.32
2016-10-28,43.98,44.200001,43.549999,43.759998,6006900,43.759998
2016-10-27,44.220001,44.41,43.84,44.009998,4656700,44.009998
2016-10-26,43.720001,44.189999,43.630001,44.09,3890400,44.09
2016-10-25,44.27,44.349998,43.75,43.91,3972600,43.91
2016-10-24,44.57,44.720001,44.189999,44.389999,3602000,44.389999
2016-10-21,43.869999,44.16,43.459999,44.060001,3719000,44.060001
2016-10-20,44.369999,44.580002,44.169998,44.189999,5724800,44.189999
2016-10-19,44.189999,44.810001,43.990002,44.380001,4713600,44.380001
2016-10-18,44.23,44.27,43.849998,43.970001,7937700,43.970001
2016-10-17,43.889999,44.82,43.66,43.740002,10730100,43.740002
2016-10-14,43.799999,44.299999,43.669998,43.880001,5328600,43.880001
2016-10-13,43.790001,43.93,42.889999,43.490002,5997100,43.490002
2016-10-12,44.23,44.439999,44.02,44.189999,3606100,44.189999
2016-10-11,44.32,44.810001,44.02,44.240002,4336900,44.240002
2016-10-10,45.450001,45.650002,44.68,44.740002,3736400,44.740002
2016-10-07,45.790001,45.98,45.240002,45.290001,3851000,45.290001
2016-10-06,45.779999,45.939999,45.349998,45.650002,3797100,45.650002
2016-10-05,45.610001,46.439999,45.540001,45.950001,4951100,45.950001
2016-10-04,46.400002,46.529999,45.25,45.470001,4639200,45.470001
2016-10-03,46.32,46.860001,46.209999,46.34,4764800,46.34
2016-09-30,46.290001,46.790001,45.810001,46.529999,6369000,46.529999
2016-09-29,46.220001,46.619999,45.75,45.91,7051600,45.91
2016-09-28,45.259998,46.369999,45.080002,46.209999,9520000,46.209999
2016-09-27,44.299999,45.049999,43.610001,44.98,9300800,44.98
2016-09-26,43.990002,44.540001,43.529999,44.290001,4386700,44.290001
2016-09-23,44.759998,44.900002,44.389999,44.389999,5536800,44.389999
2016-09-22,44.93,45.349998,44.82,44.959999,4841300,44.959999
2016-09-21,44.259998,44.599998,43.970001,44.549999,8083100,44.549999
2016-09-20,44.419998,44.509998,43.77,43.939999,7665800,43.939999
2016-09-19,44.709999,44.759998,43.869999,44.200001,6704300,44.200001
2016-09-16,44.470001,44.900002,44.299999,44.549999,8395700,44.549999
2016-09-15,44.490002,44.77,44.209999,44.279999,7445500,44.279999
2016-09-14,44.919998,44.98,44.369999,44.529999,7276800,44.529999
2016-09-13,45.48,45.84,44.439999,44.849998,10513700,44.849998
2016-09-12,45.27,46.400002,44.630001,46.099998,13340200,46.099998
2016-09-09,47.580002,47.700001,45.700001,45.700001,12709700,45.700001
2016-09-08,47.509998,47.98,47.27,47.860001,10999300,47.860001
2016-09-07,48.830002,48.93,47.07,47.220001,10753600,47.220001
2016-09-06,47.66,48.970001,47.25,48.900002,6146400,48.900002
2016-09-02,45.490002,46.060001,45.32,45.59,29162900,45.59
2016-09-01,43.73,45.009998,43.73,45.009998,6597300,45.009998
2016-08-31,43.82,44.52,43.560001,43.68,5037600,43.68
2016-08-30,44.349998,44.349998,43.93,44.00,6212400,44.00
2016-08-29,43.73,44.400002,43.73,44.279999,3703300,44.279999
2016-08-26,44.119999,44.389999,43.689999,43.700001,3767200,43.700001
2016-08-25,44.060001,44.41,43.990002,44.119999,4296000,44.119999
2016-08-24,44.959999,45.150002,43.849998,44.169998,5831200,44.169998
2016-08-23,44.549999,45.450001,44.509998,45.119999,6309100,45.119999
2016-08-22,44.790001,44.950001,44.209999,44.34,2965200,44.34
2016-08-19,44.77,45.209999,44.619999,44.959999,2884500,44.959999
2016-08-18,44.18,44.919998,44.049999,44.91,3458400,44.91
2016-08-17,43.919998,44.209999,43.57,44.18,3434800,44.18
2016-08-16,44.099998,44.290001,43.509998,43.959999,3799900,43.959999
2016-08-15,43.84,44.240002,43.720001,44.150002,1743100,44.150002
2016-08-12,44.380001,44.380001,43.59,43.810001,2567300,43.810001
2016-08-11,44.720001,44.810001,44.18,44.490002,2815900,44.490002
2016-08-10,44.689999,44.84,44.490002,44.68,1230700,44.68
2016-08-09,45.299999,45.299999,44.529999,44.73,1361100,44.73
2016-08-08,45.369999,45.630001,45.07,45.169998,1260900,45.169998
2016-08-05,44.869999,45.369999,44.849998,45.32,1436300,45.32
