Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,13.70,14.07,13.70,14.05,2314500,14.05
2016-11-11,13.45,13.76,13.28,13.70,1953500,13.70
2016-11-10,13.24,13.78,13.24,13.63,2213000,13.63
2016-11-09,12.47,13.31,12.45,13.23,2439700,13.23
2016-11-08,12.68,12.71,12.45,12.59,1492900,12.59
2016-11-07,12.75,12.80,12.58,12.78,1486000,12.78
2016-11-04,12.34,12.64,12.23,12.47,2324800,12.47
2016-11-03,12.36,12.53,12.32,12.36,1373000,12.36
2016-11-02,12.63,12.66,12.33,12.39,1521700,12.280001
2016-11-01,12.87,12.93,12.66,12.74,1502200,12.626893
2016-10-31,12.82,12.98,12.76,12.82,1741500,12.706182
2016-10-28,12.70,13.08,12.67,12.76,2470500,12.646716
2016-10-27,13.08,13.08,12.60,12.65,2092200,12.537692
2016-10-26,13.11,13.41,12.97,12.99,2388300,12.874673
2016-10-25,13.75,13.78,13.22,13.37,3012000,13.2513
2016-10-24,14.08,14.08,13.89,13.93,1903900,13.806328
2016-10-21,13.93,14.08,13.52,13.82,2717000,13.697304
2016-10-20,14.19,14.29,14.04,14.11,951300,13.98473
2016-10-19,14.24,14.29,14.11,14.23,732200,14.103664
2016-10-18,14.31,14.37,14.10,14.18,593900,14.054109
2016-10-17,14.20,14.28,13.96,14.11,1312900,13.98473
2016-10-14,14.43,14.52,14.10,14.21,984400,14.083842
2016-10-13,14.29,14.39,14.16,14.30,1674100,14.173043
2016-10-12,14.38,14.52,14.29,14.44,1210400,14.3118
2016-10-11,14.59,14.63,14.20,14.34,1358800,14.212688
2016-10-10,14.50,14.77,14.45,14.70,1932000,14.569492
2016-10-07,14.41,14.43,13.91,14.39,3348500,14.262244
2016-10-06,14.89,15.01,14.46,14.48,2553400,14.351444
2016-10-05,15.14,15.21,14.87,14.94,2263500,14.807361
2016-10-04,15.45,15.60,14.80,15.02,6592500,14.886651
2016-10-03,16.00,16.620001,15.50,15.70,17564000,15.560613
2016-09-30,13.94,14.09,13.82,14.01,1485800,13.885618
2016-09-29,13.88,14.02,13.69,13.80,1144700,13.677482
2016-09-28,13.90,13.94,13.69,13.94,1253600,13.816239
2016-09-27,13.77,13.82,13.66,13.79,772200,13.667571
2016-09-26,13.95,14.03,13.77,13.78,877600,13.657659
2016-09-23,14.17,14.26,14.08,14.08,1141100,13.954996
2016-09-22,14.20,14.29,14.17,14.24,1205900,14.113575
2016-09-21,14.02,14.09,13.92,14.04,1103200,13.915351
2016-09-20,14.09,14.09,13.90,13.91,1032600,13.786505
2016-09-19,13.92,14.12,13.90,13.92,1126100,13.796417
2016-09-16,13.83,13.88,13.69,13.85,1926200,13.727039
2016-09-15,13.80,14.05,13.75,13.98,1430400,13.855884
2016-09-14,14.05,14.12,13.75,13.80,1602400,13.677482
2016-09-13,14.10,14.16,13.91,14.00,1911000,13.875706
2016-09-12,13.88,14.36,13.85,14.30,2100200,14.173043
2016-09-09,14.44,14.49,14.01,14.05,2563900,13.925263
2016-09-08,14.74,14.79,14.55,14.56,1756300,14.430735
2016-09-07,14.68,14.80,14.65,14.78,2002300,14.648781
2016-09-06,14.80,14.80,14.61,14.72,870900,14.589314
2016-09-02,14.75,14.86,14.66,14.75,1011200,14.619048
2016-09-01,14.92,14.96,14.54,14.66,1141100,14.529847
2016-08-31,14.98,15.03,14.78,14.87,1293500,14.737982
2016-08-30,14.88,15.03,14.83,15.00,1154700,14.866828
2016-08-29,14.69,14.92,14.64,14.87,1599100,14.737982
2016-08-26,14.56,14.77,14.52,14.64,1091800,14.510025
2016-08-25,14.51,14.65,14.51,14.55,853900,14.420824
2016-08-24,14.76,14.77,14.58,14.61,666900,14.48029
2016-08-23,14.70,14.80,14.64,14.76,797900,14.628959
2016-08-22,14.68,14.70,14.51,14.58,584000,14.450557
2016-08-19,14.65,14.76,14.62,14.71,659800,14.579403
2016-08-18,14.54,14.75,14.46,14.72,809400,14.589314
2016-08-17,14.55,14.61,14.47,14.54,735500,14.410912
2016-08-16,14.74,14.74,14.54,14.55,930400,14.420824
2016-08-15,14.79,14.85,14.70,14.78,706600,14.648781
2016-08-12,14.67,14.75,14.60,14.69,798700,14.55958
2016-08-11,14.72,14.83,14.69,14.74,925900,14.609136
2016-08-10,14.72,14.77,14.58,14.64,673000,14.510025
2016-08-09,14.74,14.77,14.60,14.68,1096900,14.54967
2016-08-08,14.90,14.93,14.64,14.71,2278000,14.579403
2016-08-05,14.79,15.11,14.75,14.97,1352800,14.837095
2016-08-04,14.72,14.76,14.58,14.62,896500,14.490202
2016-08-03,14.60,14.79,14.50,14.76,1286100,14.519935
2016-08-02,14.86,14.93,14.53,14.58,1269000,14.342863
2016-08-01,15.10,15.18,14.86,14.93,1937900,14.68717
2016-07-29,14.90,15.19,14.89,15.10,2289200,14.854406
2016-07-28,14.95,15.04,14.78,14.93,2173700,14.68717
2016-07-27,14.96,15.11,14.83,14.99,2403200,14.746194
2016-07-26,14.60,14.92,14.59,14.91,2673300,14.667495
2016-07-25,14.79,14.86,14.64,14.77,2874700,14.529773
2016-07-22,14.77,14.85,14.73,14.82,1679200,14.578959
2016-07-21,14.75,14.82,14.69,14.76,1423600,14.519935
2016-07-20,14.79,14.89,14.59,14.78,1135900,14.53961
2016-07-19,14.81,14.86,14.67,14.73,1683200,14.490423
2016-07-18,14.93,14.99,14.81,14.92,1378300,14.677333
2016-07-15,14.88,14.94,14.68,14.94,1839300,14.697007
2016-07-14,15.17,15.40,14.71,14.78,2704800,14.53961
