Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,81.260002,83.239998,81.00,82.900002,739800,82.900002
2016-11-11,80.879997,82.830002,80.690002,81.25,389400,81.25
2016-11-10,82.209999,82.919998,80.879997,81.019997,1095100,81.019997
2016-11-09,81.470001,84.900002,80.629997,82.57,1265700,82.57
2016-11-08,81.449997,83.110001,81.230003,82.900002,437000,82.900002
2016-11-07,80.389999,82.260002,80.379997,81.879997,540900,81.879997
2016-11-04,79.529999,79.860001,78.919998,79.50,629300,79.50
2016-11-03,78.400002,80.099998,77.00,79.629997,1270100,79.629997
2016-11-02,80.470001,81.18,80.040001,80.099998,614900,80.099998
2016-11-01,80.68,81.099998,79.900002,80.209999,554200,80.209999
2016-10-31,80.699997,80.93,80.010002,80.650002,527800,80.650002
2016-10-28,79.239998,80.699997,78.830002,80.25,920200,80.25
2016-10-27,82.830002,83.230003,79.510002,79.550003,940500,79.550003
2016-10-26,83.660004,84.739998,82.949997,83.629997,690400,83.629997
2016-10-25,83.790001,83.790001,82.980003,83.449997,349000,83.449997
2016-10-24,85.550003,85.550003,83.18,83.739998,568200,83.739998
2016-10-21,83.739998,84.120003,83.169998,83.589996,342200,83.589996
2016-10-20,84.099998,84.769997,83.629997,83.860001,368100,83.860001
2016-10-19,84.830002,84.989998,84.120003,84.309998,505500,84.309998
2016-10-18,85.730003,86.029999,84.699997,84.849998,625800,84.849998
2016-10-17,87.129997,87.230003,85.519997,85.620003,410400,85.620003
2016-10-14,87.300003,88.129997,86.400002,87.059998,702300,87.059998
2016-10-13,86.629997,87.669998,86.599998,86.830002,738500,86.830002
2016-10-12,86.07,87.449997,86.07,87.32,559300,87.32
2016-10-11,87.25,88.169998,87.00,87.25,895400,86.299998
2016-10-10,87.300003,87.440002,86.75,87.300003,431300,86.349456
2016-10-07,86.529999,87.75,86.529999,87.300003,594500,86.349456
2016-10-06,84.75,87.089996,84.360001,86.43,1049600,85.488926
2016-10-05,86.470001,86.760002,84.800003,85.290001,1121900,84.36134
2016-10-04,87.080002,87.25,85.790001,86.459999,559300,85.518599
2016-10-03,88.889999,88.889999,86.910004,87.040001,510700,86.092285
2016-09-30,91.080002,91.080002,88.889999,88.940002,461900,87.971599
2016-09-29,92.00,92.00,90.050003,90.389999,667200,89.405808
2016-09-28,93.25,93.449997,91.989998,92.349998,494100,91.344466
2016-09-27,94.25,94.629997,92.690002,92.849998,275400,91.839022
2016-09-26,93.739998,94.510002,93.580002,93.959999,410200,92.936936
2016-09-23,93.300003,95.050003,92.699997,93.860001,537400,92.838027
2016-09-22,91.690002,93.730003,91.639999,93.370003,544200,92.353364
2016-09-21,90.190002,91.379997,88.610001,91.330002,683000,90.335575
2016-09-20,90.209999,90.709999,89.800003,90.379997,379700,89.395915
2016-09-19,88.919998,90.309998,88.57,90.059998,302300,89.079399
2016-09-16,88.970001,89.290001,88.379997,89.00,519200,88.030943
2016-09-15,88.919998,89.720001,88.709999,89.230003,360300,88.258442
2016-09-14,90.139999,90.57,89.019997,89.230003,419500,88.258442
2016-09-13,91.099998,91.139999,89.260002,90.029999,587400,89.049727
2016-09-12,91.309998,91.830002,90.239998,91.199997,572000,90.206986
2016-09-09,93.160004,93.489998,90.970001,91.169998,670700,90.177314
2016-09-08,93.510002,94.360001,92.550003,92.57,399900,91.562072
2016-09-07,92.25,93.93,91.75,93.870003,893100,92.84792
2016-09-06,92.019997,92.129997,91.209999,91.849998,381900,90.84991
2016-09-02,90.949997,92.43,90.790001,91.910004,430500,90.909262
2016-09-01,89.830002,91.650002,89.389999,90.800003,489200,89.811347
2016-08-31,89.400002,91.860001,88.940002,90.00,853900,89.020055
2016-08-30,89.300003,89.769997,88.019997,89.50,434300,88.525499
2016-08-29,88.190002,89.970001,88.190002,89.029999,324700,88.060615
2016-08-26,88.25,88.470001,86.449997,88.010002,913000,87.051725
2016-08-25,88.580002,89.43,88.059998,88.25,598900,87.289109
2016-08-24,89.809998,89.809998,88.239998,88.400002,543600,87.437478
2016-08-23,89.400002,90.370003,89.400002,89.940002,495400,88.960711
2016-08-22,89.050003,90.050003,88.970001,89.120003,355200,88.149639
2016-08-19,90.790001,90.790001,88.82,89.129997,385400,88.159525
2016-08-18,91.459999,91.690002,90.440002,90.980003,238200,89.989388
2016-08-17,91.00,91.370003,90.190002,91.220001,368500,90.226772
2016-08-16,92.620003,92.620003,90.019997,90.529999,459400,89.544283
2016-08-15,93.75,94.959999,91.760002,91.889999,239800,90.889475
2016-08-12,92.059998,93.989998,91.980003,92.209999,318500,91.205991
2016-08-11,93.089996,93.290001,91.959999,92.529999,609700,91.522506
2016-08-10,92.760002,93.089996,92.050003,93.080002,617800,92.066521
2016-08-09,92.370003,92.879997,91.75,92.779999,290200,91.769784
2016-08-08,93.00,93.559998,92.199997,92.370003,562500,91.364252
2016-08-05,92.800003,93.610001,91.849998,92.910004,697300,91.898374
2016-08-04,94.599998,95.220001,92.25,92.599998,1804700,91.591744
2016-08-03,100.769997,100.769997,98.970001,99.459999,651400,98.377051
2016-08-02,102.360001,102.82,100.32,100.730003,465000,99.633227
2016-08-01,102.389999,102.940002,101.830002,102.790001,409600,101.670795
2016-07-29,101.32,103.50,101.309998,102.370003,801400,101.25537
2016-07-28,103.470001,103.480003,100.379997,101.260002,951800,100.157455
2016-07-27,104.00,104.120003,102.879997,103.800003,356300,102.6698
2016-07-26,105.25,105.260002,103.879997,104.25,412200,103.114897
2016-07-25,107.029999,107.209999,104.389999,105.110001,388600,103.965534
2016-07-22,105.800003,107.709999,105.379997,107.230003,320300,106.062453
2016-07-21,105.879997,106.059998,105.290001,105.870003,349100,104.717261
2016-07-20,105.760002,106.110001,105.330002,106.019997,336100,104.865621
2016-07-19,105.209999,105.779999,103.660004,105.75,393000,104.598565
2016-07-18,105.25,105.739998,104.510002,104.989998,479100,103.846838
2016-07-15,105.809998,106.040001,104.769997,105.220001,357100,104.074337
2016-07-14,107.040001,107.040001,105.529999,106.059998,543700,104.905187
2016-07-13,106.059998,107.330002,105.50,107.110001,547700,105.943757
2016-07-12,106.730003,106.830002,105.290001,106.760002,581600,104.657919
2016-07-11,106.699997,107.129997,105.559998,106.919998,381900,104.814765
2016-07-08,104.839996,106.940002,104.769997,106.440002,592900,104.34422
2016-07-07,105.830002,105.849998,103.839996,104.580002,457100,102.520843
2016-07-06,106.010002,106.800003,105.720001,105.860001,479800,103.775639
2016-07-05,104.190002,106.25,103.970001,106.239998,524200,104.148154
2016-07-01,105.059998,106.220001,103.720001,103.970001,423000,101.922853
2016-06-30,104.540001,104.93,103.529999,104.919998,934400,102.854145
2016-06-29,106.410004,107.150002,104.099998,104.489998,545100,102.432611
2016-06-28,104.529999,105.839996,104.059998,105.800003,661500,103.716822
2016-06-27,102.129997,104.190002,101.720001,103.900002,957000,101.854231
2016-06-24,100.300003,102.610001,98.93,102.50,4328200,100.481796
2016-06-23,101.57,102.940002,101.300003,101.57,641600,99.570107
2016-06-22,101.50,102.370003,100.919998,101.629997,514200,99.628923
2016-06-21,101.760002,102.139999,100.910004,101.50,723800,99.501485
2016-06-20,102.470001,103.220001,101.480003,101.610001,406500,99.60932
2016-06-17,102.00,102.199997,100.269997,102.169998,1097400,100.158292
2016-06-16,101.029999,102.230003,100.839996,102.199997,401200,100.1877
2016-06-15,100.959999,101.970001,100.540001,101.449997,625100,99.452467
2016-06-14,101.580002,101.879997,100.269997,100.769997,511500,98.785856
2016-06-13,102.260002,103.00,101.190002,101.559998,576000,99.560302
2016-06-10,102.879997,103.25,101.510002,101.910004,637500,99.903416
2016-06-09,105.589996,105.589996,102.720001,103.260002,839200,101.226834
2016-06-08,106.269997,106.389999,104.050003,105.339996,552000,103.265873
2016-06-07,107.209999,107.529999,106.480003,106.550003,413000,104.452055
2016-06-06,109.010002,109.349998,105.940002,106.949997,551900,104.844173
2016-06-03,109.18,109.889999,108.529999,108.910004,359900,106.765588
2016-06-02,107.769997,108.580002,106.510002,108.459999,450400,106.324444
2016-06-01,107.769997,108.669998,107.010002,108.239998,470300,106.108774
2016-05-31,108.599998,108.599998,106.779999,108.269997,1585200,106.138182
2016-05-27,107.400002,108.18,106.309998,108.110001,892700,105.981336
2016-05-26,106.50,107.330002,105.769997,107.040001,437300,104.932405
2016-05-25,107.949997,107.949997,105.589996,106.339996,415000,104.246183
2016-05-24,106.629997,107.790001,106.480003,107.699997,849200,105.579406
2016-05-23,106.089996,106.620003,105.110001,106.089996,767700,104.001106
2016-05-20,102.50,106.160004,102.300003,105.949997,5886000,103.863863
2016-05-19,109.50,109.50,103.300003,103.370003,1027200,101.334668
2016-05-18,112.370003,113.220001,110.139999,111.349998,173900,109.157539
2016-05-17,114.589996,114.669998,112.089996,112.610001,240700,110.392732
2016-05-16,114.760002,116.220001,113.970001,115.610001,210600,113.333663
2016-05-13,114.519997,114.949997,113.50,114.00,137500,111.755363
2016-05-12,113.599998,114.970001,111.82,114.699997,239900,112.441577
2016-05-11,114.660004,114.660004,111.720001,113.400002,200600,111.167178
2016-05-10,114.900002,115.610001,114.230003,114.849998,180600,112.588625
2016-05-09,114.860001,115.330002,114.160004,114.889999,294600,112.627838
2016-05-06,113.449997,114.599998,112.279999,114.360001,250000,112.108275
2016-05-05,112.080002,113.449997,111.870003,113.260002,224300,111.029936
2016-05-04,109.290001,113.459999,109.290001,112.449997,327700,110.235879
2016-05-03,108.129997,110.32,107.959999,110.169998,319700,108.000773
2016-05-02,106.949997,108.550003,106.790001,108.239998,408800,106.108774
2016-04-29,108.580002,109.120003,104.809998,106.220001,420000,104.128551
2016-04-28,107.540001,109.900002,107.540001,108.879997,259400,106.736172
2016-04-27,110.43,110.43,106.290001,107.879997,246400,105.755862
2016-04-26,109.25,110.529999,109.230003,109.980003,258500,107.814519
2016-04-25,107.519997,109.239998,106.82,109.209999,200800,107.059676
2016-04-22,107.720001,108.279999,106.220001,107.860001,245900,105.736259
2016-04-21,110.639999,110.879997,107.120003,107.599998,283800,105.481376
2016-04-20,112.089996,112.440002,109.629997,110.650002,306800,108.471325
2016-04-19,114.099998,114.160004,111.540001,112.25,228600,110.03982
2016-04-18,113.43,114.129997,112.889999,114.059998,117700,111.814179
2016-04-15,112.269997,113.75,112.050003,113.43,205800,111.196586
2016-04-14,114.00,114.18,112.309998,112.379997,147400,110.167258
2016-04-13,115.07,115.110001,113.120003,114.029999,255600,111.784771
2016-04-12,114.25,115.099998,113.669998,114.800003,172700,112.539614
2016-04-11,116.230003,116.559998,114.949997,114.989998,207400,111.794569
2016-04-08,116.25,116.720001,115.610001,115.989998,152100,112.76678
2016-04-07,115.449997,116.279999,114.889999,115.760002,231900,112.543175
2016-04-06,116.150002,116.150002,114.809998,115.949997,237000,112.727891
2016-04-05,116.440002,117.440002,116.029999,116.150002,235200,112.922337
2016-04-04,116.480003,117.730003,116.07,117.440002,304500,114.176491
2016-04-01,117.50,117.809998,116.730003,117.059998,241600,113.807046
2016-03-31,117.279999,118.150002,117.18,117.949997,294900,114.672313
2016-03-30,117.790001,118.18,117.150002,117.580002,182200,114.3126
2016-03-29,115.610001,117.790001,115.169998,117.730003,332600,114.458433
2016-03-28,114.550003,115.949997,114.550003,115.330002,210000,112.125124
2016-03-24,113.449997,114.519997,112.720001,114.339996,160400,111.16263
2016-03-23,113.32,114.779999,113.010002,113.599998,205600,110.443196
2016-03-22,113.540001,114.879997,112.760002,113.410004,330900,110.25848
2016-03-21,113.419998,115.010002,113.139999,114.040001,357200,110.870971
2016-03-18,115.93,115.93,113.900002,114.660004,730200,111.473745
2016-03-17,114.82,116.870003,114.440002,116.339996,302200,113.107052
2016-03-16,112.68,115.080002,112.209999,114.709999,173700,111.522351
2016-03-15,111.739998,113.690002,111.410004,113.199997,244600,110.05431
2016-03-14,110.790001,112.589996,110.769997,112.330002,232400,109.208491
2016-03-11,109.790001,111.440002,109.699997,111.339996,268600,108.245996
2016-03-10,109.150002,109.980003,107.330002,108.949997,228500,105.922412
2016-03-09,108.209999,109.330002,107.879997,108.75,202400,105.727973
2016-03-08,108.18,109.260002,107.830002,108.019997,293400,105.018255
2016-03-07,107.82,108.589996,107.519997,108.57,279000,105.552974
2016-03-04,109.25,110.199997,107.57,108.25,386200,105.241867
2016-03-03,109.139999,109.139999,106.940002,108.419998,442800,105.407141
2016-03-02,108.00,109.160004,107.800003,109.059998,349500,106.029356
2016-03-01,107.269997,108.889999,106.489998,108.150002,315000,105.144647
2016-02-29,107.75,109.00,106.25,106.440002,808400,103.482167
2016-02-26,109.010002,109.330002,108.43,108.519997,346600,105.504361
2016-02-25,105.860001,109.190002,105.860001,109.059998,296400,106.029356
2016-02-24,106.059998,107.440002,104.489998,105.68,267500,102.743284
2016-02-23,106.980003,108.18,106.43,106.489998,299500,103.530773
2016-02-22,107.989998,108.269997,105.830002,106.449997,345800,103.491884
2016-02-19,103.589996,107.019997,102.93,106.57,493200,103.608552
2016-02-18,105.660004,105.660004,103.080002,103.589996,362000,100.711359
2016-02-17,103.349998,105.080002,102.970001,104.610001,573700,101.703019
2016-02-16,103.160004,103.690002,102.190002,102.940002,349100,100.079428
2016-02-12,102.790001,102.860001,100.010002,101.610001,229600,98.786385
