Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,64.32,64.32,64.32,64.32,000,63.72
2016-11-11,62.54,62.54,62.54,62.54,000,61.957
2016-11-10,60.71,60.71,60.71,60.71,000,60.144
2016-11-09,56.26,56.26,56.26,56.26,000,55.735
2016-11-08,59.23,59.23,59.21,59.21,000,58.658
2016-11-07,59.28,59.28,59.28,59.28,000,58.727
2016-11-04,58.44,58.44,58.44,58.44,000,57.895
2016-11-03,58.81,58.81,58.81,58.81,000,58.261
2016-11-02,59.72,59.72,59.72,59.72,000,59.163
2016-11-01,61.79,61.79,61.79,61.79,000,61.214
2016-10-31,67.13,67.13,67.13,67.13,000,66.504
2016-10-28,66.48,66.48,66.48,66.48,000,65.86
2016-10-27,66.43,66.43,66.43,66.43,000,65.81
2016-10-26,66.42,66.42,66.42,66.42,000,65.80
2016-10-25,67.09,67.09,67.09,67.09,000,66.464
2016-10-24,66.56,66.56,66.56,66.56,000,65.939
2016-10-21,65.96,65.96,65.96,65.96,000,65.345
2016-10-20,66.03,66.03,65.92,65.92,100,65.305
2016-10-19,65.43,65.43,65.43,65.43,000,64.82
2016-10-18,65.63,65.63,65.63,65.63,000,65.018
2016-10-17,66.27,66.27,66.27,66.27,000,65.652
2016-10-14,65.71,65.71,65.71,65.71,000,65.097
2016-10-13,65.73,65.73,65.73,65.73,000,65.117
2016-10-12,63.78,63.78,63.78,63.78,000,63.185
2016-10-11,64.17,64.17,64.17,64.17,000,63.571
2016-10-10,63.68,63.68,63.68,63.68,000,63.086
2016-10-07,63.63,63.63,63.63,63.63,000,63.036
2016-10-06,62.75,62.75,62.75,62.75,000,62.165
2016-10-05,62.53,62.53,62.53,62.53,000,61.947
2016-10-04,62.46,62.46,62.46,62.46,000,61.877
2016-10-03,62.11,62.11,62.11,62.11,000,61.531
2016-09-30,61.93,61.93,61.93,61.93,000,61.352
2016-09-29,63.22,63.22,63.22,63.22,000,62.63
2016-09-28,64.88,64.88,64.88,64.88,000,64.275
2016-09-27,65.35,65.35,65.35,65.35,000,64.74
2016-09-26,66.67,66.67,66.67,66.67,000,66.048
2016-09-23,66.00,66.00,66.00,66.00,000,65.384
2016-09-22,64.70,64.70,64.70,64.70,000,64.096
2016-09-21,64.93,64.93,64.93,64.93,000,64.324
2016-09-20,64.75,64.75,64.75,64.75,000,64.146
2016-09-19,64.46,64.46,64.46,64.46,000,63.859
2016-09-16,63.63,63.63,63.63,63.63,000,63.036
2016-09-15,63.29,63.29,63.29,63.29,000,62.70
2016-09-14,64.11,64.11,64.11,64.11,000,63.512
2016-09-13,64.45,64.45,64.45,64.45,000,63.849
2016-09-12,62.73,62.73,62.73,62.73,000,62.145
2016-09-09,64.73,64.73,64.73,64.73,000,64.126
2016-09-08,65.48,65.48,65.48,65.48,000,64.869
2016-09-07,64.90,64.90,64.90,64.90,000,64.295
2016-09-06,66.44,66.44,66.44,66.44,000,65.82
2016-09-05,66.30,66.30,66.30,66.30,000,65.682
2016-09-02,66.54,66.54,66.54,66.54,000,65.919
2016-09-01,68.27,68.27,68.27,68.27,000,67.633
2016-08-31,68.30,68.30,68.30,68.30,000,67.663
2016-08-30,68.60,68.60,68.60,68.60,000,67.96
2016-08-29,67.81,67.81,67.81,67.81,000,67.177
2016-08-26,67.98,67.98,67.98,67.98,000,67.346
2016-08-25,68.34,68.34,68.34,68.34,000,67.702
2016-08-24,68.53,68.53,68.53,68.53,000,67.891
2016-08-23,68.63,68.63,68.63,68.63,000,67.99
2016-08-22,68.54,69.70,68.54,69.70,000,69.05
2016-08-19,68.44,68.44,68.44,68.44,000,67.802
2016-08-18,67.00,67.00,67.00,67.00,000,66.375
2016-08-17,65.00,65.00,65.00,65.00,000,64.394
2016-08-16,65.91,65.91,65.91,65.91,000,64.701
2016-08-15,65.91,65.91,65.91,65.91,000,64.701
2016-08-12,66.02,66.02,66.02,66.02,000,64.809
2016-08-11,64.82,64.82,64.82,64.82,000,63.631
2016-08-10,64.83,64.83,64.83,64.83,000,63.641
2016-08-09,66.52,66.52,66.52,66.52,000,65.30
2016-08-08,66.77,66.77,66.77,66.77,000,65.545
2016-08-05,65.25,65.25,65.25,65.25,000,64.053
2016-08-04,64.88,64.88,64.88,64.88,000,63.69
2016-08-03,64.32,64.32,64.32,64.32,000,63.14
2016-08-02,66.35,66.35,66.35,66.35,000,65.133
2016-08-01,66.43,66.43,66.43,66.43,000,65.211
2016-07-29,66.32,66.32,66.32,66.32,000,65.103
2016-07-28,66.31,66.31,66.31,66.31,000,65.093
2016-07-27,67.45,67.45,67.45,67.45,000,66.213
2016-07-26,67.04,67.04,67.04,67.04,000,65.81
2016-07-25,63.90,63.90,63.90,63.90,000,62.728
2016-07-22,63.97,63.97,63.97,63.97,000,62.796
2016-07-21,63.87,63.87,63.87,63.87,000,62.698
2016-07-20,63.61,63.61,63.61,63.61,000,62.443
2016-07-19,63.33,63.33,63.33,63.33,000,62.168
2016-07-18,62.59,62.59,62.59,62.59,000,61.442
2016-07-15,62.57,62.57,62.57,62.57,000,61.422
2016-07-14,62.98,62.98,62.98,62.98,000,61.825
2016-07-13,63.51,63.51,63.51,63.51,000,62.345
2016-07-12,62.46,62.46,62.46,62.46,000,61.314
2016-07-11,62.61,62.61,62.61,62.61,000,61.461
2016-07-08,60.73,60.73,60.73,60.73,000,59.616
2016-07-07,61.49,61.49,61.49,61.49,000,60.362
2016-07-06,60.27,60.27,60.27,60.27,000,59.164
2016-07-05,60.52,60.52,60.52,60.52,000,59.41
2016-07-04,60.71,60.71,60.71,60.71,000,59.596
2016-07-01,60.26,60.26,60.26,60.26,000,59.154
2016-06-30,60.22,60.22,60.22,60.22,000,59.115
2016-06-29,59.13,59.13,59.13,59.13,000,58.045
2016-06-28,59.09,59.09,59.09,59.09,000,58.006
2016-06-27,60.71,60.71,60.71,60.71,000,59.596
2016-06-24,58.04,58.04,58.04,58.04,000,56.975
2016-06-23,60.59,60.59,60.59,60.59,000,59.478
2016-06-22,60.39,60.39,60.39,60.39,000,59.282
2016-06-21,59.77,59.77,59.77,59.77,000,58.673
2016-06-20,60.43,60.43,60.43,60.43,000,59.321
2016-06-17,60.01,60.01,60.01,60.01,000,58.909
2016-06-16,59.72,59.72,59.72,59.72,000,58.624
2016-06-15,58.95,58.95,58.95,58.95,000,57.868
2016-06-14,59.42,59.42,59.42,59.42,000,58.33
2016-06-13,60.27,60.27,60.27,60.27,000,59.164
2016-06-10,60.50,60.50,60.50,60.50,000,59.39
2016-06-09,60.89,60.89,60.89,60.89,000,59.773
2016-06-08,61.58,61.58,61.58,61.58,000,60.45
2016-06-07,61.87,61.87,61.87,61.87,000,60.735
