Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,97.68,98.529999,97.440002,98.089996,1718000,98.089996
2016-11-11,97.620003,98.199997,97.349998,97.900002,3137400,97.900002
2016-11-10,99.209999,99.400002,97.75,97.93,3367800,97.93
2016-11-09,98.25,99.57,98.099998,98.940002,3109900,98.940002
2016-11-08,99.32,99.709999,98.610001,99.440002,1560100,99.440002
2016-11-07,99.050003,99.489998,98.559998,99.190002,1677500,99.190002
2016-11-04,98.809998,99.400002,98.360001,98.519997,1935100,98.519997
2016-11-03,99.739998,99.790001,98.599998,98.809998,3238400,98.809998
2016-11-02,100.550003,100.849998,99.68,99.779999,2514800,99.779999
2016-11-01,100.629997,101.00,100.239998,100.690002,1878000,100.690002
2016-10-31,100.93,101.529999,100.50,100.769997,1660700,100.769997
2016-10-28,101.150002,101.580002,100.510002,100.980003,1546400,100.980003
2016-10-27,101.519997,101.599998,100.879997,101.019997,1533800,101.019997
2016-10-26,101.260002,101.739998,100.989998,101.330002,1688600,101.330002
2016-10-25,102.00,102.00,101.139999,101.400002,2187500,101.400002
2016-10-24,101.629997,102.610001,101.400002,102.00,3744400,102.00
2016-10-21,102.339996,102.459999,101.620003,102.07,2857500,102.07
2016-10-20,102.089996,102.959999,101.720001,102.860001,1777300,102.860001
2016-10-19,103.00,103.199997,102.32,102.489998,1444000,102.489998
2016-10-18,102.889999,103.00,102.099998,102.669998,2022300,102.669998
2016-10-17,102.019997,102.379997,101.620003,102.169998,1729600,102.169998
2016-10-14,102.68,102.800003,101.639999,102.110001,3217100,102.110001
2016-10-13,101.800003,102.800003,101.540001,102.540001,2187400,102.540001
2016-10-12,103.360001,103.400002,102.309998,102.32,1601200,102.32
2016-10-11,102.699997,103.489998,102.269997,103.330002,1803900,103.330002
2016-10-10,103.769997,103.889999,102.900002,102.970001,989700,102.970001
2016-10-07,103.75,103.889999,103.25,103.360001,2391600,103.360001
2016-10-06,103.25,103.769997,103.199997,103.50,3371200,103.50
2016-10-05,101.089996,103.360001,101.089996,103.18,4512000,103.18
2016-10-04,102.82,102.879997,102.099998,102.150002,3305000,101.610002
2016-10-03,102.25,102.550003,101.989998,102.470001,1945400,101.92831
2016-09-30,102.279999,102.489998,101.57,102.199997,3664500,101.659733
2016-09-29,102.519997,102.599998,101.339996,101.790001,2670700,101.251905
2016-09-28,102.889999,102.889999,101.650002,102.559998,3103100,102.017831
2016-09-27,102.57,102.919998,102.059998,102.25,3109900,101.709472
2016-09-26,103.720001,104.43,102.010002,102.129997,4070500,101.590104
2016-09-23,104.120003,104.169998,103.400002,103.50,2083500,102.952864
2016-09-22,104.860001,104.970001,104.099998,104.199997,4251700,103.649161
2016-09-21,103.800003,104.730003,103.800003,104.360001,5719600,103.808319
2016-09-20,102.75,103.099998,102.010002,102.879997,3569000,102.336139
2016-09-19,103.93,104.220001,101.660004,101.800003,5620700,101.261854
2016-09-16,104.440002,104.519997,103.199997,103.449997,7717200,102.903126
2016-09-15,106.699997,106.779999,103.940002,104.220001,10614000,103.669059
2016-09-14,107.010002,107.75,106.349998,106.760002,25716900,106.195633
2016-09-13,106.93,109.50,105.010002,106.099998,7589500,105.539118
2016-09-12,106.980003,107.239998,106.50,106.989998,2714600,106.424413
2016-09-09,108.349998,109.07,106.669998,106.779999,9126700,106.215524
2016-09-08,106.900002,108.339996,106.169998,108.050003,5174300,107.478814
2016-09-07,106.769997,106.949997,105.760002,106.57,3063600,106.006635
2016-09-06,108.169998,108.400002,105.849998,106.07,9005200,105.509278
2016-09-02,107.220001,107.559998,106.709999,107.440002,1372600,106.872038
2016-09-01,106.489998,107.230003,106.120003,106.910004,2376400,106.344841
2016-08-31,107.18,107.440002,104.830002,106.50,3713100,105.937005
2016-08-30,107.50,108.349998,106.739998,107.440002,2503500,106.872038
2016-08-29,107.860001,108.260002,107.349998,107.540001,2426600,106.971508
2016-08-26,107.519997,107.760002,106.629997,107.400002,4005600,106.832249
