Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,64.00,64.089996,63.240002,63.529999,10056700,63.529999
2016-11-11,64.080002,64.510002,63.580002,63.950001,13941800,63.950001
2016-11-10,64.540001,65.459999,64.519997,64.959999,17862300,64.959999
2016-11-09,63.959999,65.00,62.759998,64.18,27547200,64.18
2016-11-08,59.82,60.779999,59.52,60.509998,7903700,60.509998
2016-11-07,59.52,60.209999,59.48,60.049999,10360300,60.049999
2016-11-04,58.689999,59.27,58.610001,58.82,11231100,58.82
2016-11-03,59.18,59.220001,58.290001,58.43,11323000,58.43
2016-11-02,59.060001,59.509998,58.75,58.84,10724700,58.84
2016-11-01,59.00,59.59,58.509998,59.299999,14347400,59.299999
2016-10-31,59.09,59.150002,58.369999,58.720001,14254800,58.720001
2016-10-28,61.02,61.07,58.450001,58.84,20358400,58.84
2016-10-27,61.150002,62.060001,61.00,61.290001,10350700,61.290001
2016-10-26,61.740002,61.849998,60.549999,60.869999,9957800,60.869999
2016-10-25,60.27,62.189999,59.549999,61.950001,15188500,61.950001
2016-10-24,61.400002,61.48,60.639999,60.75,9943000,60.75
2016-10-21,61.549999,61.900002,61.029999,61.200001,7406700,61.200001
2016-10-20,61.950001,62.27,61.689999,61.919998,6323400,61.919998
2016-10-19,62.130001,62.299999,61.810001,61.869999,5582700,61.869999
2016-10-18,61.900002,62.619999,61.830002,62.09,9988000,62.09
2016-10-17,62.049999,62.049999,60.799999,61.52,13054600,61.52
2016-10-14,62.720001,62.860001,62.130001,62.139999,12204200,62.139999
2016-10-13,62.25,62.950001,61.939999,62.509998,14541500,62.509998
2016-10-12,62.400002,62.630001,61.580002,61.66,10121900,61.66
2016-10-11,63.529999,63.549999,61.75,61.93,13955400,61.93
2016-10-10,64.209999,64.860001,63.439999,63.900002,20345900,63.900002
2016-10-07,62.77,62.990002,62.029999,62.77,10775200,62.77
2016-10-06,62.490002,62.689999,61.740002,62.66,11430500,62.66
2016-10-05,62.700001,63.040001,62.48,62.799999,7871300,62.799999
2016-10-04,62.48,62.950001,61.939999,62.459999,7897400,62.459999
2016-10-03,62.220001,62.57,61.669998,62.52,7520100,62.52
2016-09-30,61.889999,62.73,61.860001,62.41,13605300,62.41
2016-09-29,63.02,63.02,61.560001,61.91,10930000,61.91
2016-09-28,63.00,63.48,62.50,63.299999,11795000,63.299999
2016-09-27,62.310001,62.700001,61.830002,62.57,7340800,62.57
2016-09-26,62.529999,62.580002,61.880001,62.150002,6983800,62.150002
2016-09-23,62.869999,63.25,62.700001,62.959999,7679800,62.959999
2016-09-22,62.919998,63.470001,62.830002,63.02,8447800,63.02
2016-09-21,62.259998,62.82,61.860001,62.700001,7219000,62.700001
2016-09-20,61.900002,62.41,61.689999,61.939999,9211600,61.939999
2016-09-19,62.540001,62.540001,61.32,61.330002,11287700,61.330002
2016-09-16,62.450001,62.619999,62.060001,62.279999,12432300,62.279999
2016-09-15,61.240002,62.610001,61.119999,62.380001,8997800,62.380001
2016-09-14,61.919998,62.34,61.299999,61.349998,10421800,61.349998
2016-09-13,62.369999,62.779999,61.369999,61.810001,10223400,61.810001
2016-09-12,62.00,63.490002,61.91,63.189999,10629500,62.729999
2016-09-09,62.689999,62.709999,62.32,62.490002,12587500,62.035097
2016-09-08,62.450001,63.290001,62.330002,63.240002,9186300,62.779638
2016-09-07,63.310001,63.490002,62.599998,62.869999,8668100,62.412328
2016-09-06,62.990002,63.470001,62.77,63.240002,7930300,62.779638
2016-09-02,62.59,63.27,62.59,62.98,7613200,62.521528
2016-09-01,62.700001,62.98,62.389999,62.900002,6544700,62.442113
2016-08-31,63.080002,63.119999,62.419998,62.790001,8860500,62.332913
2016-08-30,62.959999,63.029999,62.509998,62.709999,6178000,62.253493
2016-08-29,62.919998,63.290001,62.639999,63.009998,5575800,62.551309
2016-08-26,62.48,62.990002,62.18,62.849998,7793800,62.392473
2016-08-25,62.860001,63.099998,62.27,62.32,7947700,61.866333
2016-08-24,63.599998,63.779999,62.509998,62.73,7482900,62.273348
2016-08-23,63.709999,63.880001,63.369999,63.580002,5798400,63.117163
2016-08-22,63.25,63.639999,63.080002,63.549999,6447200,63.087378
2016-08-19,63.18,63.439999,62.869999,63.360001,8480000,62.898763
2016-08-18,63.080002,63.639999,63.080002,63.630001,6926600,63.166798
2016-08-17,63.029999,63.43,62.599998,63.290001,8271500,62.829273
2016-08-16,63.00,63.32,62.84,63.040001,5680100,62.581093
2016-08-15,63.349998,63.75,63.209999,63.32,6650100,62.859053
2016-08-12,63.139999,63.450001,62.93,63.349998,6244300,62.888834
2016-08-11,62.610001,63.73,62.48,63.630001,10365000,63.166798
2016-08-10,62.09,63.099998,62.07,62.639999,8835400,62.184003
2016-08-09,62.860001,63.139999,62.43,62.490002,12234400,62.035097
2016-08-08,62.66,63.02,61.950001,62.860001,25045900,62.402403
2016-08-05,57.84,64.00,57.84,63.860001,72876000,63.395123
2016-08-04,57.740002,58.23,57.740002,57.84,5541400,57.418946
2016-08-03,58.169998,58.299999,57.18,57.650002,9637300,57.230331
2016-08-02,58.68,58.73,58.25,58.330002,6826300,57.905381
2016-08-01,58.830002,59.00,58.50,58.66,8871200,58.232976
2016-07-29,59.009998,59.200001,58.27,58.66,8491200,58.232976
2016-07-28,58.52,58.59,58.110001,58.43,7289700,58.004651
2016-07-27,58.389999,58.720001,57.93,58.599998,7888800,58.173412
2016-07-26,58.700001,58.810001,58.139999,58.360001,7150800,57.935161
2016-07-25,58.630001,58.880001,57.98,58.560001,8037200,58.133706
2016-07-22,58.990002,59.080002,58.549999,58.82,6269500,58.391812
2016-07-21,59.00,59.110001,58.560001,58.790001,6047100,58.362031
2016-07-20,59.00,59.119999,58.759998,58.790001,6476000,58.362031
2016-07-19,59.080002,59.50,58.560001,58.66,8881300,58.232976
2016-07-18,59.00,59.490002,58.720001,59.02,8769200,58.590356
2016-07-15,59.799999,59.93,59.25,59.630001,8162700,59.195916
2016-07-14,59.869999,59.93,59.48,59.650002,7345500,59.215771
2016-07-13,59.779999,59.950001,59.48,59.549999,6793200,59.116497
2016-07-12,59.27,59.790001,59.080002,59.599998,8401300,59.166132
2016-07-11,59.259998,59.75,59.200001,59.34,7336700,58.908027
2016-07-08,58.98,59.57,58.799999,59.349998,9479400,58.917952
2016-07-07,58.889999,59.02,58.290001,58.779999,9351900,58.352102
2016-07-06,58.27,59.27,58.07,59.16,14327700,58.729337
2016-07-05,57.779999,58.169998,57.779999,58.00,7394100,57.577781
2016-07-01,57.540001,58.00,57.419998,57.939999,7868300,57.518217
2016-06-30,57.150002,57.68,56.91,57.610001,9277700,57.190621
2016-06-29,56.139999,57.139999,55.98,57.049999,9813800,56.634696
2016-06-28,55.439999,55.669998,55.110001,55.580002,12760100,55.1754
2016-06-27,55.490002,55.68,55.099998,55.310001,13093300,54.907365
2016-06-24,56.040001,57.07,55.77,55.880001,17258600,55.473215
2016-06-23,57.48,57.68,57.110001,57.68,6968400,57.260111
2016-06-22,56.139999,57.27,56.099998,57.040001,12477500,56.624771
2016-06-21,56.540001,56.669998,56.240002,56.25,6403000,55.840521
2016-06-20,56.34,56.599998,56.119999,56.139999,8698700,55.731321
2016-06-17,57.43,57.43,55.700001,55.889999,17484400,55.483141
2016-06-16,56.990002,57.669998,56.130001,57.50,22052200,57.081421
2016-06-15,56.41,56.52,55.950001,56.09,7648800,55.681685
2016-06-14,55.77,56.310001,55.619999,56.25,8594200,55.840521
2016-06-13,56.18,56.68,56.09,56.110001,6204800,55.70154
2016-06-10,56.82,57.080002,56.57,56.810001,9531700,55.939794
2016-06-09,57.509998,57.82,56.93,57.18,9227700,56.304125
2016-06-08,56.970001,57.869999,56.970001,57.619999,7790100,56.737384
2016-06-07,57.200001,57.439999,56.919998,57.00,6252400,56.126882
2016-06-06,56.66,57.369999,56.650002,57.169998,6904000,56.294276
2016-06-03,56.84,56.959999,56.279999,56.639999,5428100,55.772396
2016-06-02,56.439999,56.860001,56.360001,56.82,7295500,55.949639
2016-06-01,56.200001,56.52,55.950001,56.330002,6691000,55.467147
2016-05-31,56.490002,56.720001,56.080002,56.259998,9468500,55.398216
2016-05-27,56.50,56.84,56.23,56.48,7369500,55.614847
2016-05-26,56.470001,56.720001,56.34,56.389999,5720500,55.526225
2016-05-25,55.810001,56.669998,55.77,56.57,9592200,55.703469
2016-05-24,55.23,55.889999,55.18,55.599998,6311200,54.748326
2016-05-23,55.00,55.23,54.779999,54.919998,5570300,54.078741
2016-05-20,54.830002,55.540001,54.630001,55.110001,8633100,54.265833
2016-05-19,54.16,54.98,54.080002,54.580002,8733900,53.743953
