Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,38.880001,39.880001,38.779999,39.349998,25552700,39.349998
2016-11-11,37.369999,38.75,37.34,38.490002,22834900,38.490002
2016-11-10,36.720001,38.939999,36.720001,38.02,38586800,38.02
2016-11-09,34.700001,36.91,34.470001,36.52,27970700,36.52
2016-11-08,33.810001,34.279999,33.540001,34.099998,7359100,34.099998
2016-11-07,33.57,34.00,33.57,34.00,11205200,34.00
2016-11-04,32.82,33.209999,32.560001,32.779999,7804300,32.779999
2016-11-03,33.07,33.23,32.77,32.810001,8172500,32.810001
2016-11-02,33.119999,33.169998,32.73,32.919998,8900400,32.919998
2016-11-01,33.68,33.830002,32.91,33.360001,8988700,33.360001
2016-10-31,33.709999,33.880001,33.490002,33.57,8687200,33.57
2016-10-28,33.689999,34.029999,33.169998,33.52,10183500,33.52
2016-10-27,33.82,34.009998,33.580002,33.82,12608400,33.82
2016-10-26,33.150002,33.650002,33.060001,33.59,9113000,33.39
2016-10-25,33.389999,33.59,33.200001,33.349998,7912200,33.151428
2016-10-24,33.57,33.68,33.34,33.380001,9221300,33.181252
2016-10-21,32.599998,33.52,32.540001,33.439999,13910300,33.240892
2016-10-20,32.84,33.189999,32.580002,32.900002,10650700,32.70411
2016-10-19,32.84,33.00,32.18,32.93,18522700,32.73393
2016-10-18,32.25,32.509998,32.040001,32.32,13091600,32.127562
2016-10-17,32.049999,32.169998,31.610001,31.790001,10114300,31.600719
2016-10-14,32.240002,32.790001,31.889999,32.07,13734100,31.87905
2016-10-13,31.49,33.00,30.959999,31.73,13893500,31.541074
2016-10-12,32.18,32.380001,31.879999,31.91,6743300,31.720003
2016-10-11,32.490002,32.759998,31.950001,32.18,6827700,31.988396
2016-10-10,32.619999,32.709999,32.41,32.560001,6609200,32.366134
2016-10-07,32.34,32.52,31.950001,32.310001,11406100,32.117623
2016-10-06,32.48,32.650002,32.200001,32.389999,11347200,32.197145
2016-10-05,32.169998,32.73,32.099998,32.560001,11157700,32.366134
2016-10-04,32.07,32.400002,31.809999,32.040001,9525400,31.84923
2016-10-03,32.02,32.150002,31.469999,31.950001,10324300,31.759766
2016-09-30,31.27,32.32,31.00,32.060001,16269700,31.869111
2016-09-29,31.77,32.110001,30.74,31.040001,12529700,30.855184
2016-09-28,31.440001,31.799999,31.32,31.77,7425100,31.580837
2016-09-27,30.82,31.49,30.620001,31.35,9753500,31.163338
2016-09-26,31.530001,31.57,30.959999,31.030001,10217700,30.845244
2016-09-23,32.119999,32.25,31.67,31.91,9400600,31.720003
2016-09-22,32.130001,32.439999,31.98,32.240002,8185300,32.04804
2016-09-21,31.84,32.060001,31.50,31.92,10073600,31.729944
2016-09-20,31.84,32.00,31.65,31.700001,8849000,31.511254
2016-09-19,31.719999,32.099998,31.52,31.60,7806500,31.411849
2016-09-16,31.67,31.799999,31.379999,31.59,14756200,31.401909
2016-09-15,31.549999,32.139999,31.50,31.950001,9947900,31.759766
2016-09-14,31.49,31.809999,31.309999,31.559999,11687600,31.372087
2016-09-13,31.690001,32.00,31.27,31.459999,13954100,31.272682
2016-09-12,31.32,32.32,31.139999,32.240002,13888100,32.04804
2016-09-09,31.98,32.27,31.59,31.59,16493900,31.401909
2016-09-08,31.700001,32.209999,31.610001,32.040001,12696100,31.84923
2016-09-07,31.68,31.940001,31.58,31.690001,10845000,31.501314
2016-09-06,31.959999,32.220001,31.549999,31.75,14191400,31.560956
2016-09-02,31.959999,32.209999,31.67,31.889999,12288200,31.700122
2016-09-01,32.139999,32.369999,31.440001,31.91,11986500,31.720003
2016-08-31,32.130001,32.310001,31.719999,32.060001,15561200,31.869111
2016-08-30,31.41,32.189999,31.41,32.189999,13745600,31.998335
2016-08-29,31.209999,31.60,31.15,31.41,9167800,31.22298
2016-08-26,31.120001,31.58,30.93,31.16,10693400,30.974469
2016-08-25,30.91,31.059999,30.77,30.969999,7838700,30.785599
2016-08-24,30.82,31.16,30.719999,30.91,12453500,30.725957
2016-08-23,30.799999,30.969999,30.67,30.719999,7907700,30.537088
2016-08-22,30.440001,30.700001,30.389999,30.60,6613900,30.417803
2016-08-19,30.40,30.719999,30.26,30.549999,8831900,30.3681
2016-08-18,30.27,30.74,30.200001,30.549999,13369400,30.3681
2016-08-17,30.27,30.469999,30.120001,30.370001,12327000,30.189173
2016-08-16,29.99,30.370001,29.870001,30.25,22161900,30.069887
2016-08-15,29.370001,29.799999,29.309999,29.66,9411000,29.4834
2016-08-12,29.15,29.200001,28.860001,29.17,9749000,28.996318
2016-08-11,29.190001,29.450001,29.030001,29.379999,8741100,29.205066
2016-08-10,29.389999,29.469999,29.049999,29.110001,8186700,28.936675
2016-08-09,29.15,29.49,29.15,29.34,11012600,29.165305
2016-08-08,29.02,29.42,29.00,29.120001,9018600,28.946616
2016-08-05,28.60,29.18,28.59,29.01,11881900,28.83727
2016-08-04,28.27,28.40,27.99,28.280001,12162900,28.111617
2016-08-03,27.969999,28.51,27.950001,28.42,10562000,28.250783
2016-08-02,28.389999,28.559999,27.790001,28.00,16915500,27.833284
2016-08-01,28.84,28.92,28.370001,28.50,10396000,28.330307
2016-07-29,28.77,29.01,28.59,28.73,10498500,28.558937
2016-07-28,28.90,29.030001,28.66,28.860001,11528400,28.688164
2016-07-27,29.030001,29.370001,28.93,29.02,13672200,28.847211
2016-07-26,29.02,29.280001,28.870001,29.23,15019500,28.857151
2016-07-25,28.82,29.139999,28.790001,29.129999,10622900,28.758426
2016-07-22,28.77,29.07,28.73,28.92,12996700,28.551105
2016-07-21,28.719999,29.08,28.629999,28.870001,20312700,28.501744
2016-07-20,29.139999,29.139999,28.190001,28.780001,28606100,28.412892
2016-07-19,27.950001,28.40,27.77,28.190001,21511200,27.830418
2016-07-18,28.059999,28.23,27.860001,28.209999,14083900,27.850161
2016-07-15,28.25,28.280001,27.690001,28.01,18519800,27.652713
2016-07-14,27.799999,28.08,27.66,28.00,15436600,27.642841
2016-07-13,27.450001,27.48,26.940001,27.16,12911900,26.813555
2016-07-12,26.82,27.440001,26.790001,27.370001,15516900,27.020878
2016-07-11,26.690001,26.92,26.389999,26.459999,13213000,26.122483
2016-07-08,26.17,26.43,26.030001,26.370001,14141600,26.033633
2016-07-07,25.27,25.92,25.26,25.690001,13428700,25.362307
2016-07-06,24.73,25.23,24.57,25.15,14165000,24.829194
2016-07-05,25.50,25.57,24.83,25.00,13317300,24.681108
2016-07-01,25.77,26.40,25.76,25.92,8863400,25.589373
2016-06-30,25.34,26.00,25.18,25.98,19736300,25.648607
