Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,12.59,12.90,12.54,12.79,5115400,12.79
2016-11-11,12.48,12.65,12.13,12.58,7446700,12.58
2016-11-10,12.39,12.78,12.28,12.66,6547100,12.66
2016-11-09,12.04,12.66,11.94,12.51,6476700,12.51
2016-11-08,11.77,12.15,11.63,12.09,5319400,12.09
2016-11-07,11.85,12.08,11.81,11.86,7289100,11.86
2016-11-04,11.38,11.79,11.01,11.60,11354300,11.60
2016-11-03,11.31,11.64,11.26,11.45,6098300,11.45
2016-11-02,11.43,11.64,11.29,11.33,6451000,11.33
2016-11-01,12.10,12.24,11.50,11.81,8540800,11.81
2016-10-31,12.09,12.21,11.78,11.90,9717800,11.90
2016-10-28,12.09,12.27,11.92,11.95,10853600,11.95
2016-10-27,12.44,12.56,11.83,12.04,7081100,12.04
2016-10-26,12.46,12.93,12.15,12.27,8895200,12.27
2016-10-25,12.97,13.23,12.76,12.77,6342500,12.77
2016-10-24,13.15,13.15,12.72,13.04,4906100,13.04
2016-10-21,13.02,13.10,12.76,13.05,6290200,13.05
2016-10-20,13.00,13.31,12.88,13.12,6187500,13.12
2016-10-19,13.41,13.62,13.13,13.26,6682700,13.26
2016-10-18,12.99,13.15,12.82,13.14,7239900,13.14
2016-10-17,12.91,12.98,12.68,12.68,3763500,12.68
2016-10-14,13.24,13.32,12.83,12.87,4686100,12.87
2016-10-13,12.79,13.20,12.68,13.11,6794500,13.11
2016-10-12,12.87,13.10,12.76,12.88,5175300,12.88
2016-10-11,12.85,13.06,12.67,13.03,5222400,13.03
2016-10-10,12.85,13.11,12.85,12.93,7089900,12.93
2016-10-07,12.72,12.86,12.56,12.60,6156300,12.60
2016-10-06,12.62,12.89,12.43,12.71,6944800,12.71
2016-10-05,12.25,12.74,12.25,12.50,7872400,12.50
2016-10-04,12.33,12.46,11.86,11.94,8210300,11.94
2016-10-03,12.26,12.43,11.94,12.30,6131900,12.30
2016-09-30,11.95,12.33,11.77,12.16,7035700,12.16
2016-09-29,11.38,12.01,11.33,11.80,13542800,11.80
2016-09-28,10.31,11.27,10.24,11.26,12113800,11.26
2016-09-27,10.03,10.21,9.86,10.17,9046000,10.17
2016-09-26,10.08,10.50,9.99,10.30,7441000,10.30
2016-09-23,10.35,10.56,9.98,10.00,6412500,10.00
2016-09-22,10.27,10.50,10.27,10.44,5714100,10.44
2016-09-21,9.87,10.11,9.78,10.04,7285200,10.04
2016-09-20,9.62,9.86,9.42,9.68,7337400,9.68
2016-09-19,9.70,9.87,9.65,9.65,5656600,9.65
2016-09-16,9.35,9.78,9.33,9.61,10235200,9.61
2016-09-15,9.35,9.78,9.24,9.58,9622300,9.58
2016-09-14,9.22,9.64,9.09,9.24,7928100,9.24
2016-09-13,10.01,10.05,9.17,9.31,9781600,9.31
2016-09-12,10.10,10.37,9.90,10.21,7622600,10.21
2016-09-09,10.69,10.73,10.25,10.25,6990300,10.25
2016-09-08,10.68,11.02,10.49,10.92,5800100,10.86
2016-09-07,10.51,10.69,10.41,10.58,6429200,10.521868
2016-09-06,10.20,10.53,10.12,10.52,4989700,10.462198
2016-09-02,10.05,10.29,10.04,10.14,5042800,10.084286
2016-09-01,9.84,9.95,9.69,9.90,5844300,9.845604
2016-08-31,9.87,10.20,9.86,9.94,7096200,9.885384
2016-08-30,10.11,10.24,9.84,9.98,7538100,9.925164
2016-08-29,9.79,10.00,9.72,9.94,3437300,9.885384
2016-08-26,10.10,10.21,9.82,9.86,5577900,9.805824
