Date,Open,High,Low,Close,Volume,Adj Close
2013-11-12,45.82,45.83,45.00,45.29,10798200,45.29
2013-11-11,45.97,46.28,45.64,45.79,745700,45.79
2013-11-08,45.23,46.16,45.23,46.03,700100,46.03
2013-11-07,45.25,45.68,45.11,45.33,927300,45.33
2013-11-06,45.01,45.26,44.77,45.26,632400,45.26
2013-11-05,44.89,45.39,44.51,44.91,2161000,44.91
2013-11-04,44.48,44.61,43.96,44.18,944100,44.18
2013-11-01,44.00,44.65,44.00,44.46,1185800,44.46
2013-10-31,43.83,44.26,43.65,44.02,10544000,44.02
2013-10-30,43.98,44.13,43.64,43.69,1315700,43.69
2013-10-29,44.08,44.44,43.85,44.07,1890400,44.07
2013-10-28,44.58,44.58,44.04,44.22,1461300,44.22
2013-10-25,44.57,44.74,44.46,44.59,1294900,44.59
2013-10-24,44.74,44.74,44.33,44.57,1908100,44.57
2013-10-23,44.51,44.71,44.38,44.63,2335500,44.63
2013-10-22,44.79,44.97,44.52,44.82,1312600,44.82
2013-10-21,44.89,45.00,44.67,44.80,450600,44.80
2013-10-18,44.96,45.00,44.52,45.00,1416600,45.00
2013-10-17,44.32,44.86,44.27,44.75,2622200,44.75
2013-10-16,44.59,44.80,44.26,44.53,1338100,44.53
2013-10-15,44.14,44.56,44.01,44.22,1842400,44.22
2013-10-14,44.25,44.5999,44.038,44.49,1065700,44.49
2013-10-11,44.06,44.44,43.932,44.38,851000,44.38
2013-10-10,43.65,44.36,43.55,44.14,2251800,44.14
2013-10-09,43.56,43.69,43.06,43.37,1228800,43.37
2013-10-08,44.02,44.11,43.11,43.39,1379000,43.39
2013-10-07,43.66,44.23,43.66,43.96,1120400,43.96
2013-10-04,43.15,44.16,43.11,44.16,2636300,44.16
2013-10-03,42.50,43.20,42.39,43.09,3029900,43.09
2013-10-02,42.14,42.50,41.62,42.50,2625500,42.50
2013-10-01,41.78,42.475,41.78,42.45,1846200,42.45
2013-09-30,41.59,42.07,41.50,41.98,1349700,41.98
2013-09-27,41.49,42.10,41.43,41.95,1036200,41.95
2013-09-26,41.56,41.87,41.50,41.79,978300,41.79
2013-09-25,41.90,41.93,41.50,41.56,689900,41.56
2013-09-24,41.95,42.10,41.68,41.84,1074200,41.84
2013-09-23,42.00,42.07,41.68,41.94,1329100,41.94
2013-09-20,42.26,42.58,42.01,42.03,2245400,42.03
2013-09-19,42.24,42.27,41.96,42.27,2093900,42.27
2013-09-18,41.85,42.17,41.85,42.06,1699800,42.06
2013-09-17,41.90,42.129,41.836,41.99,1089900,41.99
2013-09-16,42.05,42.24,41.85,41.89,1411100,41.89
2013-09-13,41.74,41.93,41.48,41.82,1126300,41.82
2013-09-12,42.05,42.15,41.68,41.72,884000,41.72
2013-09-11,42.24,42.33,42.03,42.31,1406100,42.01
2013-09-10,42.54,42.60,42.18,42.24,1169700,41.9405
2013-09-09,42.03,42.31,41.93,42.31,1567500,42.01
2013-09-06,42.24,42.265,41.48,41.87,1139800,41.5731
2013-09-05,42.34,42.45,42.07,42.18,1430000,41.8809
2013-09-04,42.27,42.49,41.83,42.39,1274700,42.0894
2013-09-03,42.20,42.54,42.00,42.29,1759800,41.9901
2013-09-02,41.80,41.80,41.80,41.80,000,41.5036
2013-08-30,41.75,41.89,41.56,41.80,1044600,41.5036
2013-08-29,41.53,42.09,41.5108,41.83,829100,41.5334
2013-08-28,41.83,42.30,41.66,41.75,990400,41.454
2013-08-27,41.93,42.25,41.68,41.81,1358400,41.5135
2013-08-26,42.65,42.8775,42.30,42.33,1914400,42.0299
2013-08-23,42.80,42.87,42.495,42.66,934600,42.3575
2013-08-22,42.06,42.85,41.99,42.69,1184100,42.3873
2013-08-21,42.19,42.50,42.00,42.06,1216700,41.7618
2013-08-20,42.11,42.39,41.87,42.34,1545800,42.0398
2013-08-19,42.02,42.38,41.93,42.07,1339100,41.7717
2013-08-16,41.71,42.20,41.60,42.06,1097600,41.7618
2013-08-15,41.93,41.99,41.5996,41.85,1056900,41.5533
2013-08-14,42.25,42.36,42.00,42.16,712700,41.8611
2013-08-13,42.34,42.455,42.08,42.30,761600,42.0001
2013-08-12,42.44,42.50,42.115,42.35,1308300,42.0497
2013-08-09,42.88,43.11,42.59,42.59,664400,42.288
2013-08-08,42.61,43.09,42.44,42.99,1567200,42.6852
2013-08-07,42.80,42.85,41.80,42.62,1356600,42.3178
2013-08-06,42.62,43.05,42.47,42.84,812100,42.5362
2013-08-05,43.08,43.11,42.59,42.71,888900,42.4072
2013-08-02,42.60,43.25,42.44,43.18,1245200,42.8738
2013-08-01,42.37,42.80,42.30,42.79,980100,42.4866
2013-07-31,41.75,42.40,41.72,42.16,1482700,41.8611
2013-07-30,41.40,41.78,41.24,41.70,987900,41.4043
2013-07-29,41.16,41.58,41.11,41.42,786800,41.1263
2013-07-26,41.50,41.50,40.86,41.32,935100,41.027
2013-07-25,41.13,41.57,41.05,41.57,561300,41.2752
2013-07-24,41.56,41.65,41.09,41.18,761900,40.888
2013-07-23,41.27,41.54,41.1546,41.50,797700,41.2057
2013-07-22,41.46,41.50,41.11,41.28,742400,40.9873
2013-07-19,41.87,41.89,41.31,41.54,816900,41.2455
2013-07-18,41.97,42.09,41.78,41.93,753200,41.6327
2013-07-17,42.03,42.16,41.83,41.95,839800,41.6526
2013-07-16,42.16,42.30,41.67,42.00,1482700,41.7022
2013-07-15,41.77,42.13,41.59,42.00,1410300,41.7022
2013-07-12,41.60,41.93,41.52,41.77,1865200,41.4738
2013-07-11,42.00,42.00,41.23,41.61,1696900,41.315
2013-07-10,40.87,41.66,40.8466,41.59,1375400,41.2951
2013-07-09,41.57,41.718,40.687,41.02,916000,40.7291
2013-07-08,41.40,41.69,41.225,41.27,1056800,40.9774
2013-07-05,41.14,41.56,40.89,41.22,1038100,40.9277
2013-07-04,40.82,40.82,40.82,40.82,000,40.5306
2013-07-03,40.57,41.05,40.56,40.82,776300,40.5306
2013-07-02,41.36,41.58,40.67,40.78,1601300,40.4908
2013-07-01,41.56,41.97,41.40,41.43,1034900,41.1362
2013-06-28,41.66,41.79,41.38,41.40,2039900,41.1065
2013-06-27,41.93,42.00,41.46,41.71,1566200,41.4143
2013-06-26,41.21,41.80,40.84,41.66,3916200,41.3646
2013-06-25,40.86,41.26,40.49,40.90,2129100,40.61
2013-06-24,39.96,40.73,39.80,40.38,3122200,40.0937
2013-06-21,40.87,40.95,40.08,40.43,2063200,40.1433
