Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,64.57,66.059998,64.370003,65.769997,8692000,65.769997
2016-11-11,65.370003,65.370003,64.400002,64.949997,7288300,64.949997
2016-11-10,66.790001,66.980003,65.599998,65.720001,9215400,65.720001
2016-11-09,66.75,67.660004,66.120003,66.900002,8569900,66.900002
2016-11-08,67.089996,67.43,66.459999,66.889999,4283000,66.889999
2016-11-07,67.470001,67.82,66.800003,67.25,5830200,67.25
2016-11-04,67.410004,68.269997,66.559998,66.589996,7697700,66.589996
2016-11-03,68.00,68.00,66.830002,67.449997,7863000,67.449997
2016-11-02,68.720001,68.870003,67.099998,67.790001,5810300,67.790001
2016-11-01,72.449997,72.839996,67.660004,69.00,13046300,69.00
2016-10-31,73.639999,73.690002,72.550003,72.910004,4722100,72.910004
2016-10-28,73.889999,74.760002,73.550003,73.629997,5823000,73.629997
2016-10-27,74.730003,74.889999,73.720001,73.790001,4124700,73.790001
2016-10-26,73.699997,74.580002,73.290001,74.389999,3678000,74.389999
2016-10-25,74.830002,75.50,74.349998,74.43,4943800,74.43
2016-10-24,74.720001,75.400002,73.900002,75.029999,6117200,75.029999
2016-10-21,73.470001,74.660004,72.790001,74.610001,4983800,74.610001
2016-10-20,73.949997,74.709999,73.379997,74.099998,4088600,74.099998
2016-10-19,73.419998,75.599998,72.970001,74.510002,5840000,74.510002
2016-10-18,73.279999,73.309998,71.769997,72.57,3814000,72.57
2016-10-17,73.220001,73.220001,71.860001,72.470001,5608500,72.470001
2016-10-14,74.599998,74.599998,72.760002,73.220001,4494200,73.220001
2016-10-13,73.360001,74.160004,72.839996,73.900002,4574000,73.900002
2016-10-12,73.779999,74.449997,73.370003,74.00,4128900,74.00
2016-10-11,74.529999,74.82,73.279999,73.690002,3694800,73.690002
2016-10-10,74.110001,74.870003,74.029999,74.769997,3766400,74.769997
2016-10-07,73.809998,73.989998,73.220001,73.540001,3117600,73.540001
2016-10-06,72.739998,74.00,72.599998,73.540001,5269400,73.540001
2016-10-05,73.279999,73.529999,72.470001,72.540001,4196900,72.540001
2016-10-04,72.839996,73.230003,72.089996,72.650002,4532700,72.650002
2016-10-03,72.919998,73.18,72.43,72.82,3002200,72.82
2016-09-30,72.559998,73.370003,71.980003,72.919998,5110500,72.919998
2016-09-29,71.82,73.129997,71.290001,72.139999,6467700,72.139999
2016-09-28,69.07,72.18,68.650002,71.900002,8044800,71.900002
2016-09-27,68.75,68.970001,67.830002,68.650002,4862200,68.650002
2016-09-26,69.800003,70.199997,69.220001,69.32,4688300,69.32
2016-09-23,71.389999,71.389999,69.150002,69.599998,5802100,69.599998
2016-09-22,72.580002,72.800003,71.300003,71.410004,5204000,71.410004
2016-09-21,71.120003,71.889999,70.709999,71.800003,4294500,71.800003
2016-09-20,70.860001,71.309998,70.489998,70.50,4337600,70.50
2016-09-19,71.529999,71.809998,70.809998,70.82,4220500,70.82
2016-09-16,71.599998,71.800003,70.93,71.029999,5411300,71.029999
2016-09-15,71.870003,72.769997,71.830002,72.269997,5324800,72.269997
2016-09-14,73.309998,73.690002,71.43,71.800003,5624200,71.800003
2016-09-13,75.019997,75.150002,73.349998,73.510002,5846500,73.510002
2016-09-12,75.099998,76.150002,74.790001,75.849998,4638200,75.849998
2016-09-09,77.300003,77.300003,76.00,76.110001,4496700,76.110001
2016-09-08,77.57,77.900002,76.790001,77.75,5019200,77.75
2016-09-07,77.400002,77.760002,76.949997,77.129997,3881700,77.129997
2016-09-06,77.599998,78.169998,77.360001,78.00,3978800,77.240001
2016-09-02,77.57,77.779999,76.559998,77.510002,3458300,76.754778
2016-09-01,76.550003,76.849998,76.010002,76.839996,3261000,76.0913
2016-08-31,77.580002,77.580002,76.489998,76.849998,3376600,76.101205
2016-08-30,78.480003,78.480003,77.589996,77.839996,2309600,77.081557
2016-08-29,77.099998,78.019997,76.599998,77.949997,3335300,77.190486
2016-08-26,77.540001,77.940002,76.849998,77.169998,3517400,76.418087
2016-08-25,77.660004,77.699997,77.00,77.360001,3228100,76.606238
2016-08-24,76.879997,77.940002,76.57,77.720001,5358000,76.962731
2016-08-23,76.370003,77.07,76.370003,76.889999,2432900,76.140816
2016-08-22,76.029999,76.529999,75.669998,76.360001,2521900,75.615982
2016-08-19,76.910004,77.150002,76.330002,76.540001,2992200,75.794228
2016-08-18,76.919998,77.510002,76.730003,77.480003,4390500,76.725071
2016-08-17,75.870003,76.620003,75.449997,76.610001,3983000,75.863546
2016-08-16,74.769997,76.260002,74.50,76.010002,4289400,75.269393
2016-08-15,74.900002,75.230003,74.720001,75.050003,4851600,74.318748
2016-08-12,74.459999,74.599998,73.849998,74.459999,2151400,73.734493
2016-08-11,73.839996,74.580002,73.309998,74.25,2729400,73.52654
2016-08-10,74.00,74.32,73.129997,73.269997,2659800,72.556085
2016-08-09,74.68,74.769997,73.32,73.68,3353200,72.962094
2016-08-08,74.190002,74.690002,73.849998,74.360001,3378000,73.635469
2016-08-05,74.199997,74.199997,73.059998,73.68,3842600,72.962094
2016-08-04,74.010002,74.849998,73.919998,74.25,3745600,73.52654
2016-08-03,73.529999,74.410004,72.330002,74.379997,4697100,73.65527
2016-08-02,73.959999,74.080002,72.110001,73.120003,5563900,72.407553
2016-08-01,74.400002,74.489998,73.300003,73.589996,4132400,72.872967
2016-07-29,73.419998,74.889999,73.25,74.730003,3210700,74.001866
2016-07-28,73.779999,74.32,73.43,73.910004,3570000,73.189856
2016-07-27,74.57,74.849998,73.82,74.160004,2975100,73.43742
2016-07-26,74.209999,74.889999,73.970001,74.690002,2734400,73.962255
2016-07-25,74.900002,75.260002,74.099998,74.510002,4181800,73.784009
2016-07-22,75.669998,76.010002,75.129997,75.379997,2411400,74.645527
2016-07-21,75.919998,76.510002,75.589996,75.730003,1980400,74.992123
2016-07-20,76.139999,76.870003,75.870003,76.349998,1825800,75.606077
2016-07-19,76.330002,76.879997,76.129997,76.370003,2262500,75.625886
2016-07-18,77.010002,77.129997,76.529999,76.769997,2779400,76.021983
2016-07-15,77.339996,77.57,76.889999,77.32,3886400,76.566627
2016-07-14,77.550003,77.660004,76.93,77.209999,4158200,76.457698
2016-07-13,77.489998,77.580002,76.220001,76.830002,3659400,76.081403
2016-07-12,77.410004,77.50,76.660004,77.370003,4347500,76.616143
2016-07-11,76.330002,76.82,75.93,76.199997,3204200,75.457537
2016-07-08,76.50,76.50,75.360001,76.129997,3804200,75.388219
2016-07-07,75.669998,75.989998,75.00,75.449997,4564200,74.714845
2016-07-06,75.220001,75.559998,74.68,75.449997,3358300,74.714845
2016-07-05,74.900002,75.720001,74.529999,75.220001,3599000,74.48709
2016-07-01,75.43,76.25,75.139999,75.669998,3944600,74.932702
2016-06-30,75.220001,75.660004,74.839996,75.559998,3779300,74.823773
2016-06-29,73.980003,75.339996,73.879997,75.089996,4330800,74.358352
2016-06-28,74.309998,74.309998,73.169998,73.970001,4449100,73.249269
2016-06-27,74.360001,74.739998,72.50,73.120003,5173100,72.407553
2016-06-24,75.68,76.449997,74.839996,75.269997,5601400,74.536598
2016-06-23,77.82,78.309998,77.290001,78.309998,4104000,77.546979
2016-06-22,77.279999,77.68,76.760002,77.099998,3564000,76.348769
2016-06-21,76.309998,77.279999,75.809998,77.160004,3164000,76.40819
2016-06-20,75.980003,76.660004,75.699997,76.099998,3698000,75.358513
2016-06-17,74.849998,75.050003,74.459999,74.949997,4062600,74.219716
2016-06-16,74.360001,74.629997,73.82,74.449997,3378000,73.724588
