Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,18.09,18.870001,18.09,18.58,6629200,18.58
2016-11-11,17.889999,18.35,17.82,18.280001,4768600,18.280001
2016-11-10,17.67,18.43,17.60,17.940001,8284400,17.940001
2016-11-09,16.85,17.59,16.51,17.49,5480300,17.49
2016-11-08,16.700001,16.73,16.49,16.65,2712000,16.65
2016-11-07,16.48,16.77,16.43,16.73,3558100,16.73
2016-11-04,16.219999,16.42,16.15,16.23,2592900,16.23
2016-11-03,16.24,16.309999,16.129999,16.23,2539400,16.23
2016-11-02,16.23,16.23,16.049999,16.15,2925800,16.15
2016-11-01,16.25,16.360001,16.040001,16.24,3694100,16.24
2016-10-31,16.25,16.35,16.129999,16.24,7133200,16.24
2016-10-28,16.27,16.33,16.059999,16.190001,3251400,16.190001
2016-10-27,16.34,16.559999,16.26,16.459999,5595100,16.289999
2016-10-26,16.23,16.379999,16.219999,16.24,2852900,16.072272
2016-10-25,16.280001,16.33,16.200001,16.280001,3045800,16.11186
2016-10-24,16.200001,16.299999,16.09,16.219999,2687400,16.052478
2016-10-21,16.07,16.110001,15.82,16.09,4245200,15.923822
2016-10-20,15.74,16.01,15.70,15.93,5414300,15.765474
2016-10-19,15.71,15.91,15.70,15.81,3172100,15.646714
2016-10-18,15.60,15.66,15.46,15.64,2732300,15.47847
2016-10-17,15.55,15.59,15.38,15.44,1987100,15.280534
2016-10-14,15.54,15.64,15.44,15.51,4527600,15.349812
2016-10-13,15.62,15.67,15.28,15.41,2855100,15.250845
2016-10-12,15.80,15.89,15.74,15.74,1587200,15.577436
2016-10-11,15.88,15.98,15.68,15.78,1700900,15.617023
2016-10-10,15.97,16.01,15.86,15.89,1464400,15.725888
2016-10-07,15.88,15.92,15.69,15.83,2645200,15.666507
2016-10-06,15.87,15.92,15.72,15.87,2293300,15.706094
2016-10-05,15.85,16.02,15.76,15.88,2247200,15.715991
2016-10-04,15.77,15.94,15.65,15.76,2669800,15.59723
2016-10-03,15.69,15.85,15.67,15.75,2885000,15.587333
2016-09-30,15.70,15.90,15.53,15.82,3707500,15.65661
2016-09-29,15.80,15.93,15.55,15.62,2836200,15.458676
2016-09-28,15.70,15.85,15.61,15.84,2534700,15.676404
2016-09-27,15.54,15.72,15.46,15.67,2723200,15.508159
2016-09-26,15.69,15.72,15.51,15.53,2610500,15.369605
2016-09-23,15.80,15.94,15.78,15.81,2955900,15.646714
2016-09-22,15.97,15.97,15.67,15.85,1907100,15.686301
2016-09-21,15.79,15.81,15.59,15.72,2046600,15.557643
2016-09-20,15.79,15.83,15.66,15.68,2338300,15.518056
2016-09-19,15.77,15.88,15.64,15.71,2362800,15.547746
2016-09-16,15.78,15.84,15.64,15.71,5249800,15.547746
2016-09-15,15.89,16.01,15.82,15.93,4432400,15.765474
2016-09-14,15.94,16.059999,15.81,15.86,3370100,15.696197
2016-09-13,16.049999,16.059999,15.81,16.00,3527500,15.834751
2016-09-12,16.040001,16.209999,15.90,16.16,3241300,15.993098
2016-09-09,16.26,16.34,16.08,16.08,3056600,15.913925
2016-09-08,16.299999,16.34,16.209999,16.27,2598900,16.101963
2016-09-07,16.09,16.309999,16.02,16.280001,2412900,16.11186
2016-09-06,16.379999,16.40,16.07,16.120001,2997700,15.953513
2016-09-02,16.200001,16.34,16.139999,16.33,2229700,16.161343
2016-09-01,16.32,16.34,16.00,16.18,2653500,16.012892
2016-08-31,16.18,16.25,16.02,16.25,3615900,16.082169
2016-08-30,16.00,16.200001,15.95,16.190001,3187200,16.022789
2016-08-29,15.84,15.99,15.84,15.97,2284800,15.805061
2016-08-26,15.91,15.97,15.72,15.87,2446700,15.706094
2016-08-25,15.72,15.86,15.72,15.81,1879100,15.646714
2016-08-24,15.69,15.75,15.66,15.70,1507000,15.537849
2016-08-23,15.77,15.78,15.67,15.70,1932700,15.537849
2016-08-22,15.61,15.72,15.56,15.69,1816700,15.527952
2016-08-19,15.50,15.65,15.43,15.61,2416900,15.448779
2016-08-18,15.50,15.54,15.43,15.52,2018300,15.359709
2016-08-17,15.42,15.51,15.38,15.50,2446800,15.339915
2016-08-16,15.43,15.53,15.35,15.43,2449100,15.270638
2016-08-15,15.39,15.57,15.39,15.51,2030500,15.349812
2016-08-12,15.43,15.44,15.27,15.39,2161600,15.231052
2016-08-11,15.48,15.48,15.35,15.45,3476600,15.290431
2016-08-10,15.52,15.54,15.32,15.40,3965100,15.240948
2016-08-09,15.41,15.55,15.38,15.50,3354700,15.339915
2016-08-08,15.52,15.59,15.40,15.44,2094200,15.280534
2016-08-05,15.18,15.49,15.05,15.48,3237700,15.320121
2016-08-04,15.09,15.23,15.06,15.08,2411200,14.924253
2016-08-03,14.87,15.08,14.82,15.07,2731400,14.914356
2016-08-02,14.93,14.99,14.79,14.84,2424100,14.686732
2016-08-01,15.18,15.24,14.93,14.98,3514700,14.825285
2016-07-29,15.14,15.24,15.03,15.16,10688700,15.003427
2016-07-28,15.03,15.15,14.92,15.15,4765000,14.99353
2016-07-27,15.29,15.45,15.23,15.25,3954500,14.924253
2016-07-26,15.33,15.45,15.29,15.33,2521400,15.002544
2016-07-25,15.44,15.45,15.32,15.38,3678500,15.051476
2016-07-22,15.24,15.45,15.15,15.42,5983200,15.090622
2016-07-21,15.30,15.50,15.13,15.17,3810100,14.845962
2016-07-20,15.47,15.47,15.28,15.29,2850400,14.963399
2016-07-19,15.31,15.43,15.22,15.39,1871500,15.061263
2016-07-18,15.44,15.45,15.29,15.32,2892700,14.992758
2016-07-15,15.52,15.57,15.42,15.47,5069400,15.139554
2016-07-14,15.40,15.53,15.30,15.46,3635300,15.129767
2016-07-13,15.27,15.31,15.16,15.22,3126500,14.894894
2016-07-12,15.18,15.29,15.11,15.24,3046000,14.914466
2016-07-11,14.97,15.04,14.89,14.98,3072200,14.66002
2016-07-08,14.82,14.97,14.61,14.83,3445200,14.513224
2016-07-07,14.54,14.75,14.47,14.65,3618700,14.337069
2016-07-06,14.35,14.54,14.22,14.54,4341700,14.229419
2016-07-05,14.46,14.55,14.22,14.39,4373500,14.082623
2016-07-01,14.60,14.66,14.49,14.65,3882900,14.337069
2016-06-30,14.52,14.66,14.33,14.66,5987600,14.346856
2016-06-29,14.40,14.44,14.17,14.44,6890200,14.131555
2016-06-28,14.02,14.13,13.80,14.13,8952900,13.828177
2016-06-27,14.42,14.68,13.80,13.84,16373100,13.544371
2016-06-24,15.23,15.41,15.05,15.08,4876500,14.757884
2016-06-23,15.61,15.92,15.47,15.91,3409500,15.570155
2016-06-22,15.43,15.60,15.43,15.43,3120900,15.100408
2016-06-21,15.38,15.46,15.24,15.43,2656700,15.100408
2016-06-20,15.41,15.58,15.31,15.32,2213900,14.992758
2016-06-17,15.14,15.31,15.04,15.17,7332100,14.845962
2016-06-16,15.21,15.24,15.01,15.14,2509200,14.816603
2016-06-15,15.22,15.43,15.18,15.28,2943500,14.953612
2016-06-14,15.46,15.51,15.11,15.17,3754100,14.845962
2016-06-13,15.65,15.80,15.46,15.48,3639400,15.14934
2016-06-10,15.59,15.76,15.51,15.70,3427000,15.364641
2016-06-09,15.98,15.98,15.58,15.74,2014300,15.403786
2016-06-08,15.82,15.90,15.74,15.89,2319000,15.550583
2016-06-07,15.85,15.90,15.76,15.77,1940900,15.433146
2016-06-06,15.79,15.97,15.71,15.89,2728000,15.550583
2016-06-03,15.76,15.81,15.34,15.75,4260600,15.413573
2016-06-02,15.91,16.00,15.85,16.00,2114100,15.658233
2016-06-01,15.76,16.00,15.71,15.97,3586100,15.628874
2016-05-31,15.92,15.92,15.75,15.88,4134500,15.540796
2016-05-27,15.73,15.86,15.65,15.85,3044800,15.511437
2016-05-26,15.81,15.82,15.61,15.66,2811800,15.325495
2016-05-25,15.66,15.94,15.66,15.84,4253900,15.501651
2016-05-24,15.42,15.67,15.40,15.63,3115600,15.296136
2016-05-23,15.42,15.49,15.34,15.40,3063500,15.071049
2016-05-20,15.30,15.47,15.20,15.42,11302600,15.090622
2016-05-19,15.31,15.42,15.16,15.27,4161100,14.943826
2016-05-18,14.99,15.41,14.97,15.38,4521200,15.051476
2016-05-17,15.18,15.23,14.91,14.99,4584200,14.669807
2016-05-16,15.04,15.27,15.01,15.21,4279200,14.885107
2016-05-13,15.27,15.38,15.01,15.04,4458500,14.718739
2016-05-12,15.27,15.36,15.14,15.28,3710000,14.953612
2016-05-11,15.23,15.43,15.18,15.24,5615100,14.914466
2016-05-10,15.18,15.28,15.09,15.21,16369300,14.885107
2016-05-09,15.00,15.14,14.93,15.13,5129200,14.806816
2016-05-06,14.94,15.05,14.88,15.04,3695200,14.718739
2016-05-05,15.14,15.20,14.94,15.00,4201100,14.679593
2016-05-04,15.23,15.29,14.93,15.06,5500100,14.738312
2016-05-03,15.38,15.49,15.20,15.30,4056500,14.973185
2016-05-02,15.53,15.60,15.42,15.55,3841200,15.217845
2016-04-29,15.52,15.58,15.38,15.50,6059300,15.168913
2016-04-28,15.67,15.76,15.45,15.53,4354400,15.198272
2016-04-27,15.98,16.139999,15.70,15.81,5119600,15.472292
2016-04-26,16.030001,16.15,15.97,16.15,5392700,15.638659
2016-04-25,16.15,16.15,15.87,16.040001,3136800,15.532144
2016-04-22,15.67,16.129999,15.64,16.09,5971800,15.58056
2016-04-21,16.65,16.68,15.80,15.87,6566500,15.367525
2016-04-20,16.379999,16.50,16.25,16.48,2935900,15.958211
2016-04-19,16.219999,16.360001,16.18,16.35,3046700,15.832328
2016-04-18,16.030001,16.200001,15.95,16.190001,2327400,15.677394
2016-04-15,16.17,16.219999,16.01,16.07,2890300,15.561193
2016-04-14,16.00,16.32,15.97,16.129999,3432400,15.619292
2016-04-13,15.76,16.049999,15.75,16.030001,3476200,15.52246
2016-04-12,15.56,15.68,15.38,15.65,2685800,15.15449
2016-04-11,15.45,15.67,15.43,15.46,3172600,14.970507
2016-04-08,15.46,15.61,15.34,15.38,4338800,14.89304
2016-04-07,15.63,15.68,15.24,15.31,4136100,14.825256
2016-04-06,15.65,15.72,15.50,15.72,3227400,15.222275
2016-04-05,15.51,15.86,15.51,15.64,4028200,15.144808
