Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,32.849998,32.900002,32.130001,32.380001,30334000,32.380001
2016-11-11,33.220001,33.34,32.189999,32.59,35607900,32.59
2016-11-10,33.32,33.830002,32.849998,33.490002,67274100,33.490002
2016-11-09,33.009998,33.369999,31.50,32.119999,118519400,32.119999
2016-11-08,30.129999,30.450001,29.959999,30.00,35451300,30.00
2016-11-07,30.23,30.440001,30.08,30.379999,30877500,30.079998
2016-11-04,29.91,30.370001,29.90,30.00,35028200,29.703752
2016-11-03,30.700001,30.700001,29.83,29.889999,36329200,29.594837
2016-11-02,30.99,31.040001,30.360001,30.629999,36084500,30.32753
2016-11-01,30.940001,31.719999,30.75,31.07,54350100,30.763185
2016-10-31,32.040001,32.040001,31.610001,31.709999,35949400,31.396865
2016-10-28,32.52,32.560001,31.879999,31.93,28508700,31.614693
2016-10-27,32.580002,32.810001,32.369999,32.48,18253000,32.159261
2016-10-26,32.279999,32.599998,32.150002,32.400002,17102700,32.080053
2016-10-25,32.02,32.369999,31.99,32.279999,19336100,31.961236
2016-10-24,32.299999,32.360001,32.049999,32.130001,19586400,31.812719
2016-10-21,32.419998,32.450001,32.18,32.18,18835000,31.862225
2016-10-20,32.490002,32.740002,32.490002,32.540001,19292400,32.21867
2016-10-19,32.75,32.849998,32.490002,32.599998,16363800,32.278075
2016-10-18,32.740002,32.869999,32.610001,32.689999,14823600,32.367187
2016-10-17,32.580002,32.709999,32.48,32.50,16923500,32.179064
2016-10-14,32.73,32.900002,32.66,32.66,15569300,32.337484
2016-10-13,32.57,32.900002,32.52,32.759998,24182300,32.436495
2016-10-12,33.139999,33.240002,32.939999,33.07,15138800,32.743435
2016-10-11,33.560001,33.57,32.939999,33.130001,17332100,32.802844
2016-10-10,33.650002,33.84,33.57,33.610001,16383700,33.278104
2016-10-07,33.700001,34.00,33.419998,33.560001,14819700,33.228598
2016-10-06,33.779999,33.799999,33.470001,33.650002,15948600,33.31771
2016-10-05,33.73,33.98,33.68,33.900002,13945300,33.565241
2016-10-04,33.610001,33.91,33.509998,33.720001,20901100,33.387018
2016-10-03,33.73,33.73,33.380001,33.68,17896000,33.347412
2016-09-30,33.439999,34.02,33.400002,33.869999,28594000,33.535535
2016-09-29,33.939999,34.07,33.299999,33.32,25044000,32.990967
2016-09-28,33.849998,34.00,33.689999,33.990002,14307800,33.654352
2016-09-27,33.779999,33.880001,33.48,33.830002,15610600,33.495933
2016-09-26,33.919998,34.009998,33.419998,33.639999,29525600,33.307806
2016-09-23,34.16,34.369999,34.009998,34.259998,12937100,33.921683
2016-09-22,34.330002,34.43,34.07,34.150002,16737400,33.812772
2016-09-21,33.900002,34.330002,33.740002,34.279999,15557400,33.941486
2016-09-20,33.84,33.939999,33.599998,33.810001,14113200,33.47613
2016-09-19,33.990002,34.029999,33.59,33.650002,17542300,33.31771
2016-09-16,34.189999,34.220001,33.830002,33.939999,25615500,33.604843
