Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,33.290001,33.57,33.130001,33.400002,3357400,33.400002
2016-11-11,32.91,33.27,32.860001,33.209999,3026100,33.209999
2016-11-10,32.209999,33.029999,32.130001,33.00,4208200,33.00
2016-11-09,31.90,32.200001,31.620001,32.080002,3722500,32.080002
2016-11-08,31.440001,32.049999,31.32,31.98,2590900,31.98
2016-11-07,31.469999,31.50,31.219999,31.450001,2022600,31.450001
2016-11-04,31.35,31.370001,30.99,31.110001,2971200,31.110001
2016-11-03,31.24,31.530001,31.18,31.35,2647800,31.35
2016-11-02,31.190001,31.34,31.059999,31.120001,2014700,31.120001
2016-11-01,31.73,31.73,31.129999,31.27,2241300,31.27
2016-10-31,31.58,31.60,31.379999,31.51,2454100,31.51
2016-10-28,31.690001,31.83,31.219999,31.459999,2507000,31.459999
2016-10-27,32.029999,32.099998,31.65,31.65,1814100,31.65
2016-10-26,31.83,32.119999,31.76,31.98,1404300,31.98
2016-10-25,31.92,31.959999,31.76,31.870001,1876100,31.870001
2016-10-24,32.049999,32.150002,31.85,31.959999,1939900,31.959999
2016-10-21,31.75,31.959999,31.68,31.879999,3141000,31.879999
2016-10-20,32.150002,32.310001,31.969999,32.009998,3100300,32.009998
2016-10-19,32.110001,32.25,31.98,32.240002,3160200,32.240002
2016-10-18,32.740002,32.77,31.98,32.080002,3743200,32.080002
2016-10-17,32.709999,32.75,32.369999,32.459999,2707000,32.459999
2016-10-14,32.919998,33.029999,32.619999,32.73,3957900,32.73
2016-10-13,32.220001,32.599998,32.18,32.48,4808200,32.48
2016-10-12,31.120001,31.700001,31.10,31.67,2422700,31.67
2016-10-11,31.32,31.48,31.02,31.120001,2690500,31.120001
2016-10-10,31.629999,31.629999,31.389999,31.41,1734500,31.41
2016-10-07,31.030001,31.65,31.01,31.440001,3702100,31.440001
2016-10-06,31.25,31.26,30.629999,31.030001,3911900,31.030001
2016-10-05,31.030001,31.32,31.030001,31.23,2975400,31.23
2016-10-04,31.139999,31.139999,30.74,30.879999,2753200,30.879999
2016-10-03,31.35,31.42,30.959999,31.139999,2622400,31.139999
2016-09-30,31.41,31.629999,31.32,31.50,2790600,31.50
2016-09-29,31.48,31.559999,31.129999,31.25,2460400,31.25
2016-09-28,31.459999,31.549999,31.280001,31.530001,1763400,31.530001
2016-09-27,31.23,31.530001,31.129999,31.43,3574600,31.43
2016-09-26,30.99,31.34,30.969999,31.219999,3006700,31.219999
2016-09-23,31.110001,31.27,31.10,31.15,3035400,31.15
2016-09-22,31.25,31.370001,31.200001,31.27,3087600,31.27
2016-09-21,31.110001,31.209999,30.879999,31.190001,3109900,31.190001
2016-09-20,31.299999,31.360001,31.02,31.02,2013300,31.02
2016-09-19,31.139999,31.25,30.84,31.10,2867900,31.10
2016-09-16,31.059999,31.440001,30.92,31.129999,6606300,31.129999
2016-09-15,30.700001,31.280001,30.540001,31.09,4475000,31.09
2016-09-14,31.10,31.15,30.68,30.77,3981500,30.77
2016-09-13,31.17,31.290001,30.98,31.049999,4143100,31.049999
2016-09-12,31.049999,31.620001,31.02,31.50,4242800,31.50
2016-09-09,31.719999,31.73,31.24,31.24,3377600,31.24
2016-09-08,32.200001,32.27,31.99,32.00,2009500,32.00
2016-09-07,32.360001,32.380001,32.040001,32.32,2810200,32.32
2016-09-06,32.549999,32.549999,32.110001,32.349998,2519400,32.349998
2016-09-02,32.599998,32.740002,32.310001,32.470001,2333500,32.470001
2016-09-01,32.580002,32.720001,32.32,32.52,2299300,32.52
2016-08-31,32.619999,32.779999,32.360001,32.560001,2406300,32.560001
2016-08-30,32.580002,32.639999,32.450001,32.619999,1438000,32.619999
2016-08-29,32.279999,32.549999,32.279999,32.540001,1484300,32.540001
2016-08-26,32.389999,32.599998,32.119999,32.240002,2029900,32.240002
2016-08-25,32.200001,32.509998,32.060001,32.330002,2109700,32.330002
2016-08-24,32.25,32.380001,32.130001,32.189999,1778300,32.189999
2016-08-23,32.650002,32.700001,32.23,32.330002,3879700,32.330002
2016-08-22,32.82,32.889999,32.509998,32.77,2051000,32.77
2016-08-19,33.099998,33.119999,32.869999,32.919998,2188100,32.919998
2016-08-18,33.099998,33.27,32.990002,33.220001,2277900,33.220001
2016-08-17,33.060001,33.50,33.00,33.169998,3240400,33.169998
2016-08-16,33.860001,33.950001,33.57,33.599998,1837100,33.599998
2016-08-15,33.970001,34.07,33.84,33.860001,1738200,33.860001
2016-08-12,34.060001,34.150002,33.959999,33.970001,1193700,33.970001
2016-08-11,34.099998,34.189999,33.939999,34.09,1689600,34.09
2016-08-10,33.970001,34.169998,33.950001,34.009998,1823400,34.009998
2016-08-09,33.970001,34.290001,33.880001,34.099998,2236000,34.099998
2016-08-08,34.119999,34.220001,33.970001,34.139999,2004000,34.139999
2016-08-05,33.75,34.119999,33.66,34.119999,2686200,34.119999
2016-08-04,33.080002,33.68,32.959999,33.509998,4148500,33.509998
2016-08-03,32.650002,33.09,32.549999,33.009998,4301900,33.009998
2016-08-02,32.459999,32.639999,32.34,32.549999,2891800,32.549999
2016-08-01,32.509998,32.610001,32.439999,32.50,2433100,32.50
2016-07-29,32.599998,32.740002,32.470001,32.509998,3175800,32.509998
2016-07-28,32.580002,32.759998,32.540001,32.639999,2118000,32.639999
2016-07-27,32.610001,32.759998,32.57,32.619999,2333900,32.619999
2016-07-26,32.939999,33.060001,32.560001,32.639999,2052900,32.639999
2016-07-25,33.07,33.09,32.889999,32.939999,1831300,32.939999
2016-07-22,32.740002,33.080002,32.73,33.07,1502900,33.07
2016-07-21,32.669998,32.869999,32.580002,32.650002,2621700,32.650002
