Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,12.85,13.84,12.67,12.82,1089300,12.82
2016-11-11,12.18,12.75,11.89,12.67,544700,12.67
2016-11-10,12.00,12.98,11.79,12.24,804600,12.24
2016-11-09,11.11,11.94,11.11,11.82,645700,11.82
2016-11-08,11.22,11.70,11.10,11.52,361900,11.52
2016-11-07,11.22,11.49,11.18,11.38,287400,11.38
2016-11-04,11.06,11.43,11.02,11.08,441200,11.08
2016-11-03,11.45,11.52,11.04,11.06,644000,11.06
2016-11-02,11.14,11.64,11.05,11.55,475600,11.55
2016-11-01,11.08,11.20,10.95,11.10,380100,11.10
2016-10-31,11.28,11.35,11.03,11.11,505500,11.11
2016-10-28,11.32,11.71,11.15,11.35,457000,11.35
2016-10-27,10.92,11.24,10.85,11.17,381700,11.17
2016-10-26,11.39,11.39,10.91,10.94,411300,10.94
2016-10-25,11.31,11.75,11.15,11.21,490500,11.21
2016-10-24,11.66,11.80,11.04,11.40,460200,11.40
2016-10-21,11.18,11.89,11.11,11.60,500500,11.60
2016-10-20,11.28,12.05,11.21,11.89,712100,11.89
2016-10-19,10.98,11.52,10.98,11.30,398000,11.30
2016-10-18,10.95,11.11,10.82,10.99,447200,10.99
2016-10-17,10.65,10.85,10.64,10.79,525700,10.79
2016-10-14,10.62,10.84,10.50,10.72,782500,10.72
2016-10-13,10.80,10.86,10.50,10.58,742500,10.58
2016-10-12,11.27,11.27,10.78,10.87,432400,10.87
2016-10-11,11.21,11.30,10.87,11.04,721100,11.04
2016-10-10,11.68,11.81,11.02,11.33,617200,11.33
2016-10-07,11.98,11.98,11.34,11.67,623800,11.67
2016-10-06,12.50,12.50,11.93,11.95,704600,11.95
2016-10-05,12.15,12.75,12.15,12.51,1084200,12.51
2016-10-04,11.28,13.69,11.25,12.10,7165500,12.10
2016-10-03,11.45,11.54,10.97,11.37,985700,11.37
2016-09-30,11.05,12.05,11.04,11.46,1170400,11.46
2016-09-29,11.05,11.07,10.83,11.00,443800,11.00
2016-09-28,11.30,11.33,10.80,11.01,328300,11.01
2016-09-27,11.00,11.33,11.00,11.20,387700,11.20
2016-09-26,11.43,11.45,10.94,10.99,979800,10.99
2016-09-23,11.72,11.88,11.50,11.54,401200,11.54
2016-09-22,11.83,11.92,11.52,11.71,371800,11.71
2016-09-21,11.33,11.80,11.28,11.74,390200,11.74
2016-09-20,12.00,12.00,11.39,11.39,517300,11.39
2016-09-19,12.18,12.25,11.70,11.77,324700,11.77
2016-09-16,12.02,12.15,11.83,12.12,925800,12.12
2016-09-15,11.91,12.11,11.68,12.06,394100,12.06
2016-09-14,12.04,12.16,11.55,11.89,556300,11.89
2016-09-13,12.20,12.35,11.90,12.06,560800,12.06
2016-09-12,12.11,12.58,12.02,12.43,496300,12.43
2016-09-09,12.69,12.74,12.21,12.32,547800,12.32
2016-09-08,12.85,12.94,12.55,12.74,683600,12.74
2016-09-07,13.17,13.19,12.66,13.00,581400,13.00
2016-09-06,13.39,13.51,12.80,13.10,593000,13.10
2016-09-02,13.60,13.86,13.30,13.33,461900,13.33
2016-09-01,13.97,14.17,13.32,13.49,659800,13.49
2016-08-31,14.08,14.44,13.72,13.77,476900,13.77
2016-08-30,14.30,14.59,13.96,14.15,352900,14.15
2016-08-29,14.26,14.65,14.11,14.38,499400,14.38
2016-08-26,14.00,14.64,13.82,14.11,691200,14.11
2016-08-25,14.25,14.80,13.72,14.07,1249300,14.07
2016-08-24,15.61,15.68,14.65,14.70,1114900,14.70
2016-08-23,16.02,16.450001,15.68,15.74,550300,15.74
2016-08-22,15.98,16.98,15.61,15.91,776600,15.91
2016-08-19,16.77,16.950001,16.02,16.02,552900,16.02
2016-08-18,16.50,17.209999,16.50,16.940001,307300,16.940001
2016-08-17,17.59,17.59,16.379999,16.629999,541200,16.629999
2016-08-16,17.610001,17.879999,17.43,17.790001,374800,17.790001
2016-08-15,17.51,18.18,17.40,17.66,461200,17.66
2016-08-12,17.10,17.90,17.00,17.59,509900,17.59
2016-08-11,17.50,18.00,17.030001,17.08,502100,17.08
2016-08-10,16.65,17.49,16.51,16.809999,722500,16.809999
2016-08-09,15.73,16.99,15.71,16.790001,465400,16.790001
2016-08-08,16.209999,16.290001,15.73,15.73,244300,15.73
2016-08-05,14.99,16.23,14.86,16.139999,738300,16.139999
2016-08-04,14.66,15.00,14.60,14.79,123200,14.79
2016-08-03,14.66,14.88,14.37,14.79,311400,14.79
2016-08-02,15.03,15.37,14.26,14.87,399900,14.87
2016-08-01,15.33,15.33,14.72,14.80,223400,14.80
2016-07-29,14.88,15.47,14.84,15.41,206000,15.41
2016-07-28,14.96,15.39,14.68,15.05,190900,15.05
2016-07-27,15.05,15.47,14.70,15.05,376300,15.05
2016-07-26,15.50,15.68,15.00,15.02,616600,15.02
2016-07-25,14.86,16.09,14.82,15.63,499700,15.63
2016-07-22,14.75,15.07,14.44,14.98,190500,14.98
2016-07-21,14.89,15.50,14.72,14.73,606100,14.73
2016-07-20,14.22,15.08,14.10,14.90,363800,14.90
2016-07-19,14.68,14.72,14.04,14.08,311900,14.08
2016-07-18,14.17,14.90,14.14,14.84,340400,14.84
2016-07-15,13.78,14.34,13.73,14.10,397600,14.10
2016-07-14,14.06,14.33,13.52,13.71,339300,13.71
2016-07-13,14.70,14.87,13.89,14.05,350500,14.05
2016-07-12,14.48,14.89,14.48,14.85,494000,14.85
2016-07-11,13.95,14.58,13.84,14.48,386900,14.48
2016-07-08,13.60,14.49,13.55,14.06,628200,14.06
2016-07-07,13.27,13.77,13.02,13.40,497000,13.40
2016-07-06,12.89,13.24,12.72,13.14,279300,13.14
2016-07-05,13.63,13.79,12.77,12.98,388200,12.98
2016-07-01,13.50,13.94,13.35,13.89,488800,13.89
2016-06-30,13.63,13.66,13.15,13.61,492300,13.61
2016-06-29,13.22,13.66,13.04,13.34,436600,13.34
2016-06-28,12.77,13.07,12.58,12.97,462100,12.97
2016-06-27,13.33,13.33,12.12,12.56,623200,12.56
2016-06-24,13.03,13.85,12.82,13.49,1838600,13.49
2016-06-23,13.95,14.05,13.74,13.84,273200,13.84
2016-06-22,14.10,14.17,13.69,13.71,394500,13.71
2016-06-21,14.05,14.16,13.63,14.06,426600,14.06
2016-06-20,14.30,14.64,13.88,13.96,692300,13.96
2016-06-17,13.53,14.50,13.47,14.24,1293100,14.24
2016-06-16,13.00,13.44,12.65,13.41,503100,13.41
2016-06-15,12.19,13.92,12.13,13.19,1041700,13.19
2016-06-14,11.92,12.33,11.82,12.20,483900,12.20
2016-06-13,12.58,12.58,11.99,12.01,754200,12.01
2016-06-10,12.71,12.87,12.37,12.50,485400,12.50
2016-06-09,13.50,13.50,12.80,12.83,646500,12.83
2016-06-08,13.75,13.76,13.10,13.50,573500,13.50
2016-06-07,13.45,13.73,13.34,13.50,975100,13.50
2016-06-06,12.81,13.46,12.81,13.32,611200,13.32
2016-06-03,13.31,13.36,12.78,13.02,770200,13.02
2016-06-02,12.79,13.50,12.70,13.44,1340100,13.44
2016-06-01,13.11,13.11,12.42,12.50,1331400,12.50
2016-05-31,13.27,13.44,13.13,13.26,818700,13.26
2016-05-27,13.10,13.46,13.01,13.30,1115300,13.30
2016-05-26,14.19,14.61,12.21,13.34,2877400,13.34
2016-05-25,12.05,12.89,11.92,12.52,2126100,12.52
2016-05-24,11.80,11.97,11.42,11.97,851900,11.97
2016-05-23,12.08,12.54,11.77,11.82,1039900,11.82
2016-05-20,11.13,11.99,11.04,11.99,1419100,11.99
2016-05-19,10.77,11.26,10.75,11.17,1377700,11.17
2016-05-18,11.24,11.25,10.52,10.70,1769200,10.70
2016-05-17,11.06,11.43,10.89,11.31,1552500,11.31
2016-05-16,11.39,11.45,11.02,11.08,1193600,11.08
2016-05-13,11.49,12.07,11.03,11.13,1233600,11.13
2016-05-12,12.75,12.80,11.35,11.39,1836800,11.39
2016-05-11,13.21,13.40,12.66,12.75,1381000,12.75
2016-05-10,13.87,13.92,13.21,13.47,694000,13.47
2016-05-09,14.02,14.02,13.20,13.68,605700,13.68
2016-05-06,13.95,14.18,13.26,13.48,819300,13.48
2016-05-05,14.72,15.14,13.62,13.99,1133600,13.99
2016-05-04,15.28,15.70,14.46,14.72,756200,14.72
2016-05-03,16.07,16.299999,15.24,15.49,525200,15.49
2016-05-02,16.43,16.549999,15.83,16.32,533600,16.32
2016-04-29,18.00,18.040001,16.25,16.379999,1012200,16.379999
2016-04-28,18.049999,18.60,17.68,18.059999,372500,18.059999
2016-04-27,17.66,18.370001,17.32,18.15,365100,18.15
2016-04-26,17.48,17.879999,17.280001,17.809999,379500,17.809999
2016-04-25,18.18,18.309999,17.60,17.629999,359600,17.629999
2016-04-22,19.01,19.120001,17.940001,18.120001,680900,18.120001
2016-04-21,18.49,18.879999,17.700001,18.01,902800,18.01
2016-04-20,17.17,18.77,17.00,18.65,1455000,18.65
2016-04-19,16.66,17.129999,16.60,17.02,439200,17.02
2016-04-18,16.610001,16.700001,16.360001,16.540001,416700,16.540001
2016-04-15,16.66,16.950001,16.379999,16.90,489200,16.90
2016-04-14,16.530001,17.299999,16.280001,16.860001,741200,16.860001
2016-04-13,15.33,16.48,14.95,16.440001,968800,16.440001
2016-04-12,14.41,15.18,14.33,14.95,640300,14.95
2016-04-11,14.56,14.62,14.25,14.44,835200,14.44
2016-04-08,14.39,14.65,14.11,14.45,621400,14.45
2016-04-07,14.55,14.70,14.05,14.34,1017600,14.34
2016-04-06,14.57,14.74,14.17,14.70,617600,14.70
2016-04-05,14.73,14.96,14.26,14.58,934200,14.58
2016-04-04,15.00,15.13,14.61,14.78,440100,14.78
2016-04-01,15.26,15.44,14.80,14.90,494900,14.90
2016-03-31,15.02,15.31,14.91,15.31,449400,15.31
2016-03-30,15.10,15.42,14.89,15.12,392200,15.12
2016-03-29,14.70,15.10,14.50,14.97,487400,14.97
2016-03-28,15.33,15.33,14.76,14.77,476500,14.77
2016-03-24,14.82,15.35,14.60,15.00,792200,15.00
2016-03-23,15.22,15.22,14.78,14.96,816700,14.96
2016-03-22,15.15,15.19,14.62,14.81,1062100,14.81
2016-03-21,16.09,16.110001,15.20,15.25,780100,15.25
2016-03-18,15.70,16.15,15.49,16.09,1260800,16.09
2016-03-17,15.01,15.55,14.59,15.29,1146400,15.29
2016-03-16,15.55,15.72,14.89,15.09,1012800,15.09
2016-03-15,16.52,16.639999,15.51,15.54,1042500,15.54
2016-03-14,16.790001,17.040001,16.43,16.66,476900,16.66
2016-03-11,16.92,17.33,16.51,16.76,501300,16.76
2016-03-10,17.18,17.360001,16.51,16.82,540300,16.82
2016-03-09,18.02,18.07,17.00,17.059999,649600,17.059999
2016-03-08,18.379999,18.50,17.48,18.02,536300,18.02
2016-03-07,18.129999,18.50,17.82,18.290001,678400,18.290001
2016-03-04,18.389999,18.719999,18.00,18.049999,692300,18.049999
2016-03-03,18.00,18.17,17.629999,18.09,793900,18.09
2016-03-02,17.309999,17.92,17.02,17.709999,504600,17.709999
2016-03-01,17.50,17.959999,17.00,17.17,406900,17.17
2016-02-29,17.940001,18.43,17.459999,17.469999,483200,17.469999
2016-02-26,17.549999,18.459999,17.33,18.26,821200,18.26
2016-02-25,16.459999,17.52,16.440001,17.52,742000,17.52
