Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,126.790001,129.679993,126.339996,128.820007,1033600,128.820007
2016-11-11,127.019997,127.480003,125.620003,127.059998,1058300,127.059998
2016-11-10,130.490005,130.490005,126.669998,127.489998,1110300,127.489998
2016-11-09,130.449997,131.380005,128.300003,131.210007,754600,131.210007
2016-11-08,130.389999,133.860001,130.389999,132.580002,778200,132.580002
2016-11-07,129.809998,131.559998,129.520004,131.470001,695800,130.720004
2016-11-04,130.220001,130.509995,129.179993,129.270004,494500,128.532558
2016-11-03,131.059998,131.949997,129.949997,130.220001,614200,129.477135
2016-11-02,131.029999,131.649994,130.559998,130.660004,564700,129.914627
2016-11-01,131.330002,132.279999,130.50,130.949997,556900,130.202966
2016-10-31,131.789993,132.070007,130.800003,131.309998,638400,130.560913
2016-10-28,129.570007,132.369995,129.570007,131.919998,857400,131.167434
2016-10-27,130.800003,130.800003,129.160004,129.279999,542900,128.542495
2016-10-26,130.50,131.259995,130.149994,130.479996,542400,129.735646
2016-10-25,129.800003,130.429993,129.589996,130.190002,520400,129.447307
2016-10-24,130.050003,130.479996,129.139999,129.889999,595900,129.149016
2016-10-21,129.589996,130.220001,128.75,130.009995,723300,129.268326
2016-10-20,132.789993,132.970001,129.570007,129.779999,1155300,129.039643
2016-10-19,132.600006,133.050003,131.800003,132.820007,728100,132.062309
2016-10-18,133.419998,133.660004,132.110001,132.220001,746100,131.465726
2016-10-17,133.589996,133.809998,132.759995,133.059998,382700,132.30093
2016-10-14,133.970001,134.460007,133.330002,133.520004,431200,132.758313
2016-10-13,132.270004,134.389999,131.839996,133.919998,709900,133.156025
2016-10-12,132.070007,132.880005,132.009995,132.589996,621700,131.83361
2016-10-11,134.309998,134.309998,131.960007,132.169998,823900,131.416008
2016-10-10,133.729996,134.889999,133.110001,134.399994,588400,133.633282
2016-10-07,133.369995,133.369995,132.580002,132.940002,718200,132.181619
2016-10-06,132.830002,133.50,132.309998,133.080002,510700,132.32082
2016-10-05,133.559998,133.899994,132.50,133.100006,1376200,132.34071
2016-10-04,135.070007,135.350006,132.820007,133.179993,939400,132.420241
2016-10-03,135.00,135.919998,134.839996,135.389999,554600,134.61764
2016-09-30,135.270004,136.059998,135.179993,135.539993,703100,134.766778
2016-09-29,134.660004,135.589996,134.410004,134.770004,893100,134.001182
2016-09-28,133.190002,134.789993,133.00,134.720001,1089900,133.951464
2016-09-27,136.320007,136.320007,133.149994,133.649994,1480600,132.887561
2016-09-26,136.990005,138.229996,136.449997,137.720001,816600,136.93435
2016-09-23,136.380005,137.449997,136.380005,137.179993,1024400,136.397422
2016-09-22,137.300003,138.279999,136.00,137.869995,608800,137.083488
2016-09-21,135.360001,136.639999,134.600006,136.330002,841000,135.55228
2016-09-20,137.380005,137.600006,135.679993,135.690002,585200,134.915932
2016-09-19,136.820007,137.860001,136.770004,137.029999,756800,136.248284
2016-09-16,137.089996,137.259995,135.919998,137.029999,1479400,136.248284
2016-09-15,136.889999,137.899994,136.410004,137.679993,684300,136.894569
2016-09-14,136.850006,137.539993,136.039993,136.949997,962100,136.168738
2016-09-13,137.610001,137.809998,136.210007,136.440002,1334200,135.661653
2016-09-12,136.690002,138.059998,136.149994,137.830002,997900,137.043723
2016-09-09,138.800003,138.850006,135.899994,135.929993,1211500,135.154553
2016-09-08,139.410004,140.279999,138.75,139.580002,538000,138.78374
2016-09-07,141.380005,141.619995,139.869995,140.139999,737100,139.340543
2016-09-06,141.50,142.080002,140.789993,141.820007,701900,141.010967
2016-09-02,140.940002,142.240005,140.919998,141.470001,552200,140.662957
2016-09-01,141.229996,141.720001,140.059998,140.660004,1139700,139.85758
2016-08-31,139.779999,141.830002,139.50,141.789993,1951700,140.981124
2016-08-30,141.490005,141.490005,139.229996,139.759995,715400,138.962706
2016-08-29,139.399994,141.929993,139.320007,141.490005,970900,140.682847
2016-08-26,140.889999,141.449997,138.470001,138.979996,1393600,138.187156
2016-08-25,142.080002,142.940002,140.679993,140.990005,1324200,140.1857
2016-08-24,143.630005,143.809998,140.339996,142.279999,1853100,141.468334
2016-08-23,149.800003,149.800003,142.550003,143.630005,5383000,142.810639
2016-08-22,154.830002,156.229996,154.160004,156.229996,1808800,155.33875
2016-08-19,154.119995,154.860001,152.880005,154.610001,1333400,153.727997
2016-08-18,153.00,154.770004,152.320007,154.369995,823100,153.48936
2016-08-17,152.00,153.350006,151.589996,153.279999,960200,152.405582
2016-08-16,151.669998,152.009995,150.830002,151.339996,859000,150.476647
2016-08-15,152.339996,152.960007,151.369995,152.059998,920400,151.192541
2016-08-12,153.009995,153.360001,152.539993,152.830002,841300,151.958152
2016-08-11,154.449997,154.449997,152.100006,152.860001,977300,151.98798
2016-08-10,152.910004,154.229996,152.910004,153.990005,541000,153.111539
2016-08-09,154.080002,154.690002,153.509995,153.889999,921600,152.266374
2016-08-08,155.270004,155.360001,153.690002,154.470001,873100,152.840256
2016-08-05,156.639999,157.309998,154.399994,155.229996,962300,153.592233
2016-08-04,153.389999,156.330002,153.389999,156.199997,1137900,154.552
2016-08-03,154.699997,154.75,151.990005,152.770004,918100,151.158195
2016-08-02,153.699997,154.600006,152.660004,154.580002,856300,152.949096
2016-08-01,154.160004,154.619995,153.039993,154.279999,650000,152.652259
2016-07-29,152.309998,154.490005,152.309998,154.160004,997600,152.53353
2016-07-28,151.369995,152.75,150.889999,152.350006,1052100,150.742628
2016-07-27,152.610001,153.190002,150.25,151.740005,902700,150.139064
2016-07-26,154.940002,154.970001,152.559998,152.720001,908700,151.10872
2016-07-25,153.149994,154.720001,153.149994,154.720001,980100,153.087619
2016-07-22,152.669998,153.350006,152.509995,152.970001,588500,151.356082
2016-07-21,152.589996,152.789993,151.880005,152.740005,490400,151.128513
2016-07-20,153.009995,153.009995,152.050003,152.389999,561200,150.7822
2016-07-19,152.25,153.00,151.559998,152.830002,461100,151.21756
2016-07-18,152.929993,153.25,151.639999,152.740005,746800,151.128513
2016-07-15,151.979996,153.479996,151.369995,152.759995,1182400,151.148291
2016-07-14,152.600006,153.300003,150.880005,151.50,1443200,149.90159
2016-07-13,152.25,152.800003,151.940002,152.679993,673600,151.069133
2016-07-12,153.169998,153.309998,151.630005,151.860001,1031200,150.257793
2016-07-11,153.910004,154.00,152.940002,153.25,1240700,151.633127
2016-07-08,153.539993,154.479996,152.839996,154.080002,883700,152.454372
2016-07-07,153.869995,154.710007,152.660004,153.210007,738600,151.593556
2016-07-06,152.149994,153.360001,152.080002,153.050003,1408600,151.43524
2016-07-05,151.639999,153.539993,151.639999,152.130005,969100,150.524948
2016-07-01,152.740005,153.410004,151.389999,151.639999,951900,150.040113
2016-06-30,148.789993,152.600006,148.740005,152.410004,1626700,150.801993
2016-06-29,147.75,149.259995,147.289993,149.110001,1118100,147.536807
2016-06-28,147.330002,147.429993,145.509995,146.979996,993200,145.429275
2016-06-27,144.979996,146.910004,144.529999,146.75,1163000,145.201706
2016-06-24,144.009995,146.509995,143.779999,145.330002,1474900,143.796689
2016-06-23,146.800003,147.410004,145.539993,146.559998,1190900,145.013708
2016-06-22,146.979996,147.190002,145.940002,147.089996,1157400,145.538115
2016-06-21,145.470001,146.610001,144.550003,146.00,1204600,144.459618
2016-06-20,144.979996,146.220001,144.979996,145.160004,994700,143.628485
2016-06-17,145.509995,145.589996,143.720001,144.720001,1009200,143.193124
2016-06-16,143.50,145.830002,143.050003,145.399994,1044700,143.865943
2016-06-15,144.539993,145.139999,143.179993,143.520004,1207200,142.005788
2016-06-14,144.729996,145.50,143.020004,144.080002,1510800,142.559877
2016-06-13,144.00,145.600006,143.25,144.220001,1352800,142.6984
2016-06-10,142.360001,145.699997,142.360001,144.240005,2745400,142.718193
2016-06-09,139.00,143.820007,139.00,143.229996,3681500,141.718839
2016-06-08,132.529999,133.259995,131.649994,132.710007,1453500,131.309842
2016-06-07,131.869995,133.210007,131.710007,132.529999,674500,131.131733
2016-06-06,131.720001,132.320007,131.169998,131.929993,566900,130.538058
2016-06-03,130.509995,131.929993,130.190002,131.720001,448500,130.330282
2016-06-02,129.149994,130.399994,128.979996,130.399994,659700,129.024201
2016-06-01,129.020004,129.970001,128.460007,129.720001,453100,128.351383
2016-05-31,129.220001,130.00,128.300003,129.149994,770700,127.787389
2016-05-27,129.300003,129.839996,128.759995,129.220001,341400,127.856658
2016-05-26,128.639999,129.770004,128.50,129.470001,526400,128.10402
2016-05-25,129.110001,129.740005,128.00,128.789993,565200,127.431187
2016-05-24,127.239998,128.320007,126.099998,127.93,503000,126.580267
2016-05-23,126.910004,127.349998,126.230003,126.940002,370100,125.600715
2016-05-20,127.739998,127.940002,126.32,126.599998,517700,125.264298
2016-05-19,126.279999,127.139999,125.669998,127.080002,564900,125.739237
2016-05-18,127.360001,127.980003,125.839996,126.720001,767900,125.383034
2016-05-17,130.339996,130.610001,127.269997,127.739998,831200,126.39227
2016-05-16,130.179993,131.220001,130.169998,130.830002,373900,129.449672
2016-05-13,130.949997,131.75,130.100006,130.570007,452200,129.192421
2016-05-12,130.960007,131.789993,130.059998,131.509995,761000,130.122491
2016-05-11,130.669998,131.179993,129.979996,130.460007,846600,129.083581
2016-05-10,129.889999,131.320007,129.740005,131.270004,792900,129.222103
2016-05-09,129.350006,130.139999,128.740005,129.419998,458600,127.400958
2016-05-06,128.369995,129.529999,127.339996,129.270004,746200,127.253304
2016-05-05,128.440002,129.460007,128.029999,128.380005,534900,126.377189
2016-05-04,126.699997,128.419998,126.059998,128.149994,749900,126.150767
2016-05-03,127.360001,127.959999,126.419998,126.82,566100,124.841521
2016-05-02,127.239998,128.259995,127.00,127.68,921200,125.688105
2016-04-29,127.309998,128.240005,125.790001,126.980003,684400,124.999029
2016-04-28,127.330002,128.440002,127.089996,127.779999,421200,125.786544
2016-04-27,127.580002,128.449997,126.830002,127.940002,467900,125.944051
2016-04-26,127.82,128.889999,127.18,127.309998,757700,125.323875
2016-04-25,125.599998,127.919998,125.139999,127.43,687800,125.442005
2016-04-22,124.720001,126.239998,124.32,126.150002,933600,124.181976
2016-04-21,128.199997,128.199997,124.269997,124.580002,1416200,122.636469
2016-04-20,129.210007,129.740005,128.509995,128.539993,488300,126.534682
2016-04-19,129.710007,130.479996,129.220001,129.529999,886800,127.509243
2016-04-18,128.50,129.550003,128.009995,129.380005,718100,127.361589
2016-04-15,127.550003,128.50,126.970001,128.399994,717500,126.396867
2016-04-14,128.179993,128.550003,127.25,127.400002,1240100,125.412475
2016-04-13,128.160004,128.300003,126.620003,128.220001,919400,126.219682
2016-04-12,127.709999,128.270004,127.410004,127.970001,367700,125.973582
2016-04-11,128.300003,128.910004,127.75,127.779999,655000,125.786544
2016-04-08,127.910004,128.279999,127.510002,127.900002,509000,125.904674
2016-04-07,126.720001,128.110001,126.720001,127.720001,927900,125.727482
2016-04-06,125.949997,127.559998,125.739998,127.540001,1226200,125.55029
2016-04-05,127.43,127.639999,125.139999,126.010002,1997400,124.04416
2016-04-04,130.059998,130.809998,126.93,127.57,1970900,125.579821
2016-04-01,129.119995,132.639999,129.119995,132.520004,949300,130.452602
2016-03-31,130.059998,130.360001,129.649994,129.839996,1050700,127.814404
2016-03-30,130.470001,130.539993,128.699997,130.179993,776200,128.149096
2016-03-29,129.759995,130.559998,129.509995,129.979996,612800,127.952219
2016-03-28,128.770004,130.610001,128.770004,129.600006,560800,127.578158
2016-03-24,128.479996,129.119995,127.949997,128.710007,563600,126.702043
2016-03-23,127.699997,129.130005,126.839996,128.770004,644500,126.761104
2016-03-22,127.980003,128.580002,127.160004,127.699997,661200,125.70779
2016-03-21,128.190002,129.410004,128.009995,128.339996,580800,126.337805
2016-03-18,129.970001,129.970001,128.440002,128.850006,1421700,126.839858
2016-03-17,129.029999,130.490005,128.880005,129.910004,845000,127.883319
2016-03-16,128.059998,129.509995,127.510002,129.139999,583700,127.125327
2016-03-15,128.470001,129.740005,128.210007,128.460007,873700,126.455943
2016-03-14,129.139999,129.529999,128.470001,129.259995,530600,127.243451
2016-03-11,128.910004,129.919998,128.520004,129.520004,777200,127.499404
2016-03-10,127.589996,128.770004,127.25,128.490005,845700,126.485474
2016-03-09,126.900002,127.68,126.010002,127.07,1046700,125.087621
2016-03-08,126.239998,127.209999,125.660004,126.209999,1520300,124.241037
2016-03-07,127.230003,127.57,126.32,126.800003,885500,124.821837
2016-03-04,127.790001,128.220001,126.830002,127.540001,801100,125.55029
2016-03-03,127.50,128.509995,126.599998,128.309998,507200,126.308274
2016-03-02,127.730003,128.220001,125.459999,127.809998,766000,125.816075
2016-03-01,128.419998,129.479996,127.949997,128.229996,743600,126.22952
2016-02-29,127.389999,128.550003,126.849998,127.57,1003500,125.579821
2016-02-26,129.820007,130.00,126.940002,127.669998,762300,125.678259
2016-02-25,128.50,129.830002,128.240005,129.570007,859500,127.548627
2016-02-24,123.580002,127.949997,123.220001,127.760002,1457000,125.766859
2016-02-23,123.50,125.519997,121.790001,123.849998,2690000,121.917854
2016-02-22,128.669998,129.00,126.519997,126.860001,1274000,124.880898
2016-02-19,126.57,127.839996,125.510002,127.75,982200,125.757013
2016-02-18,127.50,128.339996,125.779999,127.529999,1531200,125.540444
2016-02-17,128.380005,129.720001,126.080002,127.43,1511500,125.442005
2016-02-16,128.539993,128.710007,125.739998,127.699997,836200,125.70779
2016-02-12,127.510002,127.57,125.760002,126.919998,799700,124.93996
2016-02-11,126.25,127.239998,125.059998,126.150002,1017200,124.181976
2016-02-10,127.349998,128.929993,126.730003,127.82,688700,125.825921
2016-02-09,125.389999,128.119995,124.940002,127.349998,956700,124.703708
2016-02-08,124.790001,126.080002,123.18,125.690002,1059100,123.078206
2016-02-05,126.160004,126.730003,125.040001,125.470001,588800,122.862776
2016-02-04,128.610001,129.350006,125.099998,125.93,1041000,123.313217
2016-02-03,128.740005,130.00,127.50,129.369995,996100,126.681729
2016-02-02,127.849998,129.449997,127.32,128.330002,785700,125.663347
2016-02-01,127.889999,129.690002,127.480003,129.130005,824000,126.446726
2016-01-29,127.059998,128.429993,126.330002,128.320007,1024000,125.65356
2016-01-28,125.099998,127.620003,124.910004,126.290001,1044100,123.665736
2016-01-27,123.07,125.389999,123.07,124.440002,1173200,121.85418
2016-01-26,122.019997,123.470001,121.949997,122.93,480300,120.375556
2016-01-25,122.43,123.620003,121.68,121.849998,733600,119.317996
2016-01-22,120.379997,122.970001,119.959999,122.889999,1182400,120.336386
2016-01-21,119.379997,119.870003,117.919998,119.260002,994300,116.781819
2016-01-20,118.480003,120.190002,117.360001,119.379997,1149900,116.89932
2016-01-19,119.510002,120.349998,118.529999,119.730003,947200,117.242053
2016-01-15,118.980003,118.980003,117.610001,118.260002,1107900,115.802598
2016-01-14,119.220001,120.900002,118.800003,120.300003,700100,117.800209
2016-01-13,122.00,122.18,119.059998,119.160004,926100,116.683898
2016-01-12,121.599998,122.160004,120.25,121.669998,883600,119.141736
2016-01-11,120.599998,121.260002,119.599998,120.739998,822100,118.231061
2016-01-08,120.639999,121.139999,119.919998,120.040001,1316600,117.545609
2016-01-07,121.230003,121.660004,119.93,120.309998,1020700,117.809996
2016-01-06,121.75,123.379997,121.629997,122.400002,1050800,119.85657
2016-01-05,122.169998,123.690002,121.870003,123.300003,1242600,120.73787
2016-01-04,121.599998,122.57,121.25,122.379997,1183000,119.836981
2015-12-31,123.709999,124.080002,122.18,123.339996,413300,120.777032
2015-12-30,124.959999,124.959999,123.919998,123.949997,404500,121.374357
2015-12-29,124.889999,125.330002,124.519997,124.800003,436200,122.2067
2015-12-28,124.690002,124.730003,123.610001,124.230003,561900,121.648545
2015-12-24,124.449997,125.010002,124.330002,124.779999,206100,122.187112
2015-12-23,123.889999,125.00,123.279999,124.860001,655400,122.265451
2015-12-22,122.279999,123.269997,121.410004,122.970001,1126300,120.414725
2015-12-21,122.150002,123.190002,122.029999,123.00,804500,120.444101
2015-12-18,122.82,122.910004,121.220001,121.550003,1480000,119.024234
2015-12-17,124.07,124.949997,122.610001,123.639999,1010600,121.070801
2015-12-16,123.019997,124.269997,121.43,124.07,1513700,121.491866
2015-12-15,120.629997,122.260002,120.559998,122.040001,768400,119.50405
2015-12-14,120.650002,121.25,118.970001,120.169998,1275700,117.672905
2015-12-11,120.760002,122.07,120.260002,120.580002,576200,118.074389
2015-12-10,122.669998,123.50,121.730003,122.010002,636400,119.474675
2015-12-09,123.040001,124.440002,121.699997,122.589996,557000,120.042617
2015-12-08,123.040001,124.260002,122.610001,123.480003,969900,120.91413
2015-12-07,123.040001,124.00,122.970001,123.669998,735500,121.100177
2015-12-04,120.690002,123.290001,120.690002,123.139999,669000,120.581191
2015-12-03,121.040001,121.199997,118.989998,120.300003,899000,117.800209
2015-12-02,120.800003,121.93,120.440002,120.620003,948000,118.113559
2015-12-01,121.779999,122.489998,120.650002,120.809998,1189600,118.299606
2015-11-30,123.660004,123.910004,121.150002,121.190002,921500,118.671714
2015-11-27,123.089996,123.970001,122.629997,123.260002,293900,120.6987
2015-11-25,122.879997,123.459999,122.510002,122.940002,1061300,120.38535
2015-11-24,120.620003,122.309998,119.50,122.139999,2772300,119.601971
2015-11-23,122.970001,124.769997,122.519997,122.540001,1488700,119.99366
2015-11-20,122.150002,123.160004,121.629997,122.389999,1196600,119.846776
2015-11-19,118.07,123.980003,116.419998,121.279999,3654400,118.759841
2015-11-18,112.139999,114.389999,112.120003,113.379997,1426300,111.023998
2015-11-17,113.300003,114.410004,111.629997,112.110001,765200,109.780392
2015-11-16,111.440002,113.339996,111.440002,113.330002,523600,110.975042
2015-11-13,113.019997,113.199997,111.010002,111.739998,1073400,109.418078
2015-11-12,114.75,115.470001,113.25,113.330002,602600,110.975042
2015-11-11,114.919998,115.760002,114.650002,115.239998,392100,112.845349
2015-11-10,114.260002,115.629997,113.410004,114.720001,768300,112.336158
2015-11-09,114.82,115.029999,113.610001,114.910004,812700,111.86613
2015-11-06,118.010002,118.010002,113.860001,115.00,1207800,111.953742
2015-11-05,117.790001,118.029999,116.730003,117.970001,513000,114.84507
2015-11-04,117.410004,117.769997,116.889999,117.620003,515000,114.504343
