Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,24.75,25.040001,23.889999,23.90,1423700,23.90
2016-11-11,25.00,25.10,24.26,24.530001,1277600,24.530001
2016-11-10,27.780001,28.00,24.959999,24.98,1665500,24.98
2016-11-09,25.51,27.120001,25.50,27.120001,994800,27.120001
2016-11-08,26.75,26.75,25.50,25.65,1044400,25.65
2016-11-07,26.85,27.040001,26.60,26.860001,625800,26.860001
2016-11-04,26.51,26.799999,26.18,26.26,584500,26.26
2016-11-03,27.299999,27.370001,26.02,26.52,661200,26.52
2016-11-02,28.59,28.59,27.77,27.92,625000,27.094
2016-11-01,29.02,29.02,28.25,28.459999,412100,27.618023
2016-10-31,28.459999,28.75,28.42,28.49,354100,27.647137
2016-10-28,28.50,28.75,28.379999,28.43,321800,27.588912
2016-10-27,28.709999,29.120001,28.49,28.51,325800,27.666545
2016-10-26,28.809999,28.99,28.139999,28.41,376700,27.569503
2016-10-25,29.23,29.33,28.889999,28.92,252600,28.064416
2016-10-24,29.50,29.620001,29.17,29.34,304700,28.47199
2016-10-21,29.07,29.49,29.00,29.32,467000,28.452581
2016-10-20,29.049999,29.110001,28.82,29.049999,633700,28.190569
2016-10-19,28.82,28.92,28.68,28.799999,498800,27.947965
2016-10-18,28.940001,29.00,28.57,28.77,440100,27.918854
2016-10-17,28.440001,28.959999,28.42,28.67,418200,27.821812
2016-10-14,28.48,28.639999,28.049999,28.309999,327600,27.472462
2016-10-13,28.469999,28.57,28.209999,28.33,246900,27.49187
2016-10-12,28.67,28.719999,28.49,28.549999,263800,27.705361
2016-10-11,28.620001,28.76,28.459999,28.639999,331500,27.792699
2016-10-10,28.42,28.92,28.42,28.84,174900,27.986782
2016-10-07,28.65,28.93,28.379999,28.379999,233700,27.54039
2016-10-06,28.35,28.65,28.35,28.51,375100,27.666545
2016-10-05,28.84,28.99,28.299999,28.41,486100,27.569503
2016-10-04,29.110001,29.280001,28.52,28.77,405800,27.918854
2016-10-03,28.959999,29.190001,28.52,29.190001,409100,28.326428
2016-09-30,29.35,29.379999,28.559999,29.01,686900,28.151753
2016-09-29,29.73,29.73,29.00,29.18,601000,28.316724
2016-09-28,29.530001,29.75,29.120001,29.690001,418700,28.811636
2016-09-27,29.809999,29.870001,29.450001,29.530001,193800,28.65637
2016-09-26,30.08,30.09,29.620001,29.75,450400,28.86986
2016-09-23,29.959999,30.16,29.620001,30.16,311200,29.267731
2016-09-22,29.98,30.030001,29.83,29.93,334100,29.044535
2016-09-21,29.24,29.950001,29.200001,29.799999,386200,28.91838
2016-09-20,29.48,29.48,29.00,29.059999,388500,28.200273
2016-09-19,29.440001,29.82,29.32,29.34,249800,28.47199
2016-09-16,29.68,29.77,29.209999,29.24,635900,28.374948
2016-09-15,30.110001,30.120001,29.690001,29.83,216700,28.947493
2016-09-14,29.90,30.18,29.76,29.93,471300,29.044535
2016-09-13,30.18,30.18,29.799999,29.879999,449000,28.996014
2016-09-12,29.60,30.469999,29.52,30.139999,416300,29.248322
2016-09-09,30.549999,30.76,29.77,29.77,315500,28.889269
2016-09-08,30.700001,30.84,30.51,30.719999,324500,29.811163
2016-09-07,30.50,30.75,30.459999,30.60,516300,29.694714
2016-09-06,30.200001,30.629999,30.10,30.530001,370100,29.626785
2016-09-02,29.92,30.75,29.799999,29.98,377400,29.093055
2016-09-01,29.90,30.10,29.51,29.809999,234900,28.928085
2016-08-31,30.379999,30.469999,29.450001,29.780001,633300,28.898973
2016-08-30,30.450001,30.67,30.139999,30.24,320600,29.345364
2016-08-29,30.049999,30.799999,29.91,30.540001,2110400,29.636489
2016-08-26,30.00,30.200001,29.709999,30.049999,278200,29.160984
2016-08-25,30.15,30.50,29.93,30.040001,210700,29.151282
2016-08-24,30.68,30.84,30.110001,30.18,301600,29.287139
2016-08-23,30.969999,31.08,30.299999,30.74,665900,29.830571
2016-08-22,30.719999,31.00,30.50,30.65,394500,29.743234
2016-08-19,31.16,31.16,30.52,30.83,311000,29.917909
2016-08-18,31.00,31.25,30.809999,31.08,437500,30.160513
2016-08-17,30.889999,30.889999,30.52,30.799999,267600,29.888796
2016-08-16,30.700001,30.99,30.33,30.66,438400,29.752938
2016-08-15,30.860001,30.90,30.450001,30.629999,339700,29.723825
2016-08-12,29.90,30.85,29.629999,30.59,569000,29.685009
2016-08-11,29.99,30.219999,29.52,29.67,377100,28.792227
2016-08-10,30.110001,30.450001,29.74,29.959999,268500,29.073647
2016-08-09,30.440001,30.58,29.98,30.059999,394500,29.170689
2016-08-08,30.379999,31.00,30.25,30.35,423200,29.45211
2016-08-05,28.950001,30.440001,28.82,30.25,843300,29.355068
2016-08-04,29.52,29.719999,28.040001,29.01,2915500,28.151753
2016-08-03,30.43,30.91,30.32,30.90,567100,29.985838
2016-08-02,31.07,31.15,30.690001,31.120001,545000,29.397766
2016-08-01,31.15,31.50,30.67,31.00,742900,29.284407
2016-07-29,30.85,31.110001,30.700001,31.00,402200,29.284407
2016-07-28,31.00,31.16,30.549999,30.870001,376800,29.161602
2016-07-27,31.190001,31.35,30.66,30.90,492500,29.18994
2016-07-26,30.85,31.120001,30.629999,30.76,415500,29.057689
2016-07-25,30.559999,30.950001,30.450001,30.870001,606100,29.161602
2016-07-22,30.43,30.780001,30.40,30.629999,361700,28.934882
2016-07-21,30.40,30.75,30.379999,30.50,516100,28.812078
2016-07-20,30.25,30.40,29.950001,30.379999,826100,28.698718
2016-07-19,30.00,30.41,29.950001,30.25,443900,28.575913
2016-07-18,30.190001,30.43,29.92,30.02,405100,28.358642
2016-07-15,30.299999,30.43,29.92,30.030001,419300,28.368089
2016-07-14,30.00,30.15,29.809999,30.059999,668300,28.396427
2016-07-13,30.00,30.18,29.559999,29.76,508300,28.113031
2016-07-12,29.799999,30.35,29.610001,30.02,791200,28.358642
2016-07-11,29.00,29.66,29.00,29.50,808300,27.867419
2016-07-08,27.68,28.719999,27.52,28.719999,581400,27.130585
2016-07-07,28.50,28.799999,27.110001,27.540001,1396300,26.01589
2016-07-06,28.76,29.190001,28.26,28.43,687800,26.856635
2016-07-05,29.120001,29.17,28.309999,28.969999,570800,27.36675
2016-07-01,30.049999,30.35,29.219999,29.290001,490100,27.669042
2016-06-30,30.34,30.85,29.66,29.950001,699000,28.292516
2016-06-29,30.290001,31.00,30.24,30.540001,516900,28.849865
2016-06-28,29.75,30.139999,29.57,30.00,576100,28.339748
2016-06-27,30.00,30.040001,28.879999,29.18,804400,27.565129
2016-06-24,29.75,31.120001,29.549999,30.059999,773300,28.396427
2016-06-23,30.26,31.07,30.26,30.82,310300,29.114368
2016-06-22,30.690001,30.940001,30.049999,30.16,562200,28.490894
2016-06-21,29.879999,30.90,29.799999,30.90,322800,29.18994
2016-06-20,30.50,31.24,29.860001,29.90,360700,28.245282
2016-06-17,29.459999,30.16,29.040001,30.059999,1354800,28.396427
2016-06-16,29.00,29.10,28.209999,28.959999,493200,27.357303
2016-06-15,29.059999,29.879999,29.02,29.32,341400,27.69738
2016-06-14,29.360001,29.809999,28.77,29.280001,530800,27.659595
2016-06-13,29.110001,29.77,28.74,29.299999,730700,27.678487
2016-06-10,29.50,30.00,29.18,29.48,623900,27.848526
2016-06-09,30.40,30.49,29.57,29.82,995100,28.16971
2016-06-08,33.00,33.150002,30.40,30.940001,3033000,29.227728
2016-06-07,33.700001,34.25,33.700001,33.720001,458100,31.853878
2016-06-06,33.48,33.790001,33.25,33.700001,296900,31.834985
2016-06-03,33.700001,33.740002,33.200001,33.27,241000,31.428781
2016-06-02,33.639999,34.279999,33.110001,33.77,721400,31.901111
2016-06-01,32.950001,33.950001,32.950001,33.75,281400,31.882217
2016-05-31,33.529999,33.880001,32.950001,33.169998,299900,31.334313
2016-05-27,33.349998,33.619999,32.950001,33.57,400200,31.712178
2016-05-26,33.77,34.00,33.099998,33.400002,256300,31.551588
2016-05-25,34.00,34.00,33.689999,33.77,495200,31.901111
2016-05-24,33.959999,34.060001,33.599998,33.82,279400,31.948343
2016-05-23,33.509998,33.93,33.25,33.650002,246600,31.787753
2016-05-20,32.77,33.509998,32.549999,33.48,340700,31.627159
2016-05-19,32.509998,32.91,32.099998,32.439999,562500,30.644713
2016-05-18,33.400002,33.52,32.50,32.68,279500,30.871433
2016-05-17,34.290001,34.34,33.209999,33.369999,381500,31.523246
2016-05-16,33.860001,34.189999,33.459999,33.970001,479700,32.090043
2016-05-13,33.599998,33.919998,32.75,33.330002,503200,31.485462
2016-05-12,34.25,34.540001,33.389999,33.599998,436100,31.740517
2016-05-11,32.830002,33.950001,32.709999,33.860001,658200,31.98613
2016-05-10,32.889999,33.299999,32.360001,33.029999,518000,31.202062
2016-05-09,33.16,33.259998,32.389999,32.540001,1020200,30.739181
2016-05-06,33.740002,34.099998,32.810001,33.049999,896300,31.220955
2016-05-05,34.00,34.66,33.439999,33.610001,534500,31.749965
2016-05-04,34.290001,34.689999,33.939999,34.00,475200,32.118382
2016-05-03,35.59,35.709999,34.75,34.900002,702100,32.196791
2016-05-02,36.400002,36.52,35.200001,35.43,577100,32.685739
2016-04-29,37.189999,37.189999,35.299999,35.889999,1030600,33.110108
2016-04-28,36.939999,37.25,36.25,36.290001,804600,33.479127
2016-04-27,36.560001,37.099998,36.029999,36.330002,599700,33.51603
2016-04-26,36.27,36.400002,35.68,35.91,440300,33.128559
2016-04-25,36.689999,36.759998,35.00,35.240002,449600,32.510456
2016-04-22,34.799999,36.580002,34.700001,36.060001,582500,33.266942
2016-04-21,35.200001,35.470001,34.200001,34.650002,467600,31.966155
2016-04-20,34.389999,35.740002,34.349998,35.349998,409500,32.611933
2016-04-19,33.419998,34.75,33.310001,34.57,394300,31.89235
2016-04-18,32.470001,33.950001,32.380001,33.720001,330900,31.108189
2016-04-15,33.50,33.73,32.740002,32.740002,481000,30.204096
2016-04-14,33.849998,33.970001,33.389999,33.580002,368500,30.979033
2016-04-13,34.119999,34.290001,33.25,33.669998,494200,31.062059
2016-04-12,32.25,34.200001,32.02,33.779999,549300,31.163539
2016-04-11,32.610001,32.759998,31.52,32.080002,474400,29.595217
2016-04-08,32.68,32.889999,32.060001,32.290001,278000,29.788951
2016-04-07,32.450001,32.84,31.98,32.299999,173000,29.798174
2016-04-06,31.870001,32.619999,31.719999,32.48,265900,29.964233
2016-04-05,31.629999,32.00,31.370001,31.799999,306400,29.336902
2016-04-04,32.52,32.959999,31.82,31.870001,359700,29.401482
2016-04-01,32.720001,33.080002,32.25,32.349998,407800,29.844301
2016-03-31,32.529999,33.139999,32.50,33.130001,359900,30.563888
2016-03-30,32.860001,33.16,32.360001,32.869999,355300,30.324024
2016-03-29,32.279999,32.880001,31.75,32.560001,416500,30.038038
2016-03-28,32.610001,32.849998,31.790001,32.41,373400,29.899655
2016-03-24,31.75,32.700001,30.24,32.259998,473400,29.761272
2016-03-23,33.310001,33.400002,32.060001,32.23,437700,29.733597
2016-03-22,33.049999,33.59,32.900002,33.419998,369200,30.831423
2016-03-21,33.970001,34.400002,33.209999,33.50,570800,30.905228
2016-03-18,34.310001,34.400002,32.599998,33.509998,729200,30.914452
2016-03-17,33.849998,34.23,32.580002,33.830002,452500,31.209669
2016-03-16,33.07,33.759998,32.59,33.529999,557400,30.932903
2016-03-15,32.509998,33.099998,31.90,33.09,247700,30.526985
2016-03-14,33.450001,33.619999,32.52,32.779999,263900,30.240995
2016-03-11,32.400002,33.360001,32.34,33.259998,322000,30.683816
2016-03-10,32.52,33.310001,31.860001,32.189999,415400,29.696694
2016-03-09,33.00,33.00,31.60,32.25,473800,29.752048
2016-03-08,33.32,33.68,32.50,32.580002,468200,30.056489
2016-03-07,32.959999,33.470001,32.470001,33.470001,681500,30.877553
2016-03-04,33.049999,33.049999,32.299999,32.759998,683700,30.222544
2016-03-03,32.50,34.450001,32.00,33.00,577500,30.443956
2016-03-02,30.40,33.18,30.40,32.869999,969300,30.324024
2016-03-01,30.950001,32.279999,30.049999,30.74,1110300,28.359006
2016-02-29,30.82,32.50,30.049999,30.049999,902600,27.72245
2016-02-26,30.110001,31.18,29.65,30.82,719300,28.43281
2016-02-25,30.190001,30.60,28.09,29.18,1113900,26.919838
2016-02-24,29.809999,30.709999,29.049999,30.59,1108300,28.220625
2016-02-23,30.629999,31.50,29.00,30.24,741800,27.897734
2016-02-22,29.83,31.85,29.83,30.959999,822500,28.561965
2016-02-19,29.09,29.780001,28.68,29.52,580300,27.233503
2016-02-18,30.09,30.59,28.809999,29.780001,622700,27.473365
2016-02-17,28.60,31.389999,28.60,29.790001,1236500,27.48259
2016-02-16,26.65,28.389999,26.25,28.16,1789200,25.978842
2016-02-12,24.00,24.549999,23.34,24.139999,914700,22.270215
2016-02-11,23.639999,24.42,23.110001,23.200001,718300,21.403024
2016-02-10,23.889999,24.75,23.58,23.809999,824800,21.965775
2016-02-09,24.700001,24.92,22.860001,23.51,863900,21.689013
2016-02-08,28.219999,28.280001,23.459999,24.459999,1144600,22.565428
2016-02-05,30.639999,31.07,28.530001,29.129999,717500,26.873709
2016-02-04,31.17,31.43,29.530001,31.280001,331600,28.857181
2016-02-03,32.049999,32.240002,29.34,30.34,1486400,27.989989
2016-02-02,32.93,33.150002,32.110001,32.700001,545800,29.428234
2016-02-01,34.009998,34.860001,32.330002,33.470001,561000,30.121193
2016-01-29,34.400002,35.029999,33.799999,34.009998,493500,30.607161
2016-01-28,34.580002,35.139999,33.119999,34.139999,893500,30.724155
2016-01-27,32.900002,33.880001,32.290001,33.82,982200,30.436173
2016-01-26,31.65,32.98,30.299999,32.650002,1064300,29.383237
2016-01-25,29.59,32.529999,29.43,30.379999,1443100,27.340358
2016-01-22,29.549999,31.26,29.16,30.120001,904100,27.106374
2016-01-21,29.219999,29.450001,27.459999,28.190001,1189500,25.369477
2016-01-20,30.969999,31.02,26.34,29.27,1133700,26.341419
2016-01-19,34.970001,35.189999,31.00,32.150002,863500,28.933264
2016-01-15,33.279999,34.950001,32.75,34.900002,691400,31.408116
2016-01-14,33.240002,34.860001,33.00,34.48,692200,31.030137
2016-01-13,34.860001,34.860001,32.16,33.189999,540200,29.869206
2016-01-12,35.18,35.43,31.780001,34.580002,958100,31.120133
2016-01-11,36.990002,36.990002,34.459999,35.02,500000,31.516108
2016-01-08,37.330002,38.049999,36.09,36.689999,392300,33.019017
2016-01-07,37.599998,38.00,36.150002,37.290001,486400,33.558986
2016-01-06,39.040001,39.419998,38.00,38.330002,422200,34.494931
2016-01-05,39.779999,40.00,38.720001,39.540001,717700,35.583865
2016-01-04,38.580002,39.939999,38.310001,39.59,1083100,35.628861
2015-12-31,39.290001,40.060001,38.950001,39.610001,676000,35.646861
2015-12-30,38.25,39.509998,37.669998,39.23,376300,35.30488
2015-12-29,37.950001,38.619999,37.029999,38.450001,652000,34.602923
2015-12-28,38.57,39.369999,37.25,37.700001,524700,33.927964
2015-12-24,39.110001,39.779999,38.720001,38.880001,297300,34.9899
2015-12-23,36.939999,39.18,36.810001,39.060001,908900,35.151891
2015-12-22,35.52,37.00,35.310001,36.950001,497100,33.253004
2015-12-21,35.419998,35.779999,34.610001,35.490002,426200,31.939084
2015-12-18,35.900002,36.23,34.529999,35.200001,622200,31.678099
2015-12-17,36.98,36.98,35.830002,36.00,330900,32.398055
2015-12-16,36.34,37.00,35.259998,36.98,536400,33.280002
2015-12-15,35.970001,36.48,34.900002,36.040001,357700,32.434054
2015-12-14,36.09,36.560001,34.810001,35.470001,414100,31.921085
2015-12-11,36.82,36.970001,35.040001,36.009998,512800,32.407053
2015-12-10,36.25,37.939999,35.98,37.470001,502700,33.720977
2015-12-09,35.380001,36.990002,35.380001,36.07,419000,32.461051
2015-12-08,34.709999,35.790001,33.830002,35.029999,552300,31.525106
2015-12-07,35.720001,36.290001,33.580002,35.669998,678100,32.101071
2015-12-04,36.380001,37.02,35.290001,36.25,354800,32.623042
2015-12-03,36.720001,37.419998,35.919998,36.759998,369700,33.082013
2015-12-02,37.189999,37.330002,36.330002,36.709999,369800,33.037016
2015-12-01,37.200001,37.610001,36.73,37.029999,427200,33.324998
2015-11-30,38.029999,38.459999,37.099998,37.200001,196700,33.477991
2015-11-27,37.810001,37.900002,37.549999,37.77,40400,33.99096
2015-11-25,37.889999,38.259998,37.560001,37.860001,200100,34.071955
2015-11-24,38.849998,39.200001,37.799999,38.16,366200,34.341938
2015-11-23,38.759998,39.189999,38.00,38.41,172600,34.566925
2015-11-20,39.25,39.959999,37.610001,38.400002,292900,34.557927
2015-11-19,38.330002,39.599998,38.299999,39.25,596600,35.322879
2015-11-18,36.09,38.200001,35.959999,37.889999,592200,34.098952
2015-11-17,34.599998,36.130001,34.00,35.990002,522500,32.389057
2015-11-16,33.150002,37.240002,33.150002,34.970001,974300,31.471112
2015-11-13,33.02,34.09,32.009998,33.130001,486800,29.815211
2015-11-12,34.169998,34.200001,33.23,33.68,163000,29.639721
2015-11-11,35.34,36.09,32.900002,34.369999,455600,30.246947
2015-11-10,35.00,35.98,34.91,35.18,229200,30.95978
2015-11-09,36.040001,37.00,35.099998,35.25,211900,31.021382
2015-11-06,36.119999,36.50,34.939999,36.00,312000,31.681412
2015-11-05,35.25,37.00,34.25,36.150002,904700,31.813419
2015-11-04,33.75,34.139999,32.299999,33.509998,242500,29.490113
2015-11-03,33.50,33.900002,32.07,33.689999,504500,29.64852
2015-11-02,34.139999,34.509998,32.98,33.259998,317300,29.270103
2015-10-30,34.099998,34.720001,33.25,34.490002,225000,30.352554
2015-10-29,32.450001,34.18,32.240002,34.07,355900,29.982936
2015-10-28,33.09,33.68,32.240002,32.48,295600,28.583673
2015-10-27,33.990002,33.990002,32.450001,32.720001,363300,28.794884
2015-10-26,35.25,35.32,34.040001,34.16,184000,30.062139
2015-10-23,36.00,36.080002,35.290001,35.41,170000,31.162188
2015-10-22,36.970001,37.07,35.759998,35.869999,161200,31.567006
2015-10-21,36.549999,37.220001,35.790001,36.779999,160900,32.367841
2015-10-20,36.27,36.919998,35.759998,36.52,90900,32.139033
2015-10-19,36.790001,37.220001,36.040001,36.25,190300,31.901422
2015-10-16,36.549999,37.290001,36.279999,36.900002,213800,32.473448
2015-10-15,36.400002,38.439999,35.919998,36.580002,437500,32.191836
2015-10-14,35.68,36.75,35.43,36.619999,123100,32.227035
2015-10-13,35.669998,36.32,35.380001,35.720001,92700,31.435002
2015-10-12,36.290001,36.57,35.110001,35.880001,129000,31.575808
2015-10-09,35.240002,36.330002,35.02,36.200001,159400,31.85742
2015-10-08,34.419998,35.349998,34.240002,35.150002,105900,30.93338
2015-10-07,34.77,35.48,34.049999,34.639999,272800,30.484558
2015-10-06,34.060001,35.43,33.849998,34.279999,383600,30.167743
2015-10-05,33.939999,35.299999,33.830002,34.07,734900,29.982936
2015-10-02,33.59,34.450001,33.259998,33.82,307800,29.762926
2015-10-01,34.610001,35.07,32.939999,34.150002,418500,30.053341
2015-09-30,31.26,34.150002,31.17,33.849998,347000,29.789326
2015-09-29,32.389999,33.040001,29.50,30.870001,574300,27.166811
2015-09-28,33.610001,33.619999,31.49,32.400002,404700,28.513272
2015-09-25,33.889999,34.459999,33.470001,33.810001,501400,29.754127
2015-09-24,34.290001,34.52,32.860001,33.50,429400,29.481314
2015-09-23,36.32,36.700001,34.330002,34.50,174700,30.361353
2015-09-22,34.34,36.200001,34.259998,35.950001,288900,31.63741
2015-09-21,35.419998,35.93,34.91,34.959999,298900,30.76617
2015-09-18,34.610001,35.650002,34.240002,35.369999,347900,31.126986
2015-09-17,34.150002,35.59,34.099998,34.790001,253400,30.616565
2015-09-16,34.509998,35.110001,33.630001,34.150002,459100,30.053341
2015-09-15,35.25,36.130001,34.119999,34.490002,425100,30.352554
2015-09-14,35.50,36.099998,35.00,35.049999,309400,30.845374
2015-09-11,36.369999,36.59,35.00,35.509998,303700,31.250191
2015-09-10,36.32,36.799999,35.439999,36.68,277700,32.279839
2015-09-09,37.400002,37.849998,36.099998,36.110001,216000,31.778217
2015-09-08,37.610001,38.09,36.889999,37.27,252400,32.799062
2015-09-04,37.50,39.459999,37.049999,37.369999,191300,32.887065
2015-09-03,38.830002,39.50,37.639999,37.91,209100,33.362287
2015-09-02,38.52,39.040001,37.50,38.450001,220500,33.837508
2015-09-01,38.93,39.419998,38.02,38.279999,176800,33.6879
2015-08-31,38.84,39.700001,37.599998,39.380001,214000,34.655945
2015-08-28,38.34,39.470001,38.200001,38.84,147800,34.180723
2015-08-27,36.549999,38.880001,36.439999,38.23,361800,33.643899
2015-08-26,37.00,37.00,35.150002,36.009998,373900,31.690211
2015-08-25,36.810001,37.599998,35.830002,36.099998,420900,31.769414
2015-08-24,36.720001,38.02,34.259998,35.970001,644500,31.655012
2015-08-21,37.98,38.25,36.200001,36.619999,514000,32.227035
