Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,94.989998,99.150002,94.760002,98.290001,2350700,98.290001
2016-11-11,92.919998,95.970001,92.919998,95.120003,1787800,95.120003
2016-11-10,90.470001,93.300003,88.129997,92.449997,2728800,92.449997
2016-11-09,88.230003,91.25,87.18,90.389999,1681400,90.389999
2016-11-08,89.379997,89.919998,88.629997,89.330002,839900,89.330002
2016-11-07,89.400002,90.029999,88.989998,89.330002,751400,89.330002
2016-11-04,87.129997,88.629997,86.349998,88.220001,795400,88.220001
2016-11-03,87.25,87.870003,86.50,86.730003,704500,86.730003
2016-11-02,90.580002,90.940002,87.809998,87.809998,1531500,87.179995
2016-11-01,92.760002,92.769997,90.209999,90.610001,1400700,89.959909
2016-10-31,91.800003,92.980003,91.029999,92.779999,1005300,92.114338
2016-10-28,92.059998,92.75,90.82,91.209999,981400,90.555603
2016-10-27,93.120003,93.330002,90.900002,91.760002,876900,91.10166
2016-10-26,95.099998,95.190002,92.540001,93.160004,787600,92.491617
2016-10-25,94.760002,95.010002,93.739998,94.239998,536300,93.563863
2016-10-24,95.669998,96.199997,94.480003,94.800003,579300,94.11985
2016-10-21,94.669998,95.360001,94.43,95.040001,534700,94.358126
2016-10-20,96.199997,96.440002,94.839996,95.43,949400,94.745327
2016-10-19,95.919998,96.309998,95.209999,96.080002,635000,95.390665
2016-10-18,96.389999,96.849998,95.519997,96.110001,515900,95.420449
2016-10-17,95.449997,96.18,95.099998,95.370003,618900,94.68576
2016-10-14,95.860001,96.790001,95.190002,95.25,935700,94.566618
2016-10-13,94.889999,96.150002,94.709999,95.650002,964900,94.96375
2016-10-12,95.459999,95.699997,94.43,95.360001,878600,94.67583
2016-10-11,96.230003,96.980003,94.959999,95.25,908700,94.566618
2016-10-10,96.50,97.370003,96.139999,96.57,417500,95.877148
2016-10-07,97.129997,98.099998,95.739998,96.309998,552700,95.619011
2016-10-06,95.82,97.150002,94.910004,96.50,1006700,95.80765
2016-10-05,98.790001,98.980003,95.910004,96.129997,914200,95.440302
2016-10-04,99.449997,99.839996,97.970001,98.43,679100,97.723803
2016-10-03,100.800003,100.809998,99.379997,99.459999,932600,98.746412
2016-09-30,102.199997,102.519997,101.160004,101.209999,733100,100.483857
2016-09-29,102.589996,103.160004,101.480003,101.529999,604500,100.801561
2016-09-28,102.839996,103.480003,102.230003,103.190002,529100,102.449654
2016-09-27,104.209999,104.639999,102.660004,102.739998,810700,102.002878
2016-09-26,103.370003,104.339996,103.300003,103.970001,778300,103.224057
2016-09-23,103.150002,104.519997,101.980003,103.769997,718300,103.025487
2016-09-22,102.239998,103.760002,102.00,103.639999,623200,102.896423
2016-09-21,100.220001,101.690002,99.169998,101.580002,656200,100.851205
2016-09-20,99.959999,100.720001,99.82,100.18,571400,99.461248
2016-09-19,98.900002,100.029999,98.830002,99.900002,739400,99.183258
2016-09-16,97.959999,98.82,97.559998,98.639999,1968300,97.932296
2016-09-15,97.809998,98.639999,97.18,98.480003,666200,97.773448
2016-09-14,98.32,98.75,97.650002,97.889999,581800,97.187677
2016-09-13,100.629997,101.010002,98.120003,98.25,886600,97.545094
2016-09-12,98.970001,101.959999,98.809998,101.510002,1199400,100.781707
2016-09-09,102.25,102.309998,99.449997,99.449997,1099300,98.736482
2016-09-08,104.25,104.629997,102.900002,103.18,2003500,102.439724
2016-09-07,103.529999,105.010002,103.239998,104.620003,605800,103.869395
2016-09-06,103.779999,104.019997,102.800003,103.720001,673600,102.975851
2016-09-02,103.410004,104.839996,103.099998,103.739998,335800,102.995704
2016-09-01,103.43,103.839996,102.410004,102.949997,559600,102.211371
2016-08-31,102.480003,103.580002,102.25,103.309998,967800,102.568789
2016-08-30,102.830002,103.129997,101.470001,102.870003,530300,102.13195
2016-08-29,101.32,103.129997,101.260002,102.720001,647500,101.983025
2016-08-26,102.389999,102.800003,100.370003,101.010002,416000,100.285295
2016-08-25,102.209999,103.209999,101.839996,102.239998,304800,101.506466
2016-08-24,102.370003,102.370003,101.040001,102.139999,458600,101.407185
2016-08-23,102.699997,103.059998,102.150002,102.239998,369300,101.506466
2016-08-22,101.910004,102.43,101.290001,102.18,472800,101.446899
2016-08-19,103.110001,103.68,101.309998,101.639999,737300,100.910772
2016-08-18,103.449997,103.75,102.919998,103.449997,422300,102.707783
