Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,51.91,54.060001,51.91,53.220001,58839400,53.220001
2016-11-11,51.09,51.990002,50.73,51.73,46558300,51.73
2016-11-10,48.93,51.93,48.790001,51.630001,100976300,51.630001
2016-11-09,46.330002,48.610001,46.00,47.990002,67401300,47.990002
2016-11-08,45.18,45.82,44.869999,45.540001,19406700,45.540001
2016-11-07,45.220001,45.689999,45.209999,45.400002,25452200,45.400002
2016-11-04,45.360001,45.419998,44.490002,44.599998,27219000,44.599998
2016-11-03,45.330002,45.790001,45.25,45.34,14982700,45.34
2016-11-02,45.380001,45.509998,45.07,45.240002,19566600,45.240002
2016-11-01,46.119999,46.279999,45.599998,45.990002,20020200,45.61
2016-10-31,46.400002,46.560001,46.00,46.009998,20115900,45.629832
2016-10-28,46.57,46.639999,45.880001,46.23,20882000,45.848015
2016-10-27,46.419998,46.810001,46.259998,46.41,25661000,46.026528
2016-10-26,45.459999,46.169998,45.439999,46.150002,25181900,45.768678
2016-10-25,45.470001,45.799999,45.41,45.720001,20402000,45.342231
2016-10-24,45.450001,45.68,45.290001,45.52,19303800,45.143883
2016-10-21,44.740002,45.299999,44.66,45.09,21490800,44.717435
2016-10-20,44.970001,45.290001,44.66,44.93,27210600,44.558757
2016-10-19,44.860001,45.529999,44.860001,45.259998,26977000,44.886029
2016-10-18,44.75,45.00,44.41,44.950001,23877600,44.578593
2016-10-17,44.540001,44.759998,44.32,44.50,18861300,44.13231
2016-10-14,45.169998,45.52,44.32,44.709999,45418600,44.340574
2016-10-13,45.240002,45.240002,44.279999,44.75,44174600,44.380244
2016-10-12,45.509998,45.830002,45.32,45.32,21780500,44.945534
2016-10-11,45.799999,45.82,45.150002,45.450001,25442600,45.074461
2016-10-10,45.700001,45.919998,45.439999,45.650002,21804900,45.27281
2016-10-07,45.200001,45.450001,44.93,45.330002,24893600,44.955454
2016-10-06,45.18,45.389999,44.830002,45.18,29878200,44.806692
2016-10-05,43.830002,45.080002,43.830002,44.990002,40459000,44.618263
2016-10-04,43.619999,44.09,43.549999,43.75,44008300,43.388507
2016-10-03,44.119999,44.16,43.560001,43.830002,38197700,43.467848
2016-09-30,44.330002,44.73,44.099998,44.279999,54117700,43.914127
2016-09-29,45.189999,45.259998,44.209999,44.369999,45266700,44.003383
2016-09-28,45.360001,45.48,44.959999,45.310001,28220300,44.935619
2016-09-27,44.790001,45.099998,44.66,45.09,24359000,44.717435
2016-09-26,45.369999,45.50,44.650002,44.880001,30938000,44.509171
2016-09-23,45.50,45.91,45.43,45.740002,28710500,45.362066
