Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,7.01,7.04,6.82,6.99,2334900,6.99
2016-11-11,6.70,7.10,6.66,6.94,2605800,6.94
2016-11-10,7.03,7.04,6.63,6.65,3005200,6.65
2016-11-09,7.05,7.23,6.82,6.96,3029000,6.96
2016-11-08,7.52,7.52,7.13,7.14,2989700,7.14
2016-11-07,7.34,7.54,7.05,7.23,3555800,7.23
2016-11-04,6.87,7.50,6.80,7.24,5183700,7.24
2016-11-03,6.96,7.03,6.71,6.78,3186600,6.78
2016-11-02,7.60,7.60,6.95,6.96,3824900,6.96
2016-11-01,7.87,7.93,7.50,7.58,1811600,7.58
2016-10-31,7.99,8.11,7.61,7.85,2567200,7.85
2016-10-28,8.29,8.29,8.07,8.10,1273300,8.10
2016-10-27,8.18,8.24,7.92,8.23,1849300,8.23
2016-10-26,8.22,8.30,8.11,8.17,1225200,8.17
2016-10-25,8.27,8.31,8.16,8.24,1248300,8.24
2016-10-24,8.40,8.55,8.22,8.29,1365100,8.29
2016-10-21,8.32,8.46,8.26,8.37,1055900,8.37
2016-10-20,8.35,8.45,8.24,8.36,1405600,8.36
2016-10-19,8.44,8.55,8.35,8.38,1126600,8.38
2016-10-18,8.42,8.52,8.32,8.40,1430200,8.40
2016-10-17,8.35,8.50,8.27,8.47,1973600,8.47
2016-10-14,8.43,8.54,8.37,8.38,1073200,8.38
2016-10-13,8.39,8.51,8.22,8.44,1400900,8.44
2016-10-12,8.34,8.53,8.28,8.36,1146600,8.36
2016-10-11,8.54,8.62,8.20,8.30,2098500,8.30
2016-10-10,8.79,8.88,8.53,8.56,1712400,8.56
2016-10-07,9.20,9.30,8.75,8.81,2577600,8.81
2016-10-06,9.35,9.49,9.11,9.21,1275700,9.21
2016-10-05,9.63,9.79,9.37,9.42,1257800,9.42
2016-10-04,9.95,9.98,9.61,9.63,1949100,9.63
2016-10-03,10.07,10.10,9.84,9.92,1774100,9.92
2016-09-30,10.37,10.40,10.04,10.05,1665600,10.05
2016-09-29,10.22,10.46,10.15,10.32,1437800,10.32
2016-09-28,10.13,10.39,10.11,10.35,1323300,10.35
2016-09-27,10.19,10.34,10.07,10.31,1378700,10.160001
2016-09-26,9.89,10.24,9.88,10.15,1534900,10.002328
2016-09-23,9.82,10.04,9.82,9.93,1989600,9.785529
2016-09-22,9.60,9.98,9.59,9.90,2760800,9.755965
2016-09-21,9.41,9.65,9.26,9.52,1898700,9.381494
2016-09-20,9.42,9.52,9.33,9.41,1250700,9.273094
2016-09-19,9.43,9.52,9.35,9.43,1489000,9.292804
2016-09-16,9.20,9.35,9.08,9.33,2377800,9.194258
2016-09-15,9.15,9.40,9.15,9.23,1331900,9.095713
2016-09-14,9.19,9.31,9.09,9.18,1434100,9.046441
2016-09-13,9.21,9.23,9.04,9.17,1470700,9.036586
2016-09-12,8.92,9.39,8.92,9.30,1951800,9.164695
2016-09-09,9.13,9.14,8.89,9.02,1900700,8.888769
2016-09-08,9.17,9.27,9.14,9.22,932400,9.085859
2016-09-07,9.05,9.21,8.99,9.17,1142400,9.036586
2016-09-06,8.82,9.12,8.70,9.04,1709600,8.908477
2016-09-02,8.65,8.90,8.65,8.87,1456500,8.740951
2016-09-01,8.52,8.75,8.52,8.63,1574300,8.504443
2016-08-31,8.49,8.58,8.39,8.51,906100,8.386189
2016-08-30,8.45,8.60,8.40,8.49,802200,8.366479
2016-08-29,8.29,8.50,8.29,8.48,866200,8.356624
2016-08-26,8.38,8.59,8.18,8.30,1038000,8.179244
2016-08-25,8.30,8.42,8.26,8.40,887400,8.277788
2016-08-24,8.31,8.32,8.20,8.29,814000,8.169389
2016-08-23,8.34,8.46,8.22,8.30,1046800,8.179244
2016-08-22,8.21,8.35,8.13,8.28,1053400,8.159534
2016-08-19,8.35,8.42,8.19,8.25,978800,8.129971
