Date,Open,High,Low,Close,Volume,Adj Close
2016-11-15,0.345,0.36,0.345,0.355,220000,0.355
2016-11-14,0.33,0.33,0.33,0.33,10000,0.33
2016-11-11,0.335,0.35,0.335,0.35,20000,0.35
2016-11-10,0.335,0.355,0.335,0.355,30000,0.355
2016-11-09,0.35,0.36,0.35,0.36,20000,0.36
2016-11-08,0.33,0.33,0.33,0.33,10000,0.33
2016-11-07,0.355,0.36,0.355,0.36,40000,0.36
2016-11-04,0.35,0.35,0.35,0.35,000,0.35
2016-11-03,0.35,0.35,0.35,0.35,30000,0.35
2016-11-02,0.34,0.35,0.33,0.35,120000,0.35
2016-11-01,0.355,0.355,0.355,0.355,000,0.355
2016-10-31,0.355,0.355,0.355,0.355,000,0.355
2016-10-28,0.33,0.355,0.33,0.355,1300000,0.355
2016-10-27,0.355,0.355,0.355,0.355,000,0.355
2016-10-26,0.355,0.355,0.355,0.355,000,0.355
2016-10-25,0.355,0.355,0.355,0.355,000,0.355
2016-10-24,0.355,0.355,0.355,0.355,000,0.355
2016-10-21,0.34,0.355,0.32,0.355,450000,0.355
2016-10-20,0.355,0.355,0.355,0.355,10000,0.355
2016-10-19,0.34,0.35,0.34,0.35,20000,0.35
2016-10-18,0.355,0.355,0.355,0.355,000,0.355
2016-10-17,0.355,0.355,0.355,0.355,000,0.355
2016-10-14,0.34,0.355,0.34,0.355,50000,0.355
2016-10-13,0.345,0.345,0.345,0.345,90000,0.345
2016-10-12,0.365,0.365,0.365,0.365,000,0.365
2016-10-11,0.365,0.365,0.365,0.365,000,0.365
2016-10-10,0.365,0.365,0.365,0.365,000,0.365
2016-10-07,0.365,0.365,0.35,0.365,200000,0.365
2016-10-06,0.365,0.365,0.355,0.365,260000,0.365
2016-10-05,0.355,0.365,0.355,0.365,70000,0.365
2016-10-04,0.365,0.365,0.365,0.365,000,0.365
2016-10-03,0.365,0.365,0.365,0.365,000,0.365
2016-09-30,0.365,0.365,0.365,0.365,10000,0.365
2016-09-29,0.34,0.345,0.34,0.345,90000,0.345
2016-09-28,0.365,0.365,0.365,0.365,000,0.365
2016-09-27,0.345,0.365,0.34,0.365,120000,0.365
2016-09-26,0.35,0.35,0.345,0.345,180000,0.345
2016-09-23,0.37,0.37,0.355,0.355,630000,0.355
2016-09-22,0.36,0.38,0.36,0.37,1660000,0.37
2016-09-21,0.36,0.365,0.36,0.36,280000,0.36
2016-09-20,0.355,0.355,0.35,0.355,110000,0.355
2016-09-19,0.355,0.355,0.355,0.355,000,0.355
2016-09-16,0.355,0.355,0.35,0.355,290000,0.355
2016-09-15,0.35,0.355,0.35,0.355,20000,0.355
2016-09-14,0.35,0.355,0.35,0.355,160000,0.355
2016-09-13,0.35,0.35,0.35,0.35,540000,0.35
2016-09-12,0.345,0.345,0.345,0.345,000,0.345
2016-09-09,0.345,0.345,0.345,0.345,000,0.345
2016-09-08,0.34,0.345,0.34,0.345,400000,0.345
2016-09-07,0.35,0.35,0.35,0.35,20000,0.35
2016-09-06,0.345,0.345,0.34,0.345,130000,0.345
2016-09-05,0.345,0.35,0.345,0.345,260000,0.345
2016-09-02,0.335,0.35,0.335,0.35,480000,0.35
2016-09-01,0.34,0.34,0.335,0.335,70000,0.335
2016-08-31,0.335,0.335,0.33,0.33,300000,0.33
2016-08-30,0.335,0.335,0.335,0.335,100000,0.335
2016-08-29,0.34,0.34,0.34,0.34,000,0.34
2016-08-26,0.34,0.34,0.34,0.34,20000,0.34
2016-08-25,0.335,0.335,0.335,0.335,110000,0.335
2016-08-24,0.34,0.34,0.34,0.34,160000,0.34
2016-08-23,0.33,0.335,0.33,0.335,2020000,0.335
2016-08-22,0.33,0.33,0.33,0.33,30000,0.33
2016-08-19,0.33,0.33,0.33,0.33,000,0.33
2016-08-18,0.33,0.33,0.33,0.33,10000,0.33
2016-08-17,0.33,0.33,0.33,0.33,000,0.33
2016-08-16,0.33,0.33,0.33,0.33,500000,0.33
2016-08-15,0.325,0.33,0.325,0.33,140000,0.33
2016-08-12,0.345,0.35,0.325,0.33,610000,0.33
2016-08-11,0.33,0.33,0.325,0.325,200000,0.325
2016-08-10,0.335,0.335,0.335,0.335,90000,0.335
2016-08-09,0.34,0.34,0.34,0.34,70000,0.34
2016-08-08,0.33,0.33,0.33,0.33,500000,0.33
2016-08-05,0.33,0.33,0.33,0.33,1780000,0.33
2016-08-04,0.33,0.33,0.33,0.33,100000,0.33
2016-08-03,0.33,0.33,0.33,0.33,30000,0.33
2016-08-02,0.335,0.335,0.335,0.335,10000,0.335
2016-08-01,0.33,0.33,0.33,0.33,20000,0.33
2016-07-29,0.34,0.34,0.33,0.33,380000,0.33
2016-07-28,0.335,0.335,0.33,0.335,370000,0.335
2016-07-27,0.33,0.33,0.33,0.33,120000,0.33
2016-07-26,0.325,0.325,0.325,0.325,60000,0.325
2016-07-25,0.335,0.335,0.335,0.335,000,0.335
2016-07-22,0.33,0.335,0.33,0.335,50000,0.335
2016-07-21,0.33,0.33,0.33,0.33,10000,0.33
2016-07-20,0.33,0.33,0.33,0.33,000,0.33
2016-07-19,0.33,0.33,0.33,0.33,50000,0.33
2016-07-18,0.34,0.34,0.33,0.33,40000,0.33
2016-07-15,0.335,0.335,0.33,0.33,90000,0.33
2016-07-14,0.33,0.335,0.32,0.335,1650000,0.335
2016-07-13,0.335,0.34,0.33,0.34,600000,0.34
2016-07-12,0.33,0.34,0.33,0.335,230000,0.335
2016-07-11,0.33,0.34,0.33,0.34,20000,0.34
2016-07-08,0.34,0.35,0.33,0.33,50000,0.33
2016-07-07,0.325,0.35,0.325,0.325,60000,0.325
2016-07-06,0.325,0.325,0.325,0.325,000,0.325
2016-07-05,0.325,0.345,0.325,0.325,150000,0.325
2016-07-04,0.335,0.35,0.33,0.33,970000,0.33
2016-07-01,0.34,0.35,0.335,0.335,160000,0.335
2016-06-30,0.335,0.35,0.335,0.335,80000,0.335
2016-06-29,0.35,0.35,0.335,0.335,20000,0.335
2016-06-28,0.325,0.35,0.325,0.33,40000,0.33
2016-06-27,0.33,0.33,0.33,0.33,000,0.33
2016-06-24,0.335,0.335,0.33,0.33,1500000,0.33
2016-06-23,0.335,0.35,0.335,0.35,30000,0.35
2016-06-22,0.355,0.355,0.335,0.335,90000,0.335
2016-06-21,0.355,0.355,0.35,0.35,100000,0.35
2016-06-20,0.345,0.345,0.33,0.33,20000,0.33
2016-06-17,0.33,0.355,0.33,0.355,20000,0.355
2016-06-16,0.33,0.33,0.33,0.33,40000,0.33
2016-06-15,0.335,0.335,0.325,0.325,20000,0.325
2016-06-14,0.33,0.33,0.33,0.33,000,0.33
2016-06-13,0.335,0.35,0.325,0.33,70000,0.33
2016-06-10,0.33,0.355,0.33,0.355,30000,0.355
2016-06-09,0.325,0.345,0.32,0.325,2710000,0.325
2016-06-08,0.34,0.34,0.325,0.33,1100000,0.33
2016-06-07,0.34,0.34,0.34,0.34,540000,0.34
2016-06-06,0.365,0.365,0.34,0.34,520000,0.34
2016-06-03,0.345,0.355,0.345,0.345,1270000,0.345
2016-06-02,0.345,0.355,0.345,0.345,270000,0.345
2016-06-01,0.34,0.365,0.34,0.34,220000,0.34
2016-05-31,0.335,0.365,0.335,0.36,630000,0.36
2016-05-30,0.34,0.34,0.34,0.34,340000,0.34
2016-05-27,0.34,0.36,0.34,0.36,50000,0.36
2016-05-26,0.35,0.35,0.35,0.35,200000,0.35
2016-05-25,0.34,0.34,0.34,0.34,90000,0.34
2016-05-24,0.35,0.35,0.34,0.34,300000,0.34
2016-05-23,0.36,0.37,0.36,0.36,420000,0.36
2016-05-20,0.37,0.385,0.35,0.35,290000,0.35
2016-05-19,0.37,0.39,0.37,0.37,410000,0.37
2016-05-18,0.38,0.38,0.37,0.37,60000,0.37
2016-05-17,0.375,0.40,0.37,0.39,870000,0.39
2016-05-16,0.385,0.385,0.365,0.385,480000,0.385
2016-05-13,0.38,0.41,0.355,0.385,2630000,0.385
2016-05-12,0.345,0.38,0.345,0.37,290000,0.37
2016-05-11,0.365,0.375,0.345,0.37,240000,0.37
2016-05-10,0.33,0.38,0.33,0.35,2370000,0.35
2016-05-06,0.325,0.335,0.325,0.335,20000,0.335
2016-05-05,0.33,0.33,0.33,0.33,430000,0.33
2016-05-04,0.345,0.345,0.345,0.345,000,0.345
2016-05-03,0.345,0.345,0.345,0.345,000,0.345
2016-05-02,0.34,0.345,0.325,0.345,120000,0.345
